relative_path,bytes,sha256,mime_type
ReadMe,4537,b3fd9850044ed7087f085267cf746c09d340cb38c57938924d59ce689d041a30,text/plain
table1.dat,23199,0380c4e4273c05109ef3e994ddbd637ab8bfca771282e7bd711bbc1e160c9253,text/plain
