0001 73.42262 +2.67778 0.29569 0.00105 -20.260 -19.902 3
0002 73.55221 +2.85944 0.20060 0.00044 -20.661 -19.931 1
0003 73.45929 +2.86572 0.20157 0.00057 -20.507 -19.869 1
0004 73.39546 +2.67856 0.20658 0.00005 -19.465 -19.061 1
0005 73.48125 +2.85789 0.20130 0.00024 -20.728 -20.049 1
0006 73.46313 +2.76619 0.20277 0.00004 -20.015 -19.863 1
0007 73.30913 +2.93111 0.20602 0.00043 -21.165 -20.459 1
0008 73.26683 +3.17544 0.09722 0.00018 -20.260 -19.786 3
0009 73.34333 +3.11072 0.19804 0.00014 -19.347 -18.927 1
0010 73.23350 +2.94778 0.20295 0.00031 -19.527 -18.949 1
0011 73.41946 +3.04222 0.19701 0.00025 -21.349 -20.654 1
0012 73.34467 +2.93322 0.20396 0.00033 -22.072 -21.395 1
0013 73.45666 +3.00803 0.19970 0.00017 -21.366 -20.705 1
0014 73.46950 +2.91725 0.20399 0.00056 -20.173 -19.495 1
0015 73.44025 +3.20603 0.10080 0.00005 -19.545 -18.924 3
0016 73.61525 +3.05803 0.20126 0.00064 -20.043 -19.379 1
0017 73.51196 +3.05369 0.19775 0.00031 -19.404 -18.743 1
0018 73.59687 +2.98692 0.20355 0.00066 -20.506 -19.815 1
0019 73.51096 +3.07714 0.19459 0.00024 -19.191 -18.697 1
0020 73.60792 +3.12944 0.22661 0.00007 -19.761 -19.428 2
0021 73.56892 +2.95744 0.19707 0.00060 -20.633 -19.955 1
0022 73.53317 +3.06517 0.20721 0.00052 -20.893 -20.204 1
0023 73.49062 +2.82406 0.25140 0.00044 -21.493 -20.802 3
0024 73.39288 +2.69875 0.19615 0.00053 -20.891 -20.210 1
0025 73.37971 +2.73367 0.19647 0.00037 -20.237 -19.557 1
0026 73.33738 +2.69364 0.20375 0.00025 -20.651 -20.048 1
0027 73.23933 +2.55636 0.20324 0.00002 -20.990 -20.397 1
0028 73.37741 +2.69886 0.19988 0.00005 -19.319 -18.870 1
0029 73.36317 +2.69461 0.19559 0.00010 -23.231 -22.515 1
