Subplot a and b,,,,,,,,,,,,,,,,,,Subplot c

Data,"diff MZI, mf=2",,,"diff MZI, mf=0",,,,"diff butterfly, mf=2",,,,"Fit to diff MZI, mf=2",,,"Upper bound fit diff MZI, mf=0",,,Data,"diff MZI, mf=2",,,"diff MZI, mf=0",,,,"diff butterfly, mf=2"
2T,|Deltaphi|,lower bound,upper bound,2T,|Deltaphi|,lower bound,upper bound,2T,|Deltaphi|,lower bound,upper bound,|Deltaphi| = 0.187319*A*(30-T)*T^2,,,|Deltaphi| = 0.187319*A*(40-T)*T^2,,,2T,Visibility,lower bound,upper bound,2T,Visibility,lower bound,upper bound,2T,Visibility,lower bound,upper bound
2.3,0.2983,0.28514100000000003,0.337357,2.3,0.167298654,0,0.19321465399999999,4.5,0.186880654,0,0.19890765400000002,A,39.46,,A,0.31,,2.3,0.732,0.699,0.837,2.3,0.6,0.5529999999999999,0.613,4.5,0.56,0.49500000000000005,0.5650000000000001
4.3,1.0739,1.048896,1.1171200000000001,6.3,0.333061654,0,0.395482654,12.5,0.396446654,0,0.444752654,Std,0.02,,Std,0.03,,4.3,0.561,0.547,0.5770000000000001,6.3,0.374,0.289,0.402,12.5,0.291,0.26799999999999996,0.33099999999999996
6.3,2.0622,2.0166809999999997,2.16404,12.3,0.149212654,0,0.181885654,20.5,0.224343654,0,0.328522654,,,,lower boudn,0,,6.3,0.416,0.39999999999999997,0.44799999999999995,12.3,0.589,0.5349999999999999,0.601,20.5,0.306,0.22,0.302
8.3,3.2903,3.2895469999999998,3.4389944,20.3,0.379872654,0,0.489830654,,,,,,,,,,,8.3,0.482,0.445,0.5429999999999999,20.3,0.22,0.184,0.243
10.3,4.7548,4.698315,4.777768,30.3,0.364387654,0,0.425831654,,,,,,,,,,,10.3,0.481,0.472,0.494,30.3,0.671,0.525,0.686
12.3,6.7704,6.701584,6.81426,40.3,0.471789654,0,0.5151976540000001,,,,,,,,,,,12.3,0.712,0.579,0.732,40.3,0.807,0.762,0.8340000000000001
16.3,10.7603,10.721778,10.899252,,,,,,,,,,,,,,,16.3,0.585,0.5499999999999999,0.611
20.3,15.3851,15.06219565,15.424607,,,,,,,,,,,,,,,20.3,0.255,0.23600000000000002,0.265
24.3,20.0671,20.017818,20.622083,,,,,,,,,,,,,,,24.3,0.226,0.13,0.248










