Subplot a,,,,,,Subplot b,,,,,,Subplot c,,,,,,Subplot d,,,,,,Subplot e,,,,,,Subplot f

Data,,Ellipse Parameters,,,,Data,,Ellipse Parameters,,,,Data,,Ellipse Parameters,,,,Data,,Ellipse Parameters,,,,Data,,Ellipse Parameters,,,,Data,,Ellipse Parameters
"N_rel,1","N_rel,2","N_rel,1 = N_1,0 + V_1,0 / 2 * cos(phi)",,,,"N_rel,1","N_rel,2","N_rel,1 = N_1,0 + V_1,0 / 2 * cos(phi)",,,,"N_rel,1","N_rel,2","N_rel,1 = N_1,0 + V_1,0 / 2 * cos(phi)",,,,"N_rel,1","N_rel,2","N_rel,1 = N_1,0 + V_1,0 / 2 * cos(phi)",,,,"N_rel,1","N_rel,2","N_rel,1 = N_1,0 + V_1,0 / 2 * cos(phi)",,,,"N_rel,1","N_rel,2","N_rel,1 = N_1,0 + V_1,0 / 2 * cos(phi)"
0.5168,0.4596,"N_rel,2 = N_2.0 + V_2,0 / 2 * cos(phi + pi + Deltaphi)",,,,0.7363,0.3385,"N_rel,2 = N_2.0 + V_2,0 / 2 * cos(phi + pi + Deltaphi)",,,,0.3956,0.8533,"N_rel,2 = N_2.0 + V_2,0 / 2 * cos(phi + pi + Deltaphi)",,,,0.5168,0.4596,"N_rel,2 = N_2.0 + V_2,0 / 2 * cos(phi + pi + Deltaphi)",,,,0.6867,0.3678,"N_rel,2 = N_2.0 + V_2,0 / 2 * cos(phi + pi + Deltaphi)",,,,0.5464,0.5112,"N_rel,2 = N_2.0 + V_2,0 / 2 * cos(phi + pi + Deltaphi)"
0.7557,0.2046,,,,,0.6982,0.2257,,,,,0.7096,0.0989,,,,,0.7557,0.2046,,,,,0.3777,0.6296,,,,,0.4933,0.5004
0.7042,0.3162,"N_1,0",0.478772,,,0.6719,0.3766,"N_1,0",0.532279,,,0.1957,0.8085,"N_1,0",0.479841,,,0.7042,0.3162,"N_1,0",0.526659,,,0.5826,0.5284,"N_1,0",0.501052,,,0.5014,0.5627,"N_1,0",0.482233
0.5056,0.5449,lower bound,0.459023,,,0.7538,0.2571,lower bound,0.506098,,,0.4825,0.2383,lower bound,0.463009,,,0.5056,0.5449,lower bound,0.512487,,,0.5938,0.459,lower bound,0.498438,,,0.4924,0.5764,lower bound,0.465301
0.6925,0.4184,upper bound,0.484386,,,0.4017,0.6654,upper bound,0.535717,,,0.1602,0.8032,upper bound,0.490354,,,0.6925,0.4184,upper bound,0.530943,,,0.5402,0.4581,upper bound,0.520681,,,0.4549,0.5691,upper bound,0.49367
0.5963,0.4363,,,,,0.7134,0.3406,,,,,0.9181,0.0894,,,,,0.5963,0.4363,,,,,0.3871,0.6446,,,,,0.4602,0.5904
0.7511,0.2528,"N_2,0",0.4897,,,0.5866,0.3912,"N_2,0",0.492965,,,0.4174,0.6512,"N_2,0",0.488349,,,0.7511,0.2528,"N_2,0",0.481661,,,0.3656,0.6932,"N_2,0",0.536019,,,0.4367,0.6197,"N_2,0",0.571232
0.3366,0.6591,lower bound,0.477789,,,0.5027,0.48,lower bound,0.490252,,,0.5875,0.5117,lower bound,0.476083,,,0.3366,0.6591,lower bound,0.481465,,,0.3874,0.567,lower bound,0.520467,,,0.4639,0.4872,lower bound,0.540478
0.639,0.3918,upper bound,0.504125,,,0.7343,0.3222,upper bound,0.514606,,,0.5686,0.3559,upper bound,0.493694,,,0.639,0.3918,upper bound,0.506582,,,0.569,0.4589,upper bound,0.539756,,,0.4699,0.6408,upper bound,0.578261
0.4683,0.6386,,,,,0.6186,0.4401,,,,,0.335,0.6321,,,,,0.4683,0.6386,,,,,0.4,0.5538,,,,,0.4221,0.5787
0.4831,0.547,"V_1,0",0.524678,,,0.4303,0.599,"V_1,0",0.596,,,0.8027,0.2617,"V_1,0",0.714208,,,0.4831,0.547,"V_1,0",0.527964,,,0.4426,0.5921,"V_1,0",0.334864,,,0.4875,0.4898,"V_1,0",0.286976
