Subplot a,,,,,,,,Subplot c,,,,,,,Subplot d

Data,,,,,,,,Data,,,,,,,Data
m_F = 2 trajectory,,m_F = 0 trajectory,,in-trap transport,,Bragg beam,,m_F = 2 trajectory,,m_F = 0 trajectory,,Bragg beam center,,,Time of flight,BEC radius x,Std x,Time of flight,BEC radius y,Std y,Time of flight,BEC radius z,Std z
x,z,x,z,x,z,z = 11.976*(x-0.0209),,x',y',x',y',x',y',,20,42.2298,0.89056,25.13,49.4833,2.1961,20,36.726,0.4575
4.7929,2.0963,4.8512,2.0477,4.6481,1.1367,,,-0.080618,0.0067556,-0.0191,-0.02306
4.7973,2.1117,4.8542,2.0577,4.6441,1.2089,,,-0.077346,0.0092261,-0.016869,-0.021639
4.8017,2.1271,4.8571,2.0676,4.6366,1.2821,,,-0.074024,0.011691,-0.014637,-0.020218
4.8062,2.1426,4.8601,2.0775,4.6253,1.3369,,,-0.07065,0.014149,-0.012405,-0.018798
4.8107,2.1582,4.863,2.0874,4.6095,1.42,,,-0.067225,0.016602,-0.010173,-0.017377
4.8153,2.1738,4.866,2.0973,,,,,-0.063749,0.019048,-0.0079416,-0.015956
4.82,2.1895,4.8689,2.1072,,,,,-0.060222,0.021489,-0.0057099,-0.014535
4.8246,2.2052,4.8719,2.1171,,,,,-0.056644,0.023924,-0.0034781,-0.013114
4.8294,2.2211,4.8748,2.127,,,,,-0.053014,0.026353,-0.0012464,-0.011693
4.8341,2.2369,4.8778,2.137,,,,,-0.049333,0.028776,0.00098531,-0.010272
4.8389,2.2529,4.8807,2.1469,,,,,-0.045601,0.031193,0.003217,-0.0088514
4.8438,2.2689,4.8837,2.1568,,,,,-0.041818,0.033604,0.0054488,-0.0074305
4.8487,2.285,4.8866,2.1667,,,,,-0.037984,0.036009,0.0076805,-0.0060096
4.8537,2.3011,4.8896,2.1766,,,,,-0.034098,0.038408,0.0099122,-0.0045888
4.8587,2.3173,4.8925,2.1865,,,,,-0.030161,0.040802,0.012144,-0.0031679
4.8637,2.3336,4.8955,2.1964,,,,,-0.026174,0.043189,0.014376,-0.001747
4.8689,2.3499,4.8984,2.2064,,,,,-0.022134,0.04557,0.016607,-0.00032611
4.874,2.3663,4.9014,2.2163,,,,,-0.018044,0.047946,0.018839,0.0010948
4.8792,2.3828,4.9043,2.2262,,,,,-0.013903,0.050315,0.021071,0.0025156
4.8845,2.3993,4.9073,2.2361,,,,,-0.0097101,0.052679,0.023303,0.0039365
4.8898,2.4159,4.9102,2.246,,,,,-0.0054663,0.055036,0.025534,0.0053574
4.8952,2.4325,4.9132,2.2559,,,,,-0.0011712,0.057388,0.027766,0.0067783
4.9006,2.4492,4.9161,2.2658,,,,,0.003175,0.059734,0.029998,0.0081992
4.906,2.4659,4.9191,2.2757,,,,,0.0075723,0.062074,0.03223,0.00962
4.9115,2.4827,4.922,2.2857,,,,,0.012021,0.064408,0.034461,0.011041
4.9171,2.4996,4.925,2.2956,,,,,0.016521,0.066736,0.036693,0.012462
4.9227,2.5165,4.9279,2.3055,,,,,0.021072,0.069058,0.038925,0.013883
4.9284,2.5335,4.9309,2.3154,,,,,0.025674,0.071374,0.041156,0.015304
4.9341,2.5505,4.9338,2.3253,,,,,0.030327,0.073684,0.043388,0.016724
4.9399,2.5676,4.9368,2.3352,,,,,0.035032,0.075988,0.04562,0.018145
4.9458,2.5848,4.9397,2.3451,,,,,0.039787,0.078286,0.047852,0.019566
4.9516,2.602,4.9427,2.355,,,,,0.044594,0.080579,0.050083,0.020987
4.9576,2.6193,4.9456,2.365,,,,,0.049452,0.082865,0.052315,0.022408
4.9636,2.6366,4.9486,2.3749,,,,,0.054361,0.085145,0.054547,0.023829
4.9696,2.654,4.9515,2.3848,,,,,0.059322,0.08742,0.056779,0.02525
4.9757,2.6714,4.9545,2.3947,,,,,0.064334,0.089688,0.05901,0.026671
4.9819,2.6889,4.9574,2.4046,,,,,0.069396,0.091951,0.061242,0.028091
4.9881,2.7064,4.9604,2.4145,,,,,0.07451,0.094208,0.063474,0.029512
4.9944,2.724,4.9633,2.4244,,,,,0.079676,0.096459,0.065705,0.030933
5.0007,2.7416,4.9663,2.4344,,,,,0.084892,0.098703,0.067937,0.032354
5.0071,2.7593,4.9692,2.4443,,,,,0.090159,0.10094,0.070169,0.033775
5.0136,2.7771,4.9722,2.4542,,,,,0.095478,0.10318,0.072401,0.035196
5.0201,2.7949,4.9751,2.4641,,,,,0.10085,0.1054,0.074632,0.036617
5.0266,2.8127,4.9781,2.474,,,,,0.10627,0.10762,0.076864,0.038038
