run,lumi_start,lumi_end,n_lumisections
143323,81,607,527
143326,1,264,264
143327,1,228,228
143328,1,404,404
143657,210,516,307
143657,518,2034,1517
143665,1,306,306
143727,1,135,135
143727,143,355,213
143731,1,23,23
143827,1,219,219
143827,221,672,452
143833,1,900,900
143835,1,284,284
143953,123,250,128
143953,271,621,351
143954,1,187,187
143955,1,68,68
143956,1,41,41
143957,1,52,52
143957,54,147,94
143959,1,102,102
143959,104,124,21
143960,1,107,107
143961,1,308,308
143962,1,352,352
143962,354,359,6
144010,1,8,8
144010,10,73,64
144010,77,77,1
144011,1,18,18
144011,22,398,377
144086,1,196,196
144086,198,242,45
144086,244,265,22
144086,267,298,32
144089,1,114,114
144089,117,161,45
144089,163,172,10
144089,174,1605,1432
144089,1607,1693,87
144112,136,236,101
144112,238,381,144
144112,383,437,55
144112,439,1489,1051
144112,1491,1711,221
144112,1713,1737,25
144114,1,79,79
146428,1,2,2
146428,11,52,42
146428,55,92,38
146430,1,12,12
146430,18,47,30
146430,50,62,13
146430,65,90,26
146431,1,23,23
146436,1,532,532
146437,1,798,798
146510,1,339,339
146511,1,63,63
146511,65,778,714
146513,1,1,1
146513,3,15,13
146514,1,545,545
146514,548,871,324
146589,34,248,215
146644,89,117,29
146644,119,565,447
146644,567,867,301
146644,869,1032,164
146644,1034,2171,1138
146644,2369,2465,97
146698,155,180,26
146698,186,189,4
146710,1,49,49
146710,114,115,2
146710,117,214,98
146712,1,69,69
146713,1,48,48
146713,50,256,207
146715,1,125,125
146721,1,6,6
146724,1,106,106
146724,109,109,1
146724,112,150,39
146724,152,159,8
146804,111,148,38
146804,150,520,371
146804,522,789,268
146804,791,822,32
146804,824,905,82
146807,132,362,231
146807,365,420,56
146807,422,469,48
146944,177,669,493
147043,161,500,340
147048,94,484,391
147114,180,187,8
147114,227,240,14
147114,247,667,421
147115,1,546,546
147116,1,54,54
147196,1,90,90
147214,1,79,79
147216,1,63,63
147217,1,193,193
147218,1,45,45
147219,1,293,293
147219,309,320,12
147222,1,444,444
147284,32,306,275
147390,1,478,478
147390,480,837,358
147450,80,166,87
147451,1,116,116
147451,118,129,12
147452,1,44,44
147453,1,146,146
147454,1,97,97
147754,1,167,167
147754,170,377,208
147755,81,231,151
147757,1,359,359
147926,77,548,472
147927,1,152,152
147929,1,266,266
147929,272,618,347
147929,620,643,24
148002,92,203,112
148029,50,483,434
148029,485,569,85
148029,571,571,1
148031,1,341,341
148031,472,757,286
148031,759,855,97
148032,1,199,199
148058,1,97,97
148822,1,446,446
148829,1,73,73
148829,75,240,166
148829,244,303,60
148860,1,39,39
148862,1,18,18
148862,20,108,89
148862,110,149,40
148862,151,165,15
148862,224,258,35
148862,262,297,36
148862,299,366,68
148862,368,504,137
148862,512,679,168
148864,1,31,31
148864,33,141,109
148864,224,236,13
148864,238,476,239
148864,478,680,203
148952,70,257,188
148953,1,100,100
149003,84,238,155
149011,1,341,341
149011,343,706,364
149058,1,65,65
149063,1,102,102
149181,229,1840,1612
149181,1844,1920,77
149291,79,79,1
149291,82,786,705
149291,788,788,1
149291,790,790,1
149291,794,794,1
149294,1,171,171
