key,file_name,bytes_size,subcategory,sortingCategory,restricted,visible,updated,version
psi-data/PSI-32/Raw Data/2018_303_181029_V10_0p25Dec_tslosh6_tSlosh_2.zip,2018_303_181029_V10_0p25Dec_tslosh6_tSlosh_2.zip,73624334,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_303_181029_V10_0p25Dec_tslosh6_tSlosh_2,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_303_181029_V10_0p25Dec_tslosh7_tSlosh_1.zip,2018_303_181029_V10_0p25Dec_tslosh7_tSlosh_1.zip,195219432,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_303_181029_V10_0p25Dec_tslosh7_tSlosh_1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_303_181029_V10_0p2Dec_tslosh5_tSlosh_1.zip,2018_303_181029_V10_0p2Dec_tslosh5_tSlosh_1.zip,158530012,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_303_181029_V10_0p2Dec_tslosh5_tSlosh_1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_303_181030_V10_0p1Dec_tslosh1_tSlosh_1.zip,2018_303_181030_V10_0p1Dec_tslosh1_tSlosh_1.zip,72296089,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_303_181030_V10_0p1Dec_tslosh1_tSlosh_1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_298_181024_V10_0p15Dec_tSlosh3_tSlosh_1.zip,2018_298_181024_V10_0p15Dec_tSlosh3_tSlosh_1.zip,246434565,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_298_181024_V10_0p15Dec_tSlosh3_tSlosh_1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_298_tabs_to_pngs.csv,2018_298_tabs_to_pngs.csv,13313,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_298_181024_V10_0p15Dec_tSlosh3_tSlosh_1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_298_181024_V10_0p15Dec_tSlosh3_tSlosh_2.zip,2018_298_181024_V10_0p15Dec_tSlosh3_tSlosh_2.zip,48536613,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_298_181024_V10_0p15Dec_tSlosh3_tSlosh_2,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_306_181102_V10_0p15Dec_tSlosh_RBZ1_tSlosh_1_L1.zip,2018_306_181102_V10_0p15Dec_tSlosh_RBZ1_tSlosh_1_L1.zip,145680455,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_306_181102_V10_0p15Dec_tSlosh_RBZ1_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_306_tabs_to_pngs.csv,2018_306_tabs_to_pngs.csv,23127,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_306_181102_V10_0p15Dec_tSlosh_RBZ1_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
psi-data/PSI-32/Raw Data/2018_306_181102_V10_0p17Dec_tSlosh10_tSlosh_1_L1.zip,2018_306_181102_V10_0p17Dec_tSlosh10_tSlosh_1_L1.zip,132629438,Legacy/CAL - Consortium for Ultracold Atoms in Space/2018_306_181102_V10_0p17Dec_tSlosh10_tSlosh_1_L1,Raw Data,False,True,"Thu, 19 Sep 2024 10:58:20 GMT",1
