tree	branch	typename
dijets/DecayTree	CELLjet_EfElectron	double
dijets/DecayTree	CELLjet_EfNeutral	double
dijets/DecayTree	CELLjet_EfPhoton	double
dijets/DecayTree	CELLjet_EfPi0	double
dijets/DecayTree	CELLjet_EfMPi0	double
dijets/DecayTree	CELLjet_EfRPi0	double
dijets/DecayTree	CELLjet_EfNHad	double
dijets/DecayTree	CELLjet_EfNReco	double
dijets/DecayTree	CELLjet_EfCompo	double
dijets/DecayTree	CELLjet_EfV0	double
dijets/DecayTree	CELLjet_EfD	double
dijets/DecayTree	CELLjet_EfB	double
dijets/DecayTree	CELLjet_EfBadParticle	double
dijets/DecayTree	CELLjet_EfCharged0Momentum	double
dijets/DecayTree	CELLjet_EfChargedInfMomentum	double
dijets/DecayTree	CELLjet_EfBadPhotonMatchingT	double
dijets/DecayTree	CELLjet_EfBadPhoton	double
dijets/DecayTree	CELLjet_EfIsolatedPhoton	double
dijets/DecayTree	CELLjet_NLongTrk	double
dijets/DecayTree	CELLjet_EfLongTrk	double
dijets/DecayTree	CELLjet_NDownTrk	double
dijets/DecayTree	CELLjet_EfDownTrk	double
dijets/DecayTree	CELLjet_NUpTrk	double
dijets/DecayTree	CELLjet_EfUpTrk	double
dijets/DecayTree	CELLjet_PU_NPVs	double
dijets/DecayTree	CELLjet_PU_Cone06_SumPTLongTrk	double
dijets/DecayTree	CELLjet_PU_Cone06_SumELongTrk	double
dijets/DecayTree	CELLjet_PU_Cone06_NLongTrk	double
dijets/DecayTree	CELLjet_PU_Cone06_NUpVeloTrk	double
dijets/DecayTree	CELLjet_PU_Cone10_SumPTLongTrk	double
dijets/DecayTree	CELLjet_PU_Cone10_SumELongTrk	double
dijets/DecayTree	CELLjet_PU_Cone10_NLongTrk	double
dijets/DecayTree	CELLjet_PU_Cone10_NUpVeloTrk	double
dijets/DecayTree	CELLjet_PU_Cone15_SumPTLongTrk	double
dijets/DecayTree	CELLjet_PU_Cone15_SumELongTrk	double
dijets/DecayTree	CELLjet_PU_Cone15_NLongTrk	double
dijets/DecayTree	CELLjet_PU_Cone15_NUpVeloTrk	double
dijets/DecayTree	CELLjet_nConstituents	int32_t
dijets/DecayTree	CELLjet_Constituents_E	float[]
