branch	typename	per_constituent
Jet1_BDTTag_fdChi2	float[]	1
Jet1_BDTTag_ipChi2Sum	float[]	1
Jet1_BDTTag_bdt0	float[]	1
Jet1_BDTTag_bdt1	float[]	1
Jet1_BDTTag_pass	float[]	1
Jet1_BDTTag_tau	float[]	1
Jet1_BDTTag_z	float[]	1
Jet1_BDTTag_pt	float[]	1
Jet1_BDTTag_backwards	float[]	1
Jet1_Eta	double	0
Jet1_Phi	double	0
Jet1_MLoKi	double	0
Jet1_MMLoKi	double	0
Jet1_NTrk	double	0
Jet1_N90	double	0
Jet1_MTF	double	0
Jet1_NSatCells	double	0
Jet1_NHasPVInfo	double	0
Jet1_JEC_Cor	double	0
Jet1_JEC_PV	double	0
Jet1_JEC_Error	double	0
Jet1_w	double	0
Jet1_CPF	double	0
Jet1_JetWidth	double	0
Jet1_NSatECAL	double	0
Jet1_NSatHCAL	double	0
Jet1_NIPChi2Inf4	double	0
Jet1_EfCharged	double	0
Jet1_EfChargedHadron	double	0
Jet1_EfMuon	double	0
Jet1_EfElectron	double	0
Jet1_EfNeutral	double	0
Jet1_EfPhoton	double	0
Jet1_EfPi0	double	0
Jet1_EfMPi0	double	0
Jet1_EfRPi0	double	0
Jet1_EfNHad	double	0
Jet1_EfNReco	double	0
Jet1_EfCompo	double	0
Jet1_EfV0	double	0
Jet1_EfD	double	0
Jet1_EfB	double	0
Jet1_EfBadParticle	double	0
Jet1_EfCharged0Momentum	double	0
Jet1_EfChargedInfMomentum	double	0
Jet1_EfBadPhotonMatchingT	double	0
Jet1_EfBadPhoton	double	0
Jet1_EfIsolatedPhoton	double	0
Jet1_NLongTrk	double	0
Jet1_EfLongTrk	double	0
Jet1_NDownTrk	double	0
Jet1_EfDownTrk	double	0
Jet1_NUpTrk	double	0
Jet1_EfUpTrk	double	0
Jet1_PU_NPVs	double	0
Jet1_PU_Cone06_SumPTLongTrk	double	0
Jet1_PU_Cone06_SumELongTrk	double	0
Jet1_PU_Cone06_NLongTrk	double	0
Jet1_PU_Cone06_NUpVeloTrk	double	0
Jet1_PU_Cone10_SumPTLongTrk	double	0
Jet1_PU_Cone10_SumELongTrk	double	0
Jet1_PU_Cone10_NLongTrk	double	0
Jet1_PU_Cone10_NUpVeloTrk	double	0
Jet1_PU_Cone15_SumPTLongTrk	double	0
Jet1_PU_Cone15_SumELongTrk	double	0
Jet1_PU_Cone15_NLongTrk	double	0
Jet1_PU_Cone15_NUpVeloTrk	double	0
Jet1_ParticleMultiplicity	double	0
Jet1_nDaughters	int32_t	0
Jet1_Daughters_E	float[]	1
Jet1_Daughters_pT	float[]	1
Jet1_Daughters_ID	float[]	1
Jet1_Daughters_pX	float[]	1
Jet1_Daughters_pY	float[]	1
Jet1_Daughters_pZ	float[]	1
Jet1_Daughters_Eta	float[]	1
Jet1_Daughters_Phi	float[]	1
Jet1_Daughters_Q	float[]	1
Jet1_Daughters_IP	float[]	1
Jet1_Daughters_IPCHI2	float[]	1
Jet1_Daughters_IPraw	float[]	1
Jet1_Daughters_NNe	float[]	1
Jet1_Daughters_NNk	float[]	1
Jet1_Daughters_NNp	float[]	1
Jet1_Daughters_NNpi	float[]	1
Jet1_Daughters_NNmu	float[]	1
Jet1_Daughters_Chi2	float[]	1
Jet1_Daughters_QoverP	float[]	1
Jet1_Daughters_trackX	float[]	1
Jet1_Daughters_trackY	float[]	1
Jet1_Daughters_trackZ	float[]	1
Jet1_Daughters_trackVX	float[]	1
Jet1_Daughters_trackVY	float[]	1
Jet1_Daughters_trackVZ	float[]	1
Jet1_Daughters_CaloNeutralEcal	float[]	1
Jet1_Daughters_CaloNeutralHcal2Ecal	float[]	1
Jet1_Daughters_CaloNeutralE49	float[]	1
Jet1_Daughters_CaloNeutralPrs	float[]	1
Jet1_foundMuon	bool	0
Jet1_muon_PE	double	0
Jet1_muon_PX	double	0
Jet1_muon_PY	double	0
Jet1_muon_PZ	double	0
Jet1_muon_PT	double	0
Jet1_muon_DLLmu	double	0
Jet1_muon_ProbNNMu	double	0
Jet1_muon_IP	double	0
Jet1_muon_IPchi2	double	0
Jet1_muon_q	int32_t	0
Jet1_L0Global_Dec	bool	0
Jet1_L0Global_TIS	bool	0
Jet1_L0Global_TOS	bool	0
Jet1_Hlt1Global_Dec	bool	0
Jet1_Hlt1Global_TIS	bool	0
Jet1_Hlt1Global_TOS	bool	0
Jet1_Hlt1Phys_Dec	bool	0
Jet1_Hlt1Phys_TIS	bool	0
Jet1_Hlt1Phys_TOS	bool	0
Jet1_Hlt2Global_Dec	bool	0
Jet1_Hlt2Global_TIS	bool	0
Jet1_Hlt2Global_TOS	bool	0
Jet1_Hlt2Phys_Dec	bool	0
Jet1_Hlt2Phys_TIS	bool	0
Jet1_Hlt2Phys_TOS	bool	0
Jet1_L0HadronDecision_Dec	bool	0
Jet1_L0HadronDecision_TIS	bool	0
Jet1_L0HadronDecision_TOS	bool	0
Jet1_L0PhotonDecision_Dec	bool	0
