file	bytes	tree	entries	n_branches
00392998_00000002_1.dvntuple.root	511106461	dijets/DecayTree	214253	350
00392998_00000002_1.dvntuple.root	511106461	GetIntegratedLuminosity/LumiTuple	8	2
