#area is 2173.1756square degrees
#effective area is 2071.9122137829345square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.015 0.01 0.02 0.22034749412565205 8610.467442393303 39076.7658899866
0.025 0.02 0.03 0.1172442158755541 12321.415930986404 105091.88738201515
0.035 0.03 0.04 0.09144451013142499 18537.117661118507 202714.38530838836
0.045 0.04 0.05 0.0699259873443498 23144.80741894245 330990.0696141206
0.05500000000000001 0.05 0.060000000000000005 0.05141422609719858 25139.981719851494 488969.3695345013
0.065 0.060000000000000005 0.06999999999999999 0.047787788061357764 32290.6531239748 675709.306371636
0.075 0.06999999999999999 0.08 0.038559624161989936 34328.61410868168 890273.566061389
0.08499999999999999 0.08 0.09 0.040781908287775614 46154.25971162319 1131733.6939198095
0.095 0.09 0.09999999999999999 0.03041623129586951 42557.46584939957 1399169.5892705426
0.105 0.09999999999999999 0.11 0.02350375681907523 39760.60825371742 1691670.3384817368
0.11499999999999999 0.11 0.12 0.022365214080841345 44916.842495560646 2008335.0122741568
0.125 0.12 0.13 0.022779106649669013 53491.5583524704 2348272.87896506
0.135 0.13 0.14 0.022366365399300654 60626.36858892441 2710604.4056143365
0.14500000000000002 0.14 0.15000000000000002 0.020049956703981554 62043.82528483868 3094461.8086141758
0.15500000000000003 0.15000000000000002 0.16 0.017576830155838864 61501.13827741146 3498989.1654031454
0.165 0.16 0.17 0.01547129573679454 60699.207184910774 3923343.475398325
0.17500000000000002 0.17 0.18000000000000002 0.014900493594348559 65065.90244090557 4366694.433906786
0.185 0.18000000000000002 0.19 0.01400273195555592 67608.34737932682 4828225.491562136
0.195 0.19 0.2 0.012263241187359844 65082.6594247818 5307133.606070212
0.20500000000000002 0.2 0.21000000000000002 0.010691344007525229 62037.923234939575 5802630.912565665
0.21500000000000002 0.21000000000000002 0.22 0.010024840499993153 63296.26527607441 6313942.379045097
0.225 0.22 0.23 0.008470648056334592 57941.86011528969 6840310.178152085
0.23500000000000001 0.23 0.24000000000000002 0.008162395564009882 60246.54115772247 7380987.687409453
0.245 0.24000000000000002 0.25 0.00678734362983504 53859.25266098976 7935247.6606962
0.255 0.25 0.26 0.006234324423462168 53006.573612332344 8502376.522602538
0.265 0.26 0.27 0.005509017142341922 50031.09343457222 9081673.217176385
0.275 0.27 0.28 0.0048549389260089575 46959.201407551765 9672459.76174513
0.28500000000000003 0.28 0.29000000000000004 0.004230486520470287 43464.29706478119 10274065.84431084
0.29500000000000004 0.29000000000000004 0.3 0.0037814743075758844 41164.53054475784 10885841.657653991
0.305 0.3 0.31 0.0034192518538084344 39345.85101020336 11507152.059120513
0.315 0.31 0.32 0.0027916725699859354 33883.584379315376 12137377.693790961
0.325 0.32 0.33 0.0024118581412253 30813.70063841343 12775917.501830809
0.335 0.33 0.34 0.0021310634174253828 28603.50860929489 13422176.165856132
0.34500000000000003 0.34 0.35000000000000003 0.0019220266697289044 27053.655633330345 14075588.054741288
0.35500000000000004 0.35000000000000003 0.36000000000000004 0.0015938807829279874 23486.79002225399 14735600.224195149
0.365 0.36000000000000004 0.37 0.0014424476104213325 22216.094787716866 15401664.938962769
0.375 0.37 0.38 0.0011653902026996208 18731.62100505829 16073261.094581522
0.385 0.38 0.39 0.0010267074166880046 17197.220255851746 16749874.38127919
0.395 0.39 0.4 0.0009027141917880676 15735.227745771408 17431018.4651064
0.405 0.4 0.41000000000000003 0.0007724984124249925 13994.742649197578 18116208.945033178
0.41500000000000004 0.41000000000000003 0.42000000000000004 0.000648547795346992 12195.929435968399 18804981.719879597
0.42500000000000004 0.42000000000000004 0.43 0.0005038148426943995 9822.81614458561 19496877.249692038
0.435 0.43 0.44 0.0004376613358555297 8837.029686331749 20191479.032657385
0.445 0.44 0.45 0.0003792896498521113 7922.7377943992615 20888357.47953685
0.455 0.45 0.46 0.00031352752542627754 6768.151853919029 21587105.772346243
0.465 0.46 0.47000000000000003 0.00024260849469534388 5407.0912128686905 22287311.99069784
0.47500000000000003 0.47000000000000003 0.48000000000000004 0.0001796821872438629 4130.650942802429 22988650.161500707
0.485 0.48000000000000004 0.49 0.00015289361369330389 3622.1537368297577 23690680.397518743
0.495 0.49 0.5 0.00011708122724046807 2855.976189851761 24393117.98454243
