#area is 5299.5428square degrees
#effective area is 5108.0437685335755square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.015 0.01 0.02 0.1378195414832962 13277.388807177544 96338.94195466301
0.025 0.02 0.03 0.12785355024328487 33125.71363258362 259091.07388532173
0.035 0.03 0.04 0.09930914072343718 49631.46015393734 499767.2902251203
0.045 0.04 0.05 0.06574994137859318 53652.94848668575 816015.1531960764
0.05500000000000001 0.05 0.060000000000000005 0.05523163334168829 66581.38124608994 1205493.6133100914
0.065 0.060000000000000005 0.06999999999999999 0.049315076306332244 82152.89442431927 1665877.8730059578
0.075 0.06999999999999999 0.08 0.04842184710407708 106279.1542981863 2194859.5655541955
0.08499999999999999 0.08 0.09 0.043335969953061305 120913.84358787537 2790149.7005568664
0.095 0.09 0.09999999999999999 0.032232903299816464 111186.75151598454 3449479.883390388
0.105 0.09999999999999999 0.11 0.02854116442283075 119033.90503692627 4170604.368955187
0.11499999999999999 0.11 0.12 0.02748191475124404 136071.26022303104 4951302.027340414
0.125 0.12 0.13 0.02440972177326051 141317.07862627506 5789376.869550396
0.135 0.13 0.14 0.022895186508060238 153000.75887715816 6682660.515706842
0.14500000000000002 0.14 0.15000000000000002 0.019596424777873205 149501.39021015167 7629013.552459696
0.15500000000000003 0.15000000000000002 0.16 0.01794217255999951 154775.0262131691 8626325.808404405
0.165 0.16 0.17 0.016296954805034326 157632.60449969769 9672518.969679112
0.17500000000000002 0.17 0.18000000000000002 0.0147397545303095 158681.50575745106 10765546.022571322
0.185 0.18000000000000002 0.19 0.013376776593957388 159229.04044771194 11903393.865427904
0.195 0.19 0.2 0.012347954356662662 161561.65593659878 13084082.696614759
0.20500000000000002 0.2 0.21000000000000002 0.011407941627587938 163198.24981594086 14305670.132574743
0.21500000000000002 0.21000000000000002 0.22 0.009810619076193208 152714.50433659554 15566245.427587533
0.225 0.22 0.23 0.009280692117073141 156509.037358284 16863940.251865868
0.23500000000000001 0.23 0.24000000000000002 0.00792807387797701 144266.4777493477 18196913.89986894
0.245 0.24000000000000002 0.25 0.006912614994723587 135234.06856155396 19563373.43606991
0.255 0.25 0.26 0.006217276473988649 130323.81153571606 20961559.628392678
0.265 0.26 0.27 0.005630506567313743 126065.60125148296 22389744.109938506
0.275 0.27 0.28 0.005034469692996429 120053.25009334087 23846255.398130573
0.28500000000000003 0.28 0.29000000000000004 0.004315462444377467 109308.25103378296 25329440.921493497
0.29500000000000004 0.29000000000000004 0.3 0.0036303629056937056 97430.58569145203 26837698.66055156
0.305 0.3 0.31 0.003181185160108266 90248.5138989687 28369462.74950473
0.315 0.31 0.32 0.0028284992595475436 84637.7667080164 29923206.245263554
0.325 0.32 0.33 0.0024566352607417736 77377.73968267441 31497447.30901177
0.335 0.33 0.34 0.00220510710333842 72968.57788801193 33090718.259236127
0.34500000000000003 0.34 0.35000000000000003 0.0019461921377422124 67536.02896773815 34701624.60222815
0.35500000000000004 0.35000000000000003 0.36000000000000004 0.0016958180584458267 61607.04037618637 36328803.12210357
0.365 0.36000000000000004 0.37 0.0014362801352073074 54536.85433423519 37970903.44521373
0.375 0.37 0.38 0.001290196409988366 51126.1497682333 39626640.85284063
0.385 0.38 0.39 0.0010753474026605138 44406.19933617115 41294747.377736636
0.395 0.39 0.4 0.000914134666085726 39284.04510116577 42974024.02359149
0.405 0.4 0.41000000000000003 0.0007482449174836692 33419.06968379021 44663276.55946904
0.41500000000000004 0.41000000000000003 0.42000000000000004 0.0006382429832109377 29589.81322348118 46361360.801207304
0.42500000000000004 0.42000000000000004 0.43 0.0005436841376893626 26133.343633413315 48067143.809784584
0.435 0.43 0.44 0.00043716271540376607 21761.784561872482 49779598.75140122
0.445 0.44 0.45 0.00034942371173854464 17994.5057836771 51497666.526825294
0.455 0.45 0.46 0.0002947249783788102 15685.364786744118 53220344.17654179
0.465 0.46 0.47000000000000003 0.0002211512893403246 12151.5150090456 54946616.16168973
0.47500000000000003 0.47000000000000003 0.48000000000000004 0.00017665406745080562 10011.989191889763 56675678.83585747
0.485 0.48000000000000004 0.49 0.00014622634769970416 8540.561530947685 58406447.711372085
0.495 0.49 0.5 0.0001072035346004307 6447.029840826988 60138220.860500306
