#area is 1983.8884square degrees
#effective area is 1770.198402421271square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.405 0.4 0.41000000000000003 0.000547848054977343 8479.652187767308 15478109.506326523
0.41500000000000004 0.41000000000000003 0.42000000000000004 0.0005519977408341059 8868.71726492861 16066582.53986217
0.42500000000000004 0.42000000000000004 0.43000000000000005 0.0005084554492859848 8469.71033195363 16657723.58983958
0.43500000000000005 0.43000000000000005 0.44 0.0005256492553299596 9068.068241551122 17251176.805832114
0.445 0.44 0.45 0.0005554116112322696 9912.195062256233 17846575.15579201
0.455 0.45 0.46 0.0005517165457765754 10175.623318637363 18443571.06295324
0.465 0.46 0.47000000000000003 0.0005217267589019586 9934.623166806345 19041812.591163706
0.47500000000000003 0.47000000000000003 0.48000000000000004 0.0005173699410987628 10161.67399990688 19641021.235841528
0.485 0.48000000000000004 0.49 0.0005222876814532244 10571.531557784105 20240821.166544937
0.495 0.49 0.5 0.000509443042739823 10617.286726936525 20840969.12941623
0.505 0.5 0.51 0.0005123495614180147 10985.354357542572 21441131.572629306
0.515 0.51 0.52 0.0005075304292549064 11186.515058457495 22041072.640472326
0.525 0.52 0.53 0.0005356017943664803 12126.273887584082 22640465.388894495
0.535 0.53 0.54 0.0005165617339159778 12004.427017197437 23239094.63094306
0.545 0.54 0.55 0.0005111146297616956 12183.294663295183 23836716.76346963
0.555 0.55 0.56 0.0005523795796542341 13496.331020920636 24433073.77395949
0.5650000000000001 0.56 0.5700000000000001 0.000545026838405771 13640.891933676727 25027927.01654284
0.5750000000000001 0.5700000000000001 0.5800000000000001 0.0005620690616808816 14400.82235441942 25621090.602911677
0.5850000000000001 0.5800000000000001 0.5900000000000001 0.0005382268143399174 14108.173774736722 26212320.528918687
0.5950000000000001 0.5900000000000001 0.6000000000000001 0.0005547752953772785 14868.777997809184 26801442.172542267
0.605 0.6000000000000001 0.61 0.0005633404123616304 15428.909169821538 27388251.989841472
0.615 0.61 0.62 0.0005632478391900735 15755.484441645509 27972560.82562381
0.625 0.62 0.63 0.0005641696327689498 16109.418441621496 28554210.481972102
0.635 0.63 0.64 0.0005577703276274816 16249.535530228706 29133022.54594169
0.645 0.64 0.65 0.0005310898149151295 15778.05760661766 29708831.09317218
0.655 0.65 0.66 0.0005252732176020188 15906.069087471818 30281515.513176788
0.665 0.66 0.67 0.0005165441545491406 15935.840009670717 30850876.67593514
0.675 0.67 0.68 0.0005094752820732597 16006.117325881896 31416867.292847987
0.685 0.68 0.69 0.000512117827128544 16377.124384116702 31979211.651239716
0.695 0.69 0.7 0.0005137866219312626 16717.571692915364 32537966.11144916
0.705 0.7 0.71 0.0005123157646955869 16954.031105250975 33092932.666877624
0.715 0.71 0.72 0.0005073957022257321 17070.767343456537 33643894.23988859
0.725 0.72 0.73 0.0005010928879784153 17132.843733190348 34190953.70183811
0.735 0.73 0.74 0.0004941332377415838 17163.174190561276 34733899.441787966
0.745 0.74 0.75 0.0005264350962690636 18568.7236555783 35272579.254647054
0.755 0.75 0.76 0.000528300131656038 18916.869506442672 35807050.52475538
0.765 0.76 0.77 0.0005189611644397209 18857.58371347431 36337177.04836983
0.775 0.77 0.78 0.0005472375518209857 20172.684801319996 36862756.830545425
0.785 0.78 0.79 0.0005541650466468592 20716.879806637953 37383952.54625244
0.795 0.79 0.8 0.0005765001188992153 21849.670425190932 37900547.99452821
0.805 0.8 0.81 0.0005612374542656625 21558.56084972464 38412548.35341026
0.8150000000000001 0.81 0.8200000000000001 0.0005322557013599567 20715.257661081378 38919747.798195876
0.8250000000000001 0.8200000000000001 0.8300000000000001 0.0005152315072021658 20311.621284852306 39422319.87160378
0.8350000000000001 0.8300000000000001 0.8400000000000001 0.0005138969396183093 20514.828842878534 39920122.61858511
0.8450000000000001 0.8400000000000001 0.8500000000000001 0.0005029393333868619 20325.28770217772 40413000.83909617
0.8550000000000001 0.8500000000000001 0.8600000000000001 0.0005047291993457499 20644.02007510927 40901180.47830178
0.8650000000000001 0.8600000000000001 0.8700000000000001 0.00046038710399033136 19052.790964591917 41384284.658399224
0.875 0.8700000000000001 0.88 0.00044830839410387537 18767.340475706456 41862567.64881803
0.885 0.88 0.89 0.00043978410774458683 18618.61758787759 42335812.6408031
0.895 0.89 0.9 0.00040450258917650955 17314.441163891483 42804277.715849474
0.905 0.9 0.91 0.00039487695486892477 17085.33829545857 43267499.115338005
0.915 0.91 0.92 0.0003568161310141951 15602.091508175017 43725858.087829344
0.925 0.92 0.93 0.0003421544230975813 15116.097653304547 44179167.74670333
0.935 0.93 0.9400000000000001 0.000332215591269077 14825.89060638469 44627317.30846583
0.9450000000000001 0.9400000000000001 0.9500000000000001 0.00030370742607400877 13688.290496785447 45070648.0040097
0.9550000000000001 0.9500000000000001 0.9600000000000001 0.000280973301606468 12786.739211263925 45508733.88380889
0.9650000000000001 0.9600000000000001 0.9700000000000001 0.0002519908545222998 11576.91542412516 45941807.87263716
0.9750000000000001 0.9700000000000001 0.98 0.00022921238167735954 10628.5378261117 46369824.127007596
0.985 0.98 0.99 0.00021411924264667074 10019.220692141076 46792714.97645969
0.995 0.99 1.0 0.00018762187210095518 8857.779307853674 47210803.34966224
1.005 1.0 1.01 0.00017288101595548932 8233.190034762549 47623447.77567886
1.0150000000000001 1.01 1.02 0.00015651663161951287 7517.702412488276 48031332.738897555
1.025 1.02 1.03 0.0001387493295992128 6720.2034429936575 48434132.70828362
1.0350000000000001 1.03 1.04 0.00012419284802771895 6064.57719467484 48831935.904403046
1.045 1.04 1.05 0.00011557737971513967 5689.248900130614 49224588.01326649
1.0550000000000002 1.05 1.06 0.00010668816672672023 5293.053606398059 49612377.53720258
1.065 1.06 1.07 9.092928476266863e-05 4546.018798808144 49995101.255591646
1.0750000000000002 1.07 1.08 8.020764513043045e-05 4040.2976314510884 50372974.10840224
1.085 1.08 1.09 7.20115756015763e-05 3654.286847827236 50745825.47735903
1.0950000000000002 1.09 1.1 6.548396113094379e-05 3347.130931626896 51113751.73126543
