file,bytes,rows,sha256
T2_MHONGOOSE_OUTER_HI_PERGAL.csv,51540,84,d0cd0c6b961d3ec03e5431dfc2f1e1d511edbe04775ef2ead90f1dba64c15285
T2_MHONGOOSE_CONTOUR_RTHETA.part01.csv,873228,23257,03ec654f221f71ad7d97cd389c193b8d2d165ca7b455362daab4ca50bad0aca2
T2_MHONGOOSE_CONTOUR_RTHETA.part02.csv,124620,3311,f2be3d25ae0369916f6b15088b08a7d7d8f9dfc9dfe5e7b674d985fc79919543
