galaxy,weighting,level_Msun_pc2,theta_deg,R_kpc,filled
J2009-61,r05_t00,3.0,5.0,5.7589,1
J2009-61,r05_t00,3.0,10.0,5.432,1
J2009-61,r05_t00,3.0,15.0,4.1436,1
J2009-61,r05_t00,3.0,20.0,5.0871,1
J2009-61,r05_t00,3.0,25.0,4.7925,1
J2009-61,r05_t00,3.0,30.0,4.0861,1
J2009-61,r05_t00,3.0,35.0,4.9058,1
J2009-61,r05_t00,3.0,40.0,4.7854,1
J2009-61,r05_t00,3.0,45.0,4.3364,1
J2009-61,r05_t00,3.0,50.0,4.1353,1
J2009-61,r05_t00,3.0,55.0,3.87,1
J2009-61,r05_t00,3.0,60.0,3.7212,1
J2009-61,r05_t00,3.0,65.0,3.5983,1
J2009-61,r05_t00,3.0,70.0,3.504,1
J2009-61,r05_t00,3.0,75.0,4.4105,1
J2009-61,r05_t00,3.0,80.0,4.3801,1
J2009-61,r05_t00,3.0,85.0,5.3549,1
J2009-61,r05_t00,3.0,90.0,5.4139,1
J2009-61,r05_t00,3.0,95.0,5.5193,1
J2009-61,r05_t00,3.0,100.0,5.6685,1
J2009-61,r05_t00,3.0,105.0,5.8581,1
J2009-61,r05_t00,3.0,110.0,7.2191,1
J2009-61,r05_t00,3.0,115.0,6.5324,1
J2009-61,r05_t00,3.0,120.0,5.7117,1
J2009-61,r05_t00,3.0,125.0,7.5141,1
J2009-61,r05_t00,3.0,130.0,7.8799,1
J2009-61,r05_t00,3.0,135.0,7.4613,1
J2009-61,r05_t00,3.0,140.0,6.8628,1
J2009-61,r05_t00,3.0,145.0,7.0104,1
J2009-61,r05_t00,3.0,150.0,6.5138,1
J2009-61,r05_t00,3.0,155.0,5.6399,1
J2009-61,r05_t00,3.0,160.0,6.132,1
J2009-61,r05_t00,3.0,165.0,5.7186,1
J2009-61,r05_t00,3.0,170.0,5.3813,0
J2009-61,r05_t00,3.0,175.0,5.2908,1
J2009-61,r05_t00,3.0,180.0,4.9533,1
J2009-61,r05_t00,3.0,185.0,2.4348,1
J2009-61,r05_t00,3.0,190.0,1.6113,1
J2009-61,r05_t00,3.0,195.0,3.9285,1
J2009-61,r05_t00,3.0,200.0,3.3066,1
J2009-61,r05_t00,3.0,205.0,2.7116,1
J2009-61,r05_t00,3.0,210.0,3.8906,1
J2009-61,r05_t00,3.0,215.0,3.6298,1
J2009-61,r05_t00,3.0,220.0,3.2657,1
J2009-61,r05_t00,3.0,225.0,4.1739,1
J2009-61,r05_t00,3.0,230.0,4.076,1
J2009-61,r05_t00,3.0,235.0,2.6818,1
J2009-61,r05_t00,3.0,240.0,2.6105,1
J2009-61,r05_t00,3.0,245.0,3.5452,1
J2009-61,r05_t00,3.0,250.0,3.4539,1
J2009-61,r05_t00,3.0,255.0,4.3644,1
J2009-61,r05_t00,3.0,260.0,4.3476,1
J2009-61,r05_t00,3.0,265.0,4.3462,1
J2009-61,r05_t00,3.0,270.0,5.3813,1
J2009-61,r05_t00,3.0,275.0,5.4916,1
J2009-61,r05_t00,3.0,280.0,6.6429,1
J2009-61,r05_t00,3.0,285.0,5.8399,1
J2009-61,r05_t00,3.0,290.0,6.0707,1
J2009-61,r05_t00,3.0,295.0,7.563,1
J2009-61,r05_t00,3.0,300.0,6.9425,1
J2009-61,r05_t00,3.0,305.0,7.281,1
J2009-61,r05_t00,3.0,310.0,6.6723,1
J2009-61,r05_t00,3.0,315.0,6.9335,1
J2009-61,r05_t00,3.0,320.0,6.5888,1
J2009-61,r05_t00,3.0,325.0,5.6076,1
J2009-61,r05_t00,3.0,330.0,6.2269,1
J2009-61,r05_t00,3.0,335.0,5.5096,1
J2009-61,r05_t00,3.0,340.0,6.0019,1
J2009-61,r05_t00,3.0,345.0,5.5916,1
J2009-61,r05_t00,3.0,350.0,5.9293,1
J2009-61,r05_t00,3.0,355.0,5.8459,1
J2009-61,r10_t00,0.01,0.0,10.019,1
J2009-61,r10_t00,0.01,5.0,7.2267,1
J2009-61,r10_t00,0.01,10.0,10.491,1
J2009-61,r10_t00,0.01,15.0,10.9223,1
J2009-61,r10_t00,0.01,20.0,10.665,1
J2009-61,r10_t00,0.01,25.0,11.3264,1
J2009-61,r10_t00,0.01,30.0,12.3893,1
J2009-61,r10_t00,0.01,35.0,13.3589,1
J2009-61,r10_t00,0.01,40.0,13.1571,1
J2009-61,r10_t00,0.01,45.0,15.4566,1
J2009-61,r10_t00,0.01,50.0,16.7233,1
J2009-61,r10_t00,0.01,55.0,17.9097,1
J2009-61,r10_t00,0.01,60.0,20.483,1
J2009-61,r10_t00,0.01,65.0,23.0859,1
J2009-61,r10_t00,0.01,70.0,24.408,1
J2009-61,r10_t00,0.01,75.0,27.2502,1
J2009-61,r10_t00,0.01,80.0,30.2703,1
J2009-61,r10_t00,0.01,85.0,46.5179,1
J2009-61,r10_t00,0.01,90.0,43.3004,1
J2009-61,r10_t00,0.01,95.0,32.407,1
J2009-61,r10_t00,0.01,100.0,29.6345,1
J2009-61,r10_t00,0.01,105.0,25.3233,1
J2009-61,r10_t00,0.01,110.0,19.417,1
J2009-61,r10_t00,0.01,115.0,18.3535,1
J2009-61,r10_t00,0.01,120.0,15.7004,1
J2009-61,r10_t00,0.01,125.0,14.3695,1
J2009-61,r10_t00,0.01,130.0,13.1037,1
J2009-61,r10_t00,0.01,135.0,12.1414,1
J2009-61,r10_t00,0.01,140.0,11.3308,1
J2009-61,r10_t00,0.01,145.0,10.1953,1
J2009-61,r10_t00,0.01,150.0,10.7063,1
J2009-61,r10_t00,0.01,155.0,10.0309,1
J2009-61,r10_t00,0.01,160.0,6.2405,1
J2009-61,r10_t00,0.01,165.0,9.5842,1
J2009-61,r10_t00,0.01,170.0,13.7724,0
J2009-61,r10_t00,0.01,175.0,9.3988,1
J2009-61,r10_t00,0.01,180.0,5.4577,1
J2009-61,r10_t00,0.01,185.0,9.4901,1
J2009-61,r10_t00,0.01,190.0,8.1187,1
J2009-61,r10_t00,0.01,195.0,10.1128,1
J2009-61,r10_t00,0.01,200.0,8.8128,1
J2009-61,r10_t00,0.01,205.0,10.6963,1
J2009-61,r10_t00,0.01,210.0,11.4803,1
J2009-61,r10_t00,0.01,215.0,12.4269,1
J2009-61,r10_t00,0.01,220.0,13.3167,1
J2009-61,r10_t00,0.01,225.0,14.6771,1
J2009-61,r10_t00,0.01,230.0,17.3869,1
J2009-61,r10_t00,0.01,235.0,18.7372,1
J2009-61,r10_t00,0.01,240.0,22.9974,1
J2009-61,r10_t00,0.01,245.0,25.7831,1
J2009-61,r10_t00,0.01,250.0,31.6703,1
J2009-61,r10_t00,0.01,255.0,34.5074,1
J2009-61,r10_t00,0.01,260.0,52.1039,1
J2009-61,r10_t00,0.01,265.0,48.8751,1
J2009-61,r10_t00,0.01,270.0,36.2,1
J2009-61,r10_t00,0.01,275.0,34.8259,1
J2009-61,r10_t00,0.01,280.0,27.1578,1
J2009-61,r10_t00,0.01,285.0,24.5065,1
J2009-61,r10_t00,0.01,290.0,19.9893,1
J2009-61,r10_t00,0.01,295.0,17.7001,1
J2009-61,r10_t00,0.01,300.0,16.6188,1
J2009-61,r10_t00,0.01,305.0,15.275,1
J2009-61,r10_t00,0.01,310.0,14.1859,1
J2009-61,r10_t00,0.01,315.0,13.2068,1
J2009-61,r10_t00,0.01,320.0,12.364,1
J2009-61,r10_t00,0.01,325.0,11.6868,1
J2009-61,r10_t00,0.01,330.0,10.1457,1
J2009-61,r10_t00,0.01,335.0,10.9392,1
J2009-61,r10_t00,0.01,340.0,10.392,1
J2009-61,r10_t00,0.01,345.0,4.1687,1
J2009-61,r10_t00,0.01,350.0,10.3598,1
J2009-61,r10_t00,0.01,355.0,13.7724,0
J2009-61,r10_t00,0.03,0.0,9.7391,1
J2009-61,r10_t00,0.03,5.0,7.2267,1
J2009-61,r10_t00,0.03,10.0,9.9487,1
J2009-61,r10_t00,0.03,15.0,8.339,1
J2009-61,r10_t00,0.03,20.0,10.409,1
J2009-61,r10_t00,0.03,25.0,11.0888,1
J2009-61,r10_t00,0.03,30.0,10.62,1
J2009-61,r10_t00,0.03,35.0,11.9507,1
J2009-61,r10_t00,0.03,40.0,12.9584,1
J2009-61,r10_t00,0.03,45.0,14.0806,1
J2009-61,r10_t00,0.03,50.0,16.4273,1
J2009-61,r10_t00,0.03,55.0,17.6465,1
J2009-61,r10_t00,0.03,60.0,20.2757,1
J2009-61,r10_t00,0.03,65.0,21.4919,1
J2009-61,r10_t00,0.03,70.0,22.7353,1
J2009-61,r10_t00,0.03,75.0,22.5145,1
J2009-61,r10_t00,0.03,80.0,27.0272,1
J2009-61,r10_t00,0.03,85.0,33.5645,1
J2009-61,r10_t00,0.03,90.0,30.3965,1
J2009-61,r10_t00,0.03,95.0,29.1364,1
J2009-61,r10_t00,0.03,100.0,26.3811,1
J2009-61,r10_t00,0.03,105.0,22.0159,1
J2009-61,r10_t00,0.03,110.0,19.1696,1
J2009-61,r10_t00,0.03,115.0,16.6188,1
J2009-61,r10_t00,0.03,120.0,15.3653,1
J2009-61,r10_t00,0.03,125.0,12.9058,1
J2009-61,r10_t00,0.03,130.0,11.7088,1
J2009-61,r10_t00,0.03,135.0,11.9237,1
J2009-61,r10_t00,0.03,140.0,10.8575,1
J2009-61,r10_t00,0.03,145.0,10.1953,1
J2009-61,r10_t00,0.03,150.0,7.8901,1
J2009-61,r10_t00,0.03,155.0,9.7605,1
J2009-61,r10_t00,0.03,160.0,6.2405,1
J2009-61,r10_t00,0.03,165.0,9.3044,1
J2009-61,r10_t00,0.03,170.0,12.9321,0
J2009-61,r10_t00,0.03,175.0,9.3988,1
J2009-61,r10_t00,0.03,180.0,5.4577,1
J2009-61,r10_t00,0.03,185.0,9.4901,1
J2009-61,r10_t00,0.03,190.0,8.1187,1
J2009-61,r10_t00,0.03,195.0,9.8504,1
J2009-61,r10_t00,0.03,200.0,8.8128,1
J2009-61,r10_t00,0.03,205.0,10.4518,1
J2009-61,r10_t00,0.03,210.0,11.2559,1
J2009-61,r10_t00,0.03,215.0,12.2227,1
J2009-61,r10_t00,0.03,220.0,13.3167,1
J2009-61,r10_t00,0.03,225.0,14.5093,1
J2009-61,r10_t00,0.03,230.0,15.7781,1
J2009-61,r10_t00,0.03,235.0,18.4807,1
J2009-61,r10_t00,0.03,240.0,21.2297,1
J2009-61,r10_t00,0.03,245.0,25.623,1
J2009-61,r10_t00,0.03,250.0,27.0785,1
J2009-61,r10_t00,0.03,255.0,29.7741,1
J2009-61,r10_t00,0.03,260.0,34.3454,1
J2009-61,r10_t00,0.03,265.0,32.766,1
J2009-61,r10_t00,0.03,270.0,29.6961,1
J2009-61,r10_t00,0.03,275.0,31.5545,1
J2009-61,r10_t00,0.03,280.0,22.2403,1
J2009-61,r10_t00,0.03,285.0,21.3015,1
J2009-61,r10_t00,0.03,290.0,18.3556,1
J2009-61,r10_t00,0.03,295.0,17.2625,1
J2009-61,r10_t00,0.03,300.0,14.9199,1
J2009-61,r10_t00,0.03,305.0,13.7962,1
J2009-61,r10_t00,0.03,310.0,12.7803,1
J2009-61,r10_t00,0.03,315.0,11.6707,1
J2009-61,r10_t00,0.03,320.0,10.205,1
J2009-61,r10_t00,0.03,325.0,10.9383,1
J2009-61,r10_t00,0.03,330.0,10.1457,1
J2009-61,r10_t00,0.03,335.0,10.4093,1
J2009-61,r10_t00,0.03,340.0,10.1157,1
