galaxy,weighting,dr,distance_mpc,inclination_deg,log_mhi,log_mstar_wise,common_name,pix_arcsec,bmaj_arcsec,bmin_arcsec,kpc_per_arcsec,mask_npix,sigma_rms_offmask_Msun_pc2,frac_nonzero_offmask,sigma_max_Msun_pc2,pa_pix_deg,pub_log_NHI_3sig_16kms,pub_Sigma_3sig_Msun_pc2,pub_noise_mJy_beam,nth_filled_R0p01,R0p01_kpc,nbeam_R0p01,A345_R0p01,A1_R0p01,A2_R0p01,A3_R0p01,A4_R0p01,A5_R0p01,A6_R0p01,A7_R0p01,A8_R0p01,nth_filled_R0p03,R0p03_kpc,nbeam_R0p03,A345_R0p03,A1_R0p03,A2_R0p03,A3_R0p03,A4_R0p03,A5_R0p03,A6_R0p03,A7_R0p03,A8_R0p03,nth_filled_R0p1,R0p1_kpc,nbeam_R0p1,A345_R0p1,A1_R0p1,A2_R0p1,A3_R0p1,A4_R0p1,A5_R0p1,A6_R0p1,A7_R0p1,A8_R0p1,nth_filled_R0p3,R0p3_kpc,nbeam_R0p3,A345_R0p3,A1_R0p3,A2_R0p3,A3_R0p3,A4_R0p3,A5_R0p3,A6_R0p3,A7_R0p3,A8_R0p3,nth_filled_R1,R1_kpc,nbeam_R1,A345_R1,A1_R1,A2_R1,A3_R1,A4_R1,A5_R1,A6_R1,A7_R1,A8_R1,nth_filled_R3,R3_kpc,nbeam_R3,A345_R3,A1_R3,A2_R3,A3_R3,A4_R3,A5_R3,A6_R3,A7_R3,A8_R3,R10_kpc,A345_R10,nbeam_R10,nth_filled_R10,A1_R10,A2_R10,A3_R10,A4_R10,A5_R10,A6_R10,A7_R10,A8_R10,eligible_L0p1,eligible_L0p3,eligible_L1
J1103-23,r10_t00,DR2,13.9,70.0,9.54,9.94,NGC3511,5.0,27.726,19.825,0.06739,15438,0.0,0.0,11.273029737242057,59.68,18.69,0.0134,0.150,72,43.203,23.122,0.278983,0.132437,0.121213,0.227897,0.12011,0.107088,0.133939,0.079461,0.06718,72,37.6319,20.141,0.414365,0.121639,0.205472,0.360263,0.09914,0.179109,0.14014,0.116672,0.079756,63,32.9456,17.633,0.397039,0.232141,0.079558,0.348463,0.181395,0.057524,0.051647,0.070896,0.105313,47,,,,,,,,,,,,45,,,,,,,,,,,,40,,,,,,,,,,,,,,,4,,,,,,,,,1,0,0
J1103-23,r10_t90,DR2,13.9,70.0,9.54,9.94,NGC3511,30.0,98.882,95.913,0.06739,1030,0.0,0.0,6.30055296620461,59.81,17.77,0.00161,0.318,71,45.7986,6.873,0.244849,0.16752,0.113738,0.182341,0.052541,0.154733,0.059351,0.101957,0.084998,70,39.4757,5.924,0.368421,0.182079,0.121483,0.293685,0.065107,0.212707,0.068826,0.169554,0.066649,58,35.6141,5.345,0.240422,0.265784,0.053793,0.16298,0.058461,0.166802,0.073481,0.104345,0.085622,49,,,,,,,,,,,,39,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
J1106-14,r05_t00,DR1,13.9,70.0,8.74,7.51,KKS2000-23,3.0,14.421,9.373,0.06739,3669,0.0,0.0,5.1428328491253055,128.13,19.29,0.05335,0.171,72,11.5801,11.915,0.038607,0.052873,0.202441,0.022265,0.030481,0.008103,0.012454,0.007237,0.00559,72,11.4363,11.768,0.03762,0.051844,0.197705,0.02367,0.026595,0.012153,0.007051,0.005179,0.008672,72,10.8402,11.154,0.036419,0.048677,0.187817,0.024888,0.02484,0.009483,0.010001,0.005388,0.003011,72,9.5616,9.839,0.046742,0.034014,0.18352,0.038246,0.021298,0.016386,0.007699,0.006993,0.003263,72,7.715,7.939,0.041675,0.052314,0.182929,0.019514,0.032183,0.017895,0.008766,0.00326,0.00795,68,4.7658,4.904,0.159756,0.23353,0.151988,0.135664,0.084039,0.007389,0.077954,0.054888,0.025688,,,,,,,,,,,,,1,1,1
J1106-14,r10_t00,DR1,13.9,70.0,8.74,7.51,KKS2000-23,5.0,26.233,17.619,0.06739,1808,0.0,0.0,4.0147305290875925,127.81,18.69,0.0134,0.150,72,12.9041,7.3,0.048378,0.052211,0.257454,0.020644,0.043705,0.002027,0.014066,0.006444,0.011904,72,12.2071,6.905,0.048074,0.057725,0.240691,0.024067,0.041134,0.006308,0.01186,0.007031,0.009241,72,11.0333,6.241,0.040756,0.040196,0.218593,0.024871,0.03204,0.003993,0.009469,0.002375,0.004278,72,9.6327,5.449,0.034073,0.029344,0.218734,0.020904,0.02594,0.007148,0.009387,0.006125,0.000423,72,7.6442,4.324,0.03522,0.043024,0.197898,0.016941,0.023828,0.01964,0.005432,0.007242,0.004622,51,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
J1106-14,r10_t90,DR1,13.9,70.0,8.74,7.51,KKS2000-23,30.0,94.117,91.121,0.06739,194,0.0,0.0,2.0534996677803945,128.24,17.77,0.00161,0.318,56,16.1227,2.542,0.189102,0.038484,0.361699,0.028392,0.17641,0.061912,0.175851,0.012819,0.033305,54,14.4158,2.273,0.181544,0.008444,0.342727,0.017772,0.171122,0.057962,0.108884,0.01815,0.055535,46,,,,,,,,,,,,34,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J1153-28,r05_t00,DR1,20.2,82.0,9.84,9.76,UGCA250,3.0,14.368,9.817,0.09793,20845,0.0,0.0,11.99356301655731,2.99,19.29,0.02171,0.171,72,144.807,102.914,0.826247,0.301044,1.33254,0.149491,0.787609,0.200023,0.433556,0.196219,0.375088,72,143.1695,101.751,0.830395,0.300062,1.341125,0.149668,0.79125,0.202679,0.438677,0.195166,0.377303,71,121.4313,86.301,0.931499,0.131032,1.372162,0.058884,0.90678,0.204873,0.600465,0.163419,0.486689,71,90.4872,64.309,1.144482,0.173208,1.472265,0.203349,1.094958,0.263733,0.962214,0.174086,0.956529,40,,,,,,,,,,,,29,,,,,,,,,,,,,,,10,,,,,,,,,0,0,0
J1153-28,r10_t00,DR1,20.2,82.0,9.84,9.76,UGCA250,5.0,26.684,18.767,0.09793,11973,0.0,0.0,8.249014950343312,179.27,18.69,0.00545,0.150,71,164.978,63.131,0.96465,0.138796,1.318578,0.293378,0.830176,0.394066,0.720709,0.178736,0.562205,71,154.5792,59.152,0.938482,0.145181,1.308411,0.297947,0.79616,0.397626,0.689535,0.161839,0.532338,70,107.8927,41.287,1.079621,0.125678,1.348636,0.096251,1.053052,0.217713,0.95072,0.152456,0.759309,69,97.551,37.329,1.148046,0.152756,1.4217,0.087896,1.119397,0.239238,0.999141,0.126458,0.798776,36,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J1153-28,r10_t90,DR1,20.2,82.0,9.84,9.76,UGCA250,30.0,93.868,91.393,0.09793,1189,0.0,0.0,2.8340274970847443,2.28,17.77,0.00066,0.318,58,149.7014,16.285,0.715968,0.342477,1.057358,0.271176,0.588618,0.304307,0.537973,0.076421,0.616671,53,,,,,,,,,,,,45,,,,,,,,,,,,38,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J1253-12,r05_t00,DR1,11.0,60.0,8.88,8.05,UGCA307,3.0,14.704,9.237,0.05333,22864,0.0,0.0,13.21088186199928,123.64,19.29,0.07799,0.171,72,27.7784,35.425,0.801427,0.219689,0.178024,0.454321,0.602228,0.270554,0.428983,0.432414,0.224275,72,27.6264,35.232,0.804691,0.215587,0.177137,0.456294,0.605259,0.270157,0.427489,0.438499,0.230233,72,27.0971,34.557,0.824103,0.22525,0.182043,0.470711,0.615469,0.280669,0.434408,0.451117,0.230724,72,20.3726,25.981,0.763047,0.331961,0.12424,0.362345,0.553768,0.379852,0.292616,0.339175,0.209816,72,12.8445,16.38,1.132142,0.13532,0.151426,0.534182,0.88592,0.459935,0.336984,0.743363,0.417585,63,10.2893,13.122,1.370814,0.240896,0.32811,0.644067,1.035136,0.626739,0.444867,0.886717,0.56197,,,,23,,,,,,,,,1,1,1
J1253-12,r10_t00,DR1,11.0,60.0,8.88,8.05,UGCA307,5.0,26.628,17.327,0.05333,12584,0.0,0.0,9.900206173566664,125.71,18.69,0.01959,0.150,72,31.014,21.84,0.814628,0.216222,0.208241,0.512912,0.595554,0.214139,0.319375,0.573994,0.265193,72,30.2068,21.272,0.827469,0.223887,0.200422,0.517782,0.605206,0.224349,0.333521,0.575113,0.266584,72,26.2781,18.505,0.840242,0.149437,0.151745,0.515462,0.571548,0.337102,0.363708,0.537683,0.196248,72,20.6371,14.533,0.92379,0.099494,0.176549,0.503165,0.640239,0.436243,0.346443,0.583346,0.148476,69,12.3861,8.722,1.120275,0.081222,0.194854,0.491959,0.927632,0.390501,0.18176,0.905495,0.530367,36,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
J1253-12,r10_t90,DR1,11.0,60.0,8.88,8.05,UGCA307,30.0,94.49,89.104,0.05333,934,0.0,0.0,4.423729092825978,127.0,17.77,0.00236,0.318,71,34.1138,6.77,0.833264,0.056547,0.12877,0.486116,0.61324,0.286283,0.286566,0.593515,0.207815,70,31.6655,6.284,0.905681,0.059398,0.156629,0.540418,0.659429,0.305547,0.302368,0.633621,0.224682,66,26.4378,5.247,0.911913,0.167445,0.080534,0.482868,0.715764,0.293437,0.270911,0.647958,0.386067,49,,,,,,,,,,,,23,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
J1318-21,r05_t00,DR1,5.2,28.0,9.01,9.36,NGC5068,3.0,13.868,9.63,0.02521,58557,0.0,0.0,31.482593041437365,143.87,19.29,0.13773,0.171,72,11.9077,34.058,0.136868,0.040075,0.08757,0.074771,0.107314,0.040323,0.008735,0.024721,0.086859,72,11.8392,33.863,0.136653,0.04411,0.089327,0.074141,0.108536,0.037375,0.01271,0.02522,0.088624,72,11.6161,33.224,0.131981,0.035641,0.092627,0.072842,0.100338,0.045223,0.006424,0.026999,0.088143,72,10.9648,31.362,0.157558,0.0299,0.105739,0.093095,0.114727,0.05473,0.020608,0.011933,0.096583,72,8.2388,23.565,0.0942,0.072784,0.109319,0.087679,0.029767,0.017316,0.03557,0.015715,0.022727,72,6.2184,17.786,0.055869,0.048939,0.025363,0.030302,0.01738,0.043602,0.010404,0.023448,0.020832,4.3894,0.068732,12.554,69,0.149729,0.079244,0.061025,0.013056,0.028802,0.053282,0.024982,0.033815,1,1,1
J1318-21,r10_t00,DR1,5.2,28.0,9.01,9.36,NGC5068,5.0,26.208,18.068,0.02521,31509,0.0,0.0,24.147000413308497,144.99,18.69,0.0346,0.150,72,14.6013,22.099,0.178229,0.101448,0.055669,0.081924,0.142798,0.068283,0.015965,0.034917,0.029843,72,14.4099,21.81,0.180683,0.109055,0.059005,0.083233,0.142994,0.072604,0.022271,0.038621,0.027148,72,13.2769,20.095,0.190665,0.086886,0.058275,0.081541,0.159173,0.066092,0.023191,0.04132,0.046075,72,10.5156,15.916,0.135505,0.04495,0.082026,0.082991,0.09111,0.056329,0.024034,0.021577,0.091079,72,7.8307,11.852,0.058308,0.061518,0.072015,0.048519,0.017347,0.027291,0.034509,0.02134,0.008642,72,6.1583,9.321,0.049847,0.053257,0.025749,0.025221,0.017454,0.039293,0.012203,0.023159,0.015051,4.2053,0.085676,6.365,63,0.156165,0.113542,0.081789,0.005381,0.024941,0.015929,0.037574,0.058419,1,1,1
J1318-21,r10_t90,DR1,5.2,28.0,9.01,9.36,NGC5068,30.0,94.266,91.09,0.02521,1509,0.0,0.0,11.479931082670612,145.65,17.77,0.00416,0.318,72,15.6159,6.571,0.175321,0.098163,0.043647,0.085997,0.143999,0.051049,0.00805,0.041576,0.033256,72,13.7697,5.794,0.121442,0.032655,0.030041,0.057633,0.106595,0.007999,0.053498,0.011614,0.026873,72,11.8164,4.972,0.118126,0.036763,0.066136,0.067649,0.088916,0.038359,0.009919,0.017839,0.075048,72,9.853,4.146,0.087107,0.071017,0.064817,0.071894,0.044837,0.020212,0.016575,0.012446,0.041151,72,7.3461,3.091,0.068376,0.048262,0.029864,0.055272,0.014061,0.037718,0.023684,0.012096,0.021293,70,5.6016,2.357,0.02898,0.055718,0.049808,0.022463,0.007078,0.016887,0.012723,0.036928,0.018402,,,,6,,,,,,,,,1,1,1
J1321-31,r05_t00,DR1,5.2,63.0,7.60,4.71,KK98-195,3.0,14.787,10.116,0.02521,10447,0.0,0.0,1.5190580586644948,169.31,19.29,0.07082,0.171,72,6.4976,17.429,0.061997,0.280378,0.167359,0.015132,0.046069,0.03863,0.108999,0.046965,0.045763,72,6.3678,17.081,0.054716,0.282338,0.162598,0.010478,0.041183,0.034468,0.100948,0.050643,0.041712,72,5.9507,15.962,0.046292,0.248042,0.173144,0.00455,0.038558,0.025209,0.114287,0.067517,0.055625,72,3.9953,10.717,0.153511,0.1064,0.389963,0.108548,0.022008,0.106295,0.051797,0.040917,0.053348,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0
J1321-31,r10_t00,DR1,5.2,63.0,7.60,4.71,KK98-195,5.0,26.892,19.362,0.02521,4984,0.0,0.0,1.2515013852291763,167.75,18.69,0.01779,0.150,72,6.9267,10.217,0.056204,0.256518,0.160157,0.016434,0.037577,0.038429,0.090087,0.032261,0.052513,72,6.6624,9.827,0.065576,0.257088,0.151232,0.00883,0.052055,0.03889,0.097396,0.038528,0.042129,72,5.5856,8.239,0.097996,0.173247,0.173431,0.068041,0.069499,0.011978,0.113012,0.079962,0.032177,72,3.6443,5.375,0.17666,0.220628,0.42,0.099746,0.065617,0.130208,0.095725,0.080889,0.051256,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0
J1321-31,r10_t90,DR1,5.2,63.0,7.60,4.71,KK98-195,30.0,94.816,92.112,0.02521,361,0.0,0.0,0.7642567830582876,166.95,17.77,0.00214,0.318,67,7.5713,3.167,0.054072,0.16428,0.205572,0.030791,0.026362,0.035788,0.10641,0.051502,0.04915,66,6.3697,2.665,0.100864,0.142397,0.230257,0.055714,0.07386,0.040178,0.117346,0.081174,0.046425,52,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J1337-28,r05_t00,DR1,4.6,40.0,8.02,6.69,ESO444-G084,3.0,13.283,10.102,0.0223,8481,0.0,0.0,20.792603644873846,165.99,19.29,0.11949,0.171,72,3.9834,13.447,0.058251,0.081621,0.095289,0.038119,0.009118,0.043092,0.03603,0.004944,0.015979,72,3.9635,13.38,0.053455,0.079165,0.095506,0.033854,0.00741,0.040699,0.037553,0.003858,0.016333,72,3.8588,13.026,0.052298,0.070741,0.094803,0.029863,0.008521,0.04208,0.035831,0.003164,0.013439,72,3.562,12.025,0.042192,0.072793,0.135454,0.032152,0.013359,0.023831,0.017208,0.011254,0.019223,72,2.7214,9.187,0.077651,0.03162,0.117312,0.055336,0.051079,0.018936,0.002741,0.01716,0.039512,72,1.7482,5.902,0.110998,0.056547,0.075474,0.025484,0.093154,0.054712,0.030443,0.027231,0.01172,0.8972,0.264651,3.029,60,0.22242,0.105283,0.202672,0.057107,0.16032,0.081525,0.055406,0.034842,1,1,1
J1337-28,r10_t00,DR1,4.6,40.0,8.02,6.69,ESO444-G084,5.0,25.701,18.532,0.0223,3803,0.0,0.0,16.462526634965897,166.03,18.69,0.03002,0.150,72,4.3924,7.663,0.043733,0.070863,0.079539,0.017855,0.028331,0.028127,0.003416,0.017705,0.023431,72,4.2482,7.412,0.03681,0.076615,0.08617,0.022315,0.014304,0.025543,0.020421,0.003476,0.022081,72,3.9474,6.887,0.055169,0.072025,0.08956,0.035701,0.007602,0.041367,0.029648,0.008434,0.009638,72,3.4802,6.072,0.050447,0.072992,0.123513,0.045873,0.008655,0.019123,0.018281,0.00891,0.014541,72,2.6669,4.653,0.071217,0.029057,0.117164,0.051954,0.048509,0.00443,0.007427,0.022279,0.019971,72,1.7319,3.022,0.088599,0.061615,0.093033,0.022162,0.075217,0.041244,0.02661,0.009602,0.007549,,,,46,,,,,,,,,1,1,1
J1337-28,r10_t90,DR1,4.6,40.0,8.02,6.69,ESO444-G084,30.0,95.282,91.318,0.0223,290,0.0,0.0,7.103193383479927,165.02,17.77,0.00361,0.318,71,5.1864,2.441,0.071748,0.039682,0.046199,0.046507,0.036354,0.040783,0.040993,0.014472,0.039015,70,4.4469,2.093,0.060629,0.074184,0.021979,0.055493,0.020235,0.013672,0.020838,0.026664,0.041575,63,3.8985,1.835,0.077216,0.06828,0.017795,0.059503,0.045203,0.01945,0.016657,0.009623,0.033207,55,3.1092,1.463,0.075135,0.055178,0.027914,0.048839,0.015908,0.054836,0.042308,0.024135,0.015599,42,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J2009-61,r05_t00,DR2,11.6,80.0,8.93,8.60,IC4951,3.0,14.668,10.539,0.05624,5975,0.0,0.0,7.845922564667598,90.92,19.29,0.02709,0.171,72,16.5663,20.083,0.280744,0.021714,0.621036,0.039564,0.273673,0.048528,0.12913,0.041002,0.075291,72,16.0697,19.481,0.274025,0.016234,0.612983,0.026926,0.269145,0.043886,0.127346,0.047271,0.074953,72,13.4568,16.313,0.134113,0.034379,0.447713,0.051408,0.113474,0.049668,0.019811,0.040513,0.026112,72,10.916,13.233,0.06597,0.023703,0.296347,0.048219,0.036317,0.026609,0.063054,0.010257,0.052007,72,8.1905,9.929,0.129419,0.051224,0.137464,0.027542,0.122895,0.029789,0.044504,0.006729,0.018617,71,5.1447,6.237,0.107791,0.087158,0.324215,0.071503,0.064323,0.04867,0.038568,0.012046,0.05935,,,,,,,,,,,,,0,0,0
J2009-61,r10_t00,DR2,11.6,80.0,8.93,8.60,IC4951,5.0,28.046,19.579,0.05624,3132,0.0,0.0,5.899317974267402,90.77,18.69,0.0068,0.150,70,17.8724,11.331,0.328111,0.058067,0.692535,0.062482,0.316346,0.060645,0.175298,0.05609,0.122956,70,15.8485,10.048,0.238869,0.038069,0.610188,0.04101,0.231619,0.041585,0.083877,0.035703,0.05574,70,13.3615,8.471,0.138322,0.021123,0.481413,0.04283,0.122026,0.049074,0.007037,0.041179,0.022882,70,11.1189,7.049,0.050338,0.018763,0.339305,0.043391,0.015624,0.020174,0.065034,0.029724,0.019744,69,8.1656,5.177,0.115249,0.022021,0.236412,0.04797,0.103795,0.014414,0.061456,0.009616,0.034712,66,4.4046,2.793,0.136506,0.08896,0.32394,0.045175,0.106326,0.072719,0.027668,0.09769,0.062819,,,,,,,,,,,,,0,0,0
J2009-61,r10_t90,DR2,11.6,80.0,8.93,8.60,IC4951,30.0,103.897,97.652,0.05624,281,0.0,0.0,1.8295055844155033,91.34,17.77,0.00082,0.318,50,,,,,,,,,,,,45,,,,,,,,,,,,41,,,,,,,,,,,,33,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J2257-41,r05_t00,DR2,7.9,32.0,9.60,9.56,NGC7424,3.0,13.314,10.005,0.0383,110854,0.0,0.0,19.546452427431596,126.75,19.29,0.13228,0.171,72,24.3883,47.826,0.072256,0.030504,0.011273,0.056737,0.019999,0.040024,0.036302,0.021858,0.03046,72,24.3382,47.727,0.072541,0.031151,0.011846,0.057425,0.019126,0.039985,0.03615,0.021952,0.029787,72,24.1441,47.347,0.076119,0.029989,0.01062,0.061427,0.020008,0.040257,0.038918,0.021159,0.028318,72,23.553,46.187,0.076521,0.036009,0.004825,0.054585,0.026923,0.04638,0.030494,0.023345,0.03725,72,18.6699,36.612,0.096943,0.028324,0.018548,0.037117,0.064597,0.062028,0.021618,0.049097,0.043347,72,14.6413,28.712,0.056745,0.097985,0.05269,0.033784,0.03519,0.028988,0.04765,0.06036,0.015721,7.881,0.150187,15.455,65,0.098421,0.115816,0.117987,0.087458,0.031404,0.031057,0.064103,0.049762,1,1,1
J2257-41,r10_t00,DR2,7.9,32.0,9.60,9.56,NGC7424,5.0,26.024,18.549,0.0383,45230,0.0,0.0,15.628616276113817,127.14,18.69,0.03323,0.150,72,25.6667,25.751,0.059143,0.010861,0.036255,0.053762,0.017683,0.017172,0.022577,0.018743,0.030057,72,25.432,25.516,0.059412,0.009768,0.032319,0.05503,0.015245,0.016403,0.022889,0.02109,0.026947,72,24.4199,24.501,0.068701,0.025736,0.01103,0.057817,0.018977,0.031889,0.030297,0.024567,0.030693,72,22.585,22.66,0.091008,0.050695,0.005553,0.050059,0.037102,0.066333,0.023417,0.028912,0.036264,72,17.988,18.047,0.121479,0.049655,0.050075,0.052992,0.062258,0.08985,0.028704,0.075155,0.045584,72,13.8626,13.908,0.079067,0.060058,0.020705,0.037813,0.037237,0.058611,0.042983,0.039986,0.025356,,,,40,,,,,,,,,1,1,1
J2257-41,r10_t90,DR2,7.9,32.0,9.60,9.56,NGC7424,30.0,98.363,95.625,0.0383,1815,0.0,0.0,9.06015394009514,127.67,17.77,0.00399,0.318,72,26.9785,7.161,0.084699,0.030593,0.037126,0.066034,0.033462,0.041155,0.055831,0.051697,0.034133,72,25.7708,6.841,0.076957,0.021207,0.015085,0.062632,0.024571,0.037361,0.040523,0.036161,0.032035,72,23.9855,6.367,0.076105,0.044365,0.008164,0.051301,0.026785,0.049423,0.029157,0.0243,0.035127,72,21.1548,5.615,0.050495,0.052772,0.035355,0.022037,0.021757,0.039884,0.010819,0.005762,0.005838,72,17.0178,4.517,0.031256,0.042387,0.005584,0.013697,0.013327,0.024732,0.00698,0.011474,0.0067,72,12.8806,3.419,0.082604,0.059521,0.013136,0.048532,0.038592,0.054578,0.024452,0.027073,0.01304,,,,,,,,,,,,,1,1,1
J2357-32,r05_t00,DR2,3.6,47.0,8.96,9.34,NGC7793,3.0,13.662,9.351,0.01745,91652,0.0,0.0,20.2833799095731,23.9,19.29,0.10638,0.171,72,11.4682,48.097,0.06427,0.073117,0.078494,0.05467,0.026408,0.021083,0.041478,0.037802,0.005637,72,11.4384,47.972,0.06563,0.07282,0.077537,0.05625,0.026413,0.02111,0.041511,0.038376,0.005475,72,11.2598,47.223,0.061847,0.076797,0.073882,0.052054,0.024462,0.022739,0.038603,0.038881,0.008395,72,10.5867,44.4,0.055648,0.085599,0.079288,0.044255,0.023402,0.024301,0.028798,0.023677,0.020747,72,8.2573,34.631,0.090334,0.009316,0.09245,0.079582,0.027236,0.03294,0.003304,0.01127,0.016767,72,6.0348,25.31,0.067918,0.04667,0.049896,0.020954,0.033931,0.054977,0.044707,0.056581,0.030938,3.6228,0.076903,15.194,71,0.033853,0.231031,0.030504,0.029238,0.064255,0.056845,0.061576,0.018051,1,1,1
J2357-32,r10_t00,DR2,3.6,47.0,8.96,9.34,NGC7793,5.0,26.128,18.08,0.01745,43201,0.0,0.0,16.543426883032062,24.36,18.69,0.02672,0.150,72,12.8161,28.105,0.05945,0.097325,0.12805,0.05475,0.012977,0.01919,0.037614,0.032291,0.011422,72,12.4984,27.408,0.05193,0.100861,0.138387,0.045384,0.008112,0.0239,0.041599,0.046514,0.024615,72,11.6635,25.577,0.044965,0.107177,0.142624,0.031895,0.017779,0.026239,0.025738,0.059059,0.033045,72,10.0198,21.973,0.039597,0.088796,0.100739,0.034441,0.015389,0.01204,0.013665,0.012184,0.003071,72,7.9131,17.353,0.093437,0.028019,0.075366,0.084595,0.027853,0.028257,0.005235,0.014014,0.030762,72,5.7601,12.631,0.053394,0.046277,0.113322,0.034169,0.024875,0.032629,0.017938,0.033013,0.005457,2.9285,0.17228,6.422,68,0.008334,0.159481,0.067611,0.094691,0.127055,0.164243,0.031687,0.045507,1,1,1
J2357-32,r10_t90,DR2,3.6,47.0,8.96,9.34,NGC7793,30.0,98.871,95.209,0.01745,1306,0.0,0.0,9.74655330878103,23.88,17.77,0.00321,0.318,72,11.934,6.916,0.050268,0.071636,0.120865,0.042638,0.017328,0.020215,0.03106,0.040453,0.039114,72,11.4287,6.623,0.038757,0.078861,0.123006,0.036161,0.009615,0.010102,0.014345,0.01675,0.015454,72,10.678,6.188,0.044519,0.077825,0.103298,0.03726,0.023669,0.005777,0.003101,0.001624,0.00595,72,9.5349,5.526,0.064492,0.060765,0.092586,0.061066,0.018308,0.009744,0.008127,0.005958,0.009603,72,7.403,4.29,0.071681,0.052709,0.040071,0.062621,0.027237,0.021793,0.022969,0.008127,0.001798,71,5.1797,3.002,0.067407,0.062427,0.110589,0.052216,0.038619,0.018047,0.030231,0.019117,0.026221,,,,,,,,,,,,,1,1,1
