galaxy,weighting,dr,distance_mpc,inclination_deg,log_mhi,log_mstar_wise,common_name,pix_arcsec,bmaj_arcsec,bmin_arcsec,kpc_per_arcsec,mask_npix,sigma_rms_offmask_Msun_pc2,frac_nonzero_offmask,sigma_max_Msun_pc2,pa_pix_deg,pub_log_NHI_3sig_16kms,pub_Sigma_3sig_Msun_pc2,pub_noise_mJy_beam,nth_filled_R0p01,R0p01_kpc,nbeam_R0p01,A345_R0p01,A1_R0p01,A2_R0p01,A3_R0p01,A4_R0p01,A5_R0p01,A6_R0p01,A7_R0p01,A8_R0p01,nth_filled_R0p03,R0p03_kpc,nbeam_R0p03,A345_R0p03,A1_R0p03,A2_R0p03,A3_R0p03,A4_R0p03,A5_R0p03,A6_R0p03,A7_R0p03,A8_R0p03,nth_filled_R0p1,R0p1_kpc,nbeam_R0p1,A345_R0p1,A1_R0p1,A2_R0p1,A3_R0p1,A4_R0p1,A5_R0p1,A6_R0p1,A7_R0p1,A8_R0p1,nth_filled_R0p3,R0p3_kpc,nbeam_R0p3,A345_R0p3,A1_R0p3,A2_R0p3,A3_R0p3,A4_R0p3,A5_R0p3,A6_R0p3,A7_R0p3,A8_R0p3,nth_filled_R1,R1_kpc,nbeam_R1,A345_R1,A1_R1,A2_R1,A3_R1,A4_R1,A5_R1,A6_R1,A7_R1,A8_R1,nth_filled_R3,R3_kpc,nbeam_R3,A345_R3,A1_R3,A2_R3,A3_R3,A4_R3,A5_R3,A6_R3,A7_R3,A8_R3,R10_kpc,A345_R10,nbeam_R10,nth_filled_R10,A1_R10,A2_R10,A3_R10,A4_R10,A5_R10,A6_R10,A7_R10,A8_R10,eligible_L0p1,eligible_L0p3,eligible_L1
J0445-59,r05_t00,DR3,19.4,34.0,10.29,10.69,NGC1672,3.0,12.857,10.749,0.09405,62833,0.0,0.0,21.860969138772717,53.65,19.29,0.12932,0.171,72,56.9957,47.131,0.193013,0.180203,0.513741,0.067224,0.103093,0.148684,0.07811,0.297512,0.180243,72,56.9027,47.055,0.193537,0.180979,0.515209,0.067865,0.103855,0.148543,0.078761,0.298614,0.18162,72,56.5532,46.766,0.196383,0.182183,0.518088,0.066808,0.105414,0.151628,0.081133,0.298243,0.181015,72,53.719,44.422,0.270037,0.174458,0.499995,0.134216,0.120026,0.201246,0.048926,0.295872,0.152509,72,48.4437,40.06,0.373229,0.103367,0.494675,0.243993,0.149949,0.239339,0.08548,0.343605,0.214006,72,41.3313,34.178,0.514383,0.191738,0.428174,0.314547,0.191694,0.359031,0.030826,0.448721,0.222412,,,,36,,,,,,,,,1,1,1
J0445-59,r10_t00,DR3,19.4,34.0,10.29,10.69,NGC1672,5.0,25.941,19.676,0.09405,30300,0.0,0.0,18.420992157821914,53.32,18.69,0.03248,0.150,72,66.3289,27.186,0.379406,0.180966,0.587507,0.148522,0.191565,0.291879,0.047166,0.404203,0.207177,72,65.4765,26.837,0.385459,0.182885,0.600286,0.152264,0.190187,0.298702,0.048645,0.41158,0.205814,72,62.9243,25.791,0.411356,0.168313,0.611599,0.181522,0.180646,0.321917,0.062238,0.455524,0.211137,72,57.6655,23.635,0.525531,0.134259,0.593412,0.285928,0.195098,0.39543,0.067659,0.504594,0.220484,72,47.1695,19.333,0.417541,0.110745,0.490715,0.278822,0.188639,0.24701,0.058184,0.325265,0.220399,72,40.7888,16.718,0.516754,0.212661,0.432948,0.319311,0.195005,0.356438,0.036771,0.457004,0.217344,,,,26,,,,,,,,,1,1,1
J0445-59,r10_t90,DR3,19.4,34.0,10.29,10.69,NGC1672,30.0,101.527,96.11,0.09405,1971,0.0,0.0,9.217303393915566,53.04,17.77,0.00391,0.318,72,74.0602,7.756,0.314017,0.154585,0.522339,0.112161,0.16638,0.241545,0.038385,0.353057,0.19962,72,69.7553,7.305,0.354142,0.141565,0.555829,0.138915,0.182697,0.269706,0.0626,0.391295,0.212862,72,63.8348,6.685,0.425627,0.128895,0.553067,0.201038,0.178001,0.330239,0.086365,0.46841,0.22801,72,59.4565,6.226,0.490538,0.13321,0.574297,0.257115,0.207357,0.362661,0.103244,0.503882,0.24062,70,52.4664,5.494,0.649644,0.1437,0.598589,0.385947,0.296927,0.430019,0.048178,0.500113,0.246301,66,34.7268,3.637,0.590239,0.060809,0.241163,0.416357,0.276523,0.313948,0.342578,0.33467,0.296527,,,,,,,,,,,,,1,1,1
J0454-53,r05_t00,DR3,5.7,42.0,8.07,8.37,NGC1705,3.0,13.503,10.752,0.02763,7138,0.0,0.0,31.183997039857758,4.79,19.29,0.11592,0.171,72,4.9446,13.251,0.625784,0.11417,0.183708,0.258948,0.496995,0.278474,0.081136,0.329974,0.3219,72,4.916,13.175,0.63061,0.114499,0.18622,0.258956,0.500966,0.282212,0.082788,0.331642,0.324017,72,4.735,12.689,0.660769,0.125276,0.189364,0.267675,0.532974,0.284436,0.112195,0.3346,0.33492,72,4.2219,11.314,0.752979,0.181704,0.195116,0.347648,0.582554,0.326726,0.133377,0.352606,0.389203,72,2.8081,7.526,0.351393,0.178008,0.612962,0.086059,0.311053,0.138984,0.230171,0.096216,0.184499,72,1.581,4.237,0.152781,0.209724,0.331778,0.060638,0.083464,0.112689,0.034344,0.083101,0.032674,0.7622,0.318426,2.043,65,0.489891,0.098355,0.289731,0.072476,0.110446,0.059843,0.070965,0.143217,1,1,1
J0454-53,r10_t00,DR3,5.7,42.0,8.07,8.37,NGC1705,5.0,26.912,19.904,0.02763,4367,0.0,0.0,20.764084498607815,4.54,18.69,0.02912,0.150,72,6.8717,9.24,0.734769,0.158552,0.201098,0.354106,0.497597,0.408525,0.240354,0.465996,0.322214,72,6.5883,8.859,0.77579,0.169385,0.19774,0.363962,0.522208,0.443487,0.227204,0.482995,0.345456,72,4.9516,6.658,0.633783,0.111045,0.19025,0.260237,0.501205,0.287665,0.108061,0.321789,0.306248,72,4.1988,5.646,0.732334,0.200677,0.183371,0.338323,0.558599,0.331388,0.142384,0.307017,0.404177,71,2.7597,3.711,0.329537,0.189075,0.56521,0.073093,0.300513,0.113771,0.187843,0.108009,0.17368,70,1.5371,2.067,0.112146,0.213684,0.268507,0.104811,0.03321,0.0221,0.037459,0.079179,0.022097,,,,48,,,,,,,,,1,1,1
J0454-53,r10_t90,DR3,5.7,42.0,8.07,8.37,NGC1705,30.0,103.843,95.88,0.02763,500,0.0,0.0,5.184167552787036,2.1,17.77,0.0035,0.318,69,8.8494,3.084,0.599302,0.20293,0.213961,0.400443,0.314984,0.315585,0.253743,0.294355,0.265371,65,7.2103,2.513,0.685184,0.284989,0.0458,0.358143,0.487589,0.321664,0.283575,0.412359,0.348998,59,4.8978,1.707,0.264171,0.024875,0.439206,0.035971,0.248011,0.083564,0.033687,0.065204,0.071358,50,,,,,,,,,,,,34,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0459-26,r05_t00,DR2,9.3,57.0,9.54,9.18,NGC1744,3.0,13.861,9.997,0.04509,36558,0.0,0.0,13.863869234133878,73.8,19.29,0.08496,0.171,72,20.8472,33.358,0.157404,0.134048,0.138763,0.076138,0.099004,0.095799,0.088819,0.096733,0.101141,72,20.7216,33.157,0.15894,0.133626,0.142018,0.078436,0.098958,0.096524,0.091003,0.092798,0.102446,72,20.4027,32.647,0.167046,0.13133,0.148389,0.083438,0.106676,0.09779,0.092364,0.091615,0.100309,72,19.4816,31.173,0.181254,0.13243,0.173386,0.102018,0.11107,0.100544,0.092271,0.098794,0.107537,72,17.8006,28.483,0.198231,0.13676,0.186202,0.11346,0.112204,0.117612,0.096197,0.110115,0.106856,72,14.0523,22.485,0.069557,0.041751,0.079742,0.043277,0.03734,0.039637,0.017502,0.006352,0.010652,,,,13,,,,,,,,,1,1,1
J0459-26,r10_t00,DR2,9.3,57.0,9.54,9.18,NGC1744,5.0,26.543,19.129,0.04509,15974,0.0,0.0,11.302378207091623,73.78,18.69,0.02134,0.150,72,22.0425,18.419,0.156481,0.119155,0.09679,0.073574,0.099571,0.095703,0.088192,0.091158,0.085479,72,21.5729,18.026,0.159169,0.125998,0.110239,0.069608,0.103285,0.099105,0.088906,0.091939,0.085419,72,20.4165,17.06,0.169794,0.128919,0.153186,0.090108,0.106324,0.096984,0.088186,0.089908,0.10051,72,19.3813,16.195,0.181901,0.129158,0.177118,0.101509,0.110679,0.102636,0.093727,0.097242,0.104021,72,16.6177,13.886,0.051177,0.043317,0.073307,0.047838,0.003978,0.017742,0.022141,0.013711,0.007341,72,13.6665,11.42,0.055995,0.042214,0.090366,0.029675,0.032034,0.035052,0.017988,0.013775,0.021378,,,,3,,,,,,,,,1,1,1
J0459-26,r10_t90,DR2,9.3,57.0,9.54,9.18,NGC1744,30.0,99.526,96.161,0.04509,897,0.0,0.0,6.317842484589855,73.91,17.77,0.00257,0.318,72,26.5619,5.919,0.339247,0.242155,0.17055,0.202045,0.195885,0.18946,0.19499,0.185573,0.187031,72,23.4591,5.228,0.139568,0.118447,0.065146,0.088906,0.078543,0.073525,0.083962,0.071266,0.09503,72,20.8569,4.648,0.043134,0.039962,0.021976,0.040163,0.015071,0.00451,0.009978,0.010753,0.010989,72,18.8923,4.21,0.044957,0.052857,0.034945,0.042834,0.006318,0.012103,0.004194,0.010261,0.014224,71,15.9144,3.546,0.06216,0.041134,0.048677,0.059368,0.01036,0.01523,0.015756,0.023128,0.006957,66,10.5276,2.346,0.105958,0.048731,0.098338,0.090275,0.036217,0.042023,0.011154,0.062978,0.036268,,,,,,,,,,,,,1,1,1
J0516-37,r05_t00,DR3,15.6,81.0,9.57,9.68,ESO362-G011,3.0,13.236,10.656,0.07563,20360,0.0,0.0,10.292391356441147,0.59,19.29,0.0244,0.171,72,71.1949,71.118,0.994904,0.167467,0.25084,0.654909,0.719831,0.206812,0.382375,0.109678,0.401689,72,68.6153,68.541,1.005762,0.183215,0.230955,0.659429,0.731753,0.203093,0.361826,0.073827,0.411844,72,63.9331,63.864,1.000031,0.20509,0.178963,0.642074,0.731103,0.230846,0.391358,0.026107,0.480224,71,45.4605,45.412,1.180244,0.187481,0.162358,0.590233,0.895437,0.492739,0.276139,0.20581,0.842059,50,,,,,,,,,,,,29,,,,,,,,,,,,,,,4,,,,,,,,,0,0,0
J0516-37,r10_t00,DR3,15.6,81.0,9.57,9.68,ESO362-G011,5.0,26.449,19.249,0.07563,11566,0.0,0.0,7.507202243231765,0.62,18.69,0.00613,0.150,72,78.0009,38.994,1.030932,0.251123,0.281355,0.661089,0.762659,0.21008,0.430264,0.137088,0.364866,72,67.8355,33.912,0.991467,0.165622,0.22562,0.652851,0.715976,0.210165,0.364563,0.043113,0.434615,72,59.1798,29.585,1.049529,0.167272,0.144156,0.658573,0.755803,0.310731,0.340164,0.069016,0.531367,69,31.7692,15.882,1.11702,0.201564,0.613639,0.836041,0.53707,0.510222,0.425126,0.305703,0.28065,47,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0516-37,r10_t90,DR3,15.6,81.0,9.57,9.68,ESO362-G011,30.0,102.268,96.651,0.07563,976,0.0,0.0,2.756667858625369,179.28,17.77,0.00074,0.318,57,87.0359,11.253,0.565574,0.514766,0.147632,0.389206,0.383722,0.145431,0.259974,0.173244,0.113029,52,,,,,,,,,,,,46,,,,,,,,,,,,41,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J0546-52,r05_t00,DR2,16.4,47.0,9.22,9.00,NGC2101,3.0,14.601,10.494,0.07951,19990,0.0,0.0,29.186275757789236,117.39,19.29,0.10638,0.171,22,,,,,,,,,,,,22,,,,,,,,,,,,21,,,,,,,,,,,,20,,,,,,,,,,,,17,,,,,,,,,,,,12,,,,,,,,,,,,,,,4,,,,,,,,,0,0,0
J0546-52,r10_t00,DR2,16.4,47.0,9.22,9.00,NGC2101,5.0,27.913,19.792,0.07951,10898,0.0,0.0,18.61563377986624,117.82,18.69,0.02672,0.150,27,,,,,,,,,,,,25,,,,,,,,,,,,24,,,,,,,,,,,,19,,,,,,,,,,,,16,,,,,,,,,,,,9,,,,,,,,,,,,,,,3,,,,,,,,,0,0,0
J0546-52,r10_t90,DR2,16.4,47.0,9.22,9.00,NGC2101,30.0,101.983,96.636,0.07951,1126,0.0,0.0,6.2823803912381315,117.92,17.77,0.00321,0.318,32,,,,,,,,,,,,27,,,,,,,,,,,,21,,,,,,,,,,,,17,,,,,,,,,,,,13,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
J1103-23,r05_t00,DR2,13.9,70.0,9.54,9.94,NGC3511,3.0,14.367,10.266,0.06739,24401,0.0,0.0,12.743265113639263,59.5,19.29,0.05335,0.171,69,36.3135,37.507,0.441654,0.180101,0.168605,0.378346,0.051344,0.221981,0.153177,0.201306,0.10858,68,35.9652,37.147,0.407173,0.191795,0.160648,0.347986,0.085836,0.193204,0.102965,0.167276,0.076018,64,35.7976,36.974,0.357997,0.304865,0.022744,0.288252,0.19892,0.074185,0.079228,0.095521,0.01536,48,,,,,,,,,,,,45,,,,,,,,,,,,42,,,,,,,,,,,,,,,16,,,,,,,,,1,0,0
