4.20505998634886985e-15,2.87756165990752367e-15,2.23748040505733653e-15,1.91830017054006838e-15,1.42974395582352179e-15,1.01864850934565030e-15,1.42823056104254244e-15,1.16654036221389174e-15,9.01479423403900011e-16,4.20129126096136413e-15,2.87482843599972037e-15,2.23635714053072554e-15,1.92193429167030457e-15,1.42927796525951453e-15,1.01787487027185056e-15,1.43239994474503520e-15,1.16657445005733355e-15,9.01360816252454115e-16
2.87756165990752367e-15,2.16395483463890120e-15,1.85003182179790973e-15,1.24736986283416406e-15,9.48715521921935133e-16,6.86936714429031919e-16,8.94770137760013404e-16,7.55755868422423569e-16,5.93935782436058498e-16,2.87566504808312968e-15,2.16236998724378121e-15,1.84932475158035757e-15,1.25017996432591455e-15,9.48485300778514022e-16,6.86457857800340456e-16,8.97782343402253289e-16,7.55892524681937773e-16,5.93887826717396506e-16
2.23748040505733653e-15,1.85003182179790973e-15,1.73172623308215798e-15,8.79400550569364353e-16,6.80680604282751235e-16,5.01414817551877778e-16,6.12422216408217094e-16,5.29218188318033060e-16,4.21731734913953946e-16,2.23638283940182506e-15,1.84897127640811308e-15,1.73120235578406658e-15,8.81532584113336097e-16,6.80553727613215349e-16,5.01088905456057276e-16,6.14649138700138958e-16,5.29359711105085404e-16,4.21711105679300404e-16
1.91830017054006838e-15,1.24736986283416406e-15,8.79400550569364353e-16,2.19158541862922778e-15,1.56900763158595975e-15,1.10321405107686840e-15,1.36971889960034601e-15,1.02851955108710306e-15,7.52395915393232177e-16,1.91686393309239651e-15,1.24615632679273373e-15,8.78887488399757322e-16,2.19243414755877256e-15,1.56810665464128519e-15,1.10218896015750797e-15,1.37238912671253495e-15,1.02817117054556347e-15,7.52172916131161970e-16
1.42974395582352179e-15,9.48715521921935133e-16,6.80680604282751235e-16,1.56900763158595975e-15,1.17783803523148629e-15,8.70241838901765282e-16,9.19522298207479235e-16,7.27339520014448076e-16,5.45130951793423077e-16,1.42906912395982352e-15,9.47861529752661641e-16,6.80286154889931577e-16,1.57042950825500679e-15,1.17734756561720274e-15,8.69570285675713694e-16,9.21950238346806958e-16,7.27293906492873823e-16,5.45017144225449870e-16
1.01864850934565030e-15,6.86936714429031919e-16,5.01414817551877778e-16,1.10321405107686840e-15,8.70241838901765282e-16,6.78743487900021528e-16,5.99263715969206263e-16,4.97753788151230178e-16,3.80062213494918674e-16,1.01838581405669111e-15,6.86349845101923026e-16,5.01123921709484390e-16,1.10464301763185868e-15,8.69990552274295123e-16,6.78318970243732218e-16,6.01219795013171880e-16,4.97850568574849006e-16,3.80001929908719780e-16
1.42823056104254244e-15,8.94770137760013404e-16,6.12422216408217094e-16,1.36971889960034601e-15,9.19522298207479235e-16,5.99263715969206263e-16,1.62799260232380928e-15,1.13006202816307141e-15,8.02664923990594403e-16,1.42652740788989194e-15,8.93765992292581112e-16,6.12045193226258317e-16,1.36973381895264020e-15,9.18786964195754572e-16,5.98572756299519144e-16,1.62905844061619836e-15,1.12912849923919527e-15,8.02275993765040840e-16
1.16654036221389174e-15,7.55755868422423569e-16,5.29218188318033060e-16,1.02851955108710306e-15,7.27339520014448076e-16,4.97753788151230178e-16,1.13006202816307141e-15,8.45102710581463626e-16,6.26974662429309739e-16,1.16573993001951987e-15,7.55016096890171178e-16,5.28901582796266068e-16,1.02968623334271039e-15,7.26928181607024634e-16,4.97299355047997387e-16,1.13158307013864228e-15,8.44741628007958876e-16,6.26737176734076724e-16
9.01479423403900011e-16,5.93935782436058498e-16,4.21731734913953946e-16,7.52395915393232177e-16,5.45130951793423077e-16,3.80062213494918674e-16,8.02664923990594403e-16,6.26974662429309739e-16,4.83556623946530129e-16,9.01032393808817403e-16,5.93392232095622856e-16,4.21484378606061578e-16,7.53624727419791230e-16,5.44884749205764806e-16,3.79748857901402421e-16,8.04039653959784649e-16,6.26802503180877179e-16,4.83420642059326380e-16
4.20129126096136413e-15,2.87566504808312968e-15,2.23638283940182506e-15,1.91686393309239651e-15,1.42906912395982352e-15,1.01838581405669111e-15,1.42652740788989194e-15,1.16573993001951987e-15,9.01032393808817403e-16,4.19753455179157901e-15,2.87293606473081267e-15,2.23526068334669016e-15,1.92050760392895345e-15,1.42860505489001490e-15,1.01761340416853623e-15,1.43070140516874080e-15,1.16577706457046240e-15,9.00914355650862395e-16
