index,spectrum,map_or_field_A,field_B,zbin,band,ell_lo,ell_hi,ell_eff,Cl
52,PR4_x_LRGz1,PR4,LRGz1,1,4,178.0,243.0,210.5,1.69977212835490497e-07
53,PR4_x_LRGz1,PR4,LRGz1,1,5,243.0,317.0,280.0,1.12648508388031769e-07
54,PR4_x_LRGz1,PR4,LRGz1,1,6,317.0,401.0,359.0,8.94179455754215883e-08
55,PR4_x_LRGz1,PR4,LRGz1,1,7,401.0,495.0,448.0,5.63663039480590340e-08
56,PR4_x_LRGz1,PR4,LRGz1,1,8,495.0,600.0,547.5,6.12603100430059077e-08
57,PR4_x_LRGz1,PR4,LRGz1,1,9,600.0,713.0,656.5,4.07858920372260300e-08
58,PR4_x_LRGz1,PR4,LRGz1,1,10,713.0,837.0,775.0,4.17706258481011222e-08
59,PR4_x_LRGz1,PR4,LRGz1,1,11,837.0,971.0,904.0,2.15405493383869552e-08
60,PR4_x_LRGz2,PR4,LRGz2,2,0,20.0,44.0,32.0,8.30904666165059028e-07
61,PR4_x_LRGz2,PR4,LRGz2,2,1,44.0,79.0,61.5,7.82942297222739347e-07
62,PR4_x_LRGz2,PR4,LRGz2,2,2,79.0,124.0,101.5,4.68564582377252811e-07
63,PR4_x_LRGz2,PR4,LRGz2,2,3,124.0,178.0,151.0,3.02392767840485517e-07
64,PR4_x_LRGz2,PR4,LRGz2,2,4,178.0,243.0,210.5,1.90128957734841340e-07
65,PR4_x_LRGz2,PR4,LRGz2,2,5,243.0,317.0,280.0,1.22312719169683865e-07
66,PR4_x_LRGz2,PR4,LRGz2,2,6,317.0,401.0,359.0,8.91739677793671919e-08
67,PR4_x_LRGz2,PR4,LRGz2,2,7,401.0,495.0,448.0,5.79466922740959149e-08
68,PR4_x_LRGz2,PR4,LRGz2,2,8,495.0,600.0,547.5,4.52723731598815118e-08
69,PR4_x_LRGz2,PR4,LRGz2,2,9,600.0,713.0,656.5,3.62274657751447879e-08
70,PR4_x_LRGz2,PR4,LRGz2,2,10,713.0,837.0,775.0,3.15082772118275005e-08
71,PR4_x_LRGz2,PR4,LRGz2,2,11,837.0,971.0,904.0,3.86900551809977377e-08
72,PR4_x_LRGz3,PR4,LRGz3,3,0,20.0,44.0,32.0,9.81804013558757052e-07
73,PR4_x_LRGz3,PR4,LRGz3,3,1,44.0,79.0,61.5,6.79326339912853062e-07
74,PR4_x_LRGz3,PR4,LRGz3,3,2,79.0,124.0,101.5,4.21296541115247190e-07
75,PR4_x_LRGz3,PR4,LRGz3,3,3,124.0,178.0,151.0,3.18204665775058399e-07
76,PR4_x_LRGz3,PR4,LRGz3,3,4,178.0,243.0,210.5,2.11191431612133827e-07
77,PR4_x_LRGz3,PR4,LRGz3,3,5,243.0,317.0,280.0,1.43352234697271673e-07
78,PR4_x_LRGz3,PR4,LRGz3,3,6,317.0,401.0,359.0,1.02993732408169993e-07
79,PR4_x_LRGz3,PR4,LRGz3,3,7,401.0,495.0,448.0,5.39856422229447920e-08
80,PR4_x_LRGz3,PR4,LRGz3,3,8,495.0,600.0,547.5,5.42799838728769067e-08
81,PR4_x_LRGz3,PR4,LRGz3,3,9,600.0,713.0,656.5,5.96263375791463358e-08
82,PR4_x_LRGz3,PR4,LRGz3,3,10,713.0,837.0,775.0,2.17128344178403543e-08
83,PR4_x_LRGz3,PR4,LRGz3,3,11,837.0,971.0,904.0,3.26778976664256905e-08
84,PR4_x_LRGz4,PR4,LRGz4,4,0,20.0,44.0,32.0,8.99868506562815122e-07
85,PR4_x_LRGz4,PR4,LRGz4,4,1,44.0,79.0,61.5,6.48399465872998822e-07
86,PR4_x_LRGz4,PR4,LRGz4,4,2,79.0,124.0,101.5,4.39021814563313742e-07
87,PR4_x_LRGz4,PR4,LRGz4,4,3,124.0,178.0,151.0,3.38341040436773080e-07
88,PR4_x_LRGz4,PR4,LRGz4,4,4,178.0,243.0,210.5,1.94623991237493377e-07
89,PR4_x_LRGz4,PR4,LRGz4,4,5,243.0,317.0,280.0,1.56181478324309646e-07
90,PR4_x_LRGz4,PR4,LRGz4,4,6,317.0,401.0,359.0,8.51601150809646202e-08
91,PR4_x_LRGz4,PR4,LRGz4,4,7,401.0,495.0,448.0,7.21766851461193845e-08
92,PR4_x_LRGz4,PR4,LRGz4,4,8,495.0,600.0,547.5,5.27473147899094919e-08
93,PR4_x_LRGz4,PR4,LRGz4,4,9,600.0,713.0,656.5,5.42928694085469627e-08
94,PR4_x_LRGz4,PR4,LRGz4,4,10,713.0,837.0,775.0,3.38453140240112306e-08
95,PR4_x_LRGz4,PR4,LRGz4,4,11,837.0,971.0,904.0,2.79603656108800167e-08
96,LRGz1_x_LRGz1,LRGz1,LRGz1,1,0,20.0,44.0,32.0,7.35037780258968320e-05
97,LRGz1_x_LRGz1,LRGz1,LRGz1,1,1,44.0,79.0,61.5,4.43906517316283887e-05
98,LRGz1_x_LRGz1,LRGz1,LRGz1,1,2,79.0,124.0,101.5,2.75280433123051903e-05
99,LRGz1_x_LRGz1,LRGz1,LRGz1,1,3,124.0,178.0,151.0,1.78718813577921401e-05
100,LRGz1_x_LRGz1,LRGz1,LRGz1,1,4,178.0,243.0,210.5,1.30749516302591000e-05
101,LRGz1_x_LRGz1,LRGz1,LRGz1,1,5,243.0,317.0,280.0,1.03804125389573701e-05
102,LRGz1_x_LRGz1,LRGz1,LRGz1,1,6,317.0,401.0,359.0,8.59622464943456338e-06
103,LRGz1_x_LRGz1,LRGz1,LRGz1,1,7,401.0,495.0,448.0,7.59825524271647702e-06
104,LRGz1_x_LRGz1,LRGz1,LRGz1,1,8,495.0,600.0,547.5,6.92086003476161535e-06
105,LRGz1_x_LRGz1,LRGz1,LRGz1,1,9,600.0,713.0,656.5,6.47994398172087393e-06
106,LRGz1_x_LRGz1,LRGz1,LRGz1,1,10,713.0,837.0,775.0,6.04255606030028739e-06
107,LRGz1_x_LRGz1,LRGz1,LRGz1,1,11,837.0,971.0,904.0,5.81359392260791162e-06
108,LRGz2_x_LRGz2,LRGz2,LRGz2,2,0,20.0,44.0,32.0,4.43687217025104155e-05
109,LRGz2_x_LRGz2,LRGz2,LRGz2,2,1,44.0,79.0,61.5,3.04777240723416453e-05
110,LRGz2_x_LRGz2,LRGz2,LRGz2,2,2,79.0,124.0,101.5,2.07957351918068879e-05
111,LRGz2_x_LRGz2,LRGz2,LRGz2,2,3,124.0,178.0,151.0,1.36627854877980866e-05
112,LRGz2_x_LRGz2,LRGz2,LRGz2,2,4,178.0,243.0,210.5,9.86067307504175718e-06
113,LRGz2_x_LRGz2,LRGz2,LRGz2,2,5,243.0,317.0,280.0,7.39305329574485629e-06
114,LRGz2_x_LRGz2,LRGz2,LRGz2,2,6,317.0,401.0,359.0,5.94044731229483143e-06
115,LRGz2_x_LRGz2,LRGz2,LRGz2,2,7,401.0,495.0,448.0,5.00655799711607618e-06
116,LRGz2_x_LRGz2,LRGz2,LRGz2,2,8,495.0,600.0,547.5,4.40658362259466156e-06
117,LRGz2_x_LRGz2,LRGz2,LRGz2,2,9,600.0,713.0,656.5,4.06029721951060764e-06
118,LRGz2_x_LRGz2,LRGz2,LRGz2,2,10,713.0,837.0,775.0,3.78086876443626545e-06
119,LRGz2_x_LRGz2,LRGz2,LRGz2,2,11,837.0,971.0,904.0,3.51223958721089950e-06
120,LRGz3_x_LRGz3,LRGz3,LRGz3,3,0,20.0,44.0,32.0,3.69709200296608476e-05
121,LRGz3_x_LRGz3,LRGz3,LRGz3,3,1,44.0,79.0,61.5,2.68000938894281375e-05
122,LRGz3_x_LRGz3,LRGz3,LRGz3,3,2,79.0,124.0,101.5,1.83775827587986965e-05
123,LRGz3_x_LRGz3,LRGz3,LRGz3,3,3,124.0,178.0,151.0,1.34410688337107130e-05
124,LRGz3_x_LRGz3,LRGz3,LRGz3,3,4,178.0,243.0,210.5,9.15432567860820771e-06
125,LRGz3_x_LRGz3,LRGz3,LRGz3,3,5,243.0,317.0,280.0,7.06749296824161064e-06
126,LRGz3_x_LRGz3,LRGz3,LRGz3,3,6,317.0,401.0,359.0,5.78732996463420693e-06
127,LRGz3_x_LRGz3,LRGz3,LRGz3,3,7,401.0,495.0,448.0,4.79680259063431824e-06
128,LRGz3_x_LRGz3,LRGz3,LRGz3,3,8,495.0,600.0,547.5,4.25653558477662603e-06
129,LRGz3_x_LRGz3,LRGz3,LRGz3,3,9,600.0,713.0,656.5,3.82015089899183306e-06
130,LRGz3_x_LRGz3,LRGz3,LRGz3,3,10,713.0,837.0,775.0,3.53986116610603384e-06
131,LRGz3_x_LRGz3,LRGz3,LRGz3,3,11,837.0,971.0,904.0,3.31907962852329009e-06
132,LRGz4_x_LRGz4,LRGz4,LRGz4,4,0,20.0,44.0,32.0,2.60044133738740920e-05
133,LRGz4_x_LRGz4,LRGz4,LRGz4,4,1,44.0,79.0,61.5,2.12085994128184673e-05
134,LRGz4_x_LRGz4,LRGz4,LRGz4,4,2,79.0,124.0,101.5,1.38862437538951765e-05
135,LRGz4_x_LRGz4,LRGz4,LRGz4,4,3,124.0,178.0,151.0,1.08481246557061355e-05
136,LRGz4_x_LRGz4,LRGz4,LRGz4,4,4,178.0,243.0,210.5,7.67763094133970964e-06
137,LRGz4_x_LRGz4,LRGz4,LRGz4,4,5,243.0,317.0,280.0,6.16248738895874078e-06
138,LRGz4_x_LRGz4,LRGz4,LRGz4,4,6,317.0,401.0,359.0,4.96167705122851524e-06
139,LRGz4_x_LRGz4,LRGz4,LRGz4,4,7,401.0,495.0,448.0,4.41444859805687735e-06
140,LRGz4_x_LRGz4,LRGz4,LRGz4,4,8,495.0,600.0,547.5,3.95612908016002797e-06
141,LRGz4_x_LRGz4,LRGz4,LRGz4,4,9,600.0,713.0,656.5,3.59460957177632005e-06
142,LRGz4_x_LRGz4,LRGz4,LRGz4,4,10,713.0,837.0,775.0,3.35477189702381271e-06
143,LRGz4_x_LRGz4,LRGz4,LRGz4,4,11,837.0,971.0,904.0,3.20303045981327289e-06
