row_index,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051
0,19.48551579232081,20.444572927187963,21.163479596534884,21.52271397998817,21.55774368399068,21.44521266372425,21.42035680637518,21.70124749374044,22.386601423880094,23.418723928768458,24.55426988251456,25.49343532620425,25.94780298070995,25.756119685582732,24.905025898459158,23.49671179310721,21.751952831913,20.00360029534383,18.613503129150615,17.900303982195567,17.953384787236047,18.64683253433708,19.647455343779143,20.5529529622726,21.095355562701286,21.169919857072614,20.87576062406771,20.45295457972739,20.167520938009233,20.216374759873275,20.642310549640996,21.35410476678068,22.116054298959696,22.66271971320461,22.744869628244913,22.278712872236397,21.34350793195621,20.09770175162869,18.71741811467308,17.301049784629214,15.899622444544093,14.598361218899356,13.531408168092355,12.876601874052312,12.75175723279277,13.198315211066898,14.180620165043578,15.619421990025316,17.421972058445633,19.472845792241486,21.630118029537158,23.724268530280654
1,20.371205340699802,21.060456268886583,21.557836123904153,21.780537416441348,21.75380278430886,21.602697647462392,21.497891089228702,21.61812336075701,22.067242352972045,22.82901544384859,23.72549261676987,24.51361851666482,24.9483985897527,24.88792632864258,24.308120242266938,23.276948554988934,21.960760498841324,20.61648529999107,19.528409065900263,18.951210235220373,18.965988470973485,19.491662470081963,20.279358157426884,21.016348300725014,21.4860932988519,21.5913378905843,21.3998442685795,21.100805330880576,20.90326650486918,20.960113009402363,21.299332716953586,21.845866632957865,22.416991198879927,22.813260920834722,22.84332103111447,22.44051404038771,21.65676043303364,20.599201193355242,19.390325197739344,18.113046411649123,16.827909436749366,15.63876700583171,14.684706843613455,14.12480610567492,14.045543015506638,14.44944738763273,15.263099389174897,16.36956075130219,17.651665931162782,19.00275719258397,20.33255234736349,21.56030306661272
2,21.202724644170132,21.54454552992756,21.725217973024712,21.70748846050391,21.523916542354527,21.268961321181678,21.06472852494484,21.052589122417473,21.326566417539965,21.88754161659233,22.597457318390013,23.25339122874442,23.65078121607587,23.673108632697875,23.299236657601227,22.576517548724638,21.623953552528434,20.624965005191683,19.784264931579116,19.29097914897352,19.218035877323075,19.532369423522056,20.073300077608224,20.62088494922736,21.011399767970175,21.155574631487298,21.08999073227136,20.95313039475846,20.895902055358846,21.024296053927827,21.3447404599562,21.79081842964078,22.225939246811805,22.513804897400547,22.52489092431432,22.216811929746683,21.62382225375451,20.809729463878753,19.845035875282235,18.791065354669342,17.705390177077305,16.69817233510453,15.904208971239768,15.461977883198301,15.43017405021537,15.780225146359811,16.40965400099934,17.173834544180508,17.940316316384582,18.61850942986611,19.17171520117961,19.603532280409965
3,21.604906041929638,21.556569750903336,21.358533554763724,21.0233841944208,20.607940111896056,20.200257682051102,19.894352537945736,19.797287125254854,19.975560518239718,20.417811970921832,20.99572445752247,21.52862681994,21.84935600130723,21.873188494398704,21.596242890124756,21.060078436873965,20.34704533251292,19.576284431069382,18.87949563426625,18.38705202337914,18.167472313132464,18.23625172494644,18.51721629646545,18.877088431355673,19.19993483371593,19.402489706583708,19.491799155119168,19.55939488507778,19.702055040973477,19.98062322149832,20.37508686262467,20.818383269813438,21.207024763405826,21.457184195366125,21.498483819002956,21.31830746175359,20.9462312646763,20.41674308668422,19.757347263088093,19.00491564735671,18.2026512616997,17.45351018055257,16.877395502143912,16.58925154398605,16.622907247030966,16.92759632993797,17.384218070744282,17.836578814697233,18.152131052781087,18.26540347731745,18.190058863192377,17.9990996278285
4,21.1755473173304,20.736778329505142,20.14569412544637,19.464279425559113,18.785235685704833,18.210073363086764,17.822259326824536,17.69599641308824,17.853399580471233,18.24408857936126,18.72386018690969,19.121900562358235,19.307991600394615,19.23565164587123,18.929246973803345,18.435565194199,17.810683431357575,17.122242587825525,16.442300702120804,15.856568825254158,15.436059324837032,15.242666611308493,15.274088125361743,15.469528002607177,15.750621586442264,16.036098090415578,16.30587009860912,16.610429598640195,17.00012883902278,17.496552621002223,18.05249626264893,18.59293380163072,19.033427195792,19.3283053485888,19.457843001711893,19.44086324349564,19.313170070863862,19.094058199539262,18.780648980958205,18.386649730867987,17.935009094080613,17.511841800172107,17.2134299251571,17.12711108806181,17.26216575519959,17.55256632052894,17.876176472153972,18.084665822655893,18.064240588324793,17.783572062253683,17.298401217635217,16.727737965741724
5,19.66030119501187,18.852164096250675,17.88611187975522,16.87067506459144,15.938603060991397,15.215199587302038,14.78245489991889,14.679730740757918,14.871276475609505,15.249013970408953,15.63761198953,15.872389884719581,15.86287637951969,15.606291291632886,15.160267331408392,14.580954055035448,13.904823201364763,13.160576180853582,12.377829392429703,11.61613809063661,10.957529308391031,10.505418264600848,10.315452463504215,10.380155890706106,10.646029170817343,11.029630399160254,11.487243680838958,12.035718005063359,12.68897311065379,13.438070245979532,14.21215665551739,14.924727188240126,15.499355806880914,15.914775906309245,16.1899919245962,16.3719822558688,16.506993437223514,16.607650384987807,16.652356363914663,16.636885344032464,16.566858464922063,16.510209559042096,16.53627887979829,16.700961359698283,16.986303004991726,17.31383032089417,17.56975695419888,17.631744975551157,17.42303785888555,16.95312803193508,16.307781512875394,15.624321129706289
6,17.00721928368722,15.869259016312014,14.576246984534862,13.278176036427766,12.143829520334151,11.321893874417128,10.892596224404969,10.856451291421934,11.112525650958275,11.487651192307112,11.772384749392586,11.812146198352877,11.560396596447731,11.061000237847566,10.403730391637396,9.652145999030438,8.8261064839688,7.9260984276717465,6.957075667731175,5.970968152292784,5.0675194068322185,4.383049946800924,4.011255201435262,3.9768652757460075,4.239134443155592,4.710618699926215,5.329817760564595,6.088957267151784,6.976274729790902,7.961897034786574,8.957917097459102,9.86724390464039,10.616361244034891,11.198803378883724,11.65984241730348,12.066727862273922,12.472166679447554,12.882793009837087,13.266418319289613,13.60948746679506,13.911730849301364,14.23026965871341,14.609928436717524,15.072156394142496,15.566419096979274,15.999427287221692,16.27164735992875,16.29894817532565,16.055341652007712,15.594717472330728,15.020671427999645,14.463185295130117
7,13.43418942708027,12.01907847807044,10.470447578034168,8.973016528915196,7.72054860656749,6.87490894231189,6.506062844778512,6.571172304688872,6.903965332322855,7.270346176716771,7.434463027054079,7.260230626277632,6.748266791766184,5.988549741614946,5.09766663996524,4.141640544829869,3.124403343802726,2.0258802598929435,0.8406184463550233,-0.3737568412832104,-1.4981188038916002,-2.375303796905172,-2.893965037609263,-3.0155780843556386,-2.775804023329215,-2.262922272952636,-1.5470691762321849,-0.6506173598704379,0.3982346421414604,1.5561121669605882,2.724345794003085,3.7987848317953024,4.709434843048712,5.4603930491974495,6.113086734384979,6.745005679229735,7.4057716941437945,8.090962626782698,8.762302324543725,9.406895058276433,10.034280436746116,10.703097526116665,11.440037240989426,12.2312743332877,12.988662947277703,13.599204062771122,13.97776319596744,14.082284200475641,13.94305957240536,13.656979531063001,13.334635789721176,13.079433158036721
8,9.3984550736227,7.781691920146244,6.074300888550567,4.486081941750882,3.2201112744586737,2.4357560370366116,2.1812043670035166,2.368972126483982,2.7755111175479215,3.1199712456262034,3.1547297489356367,2.7704963351294793,2.01419354580122,1.0163651234312567,-0.08754902744178139,-1.2338744808345155,-2.433009762487586,-3.719158696074288,-5.098281456028076,-6.501182838564802,-7.7941163204136785,-8.8140985631197,-9.450899665661069,-9.66579327937771,-9.491603091392676,-9.009484967288756,-8.286620538360609,-7.350622523396623,-6.2404225203900126,-5.009538993724362,-3.7632599254698107,-2.6076690675671728,-1.6037863491856967,-0.7360291181453817,0.06713259503459312,0.8838738702677063,1.7501445011330077,2.643724701512042,3.5228387640039784,4.3845671618804545,5.262730667339241,6.229395482064433,7.300501095054443,8.428845874892716,9.486573430494047,10.336455623872297,10.90265912736595,11.179448204875655,11.24797764942349,11.240231913238858,11.265429007502036,11.391606765156382
9,5.5448137799634765,3.81838137690778,2.0634411119089577,0.5025215437174495,-0.6699489746168581,-1.3155175622867716,-1.4191546451777128,-1.109487288204548,-0.6511122904493618,-0.3490620547378569,-0.4435292962005519,-1.0105099683107142,-1.9624212460481374,-3.1392251816786256,-4.397091232252592,-5.679004074437472,-7.006539077858889,-8.421865959286862,-9.925906000179737,-11.439377012908722,-12.82425561555496,-13.928003668418853,-14.656870091587024,-14.979967069944621,-14.924903970360788,-14.554835681930854,-13.921648233383536,-13.050839665198964,-11.990082720904695,-10.803139407766025,-9.599625572156214,-8.481717034038667,-7.494075462233894,-6.606552018577702,-5.74037145933147,-4.823848797249582,-3.841611206230823,-2.837350480558996,-1.8535535233299925,-0.8761515904022588,0.16162399756640866,1.3522738796568206,2.706714445354976,4.148849568609933,5.513427654642641,6.637803697506513,7.447910404044137,7.9614163963543945,8.29455236635647,8.599329423741494,8.976413457085414,9.459765476364453
