sample_index,value_arb
0,2.365089726663672
1,1.5210650885254409
2,0.7373487652034627
3,-0.2618741098687785
4,-0.5674481397771286
5,-1.7688331479184551
6,-1.8311735866180667
7,-1.5381330071935866
8,-1.0701502580471
9,-1.1852884367726622
10,-0.24593334811562675
11,-0.03837573022584899
12,0.33975373862055125
13,1.039132952081014
14,1.137455592069077
15,1.3699821052508756
16,1.7936334024681202
17,1.6700665638264334
18,0.5229649936377186
19,0.2984719420393182
20,-0.5585909039846351
21,-0.7309000906469153
22,-1.2714795375419035
23,-1.6758217935076198
24,-2.1226004413551025
25,-1.666066636181419
26,-0.49823885097435006
27,-0.14189002238356643
28,0.6071173642390869
29,0.759999914325608
30,2.0607464100767316
31,0.8238248216640902
32,1.5259734365901099
33,1.095987152970163
34,0.5377351913439504
35,0.3388670254625631
36,-0.4019429061464158
37,-0.3281158697141308
