experiment_index,phi_Rb87_rad,phi_Rb85_rad,dphi_rad
0,-3.065772783225274,2.3273579037086343,-0.8900546202456745
1,-1.5182525115167742,-1.7284524618125054,-0.2101999502957277
2,2.7529228570708675,1.968260920146566,-0.7846619369243051
3,2.767306297056937,1.8423211246107023,-0.9249851724462381
4,-0.16545134309445686,-0.8507554377698163,-0.6853040946753559
5,-0.9386836933273308,-1.6400214128422412,-0.7013377195149069
6,2.3565635174861477,2.392379987397792,0.03581646991164078
7,-2.678134129619199,2.987381828869001,-0.6176693486913756
8,1.7089356260594677,1.8086223709615261,0.09968674490206197
9,-2.395075944969438,-2.003395980264674,0.3916799647047675
10,-2.17123194537297,-2.5458144531589433,-0.3745825077859699
11,1.224168091688174,-0.8006466591748271,-2.0248147508629977
12,1.0865797870005913,0.05855205548018105,-1.0280277315204067
13,0.3558353428556167,-0.47615675036820093,-0.8319920932238141
14,0.48342759514469336,0.8034584694307689,0.3200308742860791
15,-0.8298096793884717,-0.704095216708648,0.12571446267982722
16,-0.10431073681544589,-0.5462932946809325,-0.441982557865483
17,1.2966974880932263,0.8178288895099861,-0.4788685985832437
18,2.6686840620567516,1.5439753822874955,-1.1247086797692525
19,-2.7632819023227135,-2.4224950514844785,0.34078685083823146
20,2.2856036472915555,2.133304190660464,-0.1522994566310949
21,0.2523191021227724,-0.9326898760786939,-1.1850089782014628
22,-1.2958522008119608,-1.347437370458703,-0.05158516964673865
23,-2.9741723891329848,1.844593687079925,-1.4644192309666657
24,0.4428960921161753,-0.31747947864129955,-0.7603755707574713
25,2.6720613323620235,2.3329625521537274,-0.33909878020829964
26,2.1075048709840054,1.037483661158948,-1.0700212098250539
27,-3.0376408945977182,2.428331987052541,-0.8172124255293163
28,-0.10972382157960325,-1.7847384508769828,-1.675014629297376
29,1.7974745823028577,1.8384885794494927,0.04101399714663856
30,-2.0357121115681913,2.603287070976709,-1.6441861246346825
31,1.444590796388784,1.0645503626991832,-0.3800404336895973
32,-1.9978468421328408,-2.027214275770792,-0.029367433637954576
33,1.2028949484555405,1.5776713008283103,0.3747763523727663
34,0.6689752215586005,0.0192581648100294,-0.6497170567485675
35,-0.6749177148886183,-1.797485735201814,-1.1225680203131922
36,-1.330647728666758,-2.148623372644007,-0.8179756439772454
37,-2.2929301049455155,-3.130316683671193,-0.8373865787256811
38,-1.3722896938821485,-2.157935334344753,-0.7856456404626009
