sample_index,phi_accel_rad
0,5.214729628916703
1,10.733517096345
2,3.844349838644394
3,-9.545952804275414
4,7.918573678625587
5,-11.144852325389266
6,-12.450029308409443
7,12.199682756623798
8,12.204872485364534
9,-2.933865823970973
10,8.953891982738531
11,3.9222329897230166
12,-4.445153261881764
13,-0.7740438331737125
14,-5.814422517221451
15,10.824734015163997
16,17.007063255903574
17,-9.178771753309581
18,-1.4971727294998871
19,2.827803685134956
20,-9.728448190808573
21,1.7054133754124148
22,5.019275792266808
23,4.476431546279172
24,5.003209177611987
25,-9.851420895714522
26,-7.630413689221003
27,2.586010216641203
28,-9.023050329156707
29,7.9456450342594325
30,5.325185546227131
31,-2.5611492150780033
32,0.3888000769465203
33,13.768061948235509
34,-28.091924566349892
35,-3.0462062901413427
36,8.288873449044333
37,11.307565969199521
38,0.30771529989764124
39,-14.191367026283574
40,-5.867617562952
41,4.790540171561725
42,-6.708105367235612
43,4.065070255568843
44,-0.7428733143198518
45,2.3143016718108074
46,5.182142269575457
47,-6.963876072851796
48,-15.080530275916106
49,-4.603199897852856
50,-1.631152179375375
51,9.686977229343505
52,9.62405571001032
53,-3.474362439299662
54,-4.179286299797979
55,-9.721194989422779
56,-10.1179955880458
57,1.0295807283289382
58,6.926794029587211
59,7.915902171055109
60,9.549993139788123
61,-11.951387399364025
62,-11.360249066159316
63,3.7889669387890463
64,2.1091037475736205
65,4.61048944878729
66,13.269396316301188
67,-4.443170895669948
68,-0.25852769582717633
69,-7.925928241927921
70,-6.738365017921399
71,0.7304425779676054
72,10.180290644536223
73,1.689572158742912
74,6.699568758031256
75,-5.973361740711152
76,-6.349360823041424
77,3.755185455144846
78,-7.250368483522376
79,2.036750418020348
80,-1.2440399580148171
81,-1.1716363997851245
82,1.8406355380628385
83,-7.349143657897961
84,-8.206878556797985
85,1.7688020013242927
86,4.737179293472979
87,3.039920239596814
88,2.087817021611535
89,0.9109081759305125
90,-11.253627325355353
91,-1.2986867452051416
92,-5.832411095758579
93,8.603962644505314
94,5.2942339907300955
95,3.549143570471752
96,-3.8193212862585604
97,-2.739104096585584
98,-14.359696147348878
99,3.379886631298703
100,4.734170484415794
101,-0.6106965735088015
102,6.136285483309749
103,-2.817649940781253
104,-5.856429138395836
105,2.568123664720998
106,-10.619131135299709
107,3.7036416901880536
108,12.719180853380276
109,0.5679649380673265
110,-7.3350601037978445
111,0.1003224402148002
112,-4.5127194993860265
113,-6.967337705629534
114,4.526898520451571
115,-5.654123722648826
116,7.158934717572541
117,3.4751270464907997
118,-0.5184358037299901
119,-6.976975066918917
120,3.8223418967988683
121,-5.157581679351842
122,8.485196740497987
123,0.9425946745292496
124,-7.511144965054122
125,-0.5515721330620403
126,-5.010789706403016
127,-10.41373162972704
128,5.005836279790445
129,-0.45206279364603286
130,11.56371239868005
131,6.364339600940042
132,-7.6933219732873415
133,-10.859369764370038
134,1.3443354612329048
135,2.809449846617239
