sample_index,value_arb
0,1.5177362891113475
1,2.067677517341177
2,-0.2406158027902927
3,0.1702835100876704
4,-0.0418887028560191
5,-0.10801337229415803
6,-0.5007061367110202
7,-0.8269352939109756
8,-1.891190805020411
9,-1.5291138210424717
10,-1.1411329201871951
11,-1.2300649684481453
12,-0.3013634276954913
13,-0.32024936234305457
14,-0.7252166523264046
15,-0.19931338968867976
16,0.4015160587474295
17,0.6394657452392296
18,0.9117270746085627
19,0.9464750272317138
20,2.118952145148546
21,1.7681399423694721
22,1.096218177843583
23,1.4074438395226818
24,0.38104760556749917
25,-0.4267083889407616
26,0.6774511849909692
27,-0.5280026840267311
28,-0.2354788113261164
29,-1.5530598188121385
30,-1.3428015168706298
31,-1.2487386086331853
32,-1.7620256108823205
33,-1.47151412415866
34,-1.1445403131882141
35,0.046362415597865976
36,-0.30223697321629345
37,-0.569145906811456
38,1.2798075704983192
39,1.2587029911672993
40,0.7985013813061244
41,1.776340559008873
42,0.8910157662537297
