sample_index,a_z_m_per_s2
0,-0.0001331028647369554
1,-0.0004085446501969749
2,0.0003425045642309563
3,0.00008683877854684873
4,0.0004128199927507127
5,-0.00015132379315744074
6,0.0005149934208223984
7,0.00020539363469024058
8,0.000023404848446096347
9,-0.0003367129379100235
10,0.00036439927562189115
11,0.00015209348904185092
12,0.0001931917023498663
13,0.0005313999155459478
14,-0.00003845987136989423
15,0.00036618934160235095
16,0.0004336525544626934
17,0.00030709476721114406
18,0.0003512199798477131
19,0.00007124419237241112
20,0.0003630104047852485
21,0.00013614361708623598
22,-0.00003887617072461638
23,0.000026230041352702212
24,0.00035125125331820204
25,0.0003754434651718939
26,-0.00019576832308621222
27,0.0004275458885438947
28,0.00023159910006222454
29,0.0004399173114687883
30,0.0002214035227635962
31,0.00017703273394665858
32,-0.0002504200549820138
33,-0.0005347394440224106
34,-0.00017934563317452136
35,0.0000662355775616644
36,-0.0005144787118138429
37,-0.0002637940013010327
38,0.00002200920910010542
39,-0.0005296496806104182
40,-0.00027245537043259276
41,0.0002892088396335916
42,0.00024559704958814605
43,0.0002185672594310807
44,0.00007754946916240597
45,-0.00007791732121786746
46,-0.00012908911170972923
47,-0.0003243319023131691
48,-0.00045400469302817644
49,-0.00019725648385474055
50,-0.00025039327479285146
51,-0.00019358406584249824
52,-0.0006526827570036707
53,0.00018463935172364154
54,-0.0005656508896605506
55,-0.0001372382311562374
56,-0.00009663202276340773
57,0.00004406218551794843
58,0.00007394839368784166
59,0.00038601660174628256
60,-0.0004194481903067184
61,-0.0002288179824711509
62,-0.00022881277474700467
63,-0.0004552885671342689
64,-0.00025996835963293337
65,-0.0002673671522429876
66,-0.000015241944964421096
67,-0.0002540127377972234
68,0.00010549046925861587
69,-0.0005145525237968927
70,0.000025011883036261213
71,-0.00003812991024191204
72,0.0005761282963685983
73,0.00025528350286780244
74,0.00027380270925571066
75,0.00008283691553233384
76,0.00035495012169768213
77,-0.00005565267224823386
78,0.00046535353369459617
79,0.0000568167395261827
80,0.000042048945246536034
81,0.000450272150855667
82,0.00021760935635358565
83,0.00035996656174030247
84,0.00029201176701582825
85,0.000014269972180172975
86,0.00009216217723334737
87,-0.0000920146178246382
88,-0.0004606754129937734
89,0.0001221937917259523
90,0.0002786539963345493
91,-0.000383888799167972
92,-0.00004702059478160108
93,-0.000058126390506327394
94,0.00008392981365785924
95,-0.00003951198228903071
96,0.00024948522165301346
97,0.00008528542548400181
98,0.00027344762920394504
99,-0.0003572821671871466
100,-0.00015695896368926262
101,0.0004089702396976074
102,0.000644054442973474
103,-0.00030054635386165244
104,0.00034967984919223843
105,-0.00016136594786484305
106,0.00023023025496711372
107,0.0003513484576881191
108,-0.0003189333397018165
109,-0.00016134513720268272
110,0.00015506606518553116
111,0.00019201026746283535
112,9.039469629240084e-6
113,0.000199100671684756
114,-0.00004024012637060645
115,0.00007564107546316305
116,-0.000045857722813924875
117,-0.00015531852120186025
118,-0.0005352461197006323
119,0.00005845488168976947
120,-0.0007161459170306447
121,-0.0008649587158618645
122,0.00010394048519612054
123,-0.000022281313856679008
124,0.00005638088697974722
125,0.00040376808770540944
126,-0.0003927077116796815
127,-0.00008433651117551572
128,0.00001834568921791767
129,-0.0006138800104993714
130,-0.00001925291032737217
131,0.00023330828973392576
132,7.122489684532754e-6
133,-0.00014307431047554093
134,-0.0001543481107462846
135,0.0003589860888723118
136,0.00004953128838025892
137,-0.0003571735122224329
138,0.00015111368706424678
139,0.0002506798862403083
140,-0.000418607914694238
141,-0.0005658681657393815
142,-0.00009002051689511206
143,0.00007967268183858107
144,-0.00016197811953829204
145,-0.0005729609210257207
146,0.000148207277376305
147,0.0002635744756677962
148,0.0002635796738487626
149,-0.000571432218080785
150,0.000049526069879163694
151,0.0007704252677286189
152,0.00036810846546759147
153,0.00022872066309609146
154,-0.00038227713938587083
155,0.0006234710580217153
156,0.0005314972553188598
157,0.00025337545250557383
158,0.0005209546495818668
159,0.00065157584654775
160,0.0005563300434032333
161,0.0005684282401483273
162,0.0002513244367830423
163,0.0004907866333073886
164,0.00046954182972137686
165,0.0002670070260250171
166,-0.00006049377778167989
167,0.00036542841830129605
168,-0.00015665038572604473
169,0.0006713818101363083
170,0.00009580400588836543
171,-0.0003199127984698631
172,0.00010406639706163345
173,-0.0005218952075171346
174,-0.0003368812122061573
175,0.00014659298299457633
176,-3.7378219149238924e-6
