phi1 phi1err phi2 phi2err phiave phiaveerr
-0.53644	0.02962	1.09651	0.02173	0.28004	0.01837
-0.38243	0.02376	0.94377	0.02045	0.28067	0.01567
-0.22178	0.02076	0.78832	0.01936	0.28327	0.01419
-0.06228	0.01763	0.62678	0.02061	0.28225	0.01356
0.07176	0.01556	0.46023	0.0168	0.26599	0.01145
0.25106	0.01758	0.30308	0.01688	0.27707	0.01219
0.39059	0.01687	0.15265	0.01467	0.27162	0.01118
0.51668	0.01587	-8.09105E-4	0.01448	0.25794	0.01074
0.67865	0.02028	-0.17685	0.01466	0.2509	0.01251
0.82807	0.01858	-0.36603	0.01893	0.23102	0.01326
1.00465	0.02255	-0.53182	0.01822	0.23642	0.0145
