# Radius(Mpc)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk2  w2k2
3.5390e-02    3.2909e+01    5.0534e+00    9.5931e+00    9.8531e-01    7.8021e-02    1.0398e-02    9.9504e-03
4.8108e-02    2.7961e+01    6.4378e+00    6.9960e+00    9.8531e-01    7.8021e-02    1.9399e-02    1.8418e-02
6.5396e-02    2.3109e+01    -2.0626e+00    5.1557e+00    9.8531e-01    7.8021e-02    3.5809e-02    3.4085e-02
8.8897e-02    1.9248e+01    3.1536e+00    3.8080e+00    9.8531e-01    7.8021e-02    6.5671e-02    6.2537e-02
1.2084e-01    1.4213e+01    -5.9131e-01    2.8257e+00    9.8531e-01    7.8021e-02    1.1929e-01    1.1363e-01
1.6427e-01    1.0242e+01    9.9117e-01    2.0949e+00    9.8531e-01    7.8021e-02    2.1734e-01    2.0730e-01
2.2330e-01    1.1123e+01    1.2310e-01    1.5542e+00    9.8531e-01    7.8021e-02    3.9494e-01    3.7677e-01
3.0354e-01    7.5724e+00    -3.1084e-01    1.1539e+00    9.8531e-01    7.8021e-02    7.1754e-01    6.8558e-01
4.1262e-01    6.4690e+00    -5.9433e-01    8.5791e-01    9.8531e-01    7.8021e-02    1.3007e+00    1.2451e+00
5.6090e-01    3.4523e+00    4.4296e-01    6.3864e-01    9.8531e-01    7.8021e-02    2.3567e+00    2.2653e+00
7.6246e-01    2.8055e+00    -1.9336e-01    4.7702e-01    9.8531e-01    7.8021e-02    4.2518e+00    4.1136e+00
1.0365e+00    2.6197e+00    6.5529e-01    3.5735e-01    9.8531e-01    7.8021e-02    7.6587e+00    7.4900e+00
1.4089e+00    1.0933e+00    7.0204e-02    2.6780e-01    9.8531e-01    7.8021e-02    1.3807e+01    1.3672e+01
1.9152e+00    6.3438e-01    -1.7871e-01    2.0042e-01    9.8531e-01    7.8021e-02    2.4993e+01    2.5092e+01
2.6035e+00    2.5276e-01    -2.1203e-01    1.4881e-01    9.8531e-01    7.8021e-02    4.5466e+01    4.5778e+01
