# Radius(Mpc)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk2  w2k2
3.5390e-02    3.2981e+01    9.0857e+00    1.0250e+01    9.8531e-01    7.8021e-02    9.1030e-03    8.7059e-03
4.8108e-02    4.0337e+01    3.0445e+00    7.4476e+00    9.8531e-01    7.8021e-02    1.7131e-02    1.6278e-02
6.5396e-02    3.2164e+01    2.8172e+00    5.4698e+00    9.8531e-01    7.8021e-02    3.1776e-02    3.0210e-02
8.8897e-02    2.1438e+01    1.0726e+00    4.0725e+00    9.8531e-01    7.8021e-02    5.7268e-02    5.4393e-02
1.2084e-01    1.7966e+01    -1.9304e+00    3.0165e+00    9.8531e-01    7.8021e-02    1.0448e-01    9.9331e-02
1.6427e-01    1.5408e+01    -3.5292e+00    2.2321e+00    9.8531e-01    7.8021e-02    1.9085e-01    1.8148e-01
2.2330e-01    7.3392e+00    4.9351e-01    1.6597e+00    9.8531e-01    7.8021e-02    3.4537e-01    3.2855e-01
3.0354e-01    9.8134e+00    1.1535e+00    1.2315e+00    9.8531e-01    7.8021e-02    6.2736e-01    5.9689e-01
4.1262e-01    5.6006e+00    1.3480e-01    9.1623e-01    9.8531e-01    7.8021e-02    1.1356e+00    1.0826e+00
5.6090e-01    5.2406e+00    2.0801e-01    6.8168e-01    9.8531e-01    7.8021e-02    2.0596e+00    1.9713e+00
7.6246e-01    3.4574e+00    5.2198e-01    5.0899e-01    9.8531e-01    7.8021e-02    3.7136e+00    3.5729e+00
1.0365e+00    2.8836e+00    1.3497e-01    3.8005e-01    9.8531e-01    7.8021e-02    6.6970e+00    6.4782e+00
1.4089e+00    1.6764e+00    -3.0029e-01    2.8491e-01    9.8531e-01    7.8021e-02    1.2064e+01    1.1815e+01
1.9152e+00    1.5588e+00    -2.4692e-01    2.1303e-01    9.8531e-01    7.8021e-02    2.1829e+01    2.1624e+01
2.6035e+00    5.8570e-01    -3.2554e-02    1.5866e-01    9.8531e-01    7.8021e-02    3.9753e+01    3.9781e+01
