# Radius(Mpc)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk2  w2k2
3.5390e-02    4.5406e+01    -1.9296e+01    1.0372e+01    9.8531e-01    7.8021e-02    8.8795e-03    8.4827e-03
4.8108e-02    4.4133e+01    -1.7890e+00    7.4527e+00    9.8531e-01    7.8021e-02    1.7131e-02    1.6300e-02
6.5396e-02    3.9561e+01    4.9018e-01    5.4641e+00    9.8531e-01    7.8021e-02    3.1805e-02    3.0201e-02
8.8897e-02    3.7511e+01    1.0010e+00    4.0599e+00    9.8531e-01    7.8021e-02    5.7695e-02    5.4865e-02
1.2084e-01    1.8874e+01    -1.0855e+00    3.0238e+00    9.8531e-01    7.8021e-02    1.0393e-01    9.8752e-02
1.6427e-01    1.7572e+01    4.8127e+00    2.2457e+00    9.8531e-01    7.8021e-02    1.8827e-01    1.7875e-01
2.2330e-01    1.7226e+01    5.9849e-02    1.6661e+00    9.8531e-01    7.8021e-02    3.4276e-01    3.2613e-01
3.0354e-01    9.0323e+00    -1.9766e+00    1.2383e+00    9.8531e-01    7.8021e-02    6.2128e-01    5.9184e-01
4.1262e-01    7.7125e+00    1.8047e-01    9.2162e-01    9.8531e-01    7.8021e-02    1.1248e+00    1.0747e+00
5.6090e-01    6.0342e+00    -7.1267e-01    6.8587e-01    9.8531e-01    7.8021e-02    2.0405e+00    1.9586e+00
7.6246e-01    3.8981e+00    -7.8549e-02    5.1189e-01    9.8531e-01    7.8021e-02    3.6815e+00    3.5514e+00
1.0365e+00    3.1043e+00    -7.2985e-02    3.8296e-01    9.8531e-01    7.8021e-02    6.6307e+00    6.4478e+00
1.4089e+00    2.3724e+00    -1.4409e-01    2.8684e-01    9.8531e-01    7.8021e-02    1.1938e+01    1.1725e+01
1.9152e+00    1.1836e+00    -1.5543e-01    2.1481e-01    9.8531e-01    7.8021e-02    2.1569e+01    2.1467e+01
2.6035e+00    7.6539e-01    -4.2373e-01    1.6007e-01    9.8531e-01    7.8021e-02    3.9210e+01    3.9392e+01
