# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](Mpc/h70)    Radius[j](Mpc/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 4.810809282451224134e-02 2.281826216556993511e-02 1.153246814988011671e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 6.539604343397804886e-02 1.457249872632452181e+01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 8.889652958014769568e-02 2.005712432915536525e-02 1.859315984232705376e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 1.208420656116956649e-01 6.895995916236961551e-03 8.641491708080267222e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 1.642674341762205836e-01 3.214781538577466367e-03 5.428970977896193685e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 2.232979864606629561e-01 -9.915010689514134733e-04 -2.258677693136147766e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 3.035415449656087006e-01 -5.188618494462100047e-04 -1.593209375236713120e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 4.126211390461415052e-01 -1.725225361211841894e-04 -7.126963004036552607e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 5.608991823739490901e-01 7.749730113427174096e-05 4.295715109763678505e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 7.624618881985674168e-01 -1.884604174836590541e-05 -1.394640118043024916e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 1.036457440524030327e+00 1.231438189143798398e-04 1.215025290788149015e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 1.408915045649939968e+00 1.941014137627529727e-04 2.539434333753507063e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 1.915217671509155561e+00 -8.021803834054145883e-05 -1.403371255730875811e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 6.539604343397804886e-02 2.603463381689461009e+00 -2.499489443533208562e-05 -5.866684934617719474e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 3.539034586317788000e-02 4.878211959505180523e-03 2.443444573706861009e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 4.810809282451224134e-02 1.362312819253246043e-02 9.301116924252689905e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 6.539604343397804886e-02 2.005712432915536525e-02 1.859315984232705376e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 8.889652958014769568e-02 7.985404155019216077e+00 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 1.208420656116956649e-01 1.476976103862230258e-02 2.500251825903519395e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 1.642674341762205836e-01 6.205239002950970612e-03 1.415608397527805219e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 2.232979864606629561e-01 -1.047016826648709559e-03 -3.222057597512431961e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 3.035415449656087006e-01 8.744402765513778096e-04 3.627186022761232261e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 4.126211390461415052e-01 -2.765552240261482699e-04 -1.543331070328871253e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 5.608991823739490901e-01 1.252068903739111223e-04 9.375526915700905801e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 7.624618881985674168e-01 1.617025208970946141e-05 1.616506137467933090e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 1.036457440524030327e+00 -1.484364634813579206e-04 -1.978480896063273295e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 1.408915045649939968e+00 -1.010329856875175465e-04 -1.785624096599627744e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 1.915217671509155561e+00 -9.335483907728297039e-05 -2.206256165550157106e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 8.889652958014769568e-02 2.603463381689461009e+00 9.751053602632248334e-05 3.091801223227213873e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 3.539034586317788000e-02 3.568092523316700876e-03 2.415934293696957386e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 4.810809282451224134e-02 9.075183698674245750e-03 8.375695324253777966e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 6.539604343397804886e-02 6.895995916236961551e-03 8.641491708080267222e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 8.889652958014769568e-02 1.476976103862230258e-02 2.500251825903519395e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 1.208420656116956649e-01 4.370010999561204201e+00 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 1.642674341762205836e-01 1.072463761727149995e-02 3.307306380569129470e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 2.232979864606629561e-01 3.130959518933219745e-03 1.302459646067610603e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 3.035415449656087006e-01 1.266348935429005779e-03 7.100685075932321004e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 4.126211390461415052e-01 -3.154256336442594816e-05 -2.379476405495006928e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 5.608991823739490901e-01 1.147653565815920428e-04 1.161677161963856455e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 7.624618881985674168e-01 1.605533808495581544e-04 2.169637647739829686e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 1.036457440524030327e+00 -1.898607328331662427e-05 -3.420846610067196288e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 1.408915045649939968e+00 2.779095097561265905e-05 6.639531634737356645e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 1.915217671509155561e+00 4.219271629679286086e-05 1.347918930937483059e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.208420656116956649e-01 2.603463381689461009e+00 -1.875593597721751025e-05 -8.039072551539283400e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 3.539034586317788000e-02 3.641672594942397742e-03 3.322953327888856167e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 4.810809282451224134e-02 -2.723154769386337826e-03 -3.386975878547229075e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 6.539604343397804886e-02 3.214781538577466367e-03 5.428970977896193685e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 8.889652958014769568e-02 6.205239002950970612e-03 1.415608397527805219e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 1.208420656116956649e-01 1.072463761727149995e-02 3.307306380569129470e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 1.642674341762205836e-01 2.406211872070891822e+00 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 2.232979864606629561e-01 6.664180364927864419e-03 3.736008873455075926e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 3.035415449656087006e-01 2.384444654684050348e-03 1.801807709786474926e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 4.126211390461415052e-01 1.405406086292475384e-04 1.428764269997429156e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 5.608991823739490901e-01 1.061034357470541048e-04 1.447366180297697676e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 7.624618881985674168e-01 1.164663691890414996e-04 2.121009540976596345e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 1.036457440524030327e+00 1.394299591757287209e-04 3.385547260931492811e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 1.408915045649939968e+00 1.237737783647013692e-04 3.985079753761991178e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 1.915217671509155561e+00 6.710974201715393550e-06 2.889257099764620638e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.642674341762205836e-01 2.603463381689461009e+00 4.822970796008158549e-05 2.785840008378588769e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 3.539034586317788000e-02 5.028597893215473909e-04 6.189638344695331217e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 4.810809282451224134e-02 -1.089254798566315074e-03 -1.827529020682695565e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 6.539604343397804886e-02 -9.915010689514134733e-04 -2.258677693136147766e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 8.889652958014769568e-02 -1.047016826648709559e-03 -3.222057597512431961e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 1.208420656116956649e-01 3.130959518933219745e-03 1.302459646067610603e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 1.642674341762205836e-01 6.664180364927864419e-03 3.736008873455075926e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 2.232979864606629561e-01 1.322342090828000361e+00 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 3.035415449656087006e-01 4.322848604100381492e-03 4.406423572515942230e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 4.126211390461415052e-01 1.672575094021373733e-03 2.293714701400665062e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 5.608991823739490901e-01 6.522835395810503345e-04 1.200274043288639472e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 7.624618881985674168e-01 4.697026581250587462e-04 1.153878616179353960e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 1.036457440524030327e+00 1.635669830469931724e-04 5.357515614662013322e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 1.408915045649939968e+00 1.439668144767350085e-04 6.252673992881404089e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 1.915217671509155561e+00 7.474861227571795625e-05 4.341089859955886681e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 2.232979864606629561e-01 2.603463381689461009e+00 6.221733217482485487e-05 4.847836291933530417e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 3.539034586317788000e-02 -1.012827986230372594e-04 -1.680405508045537113e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 4.810809282451224134e-02 2.031467191876133217e-04 4.594144502690034683e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 6.539604343397804886e-02 -5.188618494462100047e-04 -1.593209375236713120e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 8.889652958014769568e-02 8.744402765513778096e-04 3.627186022761232261e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 1.208420656116956649e-01 1.266348935429005779e-03 7.100685075932321004e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 1.642674341762205836e-01 2.384444654684050348e-03 1.801807709786474926e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 2.232979864606629561e-01 4.322848604100381492e-03 4.406423572515942230e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 3.035415449656087006e-01 7.278195984625970283e-01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 4.126211390461415052e-01 3.445435591713532069e-03 6.368804919827527992e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 5.608991823739490901e-01 1.168191365998114042e-03 2.897463843092755193e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 7.624618881985674168e-01 7.146337846299577945e-04 2.366359309940909480e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 1.036457440524030327e+00 4.303895373102047811e-04 1.900157260166058159e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 1.408915045649939968e+00 1.016960585003590540e-04 5.953434083644881889e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 1.915217671509155561e+00 1.576003417847388934e-04 1.233709288422428236e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 3.035415449656087006e-01 2.603463381689461009e+00 6.617498805017678473e-05 6.950090666356109961e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 3.539034586317788000e-02 1.325116583795993850e-03 2.957808475415115725e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 4.810809282451224134e-02 -4.986802681119760234e-04 -1.517241032334474789e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 6.539604343397804886e-02 -1.725225361211841894e-04 -7.126963004036552607e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 8.889652958014769568e-02 -2.765552240261482699e-04 -1.543331070328871253e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 1.208420656116956649e-01 -3.154256336442594816e-05 -2.379476405495006928e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 1.642674341762205836e-01 1.405406086292475384e-04 1.428764269997429156e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 2.232979864606629561e-01 1.672575094021373733e-03 2.293714701400665062e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 3.035415449656087006e-01 3.445435591713532069e-03 6.368804919827527992e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 4.126211390461415052e-01 4.021134805074310647e-01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 5.608991823739490901e-01 2.628672735495256579e-03 8.771585690566177304e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 7.624618881985674168e-01 1.344234297003186942e-03 5.988384444950923570e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 1.036457440524030327e+00 5.931055912745645956e-04 3.522876471201184280e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 1.408915045649939968e+00 2.905573818029440138e-04 2.288405055559320465e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 1.915217671509155561e+00 2.694715863645552405e-04 2.837959641904687965e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.126211390461415052e-01 2.603463381689461009e+00 3.377424749451143579e-05 4.772213189909474840e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 3.539034586317788000e-02 2.012888274630738781e-04 6.028730251754919938e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 4.810809282451224134e-02 -2.367765603882345795e-04 -9.666323484154359718e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 6.539604343397804886e-02 7.749730113427174096e-05 4.295715109763678505e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 8.889652958014769568e-02 1.252068903739111223e-04 9.375526915700905801e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 1.208420656116956649e-01 1.147653565815920428e-04 1.161677161963856455e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 1.642674341762205836e-01 1.061034357470541048e-04 1.447366180297697676e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 2.232979864606629561e-01 6.522835395810503345e-04 1.200274043288639472e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 3.035415449656087006e-01 1.168191365998114042e-03 2.897463843092755193e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 4.126211390461415052e-01 2.628672735495256579e-03 8.771585690566177304e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 5.608991823739490901e-01 2.233408619261465222e-01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 7.624618881985674168e-01 2.399885850988444681e-03 1.434549404162384183e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 1.036457440524030327e+00 1.070724194134311819e-03 8.533618731451322881e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 1.408915045649939968e+00 5.032422603364240668e-04 5.318244649591802840e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 1.915217671509155561e+00 3.887101870335078323e-04 5.492997242211687670e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 5.608991823739490901e-01 2.603463381689461009e+00 5.694708012288937730e-05 1.079681944714292125e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 3.539034586317788000e-02 1.665411736155229694e-05 6.659182467186729842e-06 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 4.810809282451224134e-02 7.075638081191971311e-04 3.856393481013295119e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 6.539604343397804886e-02 -1.884604174836590541e-05 -1.394640118043024916e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 8.889652958014769568e-02 1.617025208970946141e-05 1.616506137467933090e-05 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 1.208420656116956649e-01 1.605533808495581544e-04 2.169637647739829686e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 1.642674341762205836e-01 1.164663691890414996e-04 2.121009540976596345e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 2.232979864606629561e-01 4.697026581250587462e-04 1.153878616179353960e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 3.035415449656087006e-01 7.146337846299577945e-04 2.366359309940909480e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 4.126211390461415052e-01 1.344234297003186942e-03 5.988384444950923570e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 5.608991823739490901e-01 2.399885850988444681e-03 1.434549404162384183e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 7.624618881985674168e-01 1.253089133332518090e-01 1.000000000000000000e+00 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.624618881985674168e-01 1.036457440524030327e+00 1.928261439990242281e-03 2.051703729396011158e-02 9.708287439144076547e-01
