project_code,legacy_id,obs_id,sci_prod_locator,pi,coIs,instrument_name,vla_configuration,obs_band,obs_start,obs_stop,proj_start,proj_stop,num_antennas,num_scans,dataproduct_type,data_rights,access_estsize,obs_release_date,cal_status,eb_id,distance_from_query,mjd_start,mjd_stop
AB922,AB922,AB922_1_51357.34728_51357.38663.exp,uid://VLA/execblock/3880d005-7389-4361-b6e3-08f766122203,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-06-28T08:20:04.663Z,1999-06-28T09:16:44.667Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,28,visibility,PUBLIC,20713472,2001-02-13T17:34:41.329Z,Do Not Calibrate,203731,1.060124e-05,51357.347276,51357.386628
AB922,AB922,AB922_1_51358.13327_51358.19704.exp,uid://VLA/execblock/779a18e0-b861-4dcc-a149-1c6cbdb2b802,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-06-29T03:11:54.666Z,1999-06-29T04:43:44.670Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,37,visibility,PUBLIC,32507904,2001-02-13T17:34:41.329Z,Do Not Calibrate,204273,1.060124e-05,51358.133272,51358.197045
AB922,AB922,AB922_1_51359.05133_51359.11117.exp,uid://VLA/execblock/59fa769f-5f04-4858-a731-24ed1ce679aa,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-06-30T01:13:54.670Z,1999-06-30T02:40:04.664Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,37,visibility,PUBLIC,29925376,2001-02-13T17:34:41.329Z,Do Not Calibrate,207426,1.060124e-05,51359.051327,51359.111165
AB922,AB922,AB922_1_51360.35943_51360.44091.exp,uid://VLA/execblock/51b93ad9-cd20-40be-b3e8-b47150c88e36,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-01T08:37:34.665Z,1999-07-01T10:34:54.667Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,45,visibility,PUBLIC,46964736,2001-02-13T17:34:41.329Z,Do Not Calibrate,209597,1.060124e-05,51360.359429,51360.44091
AB922,AB922,AB922_1_51362.31151_51362.35225.exp,uid://VLA/execblock/9eb58f1c-a1eb-4684-98f4-14329860edc1,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-03T07:28:34.662Z,1999-07-03T08:27:14.667Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,28,visibility,PUBLIC,21751808,2001-02-13T17:34:41.329Z,Do Not Calibrate,208009,1.060124e-05,51362.311512,51362.352253
AB922,AB922,AB922_1_51362.89392_51362.93408.exp,uid://VLA/execblock/b1b1de1c-05da-43fb-847c-54fcec1c0c2d,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-03T21:27:14.670Z,1999-07-03T22:25:04.667Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,32,visibility,PUBLIC,21485568,2001-02-13T17:34:41.329Z,Do Not Calibrate,209674,1.060124e-05,51362.89392,51362.934082
AB922,AB922,AB922_1_51364.30549_51364.38836.exp,uid://VLA/execblock/2c42a76c-ca57-4c59-bfc2-8b50b781f4f9,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-05T07:19:54.664Z,1999-07-05T09:19:14.666Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,45,visibility,PUBLIC,43597824,2001-02-13T17:34:41.329Z,Do Not Calibrate,205564,1.060124e-05,51364.305494,51364.388364
AB922,AB922,AB922_1_51367.34033_51367.38015.exp,uid://VLA/execblock/f6f44b5a-876b-46e0-b4ba-71a4f17cc850,I. Browne,,VLA,A,"[""X""]",1999-07-08T08:10:04.667Z,1999-07-08T09:07:24.666Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,18,visibility,PUBLIC,19499008,2001-02-13T17:34:41.329Z,Do Not Calibrate,213154,1.060124e-05,51367.340332,51367.380147
AB922,AB922,AB922_1_51368.04716_51368.12818.exp,uid://VLA/execblock/61af33cb-cac5-4cae-b19c-aafe1b9da6ff,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-09T01:07:54.667Z,1999-07-09T03:04:34.665Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,44,visibility,PUBLIC,43503616,2001-02-13T17:34:41.329Z,Do Not Calibrate,208542,1.060124e-05,51368.04716,51368.128179
AB922,AB922,AB922_1_51371.26637_51371.36927.exp,uid://VLA/execblock/fad95325-1a82-4ac7-8443-034b346f5a98,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-12T06:23:34.670Z,1999-07-12T08:51:44.668Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,56,visibility,PUBLIC,58599424,2001-02-13T17:34:41.329Z,Do Not Calibrate,205817,1.060124e-05,51371.266373,51371.369267
AB922,AB922,AB922_1_51372.03501_51372.07563.exp,uid://VLA/execblock/d4be387a-7928-4b3f-b437-dfcc06ad03ce,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-13T00:50:24.665Z,1999-07-13T01:48:54.665Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,32,visibility,PUBLIC,19382272,2001-02-13T17:34:41.329Z,Do Not Calibrate,211304,1.060124e-05,51372.035008,51372.075633
AB922,AB922,AB922_1_51374.30063_51374.34033.exp,uid://VLA/execblock/b10d81da-b24d-4bb8-a115-2b00798727bb,I. Browne,,VLA,A,"[""X"",""C"",""L""]",1999-07-15T07:12:54.665Z,1999-07-15T08:10:04.667Z,1999-06-15T03:43:14.669Z,2000-02-14T17:34:41.329Z,0,28,visibility,PUBLIC,20713472,2001-02-13T17:34:41.329Z,Do Not Calibrate,208335,1.060124e-05,51374.300633,51374.340332
