mjd_minus_50000,component,S_mJy,e_S_mJy,nrao_project_code,nrao_obs_id,nrao_vla_configuration,nrao_num_scans,nrao_access_estsize_bytes,nrao_matched
422,B,16.645,0.157,AF310,AF310_1_50422.71649_50422.73715.exp,A,9,7161856,1
422,C,17.431,0.164,AF310,AF310_1_50422.71649_50422.73715.exp,A,9,7161856,1
422,D,5.765,0.077,AF310,AF310_1_50422.71649_50422.73715.exp,A,9,7161856,1
424,A,35.464,0.323,AF310,AF310_1_50424.71094_50424.73171.exp,A,7,7268352,1
424,B,16.168,0.158,AF310,AF310_1_50424.71094_50424.73171.exp,A,7,7268352,1
424,C,17.324,0.168,AF310,AF310_1_50424.71094_50424.73171.exp,A,7,7268352,1
424,D,5.850,0.084,AF310,AF310_1_50424.71094_50424.73171.exp,A,7,7268352,1
427,A,35.909,0.302,AF310,AF310_1_50427.78594_50427.82749.exp,A,15,16240640,1
427,B,16.613,0.144,AF310,AF310_1_50427.78594_50427.82749.exp,A,15,16240640,1
427,C,17.505,0.151,AF310,AF310_1_50427.78594_50427.82749.exp,A,15,16240640,1
427,D,5.574,0.061,AF310,AF310_1_50427.78594_50427.82749.exp,A,15,16240640,1
432,A,34.811,0.317,AF310,AF310_1_50432.77390_50432.83449.exp,A,25,23615488,1
432,B,16.423,0.152,AF310,AF310_1_50432.77390_50432.83449.exp,A,25,23615488,1
432,C,17.280,0.160,AF310,AF310_1_50432.77390_50432.83449.exp,A,25,23615488,1
