rat_id,n_qualifying_trials,n_trials_low,n_trials_mid,n_trials_high,has_ge200_in_all_terciles,H_allgamma,H_lowgamma,H_midgamma,H_highgamma,H_ctrl_choice_shuffle_s0_allgamma,H_ctrl_trial_mismatch_allgamma
A328,32388,16157,8251,7980,True,3.423193,6.393477,1.376628,1.184980,,
B052,53531,27022,13242,13267,True,2.762199,5.061449,1.427622,1.175072,,0.337299
B053,19562,9947,4807,4808,True,1.387233,1.487345,1.120652,0.977054,,3.177014
B054,19611,6014,7343,6254,True,1.680902,3.664665,1.199330,0.775884,,
B059,13295,3440,6712,3143,True,2.957102,8.639782,1.811296,0.959060,,
B065,33340,16754,8379,8207,True,2.537520,4.456255,1.217367,0.913177,,
B067,18378,9120,4696,4562,True,2.331581,3.797929,1.145038,1.101808,,
B069,19979,7013,6546,6420,True,2.205237,3.803013,1.721780,1.124785,,
B070,12274,5312,3596,3366,True,1.894798,3.610115,1.317599,1.085620,,
B072,16455,6052,5431,4972,True,2.347939,3.861355,1.949683,0.873713,,
B074,16837,8135,4448,4254,True,3.311558,6.756962,1.594691,0.951778,,
B075,2191,760,697,734,True,1.870343,5.455225,1.476414,,17.962143,
B081,12439,3851,5077,3511,True,2.329930,4.899488,1.785255,0.962499,,
B082,36173,12429,12288,11456,True,2.357730,5.016104,1.373113,0.919256,,8.705766
B083,64407,27479,17081,19847,True,1.738264,2.491662,1.325460,0.976677,,2.660540
B086,39628,16764,10426,12438,True,1.674023,2.393673,1.244430,1.150602,,3.791329
B087,40932,17007,9861,14064,True,2.145874,3.380451,1.433904,1.023350,,2.231295
B089,41327,19145,9131,13051,True,2.731979,4.864402,1.676614,1.187193,,
B090,34117,11548,0,22569,False,1.800366,3.481596,,1.261816,,3.022212
B092,13473,6241,2352,4880,True,1.808698,2.898845,1.304103,1.456158,,
B093,14601,5976,1649,6976,True,2.882906,5.937547,1.519932,0.974302,,
B094,22880,7828,0,15052,False,2.124370,4.419147,,1.205669,,
B095,20102,7300,1096,11706,True,1.868027,2.625919,0.997898,1.219673,,
B097,34082,14603,4006,15473,True,2.362376,4.377315,1.395632,1.219062,,1.983919
B100,50385,12726,12314,25345,True,2.463636,6.776840,1.768194,0.988985,,1.310472
B101,2521,881,0,1640,False,2.369911,5.291853,,1.400498,,
B102,44779,15471,0,29308,False,2.411018,5.200256,,1.224858,,
B103,55833,18707,0,37126,False,2.453411,5.640668,,1.192577,,8.600271
B104,3947,1302,0,2645,False,1.970404,6.123061,,0.993117,,
B106,43456,14971,0,28485,False,2.348857,5.033250,,1.333137,,2.151312
B107,64308,21489,0,42819,False,2.290756,4.387205,,1.268729,,0.995051
B115,44165,16472,16246,11447,True,2.450413,4.577854,1.585151,1.136610,,
B116,28604,7635,6143,14826,True,2.463075,5.281891,1.898184,1.366653,,
B120,46148,12177,9862,24109,True,2.003917,4.423925,1.634704,1.214816,,
B122,16727,6863,6648,3216,True,2.953344,5.006337,1.891908,1.341309,,
B123,36014,10523,7790,17701,True,2.275648,4.639349,1.725506,1.123633,,6.336364
B124,14417,4081,2787,7549,True,1.999876,4.187050,1.716730,0.975587,,
B125,25751,6672,6395,12684,True,2.253588,4.736063,1.877142,1.236816,,
B126,37792,9718,9348,18726,True,2.160948,5.100288,1.843058,1.189973,,
B127,4863,1287,1061,2515,True,2.177659,4.985281,0.754798,1.440661,,
B129,13493,3484,3132,6877,True,2.188306,3.875071,1.710524,1.263923,,
B133,11095,2802,2761,5532,True,2.256986,4.000471,1.841942,1.250811,,
B134,11257,2845,2831,5581,True,2.257764,3.809986,1.557916,1.242744,,
B136,19603,4956,4856,9791,True,1.972349,3.731279,1.778130,1.252902,,
C211,16041,7056,3938,5047,True,2.621976,4.512961,1.472384,1.130161,,
E005,23769,10278,8527,4964,True,2.642716,4.647559,1.670803,1.394185,,
E006,33945,16354,9374,8217,True,2.595390,3.882813,1.690934,1.041733,,1.950580
E007,43381,20781,12270,10330,True,2.668184,4.481156,1.565607,1.221163,,5.705976
E008,37030,17861,10377,8792,True,2.666386,4.201618,1.593645,1.269034,,1.633774
E010,163964,82171,41022,40771,True,2.484891,3.909363,1.457994,1.304746,,3.713546
E011,28206,14015,7149,7042,True,2.547048,3.950368,1.483273,1.298224,,4.221768
E021,17343,8653,4328,4362,True,2.952409,5.107305,1.548336,1.107205,,
E044,23992,7396,6050,10546,True,2.488522,5.674881,1.770028,1.224301,,1.342604
E048,67238,33890,16755,16593,True,2.483161,4.031443,1.456547,1.185340,,
E049,52571,26567,13058,12946,True,2.338158,3.921536,1.412023,1.068615,,5.314758
E052,27775,13980,6780,7015,True,2.655338,4.292263,1.472699,1.301492,,2.362318
E053,12857,6489,3195,3173,True,1.914204,2.875787,1.638198,1.160779,,2.030342
E054,9896,5078,2431,2387,True,2.790921,4.101004,1.376818,0.864190,,
E056,8799,4445,2182,2172,True,2.305735,3.334664,1.180325,0.887881,,
E062,32756,16151,8195,8410,True,2.457179,4.277393,1.676604,1.137092,,
E063,11767,5780,3059,2928,True,2.161077,2.699182,1.403002,0.735702,,
E064,22328,11218,5609,5501,True,2.848154,4.533185,1.307259,1.269681,,
E067,19077,9719,4605,4753,True,3.021827,5.280021,1.596183,1.124635,,
E074,9233,4691,2282,2260,True,3.280095,4.565338,1.545403,1.133797,,
E075,10717,5382,2714,2621,True,2.796062,5.483523,1.181115,0.926629,,
E076,15570,7855,3871,3844,True,2.239295,3.600147,1.449294,1.148243,,
E080,9090,4568,2305,2217,True,2.367685,3.847495,1.603033,0.866734,,
E086,11311,5691,2728,2892,True,2.830702,4.782191,1.400778,1.350034,,
E088,11762,5870,2943,2949,True,2.506075,4.935089,1.217681,0.801170,,
E130,18200,8672,4489,5039,True,2.492644,5.318784,1.489008,0.972914,,
E133,16708,7992,4118,4598,True,2.863852,4.586145,1.846827,0.904948,,
E143,2061,898,502,661,True,1.912418,1.855333,0.999282,1.633151,,
E154,1149,539,272,338,True,0.692590,,,,,
