rat_id,n_qualifying_trials,n_trials_low,n_trials_mid,n_trials_high,has_ge200_in_all_terciles,H_allgamma,H_lowgamma,H_midgamma,H_highgamma,H_ctrl_choice_shuffle_s0_allgamma,H_ctrl_trial_mismatch_allgamma
T073,75641,38971,18375,18295,True,2.842853,4.837297,1.451063,1.242930,,2.442763
T074,4097,2030,997,1070,True,2.000561,9.170106,0.582068,1.212142,,
T076,12593,6347,3107,3139,True,3.123445,5.842457,1.503859,0.907881,,
T077,6903,3405,1774,1724,True,2.755592,5.017925,1.451455,1.143544,,
T078,5300,2633,1357,1310,True,2.274769,3.194018,1.537157,0.685230,,
T079,11176,5633,2779,2764,True,2.996774,5.245469,1.406402,1.359147,,
T080,88162,45278,21407,21477,True,2.642036,4.348568,1.383983,1.137907,,
T087,31198,13429,11285,6484,True,2.929533,5.018190,1.690190,1.175491,,
T088,24290,10463,8664,5163,True,2.955649,4.950843,1.877456,1.258303,,
T089,51259,21696,18964,10599,True,2.939148,4.986601,1.763895,1.479991,,1.317539
T091,35561,15092,13398,7071,True,2.694363,4.743727,1.860240,1.160666,,
T092,51669,25849,13285,12535,True,2.713274,4.804873,1.488951,1.314277,,2.899902
T093,21113,9025,7854,4234,True,2.475267,4.138890,1.512803,1.249014,,
T095,27000,11757,9530,5713,True,2.678738,4.136604,1.706850,1.037097,,
T096,36212,15352,9041,11819,True,2.049449,3.172465,1.649826,1.334702,,1.479253
T097,62532,27150,21668,13714,True,2.622566,4.734606,1.749343,1.354824,,2.295486
T098,51760,22463,18091,11206,True,2.644975,4.427163,1.745104,1.241766,,6.080203
T100,15554,7192,3946,4416,True,2.558260,4.091630,1.428144,1.311434,,0.001792
T103,27761,13977,6870,6914,True,2.757629,4.872618,1.329757,1.223946,,
T104,15739,7876,3958,3905,True,2.874044,4.667109,1.414826,1.122227,,
T105,20912,10481,5304,5127,True,2.426283,4.079216,1.458352,0.918618,,
T106,21219,10726,5334,5159,True,2.739572,4.567549,1.462828,1.066257,,1.975764
T107,25716,12858,6523,6335,True,2.694798,4.436524,1.472705,1.195405,,0.647288
T108,15191,7642,3796,3753,True,2.828455,4.661611,1.457301,1.345382,,3.650860
T116,8188,4151,2012,2025,True,2.742634,4.970078,1.255882,1.097237,,
T127,16058,8042,4011,4005,True,2.469822,4.386145,1.404378,0.901312,,
T131,9693,4935,2346,2412,True,3.026147,5.593860,1.639515,1.127151,,
T132,17405,8754,4396,4255,True,2.757870,4.953917,1.270398,1.165243,,
T133,57151,28857,14068,14226,True,2.861046,5.023800,1.545574,1.156257,,
T134,16735,8193,4193,4349,True,2.977826,5.149648,1.578327,1.064672,,
T135,44133,21844,10983,11306,True,3.028404,5.198326,1.551332,1.166486,,5.941689
T140,14267,7231,3490,3546,True,2.482400,5.063917,1.193008,1.043518,,
T143,13175,6513,3338,3324,True,2.942916,5.284167,1.293410,1.199964,,
T149,36712,18687,8926,9099,True,2.741367,4.431625,1.483593,1.264398,,
T150,11832,3802,2992,5038,True,2.612171,5.645326,1.656112,1.266950,,
T153,23241,11699,5899,5643,True,2.798119,4.866136,1.365278,0.993720,,1.476524
T154,29972,14958,7558,7456,True,2.581693,4.306106,1.548062,1.221743,,
T155,15031,3795,3884,7352,True,2.274749,4.706049,1.962644,1.256835,,
T156,18392,4707,4524,9161,True,1.923892,3.137746,1.737831,1.198953,,
T157,22506,5693,5718,11095,True,1.720562,2.929081,1.565580,1.087937,,
T159,16480,7448,4092,4940,True,2.484563,3.581713,1.532848,1.281278,,
T160,15593,7165,3857,4571,True,2.488394,4.890073,1.245695,0.999651,,
T163,24293,12338,5847,6108,True,3.154980,5.888145,1.589899,1.052472,,
T164,35915,17675,9047,9193,True,2.659948,4.596181,1.445428,1.243866,,
T167,46331,22494,11369,12468,True,2.289278,3.550925,1.482169,1.185712,,18.794585
T168,83450,39625,20533,23292,True,2.719547,4.763360,1.495335,1.189465,,
T169,66170,33361,15348,17461,True,2.893876,5.000083,1.505755,1.247660,,
T170,56956,28754,13325,14877,True,2.700695,4.549382,1.422096,1.159694,,
T171,40502,19486,9608,11408,True,2.356262,4.446511,1.403830,1.093041,,3.310403
T172,69877,34922,15960,18995,True,2.805535,4.607712,1.625342,1.205669,,4.039424
T173,113699,55727,27467,30505,True,2.570124,4.082460,1.436766,1.122209,,0.234841
T174,54068,27089,13260,13719,True,2.334429,3.833962,1.454454,1.169808,,2.011201
T175,46716,19293,11515,15908,True,2.754580,4.563507,1.796285,1.422324,,2.794494
T176,129490,64795,27675,37020,True,2.837555,4.811916,1.530193,1.062247,,
T179,48099,22750,11925,13424,True,2.784666,5.504482,1.537115,1.226315,,6.906789
T180,11334,3571,2844,4919,True,2.168345,7.704253,1.496320,1.185250,,
T181,24149,9710,3186,11253,True,2.749931,7.227052,1.806891,1.361142,,
T182,9399,3949,1150,4300,True,1.887199,2.334937,1.650195,1.262590,,
T183,16088,7169,2589,6330,True,2.872280,6.138765,1.909006,1.085791,18.626391,
T187,8758,3533,2205,3020,True,1.989982,1.841589,1.730043,1.274975,,18.565925
T188,29884,11639,3667,14578,True,2.866359,6.849837,1.991072,1.281569,,
T189,5772,2779,203,2790,True,2.297166,3.490076,0.313090,1.424493,,
T190,23624,10972,3481,9171,True,2.928211,5.682192,1.564980,1.299911,,
T191,6517,3046,1607,1864,True,3.201673,4.806337,1.368555,1.308892,,
T196,18948,8948,4889,5111,True,3.196204,6.256342,1.699990,1.104734,,
T200,16801,6844,4081,5876,True,2.993146,7.875627,1.581021,1.240850,,
T201,44581,18531,11019,15031,True,2.752095,5.786121,1.625652,1.307248,,
T209,23466,11234,5627,6605,True,2.933996,5.872002,1.550797,1.199265,,18.968850
T210,44466,21925,11101,11440,True,3.032956,5.315797,1.502907,1.079857,1.347579,
T211,52367,26529,3108,22730,True,3.045762,5.715879,1.474893,1.267943,,
T212,27740,13671,7006,7063,True,3.029378,6.152086,1.542412,1.142086,,
T214,36670,18139,9150,9381,True,2.965151,5.448012,1.523742,1.174420,,
T215,18838,8924,4689,5225,True,2.777605,5.147698,1.404991,1.193199,,
T219,56516,30697,10492,15327,True,2.995686,5.121295,1.488175,1.247571,,
T220,34581,16754,8642,9185,True,2.747324,4.950103,1.490690,1.133909,,
T223,33648,16767,8346,8535,True,2.912972,5.177340,1.573568,1.220752,,
T224,55872,28184,13825,13863,True,2.973622,5.513348,1.458332,1.274422,,
T227,41724,21509,8654,11561,True,2.892919,4.781147,1.380971,1.049466,,
T231,33804,16660,8554,8590,True,2.852434,5.445379,1.576877,1.273398,,
T232,46171,22937,11486,11748,True,3.406379,6.179625,1.454571,1.283130,,2.482968
T237,5914,2895,1473,1546,True,2.731005,4.421341,1.639040,0.980378,,
T238,33437,16697,8443,8297,True,2.939894,5.208959,1.467811,1.382361,,
T239,20924,10713,5067,5144,True,3.192676,5.709942,1.462268,1.290747,,
T240,32462,16008,7937,8517,True,3.139372,5.342184,1.567272,1.199958,,
T241,18995,9763,4688,4544,True,2.758436,4.802254,1.384291,1.014573,,
T242,32070,15619,8094,8357,True,2.891576,4.993536,1.578498,1.309188,,
T243,21122,10388,5360,5374,True,2.847378,5.348158,1.452993,1.324499,,
T244,10738,5312,2712,2714,True,3.020760,4.898511,1.279136,1.106979,,
T246,19522,9319,4838,5365,True,2.960569,5.969818,1.578124,1.237523,,
T249,14094,6767,3351,3976,True,3.136203,5.981317,1.514708,1.201803,,
T250,29241,14459,7242,7540,True,2.945912,5.761983,1.541048,1.213160,,
T253,21472,10374,5288,5810,True,2.935554,5.555634,1.586235,1.153647,,
T256,11150,5685,2704,2761,True,2.976040,4.953288,1.448101,1.277934,,
T259,21093,10681,5188,5224,True,2.818608,5.273307,1.373160,1.173903,,
T261,28448,14092,7056,7300,True,2.679340,4.427536,1.446055,1.019398,,
T262,13200,6339,3328,3533,True,2.594337,4.073119,1.403411,1.203499,,
T263,16212,7820,4031,4361,True,3.198390,4.903292,1.551898,1.043318,,
T264,24715,12037,6119,6559,True,2.798000,4.792762,1.511349,1.220734,,
T265,25678,12578,6379,6721,True,3.159975,5.529108,1.474659,1.327956,,
T266,9321,4378,2334,2609,True,2.606661,4.069157,1.464255,0.882623,,
T267,18494,9103,4612,4779,True,2.919093,4.901350,1.319485,1.237161,,
T268,7312,3511,1752,2049,True,2.630901,4.326740,1.607660,1.010417,,
T269,13331,6362,3339,3630,True,2.867557,4.744599,1.415966,1.226663,,
T270,11455,5494,2899,3062,True,2.636989,3.736860,1.592357,1.236876,,
T272,8095,3990,1949,2156,True,2.893432,5.094539,1.413249,1.030560,,
T273,7505,3656,1906,1943,True,2.449789,4.572573,1.083450,0.977976,,
T274,17705,8469,4448,4788,True,2.946984,5.183693,1.594315,1.122988,,
T277,29750,14853,7502,7395,True,2.948939,4.948370,1.381628,1.033254,,2.728715
T278,32195,15803,8050,8342,True,2.844301,5.137149,1.452985,1.233585,,
T279,6201,2964,1547,1690,True,3.272084,5.000322,1.274997,0.889987,,
T281,6108,2563,1556,1989,True,2.264769,2.450431,0.882160,0.934614,,
T285,8969,4467,2166,2336,True,2.549706,4.555587,1.174833,1.277693,,
T288,11825,5600,3022,3203,True,3.001431,5.135149,1.601948,1.079171,,
T294,6006,2834,1508,1664,True,2.359302,3.615844,1.475322,0.821376,,
T297,13927,6824,3527,3576,True,2.891800,5.099073,1.430015,0.973581,,
T298,18236,8824,4637,4775,True,2.980546,5.206880,1.358031,1.284213,,
T299,16485,7976,4175,4334,True,2.949259,5.354242,1.420121,1.312704,,
T300,7430,3577,1858,1995,True,2.581807,4.347711,1.320926,0.981607,,
V009,6920,1806,1659,3455,True,1.417327,,1.457713,1.174435,,
V010,10293,3912,2577,3804,True,1.618721,1.619451,1.314033,0.941163,,
V011,12455,3957,3119,5379,True,2.190640,3.607538,1.613616,1.282671,,
V014,14297,5146,3511,5640,True,2.599763,7.660081,1.870397,1.077949,,
V015,6716,3067,1659,1990,True,2.419897,4.461019,1.434222,1.330432,,
V016,7666,3528,1947,2191,True,2.394804,4.908328,1.525029,0.916700,,
V017,22080,10796,5553,5731,True,2.255846,4.379397,1.301929,1.346363,,
V023,9838,4876,2482,2480,True,2.985984,6.011592,1.527999,1.003602,,
V026,7104,3513,1849,1742,True,2.226564,2.960755,1.758194,0.928200,,
V027,6860,2312,1715,2833,True,2.791946,4.639969,1.524155,1.254139,,
V032,9082,4406,2209,2467,True,3.430852,5.362888,1.627024,1.185083,,
V033,11347,5558,2931,2858,True,2.581414,3.897133,1.547178,1.341287,,
V034,14569,7233,3652,3684,True,2.958655,4.611970,1.633458,1.199825,,
V035,10007,5029,2511,2467,True,2.707690,4.649567,1.399376,1.100995,18.859368,0.231351
V036,7774,3790,1939,2045,True,3.411717,6.754301,1.771978,1.295704,,
X003,16390,4098,4069,8223,True,2.188972,6.148120,1.771898,1.052555,,
X004,23072,7124,5916,10032,True,2.364310,6.416362,1.838723,1.105084,,
X007,46167,20640,11531,13996,True,2.501075,4.411156,1.635486,1.275252,,
X009,12138,5799,3023,3316,True,2.861666,5.811672,1.463517,0.966515,,4.031574
X010,21876,10712,5395,5769,True,2.610190,4.657802,1.482205,1.292969,,2.993973
X019,8338,4032,2053,2253,True,3.140160,5.047728,1.750712,1.265933,,
X025,30484,15030,7565,7889,True,3.018648,8.880105,1.176629,1.296166,,
X026,38173,18848,9460,9865,True,2.483853,5.129381,1.320893,1.112507,,
X028,35539,17764,7461,10314,True,1.927729,4.579829,0.913990,1.207296,,3.870382
X030,8049,3847,1974,2228,True,,,,,,
X043,18155,8890,4485,4780,True,1.382122,,0.892904,0.779351,,
X046,15750,8462,3718,3570,True,2.683842,4.353236,1.536506,0.931397,,
X051,8056,4096,1882,2078,True,,,,,,
X052,23651,12443,3859,7349,True,2.872771,7.377503,1.309368,1.066970,,
X053,24222,11816,5942,6464,True,2.208118,4.335890,1.554188,1.014161,,
X054,24475,12723,4902,6850,True,2.470467,6.203181,1.119291,0.912589,,
X056,15736,7663,3947,4126,True,2.458123,5.515098,1.412113,0.828253,,
X057,30145,14998,7583,7564,True,2.688612,5.128722,1.491355,0.924559,,
X058,23173,11370,5832,5971,True,2.860970,5.689068,1.325629,0.900819,,
X059,21442,9974,5319,6149,True,2.585388,5.174763,1.355853,1.060762,,2.957286
X060,33484,16893,8273,8318,True,3.078183,5.645131,1.269091,1.270289,,9.518921
X062,26836,13421,6645,6770,True,1.959995,3.218949,1.326092,1.089427,,
X063,22359,11106,5599,5654,True,2.744947,4.446566,1.274905,1.220584,,
X064,32190,15860,8059,8271,True,2.752241,4.475483,1.558585,1.085908,,
X066,17229,8377,4323,4529,True,2.914821,5.156915,1.589293,1.104999,,
X067,18476,9092,4642,4742,True,2.890177,5.369427,1.741167,1.118484,,
X069,16731,7955,4216,4560,True,2.774177,6.043724,1.449725,1.138774,,
X070,28759,14030,7239,7490,True,3.347871,6.465406,1.551440,1.215321,,
X072,19383,8821,4816,5746,True,2.780667,4.918606,1.606129,1.415794,,
X074,9622,4553,2359,2710,True,2.765211,5.137245,1.459170,1.400120,,
X079,26109,12427,6502,7180,True,2.754822,4.862305,1.542279,1.366951,,
X083,11671,5419,2912,3340,True,3.043632,5.342823,1.429929,1.380385,,
X085,16585,8071,4068,4446,True,2.794726,4.463650,1.536020,1.252859,,
X087,19782,9755,5051,4976,True,2.936267,5.186661,1.491316,1.444996,,
X088,11711,5426,2944,3341,True,3.058603,5.407561,1.542158,1.310813,,
X089,23075,11480,5761,5834,True,3.156857,6.692305,1.411640,1.390152,,
X091,18759,9345,4660,4754,True,2.858212,4.931775,1.478310,1.247381,,
X092,15268,7702,3782,3784,True,3.500449,6.694487,1.377345,1.194334,,
X093,11050,5173,2805,3072,True,2.650466,4.433309,1.792043,1.195527,,
X096,21734,10756,5409,5569,True,3.268607,5.937782,1.597792,1.093361,,
X101,14783,7202,3755,3826,True,3.111157,5.724688,1.498059,1.151212,,7.148482
Z117,128098,64460,31608,32030,True,2.830097,5.253633,1.461927,1.268443,,4.276902
Z118,122434,60648,30801,30985,True,2.635930,4.757655,1.494430,1.139224,,2.452081
Z121,109768,54781,26956,28031,True,2.910391,5.214486,1.458114,1.184861,,8.206206
Z123,86491,42816,21312,22363,True,2.896271,5.222679,1.493624,1.130836,,12.728628
