survey,dataset,SNID,join_key,JLA_x1,JLA_c,JLA_logMst,JLA_tmax,PplusCID,Pplus_x1,Pplus_c,Pplus_HOST_LOGMASS,Pplus_PKMJD
PS1MD,PS1MD_Jones18,PSc030216,30216,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030245,30245,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030252,30252,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc030263,30263,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040121,40121,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040137,40137,,,,,040137,1.08695,0.023926,8.743,55326.4
PS1MD,PS1MD_Jones18,PSc040139,40139,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040147,40147,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040150,40150,,,,,040150,-0.249703,-0.047299,8.413,55337.8
PS1MD,PS1MD_Jones18,PSc040151,40151,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040163,40163,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040166,40166,,,,,040166,0.30821,-0.148968,8.798,55326.5
PS1MD,PS1MD_Jones18,PSc040168,40168,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040169,40169,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040170,40170,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040176,40176,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040198,40198,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040201,40201,,,,,040201,0.395,-0.08678,9.2773,55323.3
PS1MD,PS1MD_Jones18,PSc040313,40313,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040316,40316,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040318,40318,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040343,40343,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040377,40377,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040434,40434,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040473,40473,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040477,40477,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040511,40511,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040512,40512,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040530,40530,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040540,40540,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040573,40573,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040593,40593,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040693,40693,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc040780,40780,,,,,040780,-0.910841,0.27933,10.963,55358.8
PS1MD,PS1MD_Jones18,PSc040782,40782,,,,,040782,-0.572393,0.15267,10.152,55352.4
PS1MD,PS1MD_Jones18,PSc040783,40783,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050003,50003,,,,,050003,1.07494,-0.00449,8.371,55355.9
PS1MD,PS1MD_Jones18,PSc050004,50004,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050005,50005,,,,,050005,1.39309,-0.007128,9.633,55353.2
PS1MD,PS1MD_Jones18,PSc050017,50017,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050172,50172,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050201,50201,,,,,050201,0.30618,-0.072334,10.3896,55354.5
PS1MD,PS1MD_Jones18,PSc050203,50203,,,,,050203,1.01825,-0.118083,8.835,55350.2
PS1MD,PS1MD_Jones18,PSc050251,50251,,,,,050251,0.71518,-0.007223,11.401,55367.9
PS1MD,PS1MD_Jones18,PSc050291,50291,,,,,050291,0.33582,0.007324,11.169,55349.4
PS1MD,PS1MD_Jones18,PSc050293,50293,,,,,050293,0.43068,-0.023063,8.555,55355.7
PS1MD,PS1MD_Jones18,PSc050296,50296,,,,,050296,0.81669,-0.053551,10.905,55358.9
PS1MD,PS1MD_Jones18,PSc050298,50298,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050301,50301,,,,,050301,0.84013,0.15505,10.5212,55358.3
PS1MD,PS1MD_Jones18,PSc050303,50303,,,,,050303,0.6411,0.18093,11.248,55355.9
PS1MD,PS1MD_Jones18,PSc050580,50580,,,,,050580,-0.410302,0.020054,10.422,55369.3
PS1MD,PS1MD_Jones18,PSc050607,50607,,,,,050607,0.10818,0.060541,9.458,55367.5
PS1MD,PS1MD_Jones18,PSc050617,50617,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050625,50625,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050656,50656,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050665,50665,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc050669,50669,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc051109,51109,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc052136,52136,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc060015,60015,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc060141,60141,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc060157,60157,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc060169,60169,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc060199,60199,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc060238,60238,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc060242,60242,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc060249,60249,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc061139,61139,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc061190,61190,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc061191,61191,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc061192,61192,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc061197,61197,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070003,70003,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070020,70020,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070048,70048,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070054,70054,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070071,70071,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070096,70096,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070110,70110,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070111,70111,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070175,70175,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070194,70194,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070200,70200,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070242,70242,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070264,70264,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070402,70402,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070459,70459,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070470,70470,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070472,70472,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070515,70515,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070530,70530,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070567,70567,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070611,70611,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070612,70612,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070614,70614,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070719,70719,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070955,70955,,,,,070955,1.42331,-0.040489,9.513,55438.5
PS1MD,PS1MD_Jones18,PSc070985,70985,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc070986,70986,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc071007,71007,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc071011,71011,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc071032,71032,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc071060,71060,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc071113,71113,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc071245,71245,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080012,80012,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080015,80015,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080023,80023,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080028,80028,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080034,80034,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080048,80048,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080064,80064,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080087,80087,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080098,80098,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080146,80146,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080238,80238,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080241,80241,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080252,80252,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080257,80257,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080261,80261,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080295,80295,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080296,80296,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080343,80343,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080363,80363,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080438,80438,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080546,80546,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080554,80554,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080646,80646,,,,,080646,-1.04365,-0.089682,10.768,55462.2
PS1MD,PS1MD_Jones18,PSc080693,80693,,,,,,,,,
PS1MD,PS1MD_Jones18,PSc080723,80723,,,,,080723,0.16631,-0.15907,9.753,55473.9
