run,period,condition,observable,h,in_i4_grid,n_games,N_anchored,alphabet_K,I_plugin_nats,I_MM_nats,I_MM_clamped_june29_nats,H_R_cond_MM_nats,T_vs_targetperm_nats,T_boot_sd_nats,T_ratio_h_over_h_plus_8,I_MM_own_targetperm_floor_nats,T_vs_own_floor_nats,T_own_ratio_h_over_h_plus_8
power,2014-07,REAL,fromto,8,1,120000,2978360,1792,1.025430,0.939779,0.939779,5.342127,0.803776,0.001132,1.301897,0.135764,0.804016,1.301381
power,2014-07,REAL,fromto,12,1,120000,2978360,1792,0.931090,0.838906,0.838906,5.612291,0.696410,0.000926,1.261856,0.142570,0.696337,1.262148
power,2014-07,REAL,fromto,16,1,120000,2978360,1792,0.863066,0.765878,0.765878,5.829817,0.617388,0.001074,1.242195,0.148061,0.617817,1.242760
power,2014-07,REAL,fromto,20,0,120000,2978360,1792,0.806972,0.705610,0.705610,6.006177,0.551893,0.001134,1.232457,0.153902,0.551708,1.233371
power,2014-07,REAL,fromto,24,1,120000,2978360,1792,0.759988,0.655293,0.655293,6.145130,0.497014,0.001046,1.227593,0.158159,0.497133,1.228455
power,2014-07,REAL,fromto,28,0,120000,2978360,1792,0.717182,0.609742,0.609742,6.256384,0.447799,0.000877,1.220988,0.162425,0.447317,1.220239
power,2014-07,REAL,fromto,32,1,120000,2978360,1792,0.679508,0.569929,0.569929,6.343028,0.404869,0.000805,1.217094,0.165247,0.404682,1.216587
power,2014-07,REAL,fromto,36,0,120000,2978360,1792,0.645193,0.533985,0.533985,6.411277,0.366752,0.000992,1.215096,0.167403,0.366581,1.215402
power,2014-07,REAL,fromto,40,1,120000,2978360,1792,0.613995,0.501549,0.501549,6.464012,0.332652,0.000942,1.217428,0.168912,0.332637,1.217750
power,2014-07,REAL,fromto,44,0,120000,2978360,1792,0.584687,0.471405,0.471405,6.503994,0.301829,0.001160,1.210241,0.169792,0.301613,1.212212
power,2014-07,REAL,fromto,48,1,120000,2978360,1792,0.557656,0.443841,0.443841,6.533326,0.273242,0.001129,1.207205,0.170684,0.273157,1.206491
power,2014-07,REAL,fromto,52,0,120000,2978360,1792,0.533123,0.419316,0.419316,6.551370,0.249396,0.000901,1.208992,0.170504,0.248812,1.207956
power,2014-07,REAL,fromto,56,0,120000,2978360,1792,0.509772,0.396040,0.396040,6.561984,0.226343,0.000920,1.199253,0.169634,0.226406,1.200738
power,2014-07,REAL,fromto,60,0,120000,2978360,1792,0.488618,0.375221,0.375221,6.565224,0.206284,0.000968,1.195597,0.169243,0.205978,1.193859
power,2014-07,REAL,fromto,64,1,120000,2978360,1792,0.469756,0.356951,0.356951,6.561962,0.188736,0.000863,1.203815,0.168395,0.188556,1.201629
power,2014-07,REAL,fromto,68,0,120000,2978360,1792,0.451034,0.338973,0.338973,6.555555,0.172537,0.000901,1.204387,0.166442,0.172531,1.204171
power,2014-07,REAL,fromto,72,0,120000,2978360,1792,0.433398,0.322129,0.322129,6.545944,0.156782,0.000941,1.193125,0.165213,0.156917,1.194293
power,2014-07,REAL,fromto,76,0,120000,2978360,1792,0.417544,0.307226,0.307226,6.532613,0.143257,0.000942,1.194601,0.163948,0.143278,1.191341
power,2014-07,REAL,fromto,80,1,120000,2978360,1792,0.402586,0.293201,0.293201,6.516852,0.131404,0.000710,1.193513,0.161812,0.131389,1.194217
power,2014-07,REAL,fromto,84,0,120000,2978360,1792,0.389012,0.280682,0.280682,6.500533,0.119920,0.000892,1.203819,0.160415,0.120266,1.208638
power,2014-07,REAL,fromto,88,0,120000,2978360,1792,0.376109,0.268781,0.268781,6.484870,0.110099,0.000934,1.220700,0.158760,0.110021,1.217867
power,2014-07,REAL,fromto,92,0,120000,2978360,1792,0.363366,0.256697,0.256697,6.474765,0.099617,0.000915,,0.157192,0.099505,
power,2014-07,REAL,fromto,96,1,120000,2978360,1792,0.353113,0.246525,0.246525,6.479628,0.090193,0.001015,,0.156186,0.090339,
