#REFERENCE 3 104.6587124 -55.9571457
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
 N11.2    -4.530     6.366     7.814     0.658     0.875     5.809     0.047      1.91  -399848.2       0.0    ++
 N11.2    11.041    -4.375    11.876     0.000     0.000     9.586     0.182      2.45  -399989.2    -141.1    ++
 N11.1     9.518    -3.328    10.083     0.728     1.060    11.169     0.314      2.62  -400031.5    -183.4    ++
 N11.1     2.744     3.229     4.238     0.101     0.102     6.025     0.178      1.95  -399825.3      22.9    +-
 N11.1    -5.209     6.943     8.680     0.000     0.000     5.125     0.039      1.77  -400246.9    -398.7    ++
  K6.3    26.855     7.405    27.857     0.893     1.989    13.321     0.269      2.81  -395216.4       0.0    ++
  K6.3    16.957    14.678    22.427     0.852     1.624    11.485     0.298      2.65  -395060.0     156.3    +-
  K6.3    -1.777    25.458    25.520     0.000     0.000     4.654     0.028      1.67  -396509.8   -1293.4    ++
  K6.2    -2.176    25.340    25.433     0.969     3.924     4.546     0.027      1.64  -396742.3   -1525.9    ++
  K6.2    17.606    13.990    22.487     0.960     3.422    12.692     0.335      2.76  -395149.6      66.8    +-
  K6.2    26.266     7.708    27.374     0.000     0.000    23.758     1.030      3.44  -395236.1     -19.7    ++
  K6.1    26.610     6.259    27.337     0.914     2.259    10.747     0.160      2.58  -395311.8     -95.4    ++
  K6.1    -2.369    24.809    24.922     0.847     1.592     4.552     0.027      1.65  -396741.9   -1525.5    ++
  K6.1    17.123    13.743    21.956     0.000     0.000    11.152     0.266      2.62  -395191.1      25.3    +-
 N10.3     3.407     6.408     7.257     0.092     0.093     4.236     0.101      1.57  -396521.5       0.0    +-
 N10.3    -5.112    10.394    11.583     0.023     0.023     6.687     0.062      2.06  -396797.9    -276.5    ++
 N10.3    25.326    -9.540    27.063     0.000     0.000     4.846     0.039      1.71  -399044.8   -2523.3    ++
 N10.2    25.791    -9.472    27.476     0.109     0.109     4.780     0.038      1.70  -399003.6   -2482.2    ++
 N10.2     3.261     6.839     7.577     0.094     0.094     4.684     0.111      1.68  -396308.1     213.4    +-
 N10.2    -4.542    10.461    11.404     0.000     0.000     7.161     0.069      2.14  -396517.9       3.6    ++
 N10.1    25.899    -9.131    27.462     0.201     0.205     4.799     0.038      1.70  -398878.4   -2356.9    ++
 N10.1    -4.418    10.852    11.717     0.105     0.106     7.078     0.067      2.12  -396457.0      64.5    ++
 N10.1     3.516     7.044     7.873     0.000     0.000     4.847     0.110      1.71  -396243.4     278.1    +-
K12b.3   179.901    40.173   184.331     0.843     1.567    13.960     0.794      2.86  -509663.4       0.0    ++
K12b.3   177.693    46.353   183.639     0.842     1.558    13.568     0.844      2.83  -509640.7      22.7    +-
K12b.3   178.757    66.431   190.702     0.000     0.000     4.161     0.138      1.55  -511116.1   -1452.7    ++
K12b.2   179.100    66.639   191.096     0.985     5.759     4.157     0.137      1.55  -511512.9   -1849.5    ++
K12b.2   178.141    45.929   183.967     0.894     2.001    15.532     0.926      2.98  -509940.0    -276.6    +-
K12b.2   180.081    40.800   184.645     0.000     0.000    35.784     5.355      3.88  -509951.4    -288.0    ++
K12b.1   179.101    66.425   191.022     0.793     1.301     4.099     0.136      1.53  -511419.5   -1756.1    ++
K12b.1   180.284    39.992   184.667     0.329     0.349    10.196     0.477      2.52  -509975.3    -311.9    ++
K12b.1   177.986    46.606   183.987     0.000     0.000    12.160     0.679      2.71  -509935.5    -272.1    +-
K12a.3   178.088    47.199   184.236     0.682     0.932    10.363     0.530      2.54  -510111.1       0.0    +-
K12a.3   180.585    39.544   184.864     0.583     0.717     7.845     0.321      2.24  -510207.5     -96.4    ++
K12a.3   179.307    66.246   191.154     0.000     0.000     4.044     0.134      1.52  -511529.9   -1418.8    ++
K12a.2   179.590    66.620   191.548     0.767     1.194     4.030     0.134      1.51  -511944.8   -1833.7    ++
K12a.2   178.540    46.462   184.486     0.426     0.471    12.080     0.591      2.71  -510375.1    -264.0    +-
K12a.1   179.553    66.297   191.402     0.640     0.834     4.004     0.133      1.51  -511779.8   -1668.7    ++
K12a.1   178.356    47.225   184.502     0.000     0.000    10.117     0.482      2.51  -510335.0    -223.9    +-
 K7b.2    13.308    40.568    42.695     0.763     1.181     8.181     0.102      2.28  -395548.5       0.0    ++
 K7b.2    29.065    30.306    41.991     0.052     0.052     8.884     0.535      2.37  -394612.7     935.8    +-
 K7b.2    33.507    22.913    40.592     0.000     0.000    13.549     0.358      2.83  -394698.2     850.4    ++
 K7b.1    13.006    40.577    42.610     0.736     1.088     8.412     0.112      2.31  -395592.0     -43.4    ++
 K7b.1    33.253    22.955    40.407     0.076     0.076    13.939     0.385      2.86  -394690.8     857.8    ++
 K7b.1    29.008    30.103    41.805     0.000     0.000     9.042     0.544      2.39  -394614.9     933.6    +-
 K7a.2    12.657    41.108    43.012     0.886     1.912     8.474     0.121      2.32  -395820.9       0.0    ++
 K7a.2    29.735    29.153    41.642     0.102     0.102    13.907     0.736      2.86  -394710.2    1110.6    +-
 K7a.2    32.595    24.241    40.621     0.000     0.000    18.487     0.650      3.17  -394729.8    1091.1    ++
 K7a.1    12.446    41.098    42.941     0.897     2.026     8.742     0.135      2.35  -395847.9     -27.0    ++
 K7a.1    32.439    24.220    40.483     0.116     0.117    18.752     0.670      3.18  -394724.6    1096.3    ++
 K7a.1    29.649    29.052    41.510     0.000     0.000    14.053     0.740      2.87  -394705.5    1115.3    +-
