run,event,evttype,trigger,ecm,pol,dpol,n_phchrg,n_phcrid,n_phkchrg,n_phkelid,n_phklus,n_phpoint,n_phpsum,n_phwic,has_phcrid,file_id
33612,4104,0,52,91.351,0.75681,0.01316,16,0,9,8,24,34,34,0,1,20
33612,4146,0,102,91.178,0.75681,0.01316,26,0,14,7,78,90,90,0,1,20
33612,4154,0,54,91.159,-0.75681,0.01316,23,0,14,7,68,81,81,0,1,20
33612,4170,0,2,91.127,-0.75681,0.01316,0,0,0,0,21,21,21,0,1,20
33612,4184,0,116,91.136,0.75681,0.01316,2,0,2,2,25,25,25,0,1,20
33612,4240,0,2,91.161,0.75681,0.01316,10,0,0,0,0,10,10,0,1,20
33612,4280,0,2,91.147,0.75232,0.01102,8,0,0,0,0,8,8,0,1,20
33612,4285,0,2,91.163,0.75232,0.01102,0,0,0,0,12,12,12,0,1,20
33612,4292,0,38,91.153,0.75232,0.01102,17,0,8,8,56,66,66,0,1,20
33612,4367,0,16,91.08,-0.75232,0.01102,3,0,2,2,21,22,22,2,1,20
33612,4389,0,116,91.098,-0.75232,0.01102,17,0,12,9,52,58,58,0,1,20
33612,4462,0,54,91.1,0.75232,0.01102,19,0,9,2,54,65,65,0,1,20
33612,4479,0,2,91.089,0.75232,0.01102,0,0,0,0,22,22,22,0,1,20
33612,4483,0,10,91.272,-0.75232,0.01102,17,0,0,0,0,17,17,0,1,20
33612,4497,0,54,91.189,0.75232,0.01102,15,0,4,2,49,60,60,0,1,20
33612,4525,0,16,91.116,0.75232,0.01102,4,0,0,0,29,33,33,0,1,20
33612,4531,0,16,91.253,-0.75232,0.01102,7,0,1,1,46,52,52,0,1,20
33612,4555,0,118,91.153,0.75232,0.01102,19,0,9,2,69,79,79,0,1,20
33612,4617,0,36,91.097,-0.74102,0.0101,35,0,24,16,80,98,98,0,1,20
33612,4666,0,2,91.195,-0.74102,0.0101,0,0,0,0,32,32,32,0,1,20
33612,4710,0,4,91.243,0.74102,0.0101,0,0,0,0,19,19,19,0,1,20
33612,4724,0,102,91.212,-0.74102,0.0101,17,0,7,1,56,66,66,0,1,20
33612,4740,0,70,91.159,0.74102,0.0101,1,0,0,0,19,20,20,0,1,20
33612,4755,0,116,91.102,-0.74102,0.0101,2,0,2,2,19,19,19,0,1,20
33612,4756,0,100,91.13,-0.74102,0.0101,16,0,12,7,48,56,56,0,1,20
33612,4760,0,52,91.133,-0.74102,0.0101,21,0,14,10,38,49,49,0,1,20
33612,4785,0,52,91.172,-0.74102,0.0101,23,0,18,12,68,79,79,1,1,20
33612,4873,0,2,-999,0.74102,0.0101,0,0,0,0,15,15,15,0,1,20
33612,4974,0,262144,-999,-0.73869,0.01097,9,0,2,4,104,111,111,0,1,20
33612,5042,0,6,91.156,0.73869,0.01097,0,0,0,0,29,29,29,0,1,20
33612,5051,0,16,91.137,0.73869,0.01097,2,0,1,1,24,25,25,0,1,20
33612,5072,0,54,91.242,-0.73869,0.01097,20,0,11,7,82,92,92,0,1,20
33612,5092,0,16,91.165,-0.73869,0.01097,5,0,1,0,31,35,35,0,1,20
33612,5117,0,36,91.12,-0.73869,0.01097,19,0,13,13,54,60,60,3,1,20
33613,191,0,6,91.178,0.73887,0.00941,0,0,0,0,21,21,21,0,1,20
33613,195,0,52,91.151,0.73887,0.00941,11,11,10,8,47,52,52,0,1,20
33613,206,0,52,91.149,-0.73887,0.00941,19,16,14,7,47,57,57,0,1,20
33613,273,0,70,91.089,0.73887,0.00941,0,0,0,0,23,23,23,0,1,20
33613,284,0,116,91.142,0.73887,0.00941,4,4,3,3,32,33,33,0,1,20
33613,286,0,4,91.138,0.73887,0.00941,20,18,12,9,42,53,53,1,1,20
33613,289,0,70,91.04,-0.73887,0.00941,0,0,0,0,29,29,29,0,1,20
33613,357,0,4,91.141,-0.73887,0.00941,14,10,4,3,56,66,66,0,1,20
33613,368,0,70,91.077,-0.73887,0.00941,1,1,0,0,14,15,15,0,1,20
33613,415,0,70,91.138,0.74234,0.00978,4,3,1,2,29,32,32,0,1,20
33613,425,0,68,91.203,-0.74234,0.00978,21,21,15,11,48,60,60,0,1,20
33613,440,0,116,91.152,-0.74234,0.00978,24,18,13,13,56,76,76,0,1,20
33613,441,0,2,91.103,0.74234,0.00978,0,0,0,0,18,18,18,0,1,20
33613,455,0,118,91.144,-0.74234,0.00978,13,8,4,0,60,69,69,0,1,20
33613,483,0,38,91.099,0.74234,0.00978,36,28,18,10,75,93,93,0,1,20
33613,506,0,52,91.158,-0.74234,0.00978,30,23,20,13,62,74,74,0,1,20
33613,509,0,36,91.129,0.74234,0.00978,21,18,12,9,58,71,71,1,1,20
33613,511,0,100,91.156,0.74234,0.00978,14,13,10,8,41,49,49,1,1,20
33613,532,0,70,91.152,-0.74234,0.00978,0,0,0,0,21,21,21,0,1,20
33613,541,0,16,91.05,0.74234,0.00978,2,2,2,0,23,23,23,0,1,20
33613,548,0,38,91.166,-0.74234,0.00978,14,6,3,1,51,62,62,0,1,20
33613,556,0,16,91.129,-0.74234,0.00978,8,7,1,1,42,49,49,0,1,20
33613,627,0,16,91.125,-0.74234,0.00978,5,3,0,0,30,35,35,0,1,20
33613,637,0,38,91.191,-0.74234,0.00978,24,19,12,5,84,96,96,0,1,20
33613,641,0,36,91.101,-0.74234,0.00978,18,13,16,9,48,50,50,0,1,20
33613,677,0,2,91.16,0.74234,0.00978,0,0,0,0,18,18,18,0,1,20
33613,688,0,16,91.252,0.74234,0.00978,1,1,1,1,27,27,27,1,1,20
33613,698,0,70,91.128,0.74234,0.00978,2,2,1,2,18,19,19,0,1,20
33613,718,0,116,91.139,0.74234,0.00978,30,29,17,16,46,67,67,0,1,20
33613,772,0,70,91.163,0.74234,0.00978,0,0,0,0,28,28,28,0,1,20
33613,811,0,118,91.145,-0.74234,0.00978,10,6,7,4,49,53,53,0,1,20
33613,813,0,116,91.116,-0.74234,0.00978,2,2,2,2,22,22,22,0,1,20
33613,831,0,52,91.225,0.74234,0.00978,31,25,19,15,62,78,78,0,1,20
33613,858,0,52,91.121,-0.74234,0.00978,19,16,14,7,45,52,52,0,1,20
33613,883,0,16,-999,0.74234,0.00978,14,11,3,1,45,56,56,0,1,20
33613,901,0,116,91.17,0.74234,0.00978,24,20,16,16,53,62,62,0,1,20
33613,912,0,52,91.133,-0.74234,0.00978,26,24,19,17,57,75,75,0,1,20
33613,915,0,116,91.127,0.74234,0.00978,27,25,22,13,54,60,60,0,1,20
33613,922,0,52,91.147,0.74234,0.00978,31,29,20,20,76,90,90,0,1,20
33613,930,0,52,91.169,-0.74234,0.00978,21,19,13,13,63,74,74,0,1,20
33613,939,0,70,91.177,-0.74234,0.00978,1,0,0,0,32,33,33,0,1,20
33613,954,0,70,91.105,0.74234,0.00978,1,1,1,1,33,33,33,0,1,20
33613,990,0,116,91.152,0.74234,0.00978,10,10,9,8,41,47,47,0,1,20
33613,1011,0,52,91.188,0.74234,0.00978,23,20,15,13,41,59,59,1,1,20
33613,1017,0,54,91.204,-0.74234,0.00978,16,7,3,0,64,77,77,0,1,20
33613,1018,0,16,91.152,-0.74234,0.00978,4,4,2,2,23,25,25,2,1,20
33613,1082,0,116,91.165,-0.74399,0.01058,33,31,23,19,57,71,71,0,1,20
