run,event,evttype,trigger,ecm,pol,dpol,n_phchrg,n_phcrid,n_phkchrg,n_phkelid,n_phklus,n_phpoint,n_phpsum,n_phwic,has_phcrid,file_id
39884,3084,0,6,91.217,0.74309,0.00869,0,0,0,0,20,20,20,0,1,7
39884,3089,0,52,91.127,0.74309,0.00869,33,29,23,19,45,58,58,0,1,7
39884,3156,0,52,91.179,0.74309,0.00869,24,21,17,12,56,67,67,0,1,7
39884,3166,0,38,91.168,-0.74309,0.00869,25,12,13,8,54,71,71,1,1,7
39884,3177,0,52,91.247,0.74309,0.00869,29,26,22,18,46,64,64,0,1,7
39884,3182,0,102,91.195,0.74309,0.00869,14,2,10,4,54,61,61,1,1,7
39884,3188,0,36,91.165,0.74309,0.00869,17,10,10,10,69,79,79,1,1,7
39884,3203,0,100,91.146,0.74309,0.00869,15,12,11,8,47,54,54,0,1,7
39884,3209,0,116,91.178,0.74309,0.00869,13,12,10,7,37,44,44,0,1,7
39884,3215,0,116,91.138,0.74309,0.00869,14,12,10,10,29,38,38,0,1,7
39884,3255,0,1,91.223,0.74309,0.00869,0,0,0,0,19,19,19,0,1,7
39884,3275,0,52,91.19,0.74309,0.00869,15,8,12,6,55,58,58,2,1,7
39884,3282,0,102,91.196,0.74309,0.00869,15,10,8,3,65,72,72,0,1,7
39884,3298,0,116,91.251,-0.74309,0.00869,21,16,9,8,36,50,50,0,1,7
39884,3311,0,116,91.165,-0.74309,0.00869,2,2,2,2,24,24,24,0,1,7
39884,3313,0,118,91.183,0.74309,0.00869,30,25,18,17,85,99,99,0,1,7
39884,3327,0,6,91.197,0.74309,0.00869,0,0,0,0,13,13,13,0,1,7
39884,3347,0,32,91.181,-0.74309,0.00869,1,1,1,1,32,32,32,0,1,7
39884,3349,0,16,91.185,0.74309,0.00869,2,2,0,2,28,30,30,0,1,7
39884,3420,0,116,91.161,0.72163,0.00873,28,24,15,11,58,74,74,0,1,7
39884,3421,0,262144,91.217,0.72163,0.00873,0,0,0,0,27,27,27,0,1,7
39884,3477,0,54,91.225,-0.72163,0.00873,10,6,1,1,51,60,60,0,1,7
