run,event,evttype,trigger,ecm,pol,dpol,n_phchrg,n_phcrid,n_phkchrg,n_phkelid,n_phklus,n_phpoint,n_phpsum,n_phwic,has_phcrid,file_id
34681,6778,0,100,91.239,-0.75251,0.01081,47,42,20,11,54,82,82,1,1,22
34681,6791,0,6,91.099,0.75251,0.01081,0,0,0,0,16,16,16,0,1,22
34681,6807,0,70,91.217,0.75251,0.01081,0,0,0,0,22,22,22,0,1,22
34681,6827,0,100,91.196,0.75251,0.01081,20,15,12,13,32,43,43,0,1,22
34681,6832,0,118,91.279,-0.75251,0.01081,25,12,16,3,77,86,86,0,1,22
34681,6835,0,2,91.258,-0.75251,0.01081,0,0,0,0,28,28,28,0,1,22
34681,6877,0,70,91.188,-0.75251,0.01081,2,0,2,0,30,30,30,0,1,22
34681,6892,0,100,91.148,0.75251,0.01081,8,4,6,4,57,59,59,1,1,22
34681,6975,0,116,91.211,-0.75251,0.01081,13,12,8,7,30,37,37,0,1,22
34681,7007,0,102,91.156,0.75251,0.01081,14,6,10,2,57,65,65,0,1,22
34681,7016,0,52,91.194,-0.75251,0.01081,16,12,11,9,29,40,40,1,1,22
34681,7018,0,16,91.15,-0.75251,0.01081,5,5,0,0,19,24,24,0,1,22
34681,7040,0,38,91.192,-0.75251,0.01081,22,7,2,0,83,103,103,0,1,22
34681,7082,0,52,91.212,0.75251,0.01081,38,27,22,13,86,105,105,0,1,22
34681,7086,0,6,91.309,0.75251,0.01081,0,0,0,0,21,21,21,0,1,22
34681,7096,0,70,91.173,-0.75251,0.01081,4,0,3,0,28,30,30,0,1,22
34681,7121,0,2,91.27,0.75251,0.01081,0,0,0,0,29,29,29,0,1,22
34681,7137,0,116,91.23,-0.75251,0.01081,28,21,24,20,58,67,67,0,1,22
34681,7138,0,116,91.277,0.75251,0.01081,18,14,12,6,48,56,56,3,1,22
34681,7142,0,52,91.189,0.75251,0.01081,11,8,9,8,43,48,48,2,1,22
34681,7160,0,54,91.181,0.75251,0.01081,33,19,10,9,77,102,102,0,1,22
34681,7237,0,52,91.254,-0.75251,0.01081,40,30,22,16,56,77,77,0,1,22
34681,7244,0,116,91.205,0.75251,0.01081,13,10,11,7,34,38,38,0,1,22
34681,7304,0,16,91.223,0.75251,0.01081,6,4,0,1,27,33,33,0,1,22
34681,7308,0,100,91.219,0.75251,0.01081,24,21,19,12,64,73,73,0,1,22
34681,7379,0,144,91.205,-0.75251,0.01081,2,2,1,1,17,18,18,0,1,22
34681,7382,0,4,91.257,0.75251,0.01081,0,0,0,0,37,37,37,0,1,22
34681,7395,0,54,91.174,0.75251,0.01081,20,9,11,1,66,76,76,2,1,22
34681,7402,0,116,91.172,-0.75251,0.01081,2,2,2,2,30,30,30,0,1,22
34681,7419,0,6,91.124,0.75251,0.01081,1,1,0,0,14,15,15,0,1,22
34681,7421,0,116,91.191,-0.76267,0.01288,2,2,2,2,17,17,17,0,1,22
34681,7447,0,262144,91.244,-0.76267,0.01288,0,0,0,0,34,34,34,0,1,22
34681,7449,0,6,91.338,0.76267,0.01288,0,0,0,0,21,21,21,0,1,22
34681,7518,0,52,91.194,-0.76267,0.01288,10,8,7,7,29,36,36,0,1,22
34681,7524,0,16,91.191,-0.76267,0.01288,0,0,0,0,18,18,18,0,1,22
34681,7566,0,6,91.18,0.76267,0.01288,0,0,0,0,17,17,17,0,1,22
34681,7583,0,52,91.219,0.76267,0.01288,17,16,12,9,36,44,44,0,1,22
34681,7598,0,102,91.344,0.76267,0.01288,11,5,4,2,28,36,36,1,1,22
34681,7623,0,262144,91.228,-0.76267,0.01288,1,1,0,0,35,36,36,0,1,22
34681,7677,0,38,91.093,0.76267,0.01288,14,12,9,3,59,65,65,0,1,22
34681,7685,0,52,91.228,-0.76267,0.01288,40,33,19,16,73,95,95,1,1,22
34681,7705,0,100,91.221,0.76267,0.01288,14,9,12,10,58,65,65,1,1,22
34681,7735,0,52,91.165,0.76267,0.01288,23,20,19,12,50,60,60,0,1,22
34681,7753,0,118,91.181,0.76267,0.01288,30,25,22,12,73,83,83,0,1,22
34681,7782,0,102,91.199,-0.76267,0.01288,16,7,10,5,64,73,73,1,1,22
34681,7799,0,128,91.16,0.76267,0.01288,1,1,0,1,20,21,21,0,1,22
34681,7805,0,2,91.171,0.76267,0.01288,0,0,0,0,22,22,22,0,1,22
34682,105,0,524288,91.19,-0.76267,0.01288,1,0,0,0,28,29,29,0,1,22
34682,119,0,2,91.185,-0.76267,0.01288,0,0,0,0,15,15,15,0,1,22
34682,135,0,524288,91.208,0.76267,0.01288,0,0,0,0,21,21,21,0,1,22
34682,136,0,52,91.165,-0.76267,0.01288,33,25,23,15,73,87,87,1,1,22
34682,155,0,262144,91.238,0.7661,0.01124,0,0,0,0,18,18,18,0,1,22
34682,161,0,116,91.247,-0.7661,0.01124,29,24,18,13,51,70,70,0,1,22
34682,180,0,262144,91.212,0.7661,0.01124,0,0,0,0,11,11,11,0,1,22
34682,218,0,262144,91.169,-0.7661,0.01124,0,0,0,0,16,16,16,0,1,22
34682,259,0,70,91.193,0.7661,0.01124,0,0,0,0,27,27,27,0,1,22
34682,265,0,116,91.179,-0.7661,0.01124,13,8,10,5,54,60,60,0,1,22
34682,404,0,262260,91.207,-0.75993,0.01166,25,19,15,8,58,69,69,0,1,22
34682,411,0,262144,91.213,-0.75993,0.01166,0,0,0,0,20,20,20,0,1,22
34682,431,0,70,91.1,-0.75993,0.01166,0,0,0,0,31,31,31,0,1,22
34682,504,0,36,91.228,0.75225,0.01075,24,16,16,11,50,60,60,1,1,22
34682,505,0,2,91.372,-0.75225,0.01075,0,0,0,0,26,26,26,0,1,22
34682,523,0,262144,91.233,0.75225,0.01075,1,0,0,1,33,34,34,0,1,22
34682,549,0,16,91.2,0.78509,0.01231,3,3,2,0,17,18,18,0,1,22
34682,559,0,16,91.185,-0.78509,0.01231,12,7,8,0,43,47,47,0,1,22
34682,562,0,16,91.21,0.78509,0.01231,1,1,1,1,26,26,26,0,1,22
34682,595,0,16,91.252,0.78509,0.01231,13,12,0,1,36,49,49,0,1,22
34682,596,0,70,91.223,0.78509,0.01231,0,0,0,0,38,38,38,0,1,22
