run,event,evttype,trigger,ecm,pol,dpol,n_phchrg,n_phcrid,n_phkchrg,n_phkelid,n_phklus,n_phpoint,n_phpsum,n_phwic,has_phcrid,file_id
39579,763,0,38,91.299,0.73345,0.00999,10,9,3,1,71,78,78,0,1,4
39579,782,0,38,91.177,0.73345,0.00999,21,9,9,3,66,81,81,1,1,4
39579,805,0,116,91.177,-0.73345,0.00999,16,12,12,6,36,42,42,0,1,4
39579,806,0,52,91.156,0.73345,0.00999,14,13,10,7,47,54,54,0,1,4
39579,808,0,100,91.201,-0.73345,0.00999,25,25,18,10,47,58,58,0,1,4
39579,837,0,36,91.224,-0.73345,0.00999,2,2,2,2,24,24,24,0,1,4
39579,1050,0,16,91.132,0.73856,0.01884,7,5,0,4,50,57,57,0,1,4
39579,1066,0,38,91.176,-0.73856,0.01884,18,3,9,3,44,55,55,0,1,4
39579,1075,0,116,91.296,0.73856,0.01884,24,20,15,13,60,75,75,0,1,4
39579,1082,0,16,91.28,0.73856,0.01884,2,2,2,2,35,35,35,2,1,4
39579,1106,0,16,-999,0.73856,0.01884,4,2,1,1,85,88,88,0,1,4
39579,1151,0,52,91.158,-0.73856,0.01884,22,21,14,14,28,43,43,1,1,4
39579,1156,0,70,91.3,-0.73856,0.01884,0,0,0,0,38,38,38,0,1,4
39579,1191,0,116,91.17,0.73856,0.01884,27,20,22,13,56,68,68,0,1,4
39579,1216,0,52,91.364,-0.73856,0.01884,25,23,12,11,45,64,64,0,1,4
39579,1238,0,100,91.222,0.73856,0.01884,33,30,19,12,87,102,102,0,1,4
39579,1243,0,116,91.294,0.73856,0.01884,20,18,13,10,35,47,47,1,1,4
39579,1248,0,70,91.22,0.73856,0.01884,0,0,0,0,40,40,40,0,1,4
39579,1251,0,116,91.129,-0.73856,0.01884,22,21,20,15,59,65,65,0,1,4
39579,1273,0,116,91.187,-0.73856,0.01884,19,17,13,9,46,55,55,0,1,4
39579,1282,0,36,91.207,0.73277,0.01472,17,9,10,10,45,54,54,0,1,4
39579,1296,0,6,91.161,-0.73277,0.01472,0,0,0,0,35,35,35,0,1,4
39579,1301,0,116,91.2,0.73277,0.01472,32,25,19,18,66,87,87,1,1,4
39579,1320,0,102,91.236,-0.73277,0.01472,18,8,7,1,60,71,71,0,1,4
39579,1328,0,116,91.181,-0.73277,0.01472,15,12,10,10,42,49,49,0,1,4
39579,1348,0,100,91.218,-0.73277,0.01472,31,27,25,16,77,94,94,0,1,4
39579,1359,0,100,91.16,0.73277,0.01472,25,22,15,16,66,83,83,1,1,4
39579,1370,0,70,91.164,0.73277,0.01472,0,0,0,0,36,36,36,0,1,4
39579,1377,0,116,91.17,0.73277,0.01472,18,9,10,9,57,67,67,1,1,4
39579,1378,0,52,91.21,0.73277,0.01472,22,21,18,18,49,62,62,0,1,4
39579,1397,0,52,91.208,0.73277,0.01472,19,19,13,9,48,58,58,0,1,4
39579,1451,0,54,91.198,0.73277,0.01472,27,19,16,9,86,97,97,0,1,4
39579,1452,0,100,91.215,0.73277,0.01472,22,19,13,12,50,60,60,0,1,4
39579,1464,0,116,91.271,0.73277,0.01472,19,16,14,11,53,63,63,0,1,4
