SWIFTJ0130.0-4218     ESO244-30                  22.4636  -42.3265  0.0256                111.8
SWIFTJ0130.2-4552     2MASXJ01302127-4601448     22.5887  -46.0292  0.1115                517.2
SWIFTJ0131.8-3307     ESO353-9                   22.9601  -33.1193  0.0165                 71.6
SWIFTJ0134.1-3625     NGC612                     23.4906  -36.4933  0.0305                133.7
SWIFTJ0134.8-0430     LEDA1057320                23.6902   -4.5036  0.0790                358.5
SWIFTJ0136.5+3906     B30133+388                 24.1354   39.0999                              BZB
SWIFTJ0138.6-4001     ESO297-18                  24.6548  -40.0114  0.0252                110.0
SWIFTJ0138.8+2925     LEDA138434                 24.8500   29.4019  0.0759                343.7
SWIFTJ0140.6-5321     2MASXJ01402676-5319389     25.1116  -53.3276  0.0744                336.5
SWIFTJ0142.0+3922     B20138+39B                 25.4906   39.3914  0.0800                363.3 BZU
SWIFTJ0149.2+2153A  a LEDA1656658                27.2487   21.7593  0.002   0.002 0.003
SWIFTJ0149.2+2153B    NGC678                     27.3536   21.9973  0.0095                 41.0
SWIFTJ0149.9-5019     CSRG165                    27.3428  -50.2521  0.03031               132.8
SWIFTJ0151.3-3610     ESO354-4                   27.9245  -36.1878  0.0335                147.2
SWIFTJ0152.8-0329     MCG-1-5-47                 28.2042   -3.4468  0.0172                 74.6
SWIFTJ0154.9-2707     2MASSiJ0154403-270701      28.6679  -27.1169  0.1510                718.4
SWIFTJ0155.4+0228     RBS255                     28.8538    2.4712  0.0820                372.9
SWIFTJ0157.2+4715     LEDA2295246                29.2956   47.2666  0.04836               214.7
SWIFTJ0200.3+2428     UGC1479                    30.0794   24.4737  0.0164                 71.1
SWIFTJ0201.0-0648     NGC788                     30.2769   -6.8155  0.0136                 58.9
SWIFTJ0202.4+6824A    LEDA89913                  30.5720   68.3620  0.0119                 51.4
SWIFTJ0202.4+6824B    LEDA137972                 30.3850   68.4061  0.0152                 65.9
SWIFTJ0203.1-2359     RBS273                     30.7537  -24.0367  0.1781                861.5
SWIFTJ0206.2-0019     Mrk1018                    31.5666   -0.2914  0.0424                187.5
SWIFTJ0207.0+2931     LEDA8076                   31.7592   29.5128  0.1096                507.7
SWIFTJ0208.2+4452     UGC1609                    31.9649   44.8438  0.0217                 94.5
SWIFTJ0208.5-1738     2MASSJ02083494-1739347     32.1455  -17.6594  0.1290                605.2
SWIFTJ0209.5-1010D1   NGC833                     32.3368  -10.1331  0.0129                 55.8
SWIFTJ0209.5-1010D2   NGC835                     32.3525  -10.1359  0.0136                 58.9
SWIFTJ0209.7+5226     LEDA138501                 32.4058   52.4443  0.0492                218.6
SWIFTJ0211.1-4944     Fairall377                 32.7189  -49.6985  0.0481                213.5
SWIFTJ0213.7+5147     2MASXJ02141794+5144520     33.5747   51.7478  0.0490                217.7 BZB
SWIFTJ0214.6-0049     Mrk590                     33.6400   -0.7670  0.0264                115.4
SWIFTJ0214.9-6432     RBS295                     33.6557  -64.5014  0.0740                334.6
SWIFTJ0215.6-1301     3C62                       33.9062  -12.9918  0.1470                697.6
SWIFTJ0216.3+5128     SWIFTJ0216.3+5128          34.1113   51.4237  0.422                2314.1
SWIFTJ0218.0+7348     [HB89]0212+735             34.3784   73.8257  2.3670              19085.9 BZQ
SWIFTJ0222.3+2509     2MASXJ02223523+2508143     35.6468   25.1374  0.0620                278.1
SWIFTJ0222.6+5222     1RXSJ022206.0+522112       35.5258   52.3523  0.2000                980.1
SWIFTJ0223.4+4551     2MASXJ02233309+4549162     35.8879   45.8212  0.0613                274.7
SWIFTJ0225.0-2312     LEDA2823078                36.2612  -23.2133  0.2322               1159.0
SWIFTJ0225.0+1847     RBS0315                    36.2695   18.7802  2.6900              22288.5 BZQ
SWIFTJ0225.8-6315     Fairall296                 36.2876  -63.2240  0.0580                259.3
SWIFTJ0226.4-2821     AM0224-283                 36.6070  -28.3497  0.0598                267.7
SWIFTJ0227.0+2346     MCG+4-6-43                 36.7275   23.7997  0.0333                146.3
SWIFTJ0228.1+3118     Mrk1040                    37.0603   31.3117  0.0167                 72.4
SWIFTJ0230.2-0900     Mrk1044                    37.5227   -8.9979  0.0165                 71.6
SWIFTJ0231.6-3645     IC1816                     37.9625  -36.6721  0.0170                 73.8
SWIFTJ0232.8+2020     QSOB0229+200               38.2026   20.2882  0.1396                659.4 BZB
SWIFTJ0234.1+3233     NGC973                     38.5838   32.5056  0.0162                 70.2
SWIFTJ0234.6-0848     NGC985                     38.6574   -8.7876  0.0430                190.2
SWIFTJ0235.3-2934     ESO416-2                   38.8061  -29.6047  0.0592                264.9
SWIFTJ0238.2-5213     ESO198-24                  39.5821  -52.1923  0.0455                201.6
SWIFTJ0238.5-6119     2MASXJ02384313-6117227     39.6796  -61.2896  0.0543                242.1
SWIFTJ0238.8-4039     LEDA74091                  39.7040  -40.6439  0.0618                277.1
SWIFTJ0241.3-0816   b NGC1052                    40.2700   -8.2558  0.0050                 19.5 BZU
SWIFTJ0241.6+0711     Mrk595                     40.3954    7.1872  0.0270                118.0
SWIFTJ0242.0+0516     IRAS02394+0457             40.5158    5.1684  0.0690                310.9
SWIFTJ0242.2+0531     RHS15                      40.5610    5.5100  0.0690                310.9
