SWIFTJ0001.0-0708      7.3   13.0    8.4   5.4   10.8   12.3
SWIFTJ0001.6-7701      3.2   10.1    5.2   3.7    9.0   10.3
SWIFTJ0002.5+0323      4.8   11.7    4.8   4.0    8.7    9.9
SWIFTJ0003.3+2737      1.7   13.0    3.1   4.3   11.2   12.8
SWIFTJ0005.0+7021      3.6   12.7    4.7   5.6   10.6   12.1
SWIFTJ0006.2+2012      6.0   18.4   11.2   7.0   14.2   16.2
SWIFTJ0009.4-0037      0.8    9.3    3.1   3.5   10.6   12.1
SWIFTJ0010.5+1057      7.7   31.4    7.7  10.5   26.8   30.6
SWIFTJ0017.1+8134      3.3   10.1    3.4   4.3    9.6   11.0
SWIFTJ0021.2-1909     10.6   17.3   11.2   6.9   14.0   16.0
SWIFTJ0025.8+6818      0.7   18.2   42.6  11.6   31.0   35.4
SWIFTJ0026.5-5308      5.3   14.2    5.3   5.1   12.7   14.5
SWIFTJ0029.2+1319      4.6   12.5    4.6   5.0   11.1   12.7
SWIFTJ0030.0-5904      0.1   14.2    6.9   6.2   17.8   20.3
SWIFTJ0033.6+6127      6.7   14.1    7.4   5.8   11.8   13.5
SWIFTJ0034.5-7904      7.2    6.7    7.3   3.3    5.7    6.5
SWIFTJ0034.6-0422      1.6   16.4    4.0   6.9   15.6   17.8
SWIFTJ0036.0+5951     81.2   24.8   75.9  11.0   23.7   27.1
SWIFTJ0036.3+4540      5.9   15.6    6.0   5.5   13.0   14.9
SWIFTJ0038.4+2337      2.4   19.0    4.3   7.6   16.6   19.0
SWIFTJ0042.9+3016A     2.2    7.7    2.6   3.9    6.8    7.8
SWIFTJ0042.9+3016B     3.4   10.3    3.5   2.4    6.1    7.0
SWIFTJ0042.9-1135      1.5    8.9    2.4   4.1    7.9    9.0
SWIFTJ0042.9-2332      4.0   47.7   14.7  19.3   45.7   52.2
SWIFTJ0046.2-4008      2.0   13.0    4.8   6.5   12.5   14.3
SWIFTJ0048.8+3155     27.1  156.0   54.8  60.2  139.3  159.2
SWIFTJ0051.6+2928      3.3    9.8    3.3   4.0    8.4    9.6
SWIFTJ0051.9+1724     13.6   29.7   13.6  12.3   25.2   28.8
SWIFTJ0052.3-2730      2.0    8.2    3.1   3.3    8.3    9.5
SWIFTJ0054.9+2524      6.8   13.7    6.5   5.1   11.2   12.8
SWIFTJ0057.0+6405      2.4   10.2    2.3   2.7    8.4    9.6
SWIFTJ0059.4+3150     11.2   30.0   11.1  12.2   23.9   27.3
SWIFTJ0100.9-4750      2.8   16.3    3.5   6.1   14.1   16.1
SWIFTJ0101.5-0308      1.4   10.3    1.4   3.9    9.6   11.0
SWIFTJ0103.8-6437      3.0   11.3    3.0   3.4   10.1   11.5
SWIFTJ0105.5-4213      0.3   12.0   13.7   6.6   16.7   19.1
SWIFTJ0105.6-3433      5.1    8.6    5.5   4.2    7.3    8.3
SWIFTJ0105.7-1414      5.6   13.1    5.7   5.7   10.6   12.1
SWIFTJ0106.2-4704      2.1    7.2    3.7   3.4    8.0    9.1
SWIFTJ0106.8+0639      1.7   15.4    6.6   5.4   15.2   17.4
SWIFTJ0107.7-1137B     1.0   10.5    4.1   4.3   10.5   12.0
SWIFTJ0109.0+1320      2.4   27.8   16.5  13.3   30.9   35.3
SWIFTJ0111.4-3808      0.9   20.7  188.1  30.3   67.0   76.6
SWIFTJ0113.8+1313      3.5   16.5    6.3   6.1   14.4   16.5
SWIFTJ0113.8+2515      2.5    9.9    2.6   3.6    8.1    9.3
SWIFTJ0113.8-1450      4.5   27.2    4.5  10.2   22.7   25.9
SWIFTJ0114.4-5522      1.9   17.5    4.5   6.3   15.7   17.9
SWIFTJ0114.5-3236      2.2   14.3    7.9   5.5   14.3   16.3
SWIFTJ0116.3+3104      2.3   12.0    2.5   4.9    9.4   10.7
SWIFTJ0116.5-1235      4.4    9.8    4.1   3.6    7.9    9.0
SWIFTJ0122.0-2818      3.3   15.1    3.3   3.7   11.0   12.6
SWIFTJ0122.8+5003      1.3   12.6   99.4  11.5   24.9   28.5
SWIFTJ0122.9+3420     15.2   13.4   15.1   5.8   13.0   14.9
SWIFTJ0123.8-3504     21.4   63.2   22.4  19.7   52.3   59.8
SWIFTJ0123.9-5846     27.3   49.5   27.4  18.4   44.2   50.5
SWIFTJ0124.5+3350      3.9   20.4    5.4   7.2   17.0   19.4
SWIFTJ0126.0+3511      1.3    9.8    1.3   3.8    7.9    9.0
SWIFTJ0126.2+1517      2.4   13.4    2.5   4.8   11.8   13.5
SWIFTJ0127.5+1910      7.2   13.3    7.3   6.2   11.2   12.8
SWIFTJ0128.0-1850      8.3   19.7    8.3   6.1   16.7   19.1
SWIFTJ0128.4+1631      0.9   14.7    2.4   5.0   11.7   13.4
SWIFTJ0128.9-6039      0.6    9.4   13.8   5.7   13.9   15.9
SWIFTJ0130.0-4218      0.5    8.9   31.5   7.6   17.4   19.9
SWIFTJ0130.2-4552      0.8    6.7    0.8   2.1    5.2    5.9
SWIFTJ0131.8-3307      0.9   14.4   10.6   5.3   13.6   15.5
SWIFTJ0134.1-3625      1.7   55.0   41.1  30.1   87.4   99.9
SWIFTJ0134.8-0430      8.6   22.7    8.6   7.2   20.0   22.9
SWIFTJ0136.5+3906     11.4   11.9   11.2   2.7    6.1    7.0
SWIFTJ0138.6-4001      3.8   68.7   32.4  34.3   85.9   98.2
SWIFTJ0138.8+2925      2.0    6.3    2.0   2.8    5.0    5.7
SWIFTJ0140.6-5321      5.2   12.4    5.6   5.0   10.1   11.5
SWIFTJ0142.0+3922      4.5   13.6    4.5   4.3   12.4   14.2
SWIFTJ0149.2+2153A     0.6    8.7    0.9   3.4    8.2    9.4
SWIFTJ0149.2+2153B     0.5    8.2    1.5   2.5    5.9    6.7
SWIFTJ0149.9-5019      2.8   12.5    2.9   3.7   10.4   11.9
SWIFTJ0151.3-3610      5.1    8.2    5.1   3.4    7.5    8.6
SWIFTJ0152.8-0329      3.5   22.9    8.4   9.0   20.9   23.9
SWIFTJ0154.9-2707      6.1   15.3    6.8   5.4   11.8   13.5
SWIFTJ0155.4+0228      1.7   11.3    1.7   4.8    9.4   10.7
SWIFTJ0157.2+4715      7.5   16.0    7.6   5.3   13.9   15.9
SWIFTJ0200.3+2428      1.1   14.4    2.3   4.3   12.5   14.3
SWIFTJ0201.0-0648      3.2   80.1   25.2  40.0   96.2  109.9
SWIFTJ0202.4+6824A     1.5   11.5    1.7   2.7    8.4    9.6
SWIFTJ0202.4+6824B     2.3    7.7    2.3   1.8    6.7    7.7
SWIFTJ0203.1-2359      5.9   10.8    5.5   4.5    8.9   10.2
SWIFTJ0206.2-0019      9.5   33.0    9.6  10.3   27.0   30.9
SWIFTJ0207.0+2931      8.2   17.1    8.5   6.2   15.3   17.5
SWIFTJ0208.2+4452      3.4   10.5    3.5   4.2    8.8   10.1
SWIFTJ0208.5-1738      4.5    9.1    5.3   3.6    7.9    9.0
SWIFTJ0209.5-1010D1    0.5   15.4    1.7   1.6    4.7    5.4
SWIFTJ0209.5-1010D2    0.8   15.4    2.8   4.0    9.9   11.3
SWIFTJ0209.7+5226     15.9   51.3   16.1  19.5   45.1   51.5
SWIFTJ0211.1-4944      1.9    7.9    3.3   3.3    7.6    8.7
SWIFTJ0213.7+5147     10.3    8.0   10.0   4.4   10.9   12.5
SWIFTJ0214.6-0049      3.2   16.7    3.2   5.6   13.5   15.4
SWIFTJ0214.9-6432      5.7   12.2    5.7   4.2   10.4   11.9
SWIFTJ0215.6-1301      2.4   13.9    5.5   4.8   11.8   13.5
SWIFTJ0216.3+5128      8.2   19.0    9.3   6.9   17.0   19.4
SWIFTJ0218.0+7348      6.0   34.5    6.0  10.5   33.7   38.5
SWIFTJ0222.3+2509      4.5   15.8    4.9   3.9   12.9   14.7
SWIFTJ0222.6+5222      5.6    8.3    5.7   4.2    7.5    8.6
SWIFTJ0223.4+4551      3.0   14.7    5.2   5.1   13.7   15.7
