2453080.822   1.01  3.077 0.013   3.566 0.019  4.175 0.031  5.676 0.116 FLWO    4Shooter
2453081.327   2.06  3.005 0.062   3.454 0.099  4.210 0.251 10.24  5.979 Wise    TAVAS
2453081.789   3.07  3.107 0.011   3.587 0.015  4.177 0.042  5.285 0.108 FLWO    4Shooter
2453082.785   1.69  3.072 0.011   3.576 0.016  4.222 0.035  5.319 0.092 FLWO    4Shooter
2453083.934   1.01  3.113 0.022   3.517 0.031  4.176 0.057  5.418 0.167 FLWO    4Shooter
2453085.793   1.45  3.087 0.011   3.539 0.015  4.271 0.032  5.551 0.098 FLWO    4Shooter
2453087.662   3.09  3.012 0.061   3.498 0.061  4.355 0.107  5.407 0.108 WIYN    WTTM
2453087.707   2.40  3.077 0.011   3.534 0.016  4.259 0.044  5.415 0.120 FLWO    4Shooter
2453088.734   2.01  3.063 0.011   3.563 0.016  4.234 0.040  5.526 0.124 FLWO    4Shooter
2453090.735   0.63  3.088 0.024   3.587 0.036  4.366 0.072  5.211 0.150 FLWO    4Shooter
2453091.772   0.97  3.080 0.014   3.534 0.020  4.262 0.037  5.554 0.116 FLWO    4Shooter
2453092.821   0.65  3.069 0.017   3.527 0.025  4.246 0.048  5.566 0.152 FLWO    4Shooter
2453093.790   0.72  3.068 0.014   3.546 0.021  4.252 0.039  5.547 0.121 FLWO    4Shooter
2453094.718   0.80  3.022 0.020   3.510 0.031  4.267 0.062  5.664 0.208 FLWO    4Shooter
2453095.819   0.67  3.080 0.024   3.516 0.035  4.317 0.073  5.391 0.186 FLWO    4Shooter
2453100.412   0.36  3.085 0.093   3.529 0.137  4.562 0.333  5.271 0.576 Wise    Tektronix
2453101.657   0.42  3.021 0.026   3.461 0.038  4.274 0.079  5.473 0.223 FLWO    4Shooter
2453104.747   0.99  3.066 0.017   3.534 0.025  4.237 0.047  5.522 0.144 FLWO    4Shooter
2453107.686   1.31  3.027 0.755   3.486 0.755  4.273 0.864  5.252 0.865 WIYN    WTTM
2453107.694   0.66  3.065 0.015   3.591 0.024  4.149 0.037  5.418 0.115 FLWO    4Shooter
2453108.285   1.84  3.050 0.031   3.606 0.049  4.261 0.118  5.595 0.367 Wise    Tektronix
2453108.729   1.64  3.089 0.012   3.544 0.016  4.272 0.038  5.364 0.098 FLWO    4Shooter
2453111.688   1.61  3.083 0.013   3.546 0.018  4.200 0.039  5.391 0.111 FLWO    4Shooter
2453113.335   0.89  3.071 0.051   3.566 0.080  4.164 0.135  5.482 0.402 Wise    Tektronix
2453116.725   1.37  3.115 0.013   3.542 0.017  4.242 0.036  5.301 0.091 FLWO    4Shooter
2453117.746   1.36  3.091 0.014   3.567 0.020  4.336 0.044  5.690 0.146 FLWO    4Shooter
2453118.764   0.82  3.135 0.014   3.552 0.019  4.261 0.034  5.234 0.081 FLWO    4Shooter
2453119.731   0.76  3.077 0.014   3.551 0.020  4.301 0.038  5.448 0.105 FLWO    4Shooter
2453120.730   0.70  3.102 0.015   3.561 0.022  4.271 0.041  5.161 0.089 FLWO    4Shooter
2453122.786   0.55  3.096 0.028   3.583 0.043  4.231 0.078  5.730 0.282 FLWO    4Shooter
2453124.718   0.78  3.083 0.027   3.614 0.044  4.249 0.078  5.168 0.173 FLWO    4Shooter
2453125.737   0.52  3.077 0.034   3.523 0.051  4.313 0.103  5.225 0.226 FLWO    4Shooter
2453126.717   0.58  3.117 0.027   3.534 0.039  4.202 0.071  5.133 0.159 FLWO    4Shooter
2453129.240   0.72  2.991 0.057   3.577 0.094  4.247 0.170  5.116 0.349 Wise    Tektronix
2453129.812   0.58  3.120 0.035   3.539 0.051  4.353 0.107  4.999 0.187 FLWO    4Shooter
2453132.749   2.09  3.106 0.008   3.596 0.012  4.257 0.029  5.187 0.066 FLWO    4Shooter
