image,mjd,jd_minus_2450000,mag,magerr,band,telescope,in_paper_fit
D,53712.37300,3712.873,20.262,0.052,SDSS r,FLWO 1.2m Keplercam,0
A,53714.45100,3714.951,19.498,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53714.45100,3714.951,19.876,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53714.45100,3714.951,19.894,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53714.45100,3714.951,20.225,0.047,SDSS r,FLWO 1.2m Keplercam,0
A,53718.26500,3718.765,19.507,0.054,SDSS r,FLWO 1.2m Keplercam,1
B,53718.26500,3718.765,19.911,0.079,SDSS r,FLWO 1.2m Keplercam,1
C,53718.26500,3718.765,19.776,0.075,SDSS r,FLWO 1.2m Keplercam,1
D,53718.26500,3718.765,20.182,0.118,SDSS r,FLWO 1.2m Keplercam,0
A,53725.46300,3725.963,19.488,0.025,SDSS r,FLWO 1.2m Keplercam,1
B,53725.46300,3725.963,19.904,0.030,SDSS r,FLWO 1.2m Keplercam,1
C,53725.46300,3725.963,19.927,0.038,SDSS r,FLWO 1.2m Keplercam,1
D,53725.46300,3725.963,20.214,0.079,SDSS r,FLWO 1.2m Keplercam,0
A,53726.43200,3726.932,19.527,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,53726.43200,3726.932,19.966,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,53726.43200,3726.932,19.918,0.033,SDSS r,FLWO 1.2m Keplercam,1
D,53726.43200,3726.932,20.277,0.069,SDSS r,FLWO 1.2m Keplercam,0
A,53728.43500,3728.935,19.527,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,53728.43500,3728.935,19.978,0.022,SDSS r,FLWO 1.2m Keplercam,1
C,53728.43500,3728.935,19.937,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,53728.43500,3728.935,20.110,0.060,SDSS r,FLWO 1.2m Keplercam,0
A,53729.45100,3729.951,19.535,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53729.45100,3729.951,19.978,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53729.45100,3729.951,19.937,0.048,SDSS r,FLWO 1.2m Keplercam,1
D,53729.45100,3729.951,20.188,0.051,SDSS r,FLWO 1.2m Keplercam,0
A,53729.48400,3729.984,19.487,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53729.48400,3729.984,19.911,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53729.48400,3729.984,19.938,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53729.48400,3729.984,20.226,0.046,SDSS r,FLWO 1.2m Keplercam,0
A,53730.45100,3730.951,19.441,0.019,SDSS r,FLWO 1.2m Keplercam,1
B,53730.45100,3730.951,19.880,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,53730.45100,3730.951,19.898,0.029,SDSS r,FLWO 1.2m Keplercam,1
D,53730.45100,3730.951,20.165,0.061,SDSS r,FLWO 1.2m Keplercam,0
A,53731.35300,3731.853,19.537,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,53731.35300,3731.853,19.981,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,53731.35300,3731.853,19.944,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,53731.35300,3731.853,20.280,0.058,SDSS r,FLWO 1.2m Keplercam,0
A,53734.41800,3734.918,19.559,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53734.41800,3734.918,20.002,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53734.41800,3734.918,19.984,0.042,SDSS r,FLWO 1.2m Keplercam,1
D,53734.41800,3734.918,20.206,0.044,SDSS r,FLWO 1.2m Keplercam,0
A,53735.51800,3736.018,19.516,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53735.51800,3736.018,19.944,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53735.51800,3736.018,19.924,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,53735.51800,3736.018,20.140,0.026,SDSS r,FLWO 1.2m Keplercam,0
A,53736.40200,3736.902,19.555,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53736.40200,3736.902,19.961,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53736.40200,3736.902,19.960,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53736.40200,3736.902,20.162,0.024,SDSS r,FLWO 1.2m Keplercam,0
A,53737.42300,3737.923,19.547,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,53737.42300,3737.923,19.975,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,53737.42300,3737.923,19.965,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,53737.42300,3737.923,20.159,0.029,SDSS r,FLWO 1.2m Keplercam,0
A,53738.46100,3738.961,19.529,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53738.46100,3738.961,19.970,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53738.46100,3738.961,19.952,0.030,SDSS r,FLWO 1.2m Keplercam,1
D,53738.46100,3738.961,20.147,0.036,SDSS r,FLWO 1.2m Keplercam,0
A,53739.53300,3740.033,19.525,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53739.53300,3740.033,19.985,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53739.53300,3740.033,19.994,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53739.53300,3740.033,20.171,0.049,SDSS r,FLWO 1.2m Keplercam,0
A,53740.41000,3740.910,19.587,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53740.41000,3740.910,20.009,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53740.41000,3740.910,20.036,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,53740.41000,3740.910,20.186,0.023,SDSS r,FLWO 1.2m Keplercam,0
A,53742.49200,3742.992,19.542,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53742.49200,3742.992,19.984,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53742.49200,3742.992,19.970,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,53742.49200,3742.992,20.177,0.040,SDSS r,FLWO 1.2m Keplercam,0
A,53743.27200,3743.772,19.445,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,53743.27200,3743.772,19.975,0.028,SDSS r,FLWO 1.2m Keplercam,1
C,53743.27200,3743.772,19.851,0.061,SDSS r,FLWO 1.2m Keplercam,1
D,53743.27200,3743.772,20.008,0.077,SDSS r,FLWO 1.2m Keplercam,0
A,53743.47600,3743.976,19.586,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53743.47600,3743.976,20.007,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53743.47600,3743.976,20.042,0.054,SDSS r,FLWO 1.2m Keplercam,1
D,53743.47600,3743.976,20.152,0.056,SDSS r,FLWO 1.2m Keplercam,0
A,53745.43100,3745.931,19.526,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53745.43100,3745.931,19.976,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53745.43100,3745.931,19.956,0.072,SDSS r,FLWO 1.2m Keplercam,1
D,53745.43100,3745.931,20.105,0.085,SDSS r,FLWO 1.2m Keplercam,0
A,53745.47000,3745.970,19.545,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,53745.47000,3745.970,19.948,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,53745.47000,3745.970,19.924,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,53745.47000,3745.970,20.106,0.051,SDSS r,FLWO 1.2m Keplercam,0
A,53746.52400,3747.024,19.579,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,53746.52400,3747.024,19.976,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53746.52400,3747.024,20.022,0.037,SDSS r,FLWO 1.2m Keplercam,1
D,53746.52400,3747.024,20.099,0.038,SDSS r,FLWO 1.2m Keplercam,0
A,53748.50000,3749.000,19.577,0.010,SDSS r,FLWO 1.2m Keplercam,1
B,53748.50000,3749.000,19.962,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,53748.50000,3749.000,20.087,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53748.50000,3749.000,20.134,0.026,SDSS r,FLWO 1.2m Keplercam,0
A,53752.41800,3752.918,19.569,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,53752.41800,3752.918,19.962,0.024,SDSS r,FLWO 1.2m Keplercam,1
C,53752.41800,3752.918,20.034,0.028,SDSS r,FLWO 1.2m Keplercam,1
D,53752.41800,3752.918,20.198,0.035,SDSS r,FLWO 1.2m Keplercam,0
A,53753.45000,3753.950,19.518,0.032,SDSS r,FLWO 1.2m Keplercam,1
B,53753.45000,3753.950,19.884,0.038,SDSS r,FLWO 1.2m Keplercam,1
C,53753.45000,3753.950,19.910,0.048,SDSS r,FLWO 1.2m Keplercam,1
D,53753.45000,3753.950,20.098,0.102,SDSS r,FLWO 1.2m Keplercam,0
A,53755.39700,3755.897,19.523,0.028,SDSS r,FLWO 1.2m Keplercam,1
B,53755.39700,3755.897,19.935,0.033,SDSS r,FLWO 1.2m Keplercam,1
C,53755.39700,3755.897,19.904,0.042,SDSS r,FLWO 1.2m Keplercam,1
D,53755.39700,3755.897,20.094,0.089,SDSS r,FLWO 1.2m Keplercam,0
A,53756.42900,3756.929,19.580,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,53756.42900,3756.929,19.945,0.012,SDSS r,FLWO 1.2m Keplercam,1
C,53756.42900,3756.929,19.959,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53756.42900,3756.929,20.078,0.024,SDSS r,FLWO 1.2m Keplercam,0
A,53757.38400,3757.884,19.583,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53757.38400,3757.884,19.935,0.011,SDSS r,FLWO 1.2m Keplercam,1
C,53757.38400,3757.884,19.940,0.044,SDSS r,FLWO 1.2m Keplercam,1
D,53757.38400,3757.884,20.072,0.046,SDSS r,FLWO 1.2m Keplercam,0
A,53757.39200,3757.892,19.541,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,53757.39200,3757.892,19.940,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,53757.39200,3757.892,19.893,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,53757.39200,3757.892,20.179,0.056,SDSS r,FLWO 1.2m Keplercam,0
A,53758.41600,3758.916,19.583,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53758.41600,3758.916,19.922,0.011,SDSS r,FLWO 1.2m Keplercam,1
C,53758.41600,3758.916,19.921,0.036,SDSS r,FLWO 1.2m Keplercam,1
D,53758.41600,3758.916,20.080,0.037,SDSS r,FLWO 1.2m Keplercam,0
A,53758.43700,3758.937,19.578,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53758.43700,3758.937,19.908,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53758.43700,3758.937,19.894,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53758.43700,3758.937,20.164,0.048,SDSS r,FLWO 1.2m Keplercam,0
A,53764.38500,3764.885,19.548,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53764.38500,3764.885,19.943,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53764.38500,3764.885,19.880,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53764.38500,3764.885,20.196,0.046,SDSS r,FLWO 1.2m Keplercam,0
A,53765.55100,3766.051,19.620,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53765.55100,3766.051,20.006,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53765.55100,3766.051,19.863,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53765.55100,3766.051,20.112,0.049,SDSS r,FLWO 1.2m Keplercam,0
A,53766.40600,3766.906,19.601,0.012,SDSS r,FLWO 1.2m Keplercam,1
B,53766.40600,3766.906,19.951,0.014,SDSS r,FLWO 1.2m Keplercam,1
C,53766.40600,3766.906,19.883,0.018,SDSS r,FLWO 1.2m Keplercam,1
D,53766.40600,3766.906,20.153,0.037,SDSS r,FLWO 1.2m Keplercam,0
A,53767.35800,3767.858,19.626,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53767.35800,3767.858,19.966,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53767.35800,3767.858,19.884,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,53767.35800,3767.858,20.174,0.042,SDSS r,FLWO 1.2m Keplercam,0
A,53768.34200,3768.842,19.618,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53768.34200,3768.842,19.894,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53768.34200,3768.842,19.874,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,53768.34200,3768.842,20.147,0.042,SDSS r,FLWO 1.2m Keplercam,0
A,53770.29200,3770.792,19.626,0.011,SDSS r,FLWO 1.2m Keplercam,1
B,53770.29200,3770.792,19.926,0.013,SDSS r,FLWO 1.2m Keplercam,1
C,53770.29200,3770.792,19.855,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,53770.29200,3770.792,20.036,0.022,SDSS r,FLWO 1.2m Keplercam,0
A,53771.27200,3771.772,19.568,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53771.27200,3771.772,19.828,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,53771.27200,3771.772,19.787,0.045,SDSS r,FLWO 1.2m Keplercam,1
D,53771.27200,3771.772,19.977,0.058,SDSS r,FLWO 1.2m Keplercam,0
A,53772.25800,3772.758,19.559,0.030,SDSS r,FLWO 1.2m Keplercam,1
B,53772.25800,3772.758,20.038,0.047,SDSS r,FLWO 1.2m Keplercam,1
C,53772.25800,3772.758,19.906,0.044,SDSS r,FLWO 1.2m Keplercam,1
D,53772.25800,3772.758,19.910,0.050,SDSS r,FLWO 1.2m Keplercam,0
A,53773.22200,3773.722,19.625,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53773.22200,3773.722,19.932,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53773.22200,3773.722,19.879,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,53773.22200,3773.722,20.031,0.030,SDSS r,FLWO 1.2m Keplercam,0
A,53775.45200,3775.952,19.655,0.035,SDSS r,FLWO 1.2m Keplercam,1
B,53775.45200,3775.952,19.847,0.042,SDSS r,FLWO 1.2m Keplercam,1
C,53775.45200,3775.952,19.833,0.045,SDSS r,FLWO 1.2m Keplercam,1
D,53775.45200,3775.952,20.060,0.060,SDSS r,FLWO 1.2m Keplercam,0
A,53776.43800,3776.938,19.617,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,53776.43800,3776.938,19.885,0.028,SDSS r,FLWO 1.2m Keplercam,1
C,53776.43800,3776.938,19.841,0.064,SDSS r,FLWO 1.2m Keplercam,1
D,53776.43800,3776.938,19.850,0.072,SDSS r,FLWO 1.2m Keplercam,0
A,53786.35800,3786.858,19.601,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,53786.35800,3786.858,19.986,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,53786.35800,3786.858,19.901,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,53786.35800,3786.858,20.133,0.054,SDSS r,FLWO 1.2m Keplercam,0
A,53787.30200,3787.802,19.621,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53787.30200,3787.802,19.941,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53787.30200,3787.802,19.943,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,53787.30200,3787.802,20.077,0.042,SDSS r,FLWO 1.2m Keplercam,0
A,53788.35900,3788.859,19.624,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53788.35900,3788.859,19.985,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53788.35900,3788.859,19.983,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,53788.35900,3788.859,20.055,0.041,SDSS r,FLWO 1.2m Keplercam,0
A,53791.29100,3791.791,19.580,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53791.29100,3791.791,19.937,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53791.29100,3791.791,19.953,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,53791.29100,3791.791,20.023,0.041,SDSS r,FLWO 1.2m Keplercam,0
A,53793.29400,3793.794,19.620,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53793.29400,3793.794,19.941,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53793.29400,3793.794,19.987,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,53793.29400,3793.794,19.999,0.040,SDSS r,FLWO 1.2m Keplercam,0
A,53794.25000,3794.750,19.623,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53794.25000,3794.750,19.995,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53794.25000,3794.750,19.945,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53794.25000,3794.750,20.009,0.046,SDSS r,FLWO 1.2m Keplercam,0
A,53797.29700,3797.797,19.556,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53797.29700,3797.797,20.000,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53797.29700,3797.797,19.869,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53797.29700,3797.797,19.904,0.047,SDSS r,FLWO 1.2m Keplercam,0
A,53798.34100,3798.841,19.633,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53798.34100,3798.841,19.868,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53798.34100,3798.841,19.990,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,53798.34100,3798.841,20.010,0.044,SDSS r,FLWO 1.2m Keplercam,0
A,53799.35400,3799.854,19.611,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53799.35400,3799.854,19.900,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53799.35400,3799.854,19.929,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53799.35400,3799.854,19.935,0.046,SDSS r,FLWO 1.2m Keplercam,0
A,53799.53700,3800.037,19.566,0.047,SDSS r,FLWO 1.2m Keplercam,1
B,53799.53700,3800.037,19.771,0.058,SDSS r,FLWO 1.2m Keplercam,1
C,53799.53700,3800.037,19.995,0.076,SDSS r,FLWO 1.2m Keplercam,1
D,53799.53700,3800.037,19.887,0.076,SDSS r,FLWO 1.2m Keplercam,0
A,53800.29100,3800.791,19.506,0.023,SDSS r,FLWO 1.2m Keplercam,1
B,53800.29100,3800.791,19.971,0.027,SDSS r,FLWO 1.2m Keplercam,1
C,53800.29100,3800.791,19.903,0.034,SDSS r,FLWO 1.2m Keplercam,1
D,53800.29100,3800.791,20.022,0.072,SDSS r,FLWO 1.2m Keplercam,0
A,53815.32800,3815.828,19.642,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,53815.32800,3815.828,19.918,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,53815.32800,3815.828,20.058,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,53815.32800,3815.828,19.914,0.055,SDSS r,FLWO 1.2m Keplercam,0
A,53818.34300,3818.843,19.595,0.018,SDSS r,FLWO 1.2m Keplercam,1
B,53818.34300,3818.843,19.951,0.021,SDSS r,FLWO 1.2m Keplercam,1
C,53818.34300,3818.843,20.007,0.027,SDSS r,FLWO 1.2m Keplercam,1
D,53818.34300,3818.843,20.014,0.057,SDSS r,FLWO 1.2m Keplercam,0
A,53820.22100,3820.721,19.600,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53820.22100,3820.721,19.905,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53820.22100,3820.721,19.993,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53820.22100,3820.721,19.913,0.049,SDSS r,FLWO 1.2m Keplercam,0
A,53823.19600,3823.696,19.653,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53823.19600,3823.696,19.891,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53823.19600,3823.696,20.009,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,53823.19600,3823.696,19.930,0.046,SDSS r,FLWO 1.2m Keplercam,0
A,53827.31600,3827.816,19.690,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53827.31600,3827.816,19.925,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53827.31600,3827.816,20.055,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53827.31600,3827.816,19.886,0.047,SDSS r,FLWO 1.2m Keplercam,0
A,53827.41900,3827.919,19.677,0.028,SDSS r,FLWO 1.2m Keplercam,1
B,53827.41900,3827.919,19.825,0.032,SDSS r,FLWO 1.2m Keplercam,1
C,53827.41900,3827.919,20.005,0.040,SDSS r,FLWO 1.2m Keplercam,1
D,53827.41900,3827.919,19.873,0.039,SDSS r,FLWO 1.2m Keplercam,0
A,53832.25200,3832.752,19.558,0.032,SDSS r,FLWO 1.2m Keplercam,1
B,53832.25200,3832.752,20.038,0.038,SDSS r,FLWO 1.2m Keplercam,1
C,53832.25200,3832.752,20.129,0.049,SDSS r,FLWO 1.2m Keplercam,1
D,53832.25200,3832.752,19.812,0.103,SDSS r,FLWO 1.2m Keplercam,0
A,53837.21400,3837.714,19.617,0.032,SDSS r,FLWO 1.2m Keplercam,1
B,53837.21400,3837.714,19.821,0.037,SDSS r,FLWO 1.2m Keplercam,1
C,53837.21400,3837.714,19.963,0.047,SDSS r,FLWO 1.2m Keplercam,1
D,53837.21400,3837.714,19.957,0.099,SDSS r,FLWO 1.2m Keplercam,0
A,53841.16900,3841.669,19.665,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53841.16900,3841.669,19.855,0.019,SDSS r,FLWO 1.2m Keplercam,1
C,53841.16900,3841.669,19.914,0.024,SDSS r,FLWO 1.2m Keplercam,1
D,53841.16900,3841.669,20.001,0.050,SDSS r,FLWO 1.2m Keplercam,0
A,53843.17400,3843.674,19.592,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53843.17400,3843.674,19.802,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53843.17400,3843.674,20.010,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,53843.17400,3843.674,19.993,0.045,SDSS r,FLWO 1.2m Keplercam,0
A,53844.14200,3844.642,19.586,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53844.14200,3844.642,19.846,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53844.14200,3844.642,19.978,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,53844.14200,3844.642,20.027,0.045,SDSS r,FLWO 1.2m Keplercam,0
A,53845.16800,3845.668,19.585,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53845.16800,3845.668,19.776,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53845.16800,3845.668,20.001,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53845.16800,3845.668,19.969,0.046,SDSS r,FLWO 1.2m Keplercam,0
A,53846.14400,3846.644,19.608,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53846.14400,3846.644,19.806,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53846.14400,3846.644,20.041,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,53846.14400,3846.644,20.013,0.042,SDSS r,FLWO 1.2m Keplercam,0
A,53848.16500,3848.665,19.581,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53848.16500,3848.665,19.859,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53848.16500,3848.665,20.040,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,53848.16500,3848.665,19.953,0.040,SDSS r,FLWO 1.2m Keplercam,0
A,53849.16700,3849.667,19.579,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53849.16700,3849.667,19.825,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53849.16700,3849.667,19.908,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53849.16700,3849.667,20.014,0.049,SDSS r,FLWO 1.2m Keplercam,0
A,53850.19600,3850.696,19.614,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53850.19600,3850.696,19.776,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53850.19600,3850.696,19.976,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,53850.19600,3850.696,19.999,0.045,SDSS r,FLWO 1.2m Keplercam,0
A,53851.20700,3851.707,19.598,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53851.20700,3851.707,19.802,0.016,SDSS r,FLWO 1.2m Keplercam,1
C,53851.20700,3851.707,19.994,0.020,SDSS r,FLWO 1.2m Keplercam,1
D,53851.20700,3851.707,19.994,0.042,SDSS r,FLWO 1.2m Keplercam,0
A,53852.33700,3852.837,19.629,0.022,SDSS r,FLWO 1.2m Keplercam,1
B,53852.33700,3852.837,19.912,0.026,SDSS r,FLWO 1.2m Keplercam,1
C,53852.33700,3852.837,20.021,0.034,SDSS r,FLWO 1.2m Keplercam,1
D,53852.33700,3852.837,19.963,0.072,SDSS r,FLWO 1.2m Keplercam,0
A,53854.23000,3854.730,19.650,0.016,SDSS r,FLWO 1.2m Keplercam,1
B,53854.23000,3854.730,19.888,0.018,SDSS r,FLWO 1.2m Keplercam,1
C,53854.23000,3854.730,20.015,0.023,SDSS r,FLWO 1.2m Keplercam,1
D,53854.23000,3854.730,19.997,0.049,SDSS r,FLWO 1.2m Keplercam,0
A,53855.15000,3855.650,19.590,0.014,SDSS r,FLWO 1.2m Keplercam,1
B,53855.15000,3855.650,19.827,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53855.15000,3855.650,19.972,0.021,SDSS r,FLWO 1.2m Keplercam,1
D,53855.15000,3855.650,20.013,0.045,SDSS r,FLWO 1.2m Keplercam,0
A,53856.19500,3856.695,19.578,0.013,SDSS r,FLWO 1.2m Keplercam,1
B,53856.19500,3856.695,19.787,0.015,SDSS r,FLWO 1.2m Keplercam,1
C,53856.19500,3856.695,20.004,0.019,SDSS r,FLWO 1.2m Keplercam,1
D,53856.19500,3856.695,19.984,0.040,SDSS r,FLWO 1.2m Keplercam,0
A,53857.32200,3857.822,19.629,0.021,SDSS r,FLWO 1.2m Keplercam,1
B,53857.32200,3857.822,19.809,0.025,SDSS r,FLWO 1.2m Keplercam,1
C,53857.32200,3857.822,19.995,0.032,SDSS r,FLWO 1.2m Keplercam,1
D,53857.32200,3857.822,19.964,0.069,SDSS r,FLWO 1.2m Keplercam,0
A,53858.14300,3858.643,19.544,0.017,SDSS r,FLWO 1.2m Keplercam,1
B,53858.14300,3858.643,19.826,0.020,SDSS r,FLWO 1.2m Keplercam,1
C,53858.14300,3858.643,20.021,0.026,SDSS r,FLWO 1.2m Keplercam,1
D,53858.14300,3858.643,20.005,0.054,SDSS r,FLWO 1.2m Keplercam,0
A,53859.14100,3859.641,19.542,0.020,SDSS r,FLWO 1.2m Keplercam,1
B,53859.14100,3859.641,19.797,0.023,SDSS r,FLWO 1.2m Keplercam,1
C,53859.14100,3859.641,20.052,0.029,SDSS r,FLWO 1.2m Keplercam,1
D,53859.14100,3859.641,20.011,0.061,SDSS r,FLWO 1.2m Keplercam,0
A,53861.26500,3861.765,19.663,0.027,SDSS r,FLWO 1.2m Keplercam,1
B,53861.26500,3861.765,19.889,0.031,SDSS r,FLWO 1.2m Keplercam,1
C,53861.26500,3861.765,19.911,0.040,SDSS r,FLWO 1.2m Keplercam,1
D,53861.26500,3861.765,19.982,0.084,SDSS r,FLWO 1.2m Keplercam,0
A,53881.20600,3881.706,19.575,0.015,SDSS r,FLWO 1.2m Keplercam,1
B,53881.20600,3881.706,19.905,0.017,SDSS r,FLWO 1.2m Keplercam,1
C,53881.20600,3881.706,20.005,0.022,SDSS r,FLWO 1.2m Keplercam,1
D,53881.20600,3881.706,20.007,0.045,SDSS r,FLWO 1.2m Keplercam,0
