jd_minus_2450000,mjd,rchi2,obs,det,A_mag,A_err,A_excluded,B_mag,B_err,B_excluded,C_mag,C_err,C_excluded,D_mag,D_err,D_excluded
4194.799,54194.299,0.68,FLWO,Keplercam,3.688,0.054,0,4.229,0.087,0,4.266,0.093,0,4.046,0.076,0
4197.724,54197.224,1.03,FLWO,Keplercam,3.734,0.027,0,4.138,0.035,0,4.230,0.039,0,4.059,0.034,0
4201.761,54201.261,0.76,FLWO,Keplercam,3.763,0.027,0,4.167,0.027,0,4.361,0.027,0,4.139,0.027,0
4213.802,54213.302,0.63,FLWO,Keplercam,3.739,0.057,0,4.046,0.075,0,4.371,0.105,0,4.115,0.083,0
4214.699,54214.199,0.93,FLWO,Keplercam,3.675,0.064,0,3.892,0.078,0,4.425,0.131,0,4.066,0.095,0
4215.7,54215.2,0.80,FLWO,Keplercam,3.782,0.060,0,4.041,0.076,0,4.507,0.118,0,4.113,0.083,0
4227.656,54227.156,0.50,FLWO,Keplercam,3.724,0.043,0,3.947,0.052,0,4.471,0.084,0,4.085,0.061,0
4230.661,54230.161,0.85,FLWO,Keplercam,3.778,0.035,0,3.976,0.041,0,4.390,0.060,0,4.098,0.047,0
4232.706,54232.206,0.56,FLWO,Keplercam,3.800,0.047,0,4.043,0.058,0,4.517,0.091,0,4.061,0.062,0
4233.737,54233.237,0.69,FLWO,Keplercam,3.720,0.039,0,4.054,0.052,0,4.436,0.074,0,4.065,0.054,0
4237.673,54237.173,0.54,FLWO,Keplercam,3.700,0.038,0,4.016,0.050,0,4.319,0.067,0,4.081,0.054,0
4238.688,54238.188,0.58,FLWO,Keplercam,3.713,0.042,0,3.976,0.052,0,4.485,0.084,0,4.114,0.061,0
4239.745,54239.245,0.45,FLWO,Keplercam,3.682,0.050,0,4.147,0.075,0,4.380,0.094,0,4.177,0.080,0
4240.707,54240.207,0.75,FLWO,Keplercam,3.721,0.038,0,3.985,0.048,0,4.491,0.076,0,4.039,0.052,0
4245.66,54245.16,0.88,FLWO,Keplercam,3.715,0.053,0,4.039,0.070,0,4.464,0.105,0,4.073,0.074,0
4246.714,54246.214,0.34,FLWO,Keplercam,3.662,0.076,0,3.887,0.092,0,4.249,0.133,0,4.149,0.121,0
4247.702,54247.202,2.05,FLWO,Keplercam,3.788,0.086,0,4.055,0.109,0,4.247,0.133,0,4.130,0.120,0
4248.668,54248.168,0.77,FLWO,Keplercam,3.759,0.069,0,4.235,0.104,0,4.763,0.169,0,4.233,0.107,0
4249.684,54249.184,1.54,FLWO,Keplercam,3.850,0.081,0,4.358,0.126,0,4.377,0.133,0,4.198,0.113,0
4250.685,54250.185,0.87,FLWO,Keplercam,3.675,0.062,0,4.109,0.091,0,4.641,0.147,0,4.164,0.098,0
4252.675,54252.175,1.74,FLWO,Keplercam,3.531,0.067,0,4.010,0.103,0,4.445,0.153,0,4.085,0.113,0
4254.66,54254.16,0.55,FLWO,Keplercam,3.652,0.035,0,4.077,0.049,0,4.426,0.069,0,4.068,0.051,0
4255.667,54255.167,1.34,FLWO,Keplercam,3.651,0.034,0,4.081,0.049,0,4.431,0.068,0,4.119,0.052,0
4258.675,54258.175,0.50,FLWO,Keplercam,3.622,0.040,0,4.104,0.060,0,4.359,0.076,0,4.144,0.064,0
4260.697,54260.197,0.73,FLWO,Keplercam,3.639,0.036,0,4.045,0.050,0,4.395,0.069,0,4.062,0.052,0
4261.716,54261.216,0.51,FLWO,Keplercam,3.623,0.040,0,4.114,0.060,0,4.422,0.082,0,4.065,0.060,0
4263.668,54263.168,0.48,FLWO,Keplercam,3.651,0.050,0,4.231,0.083,0,4.314,0.092,0,4.117,0.077,0
4264.654,54264.154,0.69,FLWO,Keplercam,3.615,0.046,0,4.098,0.069,0,4.467,0.096,0,4.032,0.067,0
4265.685,54265.185,0.48,FLWO,Keplercam,3.693,0.046,0,4.141,0.068,0,4.301,0.081,0,4.114,0.069,0
4266.7,54266.2,0.73,FLWO,Keplercam,3.531,0.068,0,4.243,0.129,0,4.148,0.124,0,4.253,0.135,0
4269.687,54269.187,1.27,FLWO,Keplercam,3.704,0.083,0,4.117,0.120,0,4.426,0.159,0,3.972,0.111,0
4271.674,54271.174,0.44,FLWO,Keplercam,3.742,0.077,0,3.960,0.093,0,4.317,0.133,0,4.037,0.104,0
4276.677,54276.177,0.36,FLWO,Keplercam,3.720,0.077,0,4.101,0.107,0,4.360,0.140,0,4.122,0.113,0
4277.649,54277.149,0.25,FLWO,Keplercam,3.695,0.167,0,3.986,0.213,0,4.195,0.266,0,4.277,0.282,0
4278.668,54278.168,0.32,FLWO,Keplercam,3.615,0.079,0,4.099,0.121,0,4.576,0.190,0,4.002,0.116,0
