2993.523 19.111 0.015 19.421 0.020 20.099 0.038 20.872 0.081
2997.344 19.083 0.021 19.429 0.029 20.229 0.063 20.966 0.132
3022.606 19.044 0.015 19.436 0.021 20.006 0.044 21.143 0.132
3031.920 19.054 0.013 19.476 0.018 20.054 0.037 21.038 0.097
3032.920 19.027 0.013 19.409 0.017 19.990 0.041 21.001 0.109
3033.913 19.020 0.013 19.430 0.017 19.992 0.046 20.996 0.122
3034.916 19.033 0.014 19.459 0.020 20.002 0.034 21.140 0.102
3035.909 19.037 0.013 19.458 0.019 20.070 0.044 21.239 0.133
3037.742 18.984 0.039 19.450 0.060 19.909 0.097 21.194 0.315
3043.854 19.013 0.025 19.452 0.037 20.209 0.078 21.008 0.171
3044.885 19.049 0.015 19.462 0.022 19.988 0.043 21.150 0.131
3045.862 19.042 0.011 19.461 0.016 20.049 0.045 20.982 0.113
3046.908 19.017 0.012 19.477 0.017 20.020 0.034 21.158 0.103
3047.866 19.029 0.009 19.462 0.013 20.014 0.040 21.112 0.113
3048.885 19.011 0.011 19.465 0.016 20.021 0.029 21.518 0.122
3051.850 19.028 0.009 19.470 0.013 19.995 0.033 20.999 0.085
3052.869 19.026 0.011 19.448 0.016 20.037 0.044 21.090 0.121
3057.795 19.047 0.015 19.431 0.021 20.129 0.064 21.174 0.177
3059.856 18.992 0.019 19.486 0.030 20.004 0.050 21.047 0.137
3064.773 19.038 0.017 19.491 0.026 20.033 0.043 21.279 0.144
3064.884 19.047 0.007 19.458 0.008 20.070 0.013 20.975 0.028
3065.805 19.025 0.008 19.435 0.011 20.004 0.030 21.143 0.089
3073.862 19.012 0.023 19.435 0.034 20.000 0.059 21.140 0.176
3078.837 19.003 0.012 19.472 0.018 19.977 0.031 21.163 0.097
3079.832 18.974 0.013 19.419 0.019 20.006 0.042 21.037 0.113
3080.822 19.003 0.013 19.454 0.019 20.010 0.031 21.402 0.116
3081.789 19.033 0.011 19.475 0.015 20.012 0.042 21.011 0.108
3082.785 18.998 0.011 19.464 0.016 20.057 0.035 21.045 0.092
3083.934 19.039 0.022 19.405 0.031 20.011 0.057 21.144 0.167
3085.793 19.013 0.011 19.427 0.015 20.106 0.032 21.277 0.098
3087.662 18.938 0.061 19.386 0.061 20.190 0.107 21.133 0.108
3087.707 19.003 0.011 19.422 0.016 20.094 0.044 21.141 0.120
3088.734 18.989 0.011 19.451 0.016 20.069 0.040 21.252 0.124
3090.735 19.014 0.024 19.475 0.036 20.201 0.072 20.937 0.150
3091.772 19.006 0.014 19.422 0.020 20.097 0.037 21.280 0.116
3092.821 18.995 0.017 19.415 0.025 20.081 0.048 21.292 0.152
3093.790 18.994 0.014 19.434 0.021 20.087 0.039 21.273 0.121
3094.718 18.948 0.020 19.398 0.031 20.102 0.062 21.390 0.208
3095.819 19.006 0.024 19.404 0.035 20.152 0.073 21.117 0.186
3101.657 18.947 0.026 19.349 0.038 20.109 0.079 21.199 0.223
3104.747 18.992 0.017 19.422 0.025 20.072 0.047 21.248 0.144
3107.694 18.991 0.015 19.479 0.024 19.984 0.037 21.144 0.115
3108.729 19.015 0.012 19.432 0.016 20.107 0.038 21.090 0.098
3111.688 19.009 0.013 19.434 0.018 20.035 0.039 21.117 0.111
3116.725 19.041 0.013 19.430 0.017 20.077 0.036 21.027 0.091
3117.746 19.017 0.014 19.455 0.020 20.171 0.044 21.416 0.146
3118.764 19.061 0.014 19.440 0.019 20.096 0.034 20.960 0.081
3119.731 19.003 0.014 19.439 0.020 20.136 0.038 21.174 0.105
3120.730 19.028 0.015 19.449 0.022 20.106 0.041 20.887 0.089
3122.786 19.022 0.028 19.471 0.043 20.066 0.078 21.456 0.282
3124.718 19.009 0.027 19.502 0.044 20.084 0.078 20.894 0.173
3125.737 19.003 0.034 19.411 0.051 20.148 0.103 20.951 0.226
3126.717 19.043 0.027 19.422 0.039 20.037 0.071 20.859 0.159
3129.812 19.046 0.035 19.427 0.051 20.188 0.107 20.725 0.187
3132.749 19.032 0.008 19.484 0.012 20.092 0.029 20.913 0.066
3135.717 18.942 0.007 19.432 0.009 19.971 0.031 20.772 0.062
3136.659 19.003 0.013 19.513 0.019 20.028 0.040 21.077 0.109
3137.719 18.971 0.013 19.515 0.021 20.022 0.036 20.939 0.089
3140.640 19.010 0.013 19.524 0.019 20.073 0.041 21.015 0.102
3143.790 19.088 0.029 19.600 0.047 20.017 0.072 20.855 0.164
3144.677 19.015 0.012 19.547 0.019 20.043 0.039 20.984 0.097
3145.711 19.013 0.014 19.551 0.023 19.945 0.042 21.027 0.119
3146.745 19.019 0.013 19.524 0.020 20.034 0.033 20.902 0.077
3147.648 19.024 0.015 19.536 0.023 19.985 0.041 20.949 0.107
3148.653 19.004 0.015 19.572 0.025 20.024 0.046 20.873 0.106
3149.733 19.020 0.013 19.519 0.020 19.955 0.035 21.068 0.104
3153.660 18.986 0.061 19.519 0.061 19.992 0.072 20.891 0.074
3153.692 19.046 0.019 19.549 0.030 19.980 0.047 20.897 0.116
3154.673 19.051 0.023 19.583 0.037 19.938 0.054 20.770 0.123
3155.673 19.032 0.024 19.501 0.037 19.918 0.057 21.029 0.164
3156.646 19.039 0.020 19.513 0.031 19.950 0.049 20.958 0.130
3157.670 19.026 0.021 19.576 0.034 19.954 0.051 20.872 0.126
3158.660 19.031 0.017 19.516 0.026 19.916 0.040 20.852 0.100
3159.643 19.071 0.029 19.567 0.046 19.861 0.063 20.992 0.186
3161.736 19.042 0.016 19.546 0.024 19.900 0.056 20.928 0.148
3162.658 19.076 0.008 19.541 0.010 19.921 0.023 20.812 0.051
3163.650 19.085 0.010 19.541 0.013 19.942 0.038 20.845 0.090
3164.651 19.094 0.010 19.534 0.014 19.922 0.104 20.780 0.237
3165.656 19.097 0.008 19.511 0.011 19.897 0.050 20.770 0.110
3166.650 19.068 0.009 19.503 0.012 19.873 0.032 20.789 0.076
3167.665 19.062 0.006 19.509 0.006 20.013 0.021 20.891 0.034
3168.663 19.078 0.006 19.524 0.007 19.966 0.032 20.885 0.058
3169.662 19.097 0.006 19.523 0.007 19.949 0.022 20.877 0.041
3169.674 19.090 0.015 19.530 0.021 19.819 0.030 20.930 0.086
3170.667 19.095 0.011 19.518 0.016 19.864 0.022 20.922 0.060
3170.673 19.100 0.025 19.575 0.039 19.914 0.056 21.300 0.204
3171.661 19.111 0.007 19.522 0.009 19.902 0.015 20.828 0.034
3171.666 19.045 0.019 19.523 0.030 19.866 0.046 21.068 0.146
3172.664 19.116 0.007 19.522 0.008 19.935 0.013 20.875 0.027
3172.668 19.077 0.016 19.477 0.022 19.822 0.032 20.958 0.094
3173.658 19.090 0.017 19.538 0.025 19.853 0.035 20.826 0.090
3173.659 19.136 0.007 19.542 0.008 19.964 0.020 20.929 0.040
3174.664 19.099 0.016 19.479 0.023 19.925 0.035 20.889 0.090
3176.666 19.098 0.016 19.484 0.022 19.876 0.033 20.946 0.093
3177.675 19.093 0.018 19.549 0.027 19.869 0.040 21.000 0.120
3178.675 19.123 0.027 19.540 0.040 19.806 0.054 20.706 0.132
3182.654 19.060 0.043 19.492 0.067 19.843 0.096 21.320 0.364
3183.653 19.112 0.040 19.466 0.057 19.753 0.078 20.923 0.236
3184.653 19.163 0.036 19.539 0.052 19.888 0.076 20.536 0.147
3185.652 19.104 0.034 19.507 0.050 19.812 0.070 20.792 0.179
3186.651 19.124 0.039 19.417 0.052 19.809 0.079 20.873 0.217
