#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
"             7.00          7.20        -66.93        -61.64    5235601.28"
"             7.20          7.40        -66.93        -61.64    6724838.90"
"             7.40          7.60        -66.93        -61.64    9235807.04"
"             7.60          7.80        -66.93        -61.64   11964868.92"
"             7.80          8.00        -66.93        -61.64   14608452.68"
"             8.00          8.20        -66.93        -61.64   18155967.39"
"             8.20          8.40        -66.93        -61.64   22351967.87"
"             8.40          8.60        -66.93        -61.64   26624330.62"
"             8.60          8.80        -66.93        -61.64   14506264.71"
"             8.80          9.00        -66.93        -61.64          0.00"
"             9.00          9.20        -66.93        -61.64          0.00"
"             9.20          9.40        -66.93        -61.64          0.00"
"             9.40          9.60        -66.93        -61.64          0.00"
"             9.60          9.80        -66.93        -61.64          0.00"
"             9.80         10.00        -66.93        -61.64          0.00"
"             2.00          2.20        -61.64        -57.14          0.00"
"             2.20          2.40        -61.64        -57.14          0.00"
"             2.40          2.60        -61.64        -57.14          0.00"
"             2.60          2.80        -61.64        -57.14          0.00"
"             2.80          3.00        -61.64        -57.14          0.00"
"             3.00          3.20        -61.64        -57.14          0.00"
"             3.20          3.40        -61.64        -57.14          0.00"
"             3.40          3.60        -61.64        -57.14          0.00"
"             3.60          3.80        -61.64        -57.14          0.00"
"             3.80          4.00        -61.64        -57.14          0.00"
"             4.00          4.20        -61.64        -57.14          0.00"
"             4.20          4.40        -61.64        -57.14          0.00"
"             4.40          4.60        -61.64        -57.14          0.00"
"             4.60          4.80        -61.64        -57.14        739.41"
"             4.80          5.00        -61.64        -57.14       3853.59"
"             5.00          5.20        -61.64        -57.14      17213.39"
"             5.20          5.40        -61.64        -57.14      62903.17"
"             5.40          5.60        -61.64        -57.14     151538.73"
"             5.60          5.80        -61.64        -57.14     395547.65"
"             5.80          6.00        -61.64        -57.14     641124.00"
"             6.00          6.20        -61.64        -57.14    1026173.07"
"             6.20          6.40        -61.64        -57.14    1501365.08"
"             6.40          6.60        -61.64        -57.14    2271415.23"
"             6.60          6.80        -61.64        -57.14    3326109.51"
"             6.80          7.00        -61.64        -57.14    4343144.43"
"             7.00          7.20        -61.64        -57.14    5855717.44"
"             7.20          7.40        -61.64        -57.14    7120943.26"
"             7.40          7.60        -61.64        -57.14    9437019.75"
"             7.60          7.80        -61.64        -57.14   11742289.57"
"             7.80          8.00        -61.64        -57.14   15780420.44"
"             8.00          8.20        -61.64        -57.14   20343563.28"
"             8.20          8.40        -61.64        -57.14   23821322.41"
"             8.40          8.60        -61.64        -57.14   28968373.57"
"             8.60          8.80        -61.64        -57.14   14821706.94"
"             8.80          9.00        -61.64        -57.14          0.00"
"             9.00          9.20        -61.64        -57.14          0.00"
"             9.20          9.40        -61.64        -57.14          0.00"
"             9.40          9.60        -61.64        -57.14          0.00"
"             9.60          9.80        -61.64        -57.14          0.00"
"             9.80         10.00        -61.64        -57.14          0.00"
"             2.00          2.20        -57.14        -53.13          0.00"
"             2.20          2.40        -57.14        -53.13          0.00"
"             2.40          2.60        -57.14        -53.13          0.00"
"             2.60          2.80        -57.14        -53.13          0.00"
"             2.80          3.00        -57.14        -53.13          0.00"
"             3.00          3.20        -57.14        -53.13          0.00"
"             3.20          3.40        -57.14        -53.13          0.00"
"             3.40          3.60        -57.14        -53.13          0.00"
"             3.60          3.80        -57.14        -53.13          0.00"
"             3.80          4.00        -57.14        -53.13          0.00"
"             4.00          4.20        -57.14        -53.13          0.00"
"             4.20          4.40        -57.14        -53.13          0.00"
"             4.40          4.60        -57.14        -53.13          0.00"
"             4.60          4.80        -57.14        -53.13        262.68"
"             4.80          5.00        -57.14        -53.13       4019.96"
