run,evt,date,time,dsttype,ecm,nctrk,nntrk,nvecp,ncvecp,nnvecp,sum_px_ch,sum_py_ch,sum_pz_ch,sum_e_ch,sum_p_ch,mean_p_ch,sum_px_all,sum_py_all,sum_pz_all,sum_e_all,echar,emneu,ehneu,nhpc,ehpc_sum,nemf,eemf_sum,nemclu,eemclu_sum,nphot,ephot_sum,ephot_min,ephot_max,nstic,estic_sum,ihad4,sample,file_id
-40048,150,1020620,40816,94C2, 9.125000E+01,39,19,58,39,19,-4.370143E+00, 2.818295E+00,-3.416880E+00, 6.367159E+01, 6.299673E+01, 1.615301E+00,-5.893565E-01,-2.933046E+00, 1.287517E+00, 1.021679E+02, 5.118934E+01, 2.249394E+01, 1.083862E+01,22, 1.494483E+01,0, 0.000000E+00,0, 0.000000E+00,13, 2.678176E+01, 6.563224E-01, 8.759574E+00,NULL,NULL,1,mc_kk2f,106
-40048,151,1020620,40828,94C2, 9.125000E+01,24,9,33,24,9,-3.357956E+00,-9.046844E+00, 1.471312E+00, 5.339027E+01, 5.289400E+01, 2.203917E+00, 2.734439E+00, 6.297063E+00,-2.360151E+00, 8.710669E+01, 5.118553E+01, 2.455059E+01, 8.224437E+00,16, 1.143270E+01,0, 0.000000E+00,0, 0.000000E+00,7, 2.357913E+01, 3.713745E-01, 1.557624E+01,NULL,NULL,1,mc_kk2f,106
-40048,152,1020620,40842,94C2, 9.125000E+01,44,14,58,44,14, 1.000570E+00, 5.046497E+00,-7.341826E+00, 8.134145E+01, 8.045009E+01, 1.828411E+00,-3.485680E-01, 5.941225E+00,-7.704980E+00, 1.196123E+02, 2.033119E+01, 2.154263E+01, 1.672826E+01,1, 0.000000E+00,14, 2.185959E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,1,mc_kk2f,106
-40048,153,1020620,40858,94C2, 9.125000E+01,13,12,25,13,12, 1.820090E+01,-1.022662E+01,-1.335718E+01, 3.574126E+01, 3.564551E+01, 2.741962E+00,-4.293604E+00, 2.200730E+00, 3.385981E+00, 8.198065E+01, 3.537757E+01, 4.119757E+01, 2.103546E+00,12, 4.942784E+00,2, 0.000000E+00,0, 0.000000E+00,8, 4.205465E+01, 4.939924E-01, 3.155638E+01,NULL,NULL,1,mc_kk2f,106
-40048,154,1020620,40906,94C2, 9.125000E+01,20,12,32,20,12,-1.799005E+01, 8.165386E+00, 1.476674E+01, 5.889445E+01, 5.866238E+01, 2.933119E+00,-1.783800E+00, 1.055256E+00, 2.294802E+00, 8.750413E+01, 5.886657E+01, 2.617455E+01, 2.648711E+00,12, 7.779931E-01,0, 0.000000E+00,0, 0.000000E+00,9, 2.617455E+01, 4.146503E-01, 1.340706E+01,NULL,NULL,1,mc_kk2f,106
-40048,155,1020620,40923,94C2, 9.125000E+01,34,7,41,34,7,-1.189970E+00,-9.537056E-03, 1.548121E+00, 8.423671E+01, 8.372910E+01, 2.462621E+00,-6.242143E+00,-1.310587E-02,-8.315580E-01, 1.009723E+02, 6.540283E+01, 6.999454E+00, 8.737720E+00,13, 1.006351E+00,0, 0.000000E+00,0, 0.000000E+00,5, 7.997871E+00, 9.984173E-01, 3.147012E+00,NULL,NULL,1,mc_kk2f,106
-40048,156,1020620,40937,94C2, 9.125000E+01,33,15,48,33,15,-2.412107E+00,-7.157137E+00,-1.193919E+02, 1.679830E+02, 1.673353E+02, 5.070767E+00,-1.304884E+00,-5.701274E+00,-1.199976E+02, 1.850206E+02, 5.056271E+01, 1.224992E+01, 4.790545E+00,0, 0.000000E+00,17, 7.912835E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,1, 0.000000E+00,1,mc_kk2f,106
-40048,157,1020620,40954,94C2, 9.125000E+01,15,16,31,15,16,-3.689066E+00,-1.005672E+01,-2.327100E+00, 6.861316E+01, 6.841439E+01, 4.560959E+00,-1.640303E+00,-1.589290E+00,-8.527372E-01, 9.040314E+01, 4.761812E+01, 1.579056E+01, 2.183810E+00,17, 1.235001E+01,1, 0.000000E+00,0, 0.000000E+00,13, 1.960619E+01, 6.773469E-01, 4.724962E+00,NULL,NULL,1,mc_kk2f,106
-40048,158,1020620,41001,94C2, 9.125000E+01,31,13,44,31,13,-3.549311E+00,-6.175884E+00,-3.980817E+00, 4.284362E+01, 4.232199E+01, 1.365226E+00, 1.297987E+00,-1.624933E+01,-8.698071E+00, 7.186993E+01, 3.146018E+01, 2.185588E+01, 0.000000E+00,18, 1.185092E+01,1, 0.000000E+00,0, 0.000000E+00,11, 2.825423E+01, 7.226519E-01, 1.492708E+01,NULL,NULL,1,mc_kk2f,106
-40048,159,1020620,41015,94C2, 9.125000E+01,28,21,49,28,21, 4.268969E+00, 1.917701E+00, 4.074729E+00, 4.861974E+01, 4.803074E+01, 1.715384E+00, 1.950225E+00,-1.475469E+00, 2.175084E+01, 7.043903E+01, 5.854825E+00, 1.432710E+01, 7.492186E+00,3, 1.061475E+00,16, 2.950403E+01,0, 0.000000E+00,2, 2.849007E+00, 1.329563E+00, 1.519444E+00,4, 0.000000E+00,0,mc_kk2f,106
-40048,160,1020620,41035,94C2, 9.125000E+01,30,8,38,30,8,-3.403044E+00,-6.237784E+00, 1.216744E+01, 5.972198E+01, 5.918678E+01, 1.972893E+00,-2.938138E+00, 4.863058E-01, 6.200639E+00, 9.224055E+01, 4.921830E+01, 2.946172E+01, 2.416876E+00,2, 1.425958E-01,11, 1.818164E+00,0, 0.000000E+00,1, 6.399661E-01, 6.399661E-01, 6.399661E-01,NULL,NULL,1,mc_kk2f,106
-40048,161,1020620,41047,94C2, 9.125000E+01,26,25,51,26,25,-3.132928E+00, 6.257836E+00, 3.078879E+00, 4.544030E+01, 4.488535E+01, 1.726360E+00,-2.355481E+00, 7.679126E+00, 4.788427E+00, 9.156570E+01, 4.389153E+01, 3.283863E+01, 7.069148E+00,27, 1.410062E+01,0, 0.000000E+00,0, 0.000000E+00,19, 3.202080E+01, 5.518728E-01, 5.060043E+00,NULL,NULL,1,mc_kk2f,106
-40048,162,1020620,41057,94C2, 9.125000E+01,28,12,40,28,12, 9.206208E-01, 8.924104E-01, 1.758678E+00, 4.920064E+01, 4.882666E+01, 1.743809E+00,-6.451138E+00, 6.430926E+00,-6.957623E+00, 7.174118E+01, 4.470131E+01, 9.881292E+00, 1.173465E+01,7, 1.150139E-01,5, 0.000000E+00,0, 0.000000E+00,4, 5.933191E+00, 9.814071E-01, 1.833607E+00,NULL,NULL,1,mc_kk2f,106
-40048,163,1020620,41108,94C2, 9.125000E+01,20,20,40,20,20, 2.471797E+00, 3.793607E+00, 9.750241E+00, 4.307627E+01, 4.266484E+01, 2.133242E+00, 2.482915E+00, 1.684923E-01,-3.535014E+00, 7.098748E+01, 2.941582E+01, 2.208471E+01, 5.826494E+00,0, 0.000000E+00,24, 9.052144E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,1, 0.000000E+00,1,mc_kk2f,106
-40048,164,1020620,41125,94C2, 9.125000E+01,30,13,43,30,13, 4.386170E+00, 3.953406E+00,-1.053468E+00, 9.097076E+01, 9.055820E+01, 3.018607E+00,-2.922194E-01, 8.178434E-01,-3.271520E+00, 1.226188E+02, 7.789495E+01, 8.064293E+00, 1.694952E+01,8, 4.340138E+00,7, 1.745355E+00,0, 0.000000E+00,5, 1.236379E+01, 1.047932E+00, 3.572311E+00,NULL,NULL,1,mc_kk2f,106
-40048,165,1020620,41135,94C2, 9.125000E+01,31,13,44,31,13, 8.511655E+00, 2.381466E+00,-1.530849E+02, 2.370525E+02, 2.364093E+02, 7.626106E+00, 1.205851E+01, 1.112208E+00,-1.547413E+02, 2.497837E+02, 4.958942E+01, 5.009286E+00, 6.459674E+00,7, 2.196454E-01,10, 0.000000E+00,0, 0.000000E+00,4, 3.691177E+00, 7.424402E-01, 1.262194E+00,NULL,NULL,1,mc_kk2f,106
-40048,166,1020620,41149,94C2, 9.125000E+01,47,19,66,47,19,-5.418583E+00, 6.398824E-01,-9.807244E+00, 6.000379E+01, 5.893018E+01, 1.253834E+00,-3.616537E+00, 1.315341E+00,-9.323780E+00, 8.288435E+01, 5.268782E+01, 8.798518E+00, 1.258946E+01,14, 7.679100E+00,2, 0.000000E+00,0, 0.000000E+00,8, 7.900495E+00, 4.010368E-01, 2.083834E+00,NULL,NULL,1,mc_kk2f,106
-40048,167,1020620,41206,94C2, 9.125000E+01,21,10,31,21,10, 1.897997E+00,-1.069529E+01, 1.170524E+01, 4.030718E+01, 3.988121E+01, 1.899105E+00, 4.984918E+00,-3.080688E+01, 3.319444E+01, 8.064664E+01, 3.676618E+01, 2.806772E+01, 7.340235E+00,7, 0.000000E+00,0, 0.000000E+00,0, 0.000000E+00,6, 1.535904E+01, 4.493160E-01, 5.232355E+00,NULL,NULL,1,mc_kk2f,106
-40048,168,1020620,41220,94C2, 9.125000E+01,17,7,24,17,7, 4.760325E+00, 4.714057E+00,-1.365072E+01, 5.959953E+01, 5.945300E+01, 3.497235E+00,-5.437646E-01, 2.677610E+00,-2.529163E+00, 7.381353E+01, 5.906410E+01, 1.178509E+01, 2.428925E+00,0, 0.000000E+00,11, 7.128646E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,1,mc_kk2f,106
-40048,169,1020620,41230,94C2, 9.125000E+01,31,11,42,31,11,-8.154826E+00,-1.072857E+01, 6.000072E+00, 7.214466E+01, 7.133018E+01, 2.300973E+00,-1.279551E+01,-1.818787E+01, 8.290644E+00, 8.868964E+01, 5.954443E+01, 1.531571E+01, 1.229264E+00,12, 1.441397E+00,0, 0.000000E+00,0, 0.000000E+00,6, 1.002519E+01, 6.999356E-01, 3.732347E+00,1, 0.000000E+00,1,mc_kk2f,106
-40048,170,1020620,41244,94C2, 9.125000E+01,39,18,57,39,18,-2.090347E+00,-2.158504E+00, 2.787574E+00, 5.799740E+01, 5.715154E+01, 1.465424E+00, 1.913217E+00, 6.009553E+00, 1.524885E-01, 8.394682E+01, 5.039156E+01, 2.506174E+01, 0.000000E+00,20, 1.484467E+00,0, 0.000000E+00,0, 0.000000E+00,17, 2.356456E+01, 7.440284E-01, 3.380909E+00,NULL,NULL,1,mc_kk2f,106
