run,evt,date,time,dsttype,ecm,nctrk,nntrk,nvecp,ncvecp,nnvecp,sum_px_ch,sum_py_ch,sum_pz_ch,sum_e_ch,sum_p_ch,mean_p_ch,sum_px_all,sum_py_all,sum_pz_all,sum_e_all,echar,emneu,ehneu,nhpc,ehpc_sum,nemf,eemf_sum,nemclu,eemclu_sum,nphot,ephot_sum,ephot_min,ephot_max,nstic,estic_sum,ihad4,sample,file_id
-21047,788,20227,192847,94C2, 9.125000E+01,46,21,67,46,21,-8.250613E+00,-1.364384E+00, 6.376863E+00, 6.010053E+01, 5.931529E+01, 1.289463E+00,-1.104177E+01,-5.486092E+00, 5.257793E+00, 9.969083E+01, 3.352059E+01, 3.320213E+01, 4.529523E+00,13, 2.318031E-01,8, 0.000000E+00,0, 0.000000E+00,8, 2.067105E+01, 6.163597E-01, 8.153672E+00,2, 0.000000E+00,1,mc_qqps,59
-21047,789,20227,192907,94C2, 9.125000E+01,20,13,33,20,13,-6.062016E+00,-1.445090E+00,-6.578754E+00, 3.014077E+01, 2.974221E+01, 1.487110E+00,-1.001152E+01,-3.428962E+00,-8.328146E+00, 9.707524E+01, 2.870227E+01, 4.631216E+01, 5.856380E+00,13, 5.354685E+00,0, 0.000000E+00,0, 0.000000E+00,10, 6.061829E+01, 5.158758E-01, 1.818470E+01,NULL,NULL,1,mc_qqps,59
-21047,790,20227,192919,94C2, 9.125000E+01,17,8,25,17,8,-5.722630E+00, 2.257328E+01, 3.071149E+00, 6.755611E+01, 6.709815E+01, 3.946950E+00,-4.848703E+00, 1.858129E+01, 2.135518E+00, 7.731114E+01, 6.466508E+01, 2.089287E+00, 4.626925E+00,10, 7.892179E+00,0, 0.000000E+00,0, 0.000000E+00,5, 5.128118E+00, 6.109498E-01, 1.591457E+00,NULL,NULL,1,mc_qqps,59
-21047,791,20227,192931,94C2, 9.125000E+01,22,16,38,22,16,-9.585546E-01, 3.222269E+00, 1.307822E+01, 7.167618E+01, 7.148660E+01, 3.249391E+00,-8.219087E-01,-9.116409E-01, 8.816265E+00, 8.767765E+01, 6.645020E+01, 1.461909E+01, 1.382392E+00,7, 2.806565E-01,17, 6.128241E+00,0, 0.000000E+00,4, 7.120214E+00, 6.271982E-01, 3.535543E+00,NULL,NULL,1,mc_qqps,59
-21047,792,20227,192944,94C2, 9.125000E+01,38,18,56,38,18,-2.195783E+00,-1.407999E+01,-7.736808E+00, 4.824751E+01, 4.736315E+01, 1.246399E+00,-1.904896E+00,-2.891531E+00,-4.373222E-01, 7.981283E+01, 4.342212E+01, 2.524049E+01, 1.459476E+00,17, 1.135612E+01,2, 0.000000E+00,0, 0.000000E+00,12, 2.633826E+01, 3.590234E-01, 9.205926E+00,NULL,NULL,1,mc_qqps,59
-21047,793,20227,193001,94C2, 9.125000E+01,56,17,73,56,17,-4.878251E+00,-4.037965E+00,-1.148248E+01, 4.678053E+01, 4.483478E+01, 8.006211E-01,-3.604681E+00,-7.108397E-01,-5.681262E+00, 8.491522E+01, 3.565814E+01, 1.033261E+01, 2.217560E+01,19, 2.158004E+00,0, 0.000000E+00,0, 0.000000E+00,12, 1.480359E+01, 4.259542E-01, 4.244195E+00,NULL,NULL,1,mc_qqps,59
-21047,794,20227,193020,94C2, 9.125000E+01,37,22,59,37,22,-1.324669E+01, 1.131711E+01,-1.579154E+01, 4.312989E+01, 4.211747E+01, 1.138310E+00,-6.439050E+00, 4.572877E+00,-1.387702E+01, 7.851118E+01, 3.605608E+01, 3.517311E+01, 2.081964E-01,17, 4.280645E+00,2, 0.000000E+00,0, 0.000000E+00,12, 2.681764E+01, 4.453998E-01, 4.622814E+00,1, 0.000000E+00,1,mc_qqps,59
-21047,795,20227,193044,94C2, 9.125000E+01,25,14,39,25,14, 8.750998E+00, 5.346395E+00,-2.222778E+00, 4.824922E+01, 4.757867E+01, 1.903147E+00, 1.397539E+01, 6.266460E+00,-1.600827E+00, 9.052269E+01, 3.918890E+01, 2.617268E+01, 9.350837E+00,15, 9.885122E+00,0, 0.000000E+00,0, 0.000000E+00,10, 3.180688E+01, 6.152024E-01, 7.777975E+00,NULL,NULL,1,mc_qqps,59
-21047,796,20227,193058,94C2, 9.125000E+01,22,9,31,22,9,-9.134336E-01,-5.083252E+00,-1.998109E+00, 5.918742E+01, 5.864502E+01, 2.665683E+00,-5.202256E+00,-1.416068E+01,-5.626051E+00, 7.544218E+01, 5.607457E+01, 1.308544E+01, 0.000000E+00,12, 1.118866E+00,0, 0.000000E+00,0, 0.000000E+00,8, 1.583315E+01, 2.946601E-01, 5.374414E+00,NULL,NULL,1,mc_qqps,59
-21047,797,20227,193109,94C2, 9.125000E+01,28,12,40,28,12, 2.123319E+00, 4.801334E+00,-1.676097E+00, 5.387839E+01, 5.337356E+01, 1.906199E+00, 3.275197E+00,-5.767008E+00, 6.693291E+00, 8.189341E+01, 5.055378E+01, 2.396000E+01, 2.775767E+00,14, 8.269068E+00,0, 0.000000E+00,0, 0.000000E+00,9, 2.473747E+01, 3.569652E-01, 1.715155E+01,NULL,NULL,1,mc_qqps,59
-21047,798,20227,193125,94C2, 9.125000E+01,29,13,42,29,13, 2.160712E+00, 2.630053E+00, 1.166492E+00, 7.475615E+01, 7.429454E+01, 2.561881E+00,-3.825882E+00,-1.562879E+00,-1.267175E+01, 1.038784E+02, 6.503211E+01, 8.242683E+00, 2.014578E+01,12, 6.525949E+00,2, 0.000000E+00,0, 0.000000E+00,7, 8.693789E+00, 5.429560E-01, 2.312131E+00,NULL,NULL,1,mc_qqps,59
-21047,799,20227,193144,94C2, 9.125000E+01,34,11,45,34,11, 1.855621E+00, 3.041414E+00, 1.281790E+00, 6.798518E+01, 6.749594E+01, 1.985175E+00,-2.448809E+00, 3.753506E-01,-1.575714E+00, 7.968526E+01, 6.310742E+01, 9.946622E+00, 1.046064E+00,20, 1.187318E+01,0, 0.000000E+00,0, 0.000000E+00,8, 1.043697E+01, 4.051659E-01, 3.636195E+00,NULL,NULL,1,mc_qqps,59
-21047,800,20227,193158,94C2, 9.125000E+01,16,3,19,16,3, 1.482004E+00,-4.058691E-01,-8.084345E-01, 9.053816E+01, 9.042321E+01, 5.651451E+00, 3.411767E-01, 1.644722E+00, 2.890497E+00, 9.530183E+01, 7.675213E+01, 4.763674E+00, 0.000000E+00,8, 4.223366E-01,3, 0.000000E+00,0, 0.000000E+00,1, 2.534539E+00, 2.534539E+00, 2.534539E+00,NULL,NULL,1,mc_qqps,59
-21047,801,20227,193208,94C2, 9.125000E+01,42,9,51,42,9, 4.357080E+00, 7.966764E+00, 9.079666E+00, 4.491285E+01, 4.378414E+01, 1.042480E+00, 2.660501E+00, 1.090734E+01, 1.502122E+01, 8.650336E+01, 2.632923E+01, 3.361923E+01, 7.971262E+00,2, 0.000000E+00,8, 0.000000E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,NULL,NULL,1,mc_qqps,59
-21047,802,20227,193228,94C2, 9.125000E+01,31,21,52,31,21,-1.257343E+01,-6.578470E+00, 5.399240E+01, 1.139242E+02, 1.134852E+02, 3.660813E+00,-8.969782E+00,-4.308559E+00, 4.983727E+01, 1.330882E+02, 3.704800E+01, 1.864261E+01, 5.214127E-01,6, 1.056238E-01,23, 1.022068E+01,0, 0.000000E+00,5, 7.164648E+00, 6.205484E-01, 2.714783E+00,NULL,NULL,1,mc_qqps,59
-21047,803,20227,193241,94C2, 9.125000E+01,43,14,57,43,14, 2.013645E+00, 2.226009E-01, 1.619119E+00, 5.877903E+01, 5.727445E+01, 1.331964E+00, 7.497915E+00, 3.317114E+00, 1.336810E+01, 9.981709E+01, 3.360650E+01, 1.603695E+01, 2.500843E+01,4, 0.000000E+00,9, 5.762190E-01,0, 0.000000E+00,4, 5.254054E+00, 6.203091E-01, 1.884608E+00,NULL,NULL,1,mc_qqps,59
-21047,804,20227,193257,94C2, 9.125000E+01,37,14,51,37,14,-7.063745E+00, 1.219504E+01,-4.608202E-01, 5.535915E+01, 5.460353E+01, 1.475771E+00,-7.796175E+00, 1.487882E+01, 3.295733E+00, 8.918900E+01, 4.463752E+01, 1.901685E+01, 9.280917E+00,16, 5.828538E+00,3, 0.000000E+00,0, 0.000000E+00,8, 2.245462E+01, 6.889015E-01, 6.543468E+00,1, 0.000000E+00,1,mc_qqps,59
-21047,805,20227,193318,94C2, 9.125000E+01,33,21,54,33,21, 2.594649E+00, 6.564285E+00, 4.744563E-01, 6.043415E+01, 5.979986E+01, 1.812117E+00, 5.324092E+00, 3.300251E+00,-4.039490E+00, 9.471627E+01, 5.686675E+01, 2.567625E+01, 8.625822E+00,17, 5.504628E+00,0, 0.000000E+00,0, 0.000000E+00,13, 1.990329E+01, 5.695164E-01, 2.654341E+00,NULL,NULL,1,mc_qqps,59
-21047,806,20227,193335,94C2, 9.125000E+01,14,8,22,14,8,-8.664021E-01,-4.181865E+01, 1.298355E+01, 9.042589E+01, 9.023056E+01, 6.445040E+00,-1.154127E+00,-4.299390E+01, 1.449185E+01, 1.444615E+02, 5.105696E+01, 5.403566E+01, 0.000000E+00,9, 8.105812E-02,0, 0.000000E+00,0, 0.000000E+00,8, 5.403566E+01, 4.370493E-01, 1.999271E+01,NULL,NULL,1,mc_qqps,59
