run,evt,date,time,dsttype,ecm,nctrk,nntrk,nvecp,ncvecp,nnvecp,sum_px_ch,sum_py_ch,sum_pz_ch,sum_e_ch,sum_p_ch,mean_p_ch,sum_px_all,sum_py_all,sum_pz_all,sum_e_all,echar,emneu,ehneu,nhpc,ehpc_sum,nemf,eemf_sum,nemclu,eemclu_sum,nphot,ephot_sum,ephot_min,ephot_max,nstic,estic_sum,ihad4,sample,file_id
-40043,63,1020619,183635,94C2, 9.125000E+01,40,15,55,40,15,-1.353502E+01,-1.914103E+01, 8.564427E+01, 1.149772E+02, 1.139981E+02, 2.849953E+00,-1.225028E+01,-1.852582E+01, 8.739993E+01, 1.362611E+02, 2.068559E+01, 1.297480E+01, 6.219675E+00,4, 8.324330E-02,11, 0.000000E+00,0, 0.000000E+00,2, 2.842244E+00, 7.528177E-01, 2.089426E+00,NULL,NULL,1,mc_kk2f,101
-40043,64,1020619,183644,94C2, 9.125000E+01,41,16,57,41,16, 9.328693E+00,-6.393260E+00,-2.029664E+00, 6.344682E+01, 6.265774E+01, 1.528237E+00, 1.016197E+01,-7.827303E+00,-5.976531E+00, 8.727336E+01, 5.297724E+01, 2.153670E+01, 0.000000E+00,20, 1.746523E+00,2, 0.000000E+00,0, 0.000000E+00,14, 2.287949E+01, 6.396737E-01, 3.282432E+00,NULL,NULL,1,mc_kk2f,101
-40043,65,1020619,183653,94C2, 9.125000E+01,53,26,79,53,26, 1.226082E+01,-1.174580E+01,-4.780828E+00, 5.504341E+01, 5.410271E+01, 1.020806E+00, 5.491202E+00,-4.740203E+00,-3.189547E+00, 8.721252E+01, 4.045059E+01, 2.049250E+01, 8.186766E+00,22, 7.186128E+00,1, 5.227469E-01,0, 0.000000E+00,15, 2.206325E+01, 3.989440E-01, 5.177888E+00,NULL,NULL,1,mc_kk2f,101
-40043,66,1020619,183707,94C2, 9.125000E+01,38,14,52,38,14, 2.341031E+00,-6.128125E-01, 5.451218E+00, 5.576715E+01, 5.438777E+01, 1.431257E+00, 1.533480E+00, 1.332042E+00, 6.667002E+00, 7.948778E+01, 4.799648E+01, 1.247059E+01, 8.947198E-01,12, 6.217366E-01,4, 3.121753E-01,0, 0.000000E+00,8, 1.765482E+01, 4.394337E-01, 4.657043E+00,NULL,NULL,1,mc_kk2f,101
-40043,67,1020619,183718,94C2, 9.125000E+01,25,14,39,25,14,-2.160235E+00,-4.255646E+00, 1.932429E+00, 7.777271E+01, 7.745145E+01, 3.098058E+00,-8.619821E-02,-9.003706E+00, 2.089292E+00, 9.956564E+01, 7.572417E+01, 7.885679E+00, 1.450739E-01,19, 1.307824E+01,0, 0.000000E+00,0, 0.000000E+00,10, 1.988863E+01, 5.188836E-01, 9.789316E+00,NULL,NULL,1,mc_kk2f,101
-40043,68,1020619,183724,94C2, 9.125000E+01,17,10,27,17,10,-8.773935E+00,-1.271664E+00, 3.304241E-01, 3.581374E+01, 3.556838E+01, 2.092257E+00, 5.653295E+00, 1.871235E+00,-8.441769E-01, 1.053896E+02, 3.475671E+01, 1.541285E+01, 5.416301E+01,7, 0.000000E+00,0, 0.000000E+00,0, 0.000000E+00,3, 3.285064E+00, 5.095383E-01, 2.070792E+00,NULL,NULL,1,mc_kk2f,101
-40043,69,1020619,183730,94C2, 9.125000E+01,33,20,53,33,20, 1.760737E+00, 1.934448E+00,-1.197188E+01, 7.466862E+01, 7.402693E+01, 2.243240E+00, 2.416352E+00,-1.566754E+00,-4.711355E+00, 1.062147E+02, 3.235075E+01, 2.694124E+01, 2.964151E+00,9, 8.190053E-01,12, 6.511369E-01,0, 0.000000E+00,5, 4.958776E+00, 3.895326E-01, 1.703036E+00,4, 0.000000E+00,1,mc_kk2f,101
-40043,70,1020619,183743,94C2, 9.125000E+01,17,12,29,17,12,-9.259861E-01, 2.984770E-01, 3.129561E-02, 7.428068E+01, 7.406056E+01, 4.356503E+00, 9.741721E+00, 8.011933E+00,-7.194680E+00, 9.314649E+01, 7.362420E+01, 1.555611E+01, 1.830818E+00,15, 4.341115E+00,0, 0.000000E+00,0, 0.000000E+00,9, 1.618676E+01, 2.989406E-01, 4.885447E+00,NULL,NULL,1,mc_kk2f,101
-40043,71,1020619,183750,94C2, 9.125000E+01,24,14,38,24,14,-1.057333E+01, 3.029648E+00,-7.044113E+00, 5.143927E+01, 5.105587E+01, 2.127328E+00,-3.426004E+00,-2.126821E+00, 7.503327E+00, 7.607098E+01, 4.300777E+01, 2.383275E+01, 9.507370E-01,9, 9.324063E+00,9, 3.355313E+00,0, 0.000000E+00,5, 3.183046E+00, 5.310442E-01, 7.336855E-01,NULL,NULL,1,mc_kk2f,101
-40043,72,1020619,183756,94C2, 9.125000E+01,37,17,54,37,17, 4.833101E+00, 3.725204E+00, 3.862180E+00, 5.811549E+01, 5.752131E+01, 1.554630E+00,-7.694417E-02,-3.139951E+00,-4.174062E+00, 8.324296E+01, 5.221697E+01, 2.245668E+01, 2.670794E+00,16, 1.479166E+00,2, 0.000000E+00,0, 0.000000E+00,8, 1.546654E+01, 6.416802E-01, 4.285831E+00,NULL,NULL,1,mc_kk2f,101
-40043,73,1020619,183806,94C2, 9.125000E+01,23,11,34,23,11,-6.382444E+00,-1.230041E+01,-6.191467E+00, 6.353479E+01, 6.315905E+01, 2.746046E+00,-2.417339E-01, 1.619240E+00, 1.112817E+00, 1.067953E+02, 6.234940E+01, 2.894696E+01, 1.184867E+01,14, 5.845931E+00,0, 0.000000E+00,0, 0.000000E+00,9, 2.915387E+01, 5.108528E-01, 1.867302E+01,NULL,NULL,1,mc_kk2f,101
-40043,74,1020619,183816,94C2, 9.125000E+01,24,25,49,24,25,-3.048120E+00, 1.549735E+00, 3.480981E-01, 5.100879E+01, 5.050220E+01, 2.104258E+00, 3.415840E+00,-6.265430E-01,-2.037631E+00, 9.714622E+01, 4.787205E+01, 3.856145E+01, 4.842705E-01,22, 8.039803E+00,3, 0.000000E+00,0, 0.000000E+00,19, 4.003861E+01, 4.066081E-01, 8.033483E+00,1, 0.000000E+00,1,mc_kk2f,101
-40043,75,1020619,183826,94C2, 9.125000E+01,25,12,37,25,12, 6.827234E+00,-1.694314E+01, 1.073239E+01, 4.229008E+01, 4.179942E+01, 1.671977E+00, 2.629828E-01,-2.265725E+00, 1.821037E+00, 8.035046E+01, 3.390218E+01, 1.854316E+01, 1.951722E+01,13, 6.244712E+00,0, 0.000000E+00,0, 0.000000E+00,10, 1.807478E+01, 3.836817E-01, 3.947726E+00,NULL,NULL,1,mc_kk2f,101
-40043,76,1020619,183834,94C2, 9.125000E+01,40,12,52,40,12,-2.003889E+01, 9.377776E-01,-1.024697E+01, 1.683931E+02, 1.677744E+02, 4.194360E+00,-1.825599E+01, 1.896327E+00,-6.583878E+00, 1.818207E+02, 4.647556E+01, 1.342758E+01, 0.000000E+00,1, 0.000000E+00,14, 4.713423E-01,0, 0.000000E+00,1, 1.087018E+00, 1.087018E+00, 1.087018E+00,4, 0.000000E+00,1,mc_kk2f,101
-40043,77,1020619,183845,94C2, 9.125000E+01,25,16,41,25,16,-6.603259E+00,-1.421610E+00, 3.147174E-01, 6.394838E+01, 6.358320E+01, 2.543328E+00,-2.249123E+00,-1.961557E+00, 1.209831E-01, 9.360880E+01, 5.660410E+01, 1.889824E+01, 1.013884E+01,11, 7.864061E+00,3, 0.000000E+00,0, 0.000000E+00,8, 1.735687E+01, 6.233466E-01, 6.274404E+00,NULL,NULL,1,mc_kk2f,101
-40043,78,1020619,183852,94C2, 9.125000E+01,29,17,46,29,17, 1.035053E+01,-2.939696E+00,-1.176715E+01, 3.960512E+01, 3.869661E+01, 1.334366E+00, 6.365371E+00,-3.279474E+00,-8.401898E+00, 6.494963E+01, 3.248572E+01, 2.201700E+01, 3.327518E+00,9, 1.630605E-01,8, 0.000000E+00,0, 0.000000E+00,5, 1.364790E+01, 1.086957E+00, 6.314072E+00,NULL,NULL,1,mc_kk2f,101
-40043,79,1020619,183902,94C2, 9.125000E+01,26,11,37,26,11, 1.504013E+01,-1.185500E+01,-4.872282E+01, 1.201207E+02, 1.199048E+02, 4.611722E+00, 1.155793E+01,-8.104261E+00,-3.951788E+01, 1.371464E+02, 4.317218E+01, 1.565666E+01, 1.369083E+00,1, 0.000000E+00,22, 1.091929E+01,0, 0.000000E+00,1, 8.330778E-01, 8.330778E-01, 8.330778E-01,NULL,NULL,1,mc_kk2f,101
-40043,80,1020619,183908,94C2, 9.125000E+01,30,7,37,30,7,-1.114917E+02, 2.570651E+01, 2.470952E+01, 1.842629E+02, 1.834944E+02, 6.116478E+00,-1.048239E+02, 2.282754E+01, 2.466224E+01, 2.022752E+02, 1.773478E+02, 3.262274E+00, 1.224119E+01,14, 5.760137E+00,0, 0.000000E+00,0, 0.000000E+00,4, 5.771175E+00, 1.076431E+00, 1.775230E+00,NULL,NULL,1,mc_kk2f,101
-40043,81,1020619,183916,94C2, 9.125000E+01,30,21,51,30,21, 4.505914E+01, 2.877479E+01,-3.684368E+02, 4.883663E+02, 4.877891E+02, 1.625964E+01, 4.683181E+01, 3.072154E+01,-3.788392E+02, 5.145594E+02, 5.707035E+00, 2.369102E+01, 1.807117E+00,1, 0.000000E+00,23, 1.562413E+01,0, 0.000000E+00,1, 6.949866E-01, 6.949866E-01, 6.949866E-01,3, 0.000000E+00,0,mc_kk2f,101
-40043,82,1020619,183928,94C2, 9.125000E+01,11,13,24,11,13, 2.422464E+00,-4.257929E+00, 5.390658E+00, 2.065958E+01, 2.053562E+01, 1.866875E+00, 7.994339E-01,-1.866619E+00, 8.541124E+00, 4.555642E+01, 9.381498E+00, 9.570311E+00, 1.532653E+01,3, 6.899311E-01,9, 4.098436E+00,0, 0.000000E+00,1, 1.983340E+00, 1.983340E+00, 1.983340E+00,2, 0.000000E+00,0,mc_kk2f,101
-40043,83,1020619,183934,94C2, 9.125000E+01,27,9,36,27,9,-9.683350E+00,-1.240878E-01,-2.870225E+00, 7.738926E+01, 7.688886E+01, 2.847736E+00,-1.749174E+01,-1.235786E+00,-3.786791E+00, 1.046608E+02, 7.498058E+01, 9.549339E+00, 1.677039E+01,16, 5.101090E+00,0, 0.000000E+00,0, 0.000000E+00,7, 1.050865E+01, 6.003749E-01, 2.989246E+00,NULL,NULL,1,mc_kk2f,101
-40043,84,1020619,183940,94C2, 9.125000E+01,20,13,33,20,13,-6.103560E+00,-7.464357E-01, 4.754989E+00, 6.733723E+01, 6.707387E+01, 3.353693E+00, 9.322919E+00, 3.886404E+00,-7.832939E+00, 1.069626E+02, 6.606614E+01, 3.110196E+01, 8.523453E+00,14, 7.696441E+00,0, 0.000000E+00,0, 0.000000E+00,11, 3.041799E+01, 7.433470E-01, 9.504189E+00,NULL,NULL,1,mc_kk2f,101
-40043,85,1020619,183947,94C2, 9.125000E+01,21,19,40,21,19, 2.873617E-01,-3.994790E+00,-9.880490E+00, 5.345124E+01, 5.314310E+01, 2.530624E+00,-1.276693E+00, 4.138337E+00, 7.259725E+00, 7.997143E+01, 4.443262E+01, 2.546868E+01, 0.000000E+00,5, 0.000000E+00,17, 4.514286E+00,0, 0.000000E+00,4, 4.549979E+00, 8.405744E-01, 1.542069E+00,NULL,NULL,1,mc_kk2f,101
-40043,86,1020619,183955,94C2, 9.125000E+01,27,11,38,27,11, 3.802793E-01, 1.399569E+00,-3.013614E+00, 5.397434E+01, 5.344074E+01, 1.979287E+00,-6.072981E-01, 1.220678E+00, 3.037224E-01, 6.188999E+01, 4.592516E+01, 4.549269E+00, 2.707153E+00,5, 0.000000E+00,5, 0.000000E+00,0, 0.000000E+00,3, 2.684870E+00, 6.592252E-01, 1.218551E+00,NULL,NULL,1,mc_kk2f,101
-40043,87,1020619,184004,94C2, 9.125000E+01,27,19,46,27,19,-2.880768E-01,-7.219444E+00, 1.376228E+00, 6.276114E+01, 6.214902E+01, 2.301816E+00,-2.435608E+00,-1.075606E+01, 1.889574E+00, 9.263576E+01, 5.964782E+01, 2.783271E+01, 1.657532E+00,24, 1.472483E+01,0, 0.000000E+00,0, 0.000000E+00,15, 2.103217E+01, 3.843850E-01, 4.744113E+00,NULL,NULL,1,mc_kk2f,101
-40043,88,1020619,184013,94C2, 9.125000E+01,15,7,22,15,7,-2.701426E+00,-7.464881E+00, 7.047144E+00, 7.253146E+01, 7.241756E+01, 4.827837E+00,-1.369721E+00,-1.234138E+00, 2.166166E+00, 8.892104E+01, 7.239824E+01, 8.252843E+00, 7.069851E+00,10, 9.400995E+00,0, 0.000000E+00,0, 0.000000E+00,5, 9.319727E+00, 1.066884E+00, 2.931983E+00,NULL,NULL,1,mc_kk2f,101
-40043,89,1020619,184020,94C2, 9.125000E+01,15,9,24,15,9, 2.196938E+01, 7.073105E+00,-5.714222E+00, 4.300413E+01, 4.285632E+01, 2.857088E+00, 1.718394E+01, 7.347048E+00,-4.529195E+00, 7.491768E+01, 4.208691E+01, 2.237622E+01, 6.198957E+00,13, 4.315943E+00,0, 0.000000E+00,0, 0.000000E+00,7, 2.483038E+01, 9.546005E-01, 6.309010E+00,NULL,NULL,1,mc_kk2f,101
-40043,90,1020619,184026,94C2, 9.125000E+01,28,17,45,28,17, 2.518538E+00, 8.470826E+00,-4.139743E+00, 8.096920E+01, 8.056054E+01, 2.877162E+00, 1.097231E+00, 5.033534E+00,-2.052182E+00, 1.000601E+02, 7.796947E+01, 1.367084E+01, 1.995667E+00,16, 1.483877E+01,0, 0.000000E+00,0, 0.000000E+00,11, 1.650414E+01, 3.316368E-01, 3.424362E+00,NULL,NULL,1,mc_kk2f,101
-40043,91,1020619,184033,94C2, 9.125000E+01,14,10,24,14,10,-6.617895E+00, 8.393805E+00, 5.762564E+00, 3.400560E+01, 3.371165E+01, 2.407975E+00,-8.849177E+00, 1.129324E+01, 7.553901E+00, 6.034139E+01, 3.303525E+01, 1.841279E+01, 7.556311E-01,14, 5.681245E+00,0, 0.000000E+00,0, 0.000000E+00,8, 2.501993E+01, 6.659509E-01, 1.001235E+01,1, 0.000000E+00,1,mc_kk2f,101
-40043,92,1020619,184038,94C2, 9.125000E+01,27,19,46,27,19, 7.516849E+00, 2.460090E+00, 4.249311E+00, 1.317189E+02, 1.313596E+02, 4.865169E+00, 3.025410E+00, 1.903060E+00, 1.931044E+01, 1.543644E+02, 3.068519E+01, 1.840822E+01, 4.237263E+00,1, 0.000000E+00,19, 4.873578E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,4, 0.000000E+00,1,mc_kk2f,101
