run,evt,date,time,dsttype,ecm,nctrk,nntrk,nvecp,ncvecp,nnvecp,sum_px_ch,sum_py_ch,sum_pz_ch,sum_e_ch,sum_p_ch,mean_p_ch,sum_px_all,sum_py_all,sum_pz_all,sum_e_all,echar,emneu,ehneu,nhpc,ehpc_sum,nemf,eemf_sum,nemclu,eemclu_sum,nphot,ephot_sum,ephot_min,ephot_max,nstic,estic_sum,ihad4,sample,file_id
-21027,2545,20228,84612,94C2, 9.125000E+01,30,9,39,30,9, 8.078094E+00,-1.651711E+00,-5.240500E-01, 8.601527E+01, 8.559427E+01, 2.853142E+00, 1.333594E+01,-1.955954E+00,-2.128496E+00, 9.959641E+01, 8.244152E+01, 5.710652E+00, 6.329237E+00,15, 5.716916E+00,0, 0.000000E+00,0, 0.000000E+00,5, 5.994216E+00, 5.358966E-01, 2.013461E+00,NULL,NULL,1,mc_qqps,39
-21027,2546,20228,84621,94C2, 9.125000E+01,18,16,34,18,16,-8.911578E-01,-7.476246E-01, 4.850318E+00, 1.640025E+01, 1.592544E+01, 8.847465E-01, 3.948773E-01, 3.521076E-01,-7.264919E-01, 4.424761E+01, 5.221277E+00, 2.695385E+01, 8.935066E-01,0, 0.000000E+00,17, 2.760605E+00,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 0.000000E+00,0,mc_qqps,39
-21027,2547,20228,84635,94C2, 9.125000E+01,32,16,48,32,16, 2.225368E+01, 1.160590E+01,-5.207318E+01, 1.285284E+02, 1.274057E+02, 3.981427E+00, 2.008047E+01, 1.158655E+01,-4.703721E+01, 1.458160E+02, 3.234941E+01, 1.577583E+01, 5.313371E-01,1, 0.000000E+00,19, 9.105728E+00,0, 0.000000E+00,1, 9.805127E-01, 9.805127E-01, 9.805127E-01,1, 0.000000E+00,1,mc_qqps,39
-21027,2548,20228,84647,94C2, 9.125000E+01,22,12,34,22,12, 3.875052E+00,-5.345105E+00,-9.745130E+00, 6.536643E+01, 6.484679E+01, 2.947582E+00, 7.744308E-01,-1.361126E+00,-1.742859E+00, 8.786271E+01, 6.282417E+01, 1.149509E+01, 9.606763E+00,6, 2.959673E-01,4, 1.404104E+00,0, 0.000000E+00,5, 5.892578E+00, 5.618207E-01, 1.972060E+00,NULL,NULL,1,mc_qqps,39
-21027,2549,20228,84657,94C2, 9.125000E+01,17,8,25,17,8,-2.224516E+00,-1.747943E+00,-1.089638E+01, 2.102519E+01, 2.070026E+01, 1.217662E+00, 3.029156E-02,-1.515678E+00,-2.290541E+00, 5.302450E+01, 3.680491E+00, 3.199930E+01, 0.000000E+00,0, 0.000000E+00,9, 7.035180E-01,0, 0.000000E+00,NULL,NULL,NULL,NULL,2, 0.000000E+00,0,mc_qqps,39
-21027,2550,20228,84718,94C2, 9.125000E+01,24,10,34,24,10, 1.048844E+00, 1.280099E+00,-3.779948E-01, 6.183913E+01, 6.142766E+01, 2.559486E+00, 1.517859E+00,-2.177674E-02,-9.880396E-01, 6.886271E+01, 5.831891E+01, 4.214765E+00, 1.993102E+00,3, 0.000000E+00,5, 0.000000E+00,0, 0.000000E+00,3, 2.845007E+00, 8.157206E-01, 1.119699E+00,NULL,NULL,1,mc_qqps,39
-21027,2551,20228,84728,94C2, 9.125000E+01,33,15,48,33,15,-5.578740E+00, 1.039408E+01, 7.178300E+00, 5.989674E+01, 5.930476E+01, 1.797114E+00,-2.421935E+00, 3.185961E-01, 4.478362E-01, 8.751146E+01, 5.121672E+01, 1.280681E+01, 1.171264E+01,10, 8.591083E+00,1, 0.000000E+00,0, 0.000000E+00,8, 1.430316E+01, 8.181532E-01, 4.228393E+00,NULL,NULL,1,mc_qqps,39
-21027,2552,20228,84740,94C2, 9.125000E+01,25,15,40,25,15, 4.160797E+00,-1.203231E+01,-4.126884E+01, 5.085076E+01, 5.006951E+01, 2.002780E+00, 1.529269E+00,-7.979009E+00,-3.269158E+01, 9.960294E+01, 1.032957E+01, 3.657138E+01, 1.218078E+01,2, 1.340957E-01,12, 2.463358E+00,0, 0.000000E+00,1, 4.844270E-01, 4.844270E-01, 4.844270E-01,3, 0.000000E+00,0,mc_qqps,39
-21027,2553,20228,84754,94C2, 9.125000E+01,22,8,30,22,8, 7.892084E-01, 1.191016E+00,-1.639621E+00, 8.828457E+01, 8.794466E+01, 3.997484E+00,-1.684344E+00, 5.898746E+00, 4.946699E+00, 1.022474E+02, 8.013640E+01, 1.034536E+01, 2.774964E+00,2, 0.000000E+00,4, 0.000000E+00,0, 0.000000E+00,2, 2.592649E+00, 8.474226E-01, 1.745227E+00,NULL,NULL,1,mc_qqps,39
-21027,2554,20228,84803,94C2, 9.125000E+01,31,10,41,31,10, 2.653379E-01,-9.443445E-01,-6.839209E+00, 4.748323E+01, 4.693819E+01, 1.514135E+00, 3.881962E+00, 2.644651E+00,-2.681217E-01, 6.410574E+01, 3.876833E+01, 5.328407E+00, 1.142309E+01,5, 0.000000E+00,2, 0.000000E+00,0, 0.000000E+00,4, 4.122666E+00, 6.831300E-01, 1.291135E+00,NULL,NULL,1,mc_qqps,39
