shard,sample,row_start,row_end,rows,bytes,sha256
data_051.csv,data,136942,139680,2739,899935,9c240e2a0a807dde20206440207c0f8bfab95baa97fdae4260e1bf4cd9e2af6c
data_052.csv,data,139681,142403,2723,899734,0910c92354770ba01234b7691b9878c7e3544d698091c5306691e25a4fb0a9bc
data_053.csv,data,142404,145107,2704,899981,f57c9d35c3d9ee1ca778a0aeaa6a7a972e3ecb57cf5800db5b2f665de6d5624e
data_054.csv,data,145108,147840,2733,899704,81e81f0bb00db3a3855dbf7e1862b538a5d33303c4b3956bc58a298eb7cac1f8
data_055.csv,data,147841,150420,2580,848187,912ebab11d6b186062aed09ffd15ce8ca52d2123725292852064eeb16bbd6f95
mc_qqps_001.csv,mc_qqps,1,2533,2533,899965,20b92e81dfc98c54c3e212e37cd68b90536a88cab551378b05055f505f7323b8
mc_qqps_002.csv,mc_qqps,2534,5064,2531,899890,11a38eec2612e4db7f17ca64b235a93f67d15f6344608d2f006922c03b6b3089
mc_qqps_003.csv,mc_qqps,5065,7594,2530,899776,bf0998f43a1580438e8b01c06064559e8a36d121778b34cc1f83669ba08c869f
mc_qqps_004.csv,mc_qqps,7595,10128,2534,899777,8bd15cbf0111b4e8947dc466b67bd13fe9039cf6f7f269301eeb4e65cf4cd597
mc_qqps_005.csv,mc_qqps,10129,12660,2532,899852,73262fc038d3be5764a482af921e036a442876991d4c21427505e87d09c05191
mc_qqps_006.csv,mc_qqps,12661,15190,2530,899767,ea521c5112609a495fe21e10e30c7607bc00bc86ec0ea12e5ace4b4baaeaade3
mc_qqps_007.csv,mc_qqps,15191,17719,2529,899820,1b9bf61490324a42365e9b22e83ad03bce0aff4ba05b9730d12e5c49d89a99f9
mc_qqps_008.csv,mc_qqps,17720,20249,2530,899708,990276b319d73c52851ce5ac9cd48c899a74b26a5d658570ec8f92139344bd32
mc_qqps_009.csv,mc_qqps,20250,22781,2532,899667,4988d7237ac4ff43aedab10cf0a02ca15881a3c159a26b3868d2f89dc23d116c
mc_qqps_010.csv,mc_qqps,22782,25313,2532,899980,a447f4d4eb98326e9121a2a2cf7526a55fb9d05b6a99693f81fc37b5075efc6c
mc_qqps_011.csv,mc_qqps,25314,27846,2533,899760,7e03b05ec4883ff016d0705c2aeaa0022863c7a01ca403b1f119022edf81eb33
mc_qqps_012.csv,mc_qqps,27847,30378,2532,899748,eb15491b647b145b8e3ce2b5ae427ab3c1cb6fa57c586c2db1da5244e2eb4db2
mc_qqps_013.csv,mc_qqps,30379,32909,2531,899699,014862a7f34c1b1cd396b1f445e48ae1d26c733cf749ee3c13620650520d6fbb
mc_qqps_014.csv,mc_qqps,32910,35439,2530,899993,8f0ea8caaaaadec250aeb8b86786b6a844a41bacd0235d0a5befc6c40967ef3d
mc_qqps_015.csv,mc_qqps,35440,37971,2532,899728,607b2035a8dc86a694dc8fed7823ae104ef6fe4432d2e13694df692cd33c2fc5
mc_qqps_016.csv,mc_qqps,37972,40504,2533,899988,37d16c16f13dba16f5c93c5fd0e95f5c9276077918de50ef70f1cddc7f001f93
mc_qqps_017.csv,mc_qqps,40505,43037,2533,899891,3ba2af040d51f68afe5cbf1072666186618e5b84ea57443505abfa7b8582fb6d
mc_qqps_018.csv,mc_qqps,43038,45568,2531,899789,2576ce8a555c8d0ac359b6863dbbfd25f7dec25f70910aa16a53dd03de951a40
mc_qqps_019.csv,mc_qqps,45569,48099,2531,899820,4e26622b3880b9d612a8aa3c9d544d79443680c3651d303adaf167d9ef975478
mc_qqps_020.csv,mc_qqps,48100,50627,2528,899694,af2bb1e6dc13f5bd0fb229b5d31d13b31388ac52ed9ff5540b5e55e66f375f99
mc_qqps_021.csv,mc_qqps,50628,53159,2532,899976,efe1b9abd7b610850bb45572a6203b44bc3f344185ccc0f23c24d912b4a0bcee
mc_qqps_022.csv,mc_qqps,53160,55690,2531,899720,449d21b3fb5f812eaea69be6acbd8cf255f730e144fa8ba404479ee7ecf0c021
mc_qqps_023.csv,mc_qqps,55691,58223,2533,899785,a1c6880795c5692777f301793381164eb404a2e11803163778fa76e7e45adf28
mc_qqps_024.csv,mc_qqps,58224,60757,2534,899946,efb6048e9951657fe2743034e5c1c50e3049458639ebd430d664c747a5d2b006
mc_qqps_025.csv,mc_qqps,60758,63289,2532,899850,4b7a5ba5a5ee1b917cea4ec1cca736e67dd9371736f2dc56f95c486b4291fcbc
mc_qqps_026.csv,mc_qqps,63290,65819,2530,899708,2f35212c6f63401eed439a3c6562c2c8e7fb2b50d0380caadf8776a49a18bbf7
mc_qqps_027.csv,mc_qqps,65820,68349,2530,899840,ce995558cd1af601c689c4d19d57d09a819b771d5b74884b0ef678ae0f2c79fd
mc_qqps_028.csv,mc_qqps,68350,70879,2530,899859,09a7d87904a23a2e51c48ffef977c0875851aa53953e554e735bc40eb586d80d
mc_qqps_029.csv,mc_qqps,70880,73413,2534,899963,2f9f1a62e05fe11a973d0ec4d79902a5916ec23320a7f1af979e5cccaca09fb9
mc_qqps_030.csv,mc_qqps,73414,75945,2532,899835,82fecc9d2c11103aa7c0cdd600b6027249634980d5ca597fadb802c3481b5e88
mc_qqps_031.csv,mc_qqps,75946,78477,2532,899967,bcac5bfcc02476c3527fffbf4c22eca68301d8c6ea300819f553fac9d72e9d80
mc_qqps_032.csv,mc_qqps,78478,81008,2531,899695,47e5776c716ed21bb17a17212fce4ebfb0bb161cce39d6f101d79426b020dbb9
mc_qqps_033.csv,mc_qqps,81009,83544,2536,899812,65d441494e5031747c8fec24acdaa3d220d1469b26a7ce7399bb8418ce6fc3ae
mc_qqps_034.csv,mc_qqps,83545,86075,2531,899729,1b014beb8184d9962946f5a72dfe230ed89ee8433cef4f1eaf3a35930e11c5f6
mc_qqps_035.csv,mc_qqps,86076,88609,2534,899736,a79ace7d7028650f9c87bbf4080f4bcd7a3b98b524bf4c1d53a28bf0bebb724b
mc_qqps_036.csv,mc_qqps,88610,91142,2533,899665,a036ec2d4ca4d354cef5c1f7a652a9aaed0dd2f447b8a9aba3a16d4184624e1b
mc_qqps_037.csv,mc_qqps,91143,93675,2533,899649,9c2a49afe190acbf964efa2482c7040b05678c4f5f172e49e0de3e72bd3c78ef
mc_qqps_038.csv,mc_qqps,93676,96206,2531,899787,718cc24a6276d38389c8046f454050ed8eeeaff5d70a9c230b38a27c78d85ab3
mc_qqps_039.csv,mc_qqps,96207,98740,2534,899838,af2b8837e2c5e3804b37c5a8e58d5a0c7902666c09164d4bcad958f2285668e0
mc_qqps_040.csv,mc_qqps,98741,101271,2531,899791,772a00cd684f5cdf87716ac6d700b17213aa5f6908ea6cebba389f33aa731f8f
mc_qqps_041.csv,mc_qqps,101272,103802,2531,899861,ddb3b7ddd11e35c1a9d09d9da4463d90282e3ead95ceab48e3515ca877bd7a21
mc_qqps_042.csv,mc_qqps,103803,106334,2532,899783,0e62fa2f274fecf262eb4b007fdcb5b7b4bcf1866cda6e43f1a54214819f1e19
mc_qqps_043.csv,mc_qqps,106335,108867,2533,899859,4d1085fdbeb06376fb56aed97e5ad8244f12fe68dd3b012e28215d2ecaf5bd7e
mc_qqps_044.csv,mc_qqps,108868,111402,2535,899728,e0ea143a50a475eed9a618251b00787fe9efab752d1a587553c7214e6a3bba12
mc_qqps_045.csv,mc_qqps,111403,113933,2531,899778,c7a2b98304da2e3b193b9329c553c0c25f1b318cd6cd76cf457f56d6e50b41c5
mc_qqps_046.csv,mc_qqps,113934,116462,2529,899768,4229f06bbb7bbd69d360e0f78fbd153dec3011bdbbc6a70554828ba62983388b
mc_qqps_047.csv,mc_qqps,116463,118993,2531,899705,fbcd2e6a94b4070e85c7472403704cd2ef9313c71288a6988351ea90bc794af4
mc_qqps_048.csv,mc_qqps,118994,121524,2531,899662,4c2cb63656a07795e83e91e23a7eac2dfcb98006b0f4a9bb70aaf36984a23153
mc_qqps_049.csv,mc_qqps,121525,124059,2535,899720,59eb5d8e655837f6688f562ce30542e69b946945340008c82a032d51bf90b6d1
mc_qqps_050.csv,mc_qqps,124060,126592,2533,899741,6d4d1729986315c3daec5eb7b9e105339948836168e433dea249f13ccfd53fcf
mc_qqps_051.csv,mc_qqps,126593,129124,2532,899650,1878cf588a1bad3512b1f28662f78eede1b8ab031335194ca4662cc41d625641
mc_qqps_052.csv,mc_qqps,129125,131657,2533,899943,a70bfcf853650e21c32eec2860fd722ad0ae863b7a744105cab27cab6d8df963
mc_qqps_053.csv,mc_qqps,131658,134189,2532,899884,2d9befed095f981b3b66230e44160d0ca867e68efb27f22d53a6bc81ba56ea2f
mc_qqps_054.csv,mc_qqps,134190,136722,2533,899875,fdb9f73d36e9c560a735dbd4072c5c1b7595811d292c5e2ee99cc5770040c89c
mc_qqps_055.csv,mc_qqps,136723,139254,2532,899664,95f79d7d4ad7fb864496a75e68f127416a096269351f343e25cfe5e8dbbd295b
mc_qqps_056.csv,mc_qqps,139255,141787,2533,899771,2af37d98c1e4472fd5534fa3389f379b8b4cdc57110e6a31464d5d04967817d1
mc_qqps_057.csv,mc_qqps,141788,144320,2533,899894,1648b85ae72febc62533d7e1aebad262c63cb2384949b64816fc6c0179cb3f58
mc_qqps_058.csv,mc_qqps,144321,146852,2532,899861,b12f68a68407b7c98fc3f441e95acf9144fe665aa922eae508d5a7659ba52622
mc_qqps_059.csv,mc_qqps,146853,149384,2532,899715,e9405874452021c51ec82dd22f6dc3c253cc06ab07c4811992f1e948c4511545
