Title: The Magnificent Five Images of Supernova Refsdal: Time Delay and 
       Magnification Measurements 
Authors: Kelly P.L., Rodney S., Treu T., Birrer S., Bonvin V., Dessart L., 
    Foley R.J., Filippenko A.V., Gilman D., Jha S., Hjorth J., Mandel K., 
    Millon M., Pierel J., Thorp S., Zitrin A., Broadhurst T., Chen W., 
    Diego J.M., Dressler A., Graur O., Jauzac M., Malkan M.A., McCully C., 
    Oguri M., Postman M., Schmidt K.B., Sharon K., Tucker B.E., 
    von der Linden A., Wambsganss J.
Table: Photometry of SN Refsdal
================================================================================
Byte-by-byte Description of file: apjac4ccbt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  2 A2     ---    Obj       Image of SN Refsdal (see Table 2)
   4-  8 A5     ---    Filt      WFC3-IR Filter                  
  10- 27 F18.12 d      MJD       [56598.13/57756.91] Modified Julian date (1)
  29- 51 F23.20 uJy    Flux      [-0.06/0.8] Flux in Filt
  53- 73 F21.19 uJy  e_Flux      [0.0/0.67] Uncertainty in Flux
--------------------------------------------------------------------------------
Note (1): Modified Julian Date (JD-2,400,000.5) at the beginning of the 
    observation.
--------------------------------------------------------------------------------
S1 F125W 56982.504438272001  0.23786172186122139793 0.0094470676517951699 
S1 F125W 56983.266286960868  0.23866191451702239990 0.0110382548195989104 
S1 F125W 56990.896147070227  0.26601693281764798860 0.0203798256901948811 
S1 F125W 56992.951846598589  0.21851390910021076253 0.0215277782580355452 
S1 F125W 56994.012461148508  0.23593168446327109078 0.0193757572503267146 
S1 F125W 56996.732267955202  0.31351995653508507589 0.0218325942263300141 
S1 F125W 56999.812837796082  0.28316554465343218849 0.0146156318218492332 
S1 F125W 57005.861237163350  0.29135187880028107221 0.0120732848772450042 
S1 F125W 57020.393914136519  0.32436659870980588671 0.0296015250703677187 
S1 F125W 57021.802169828261  0.45602902768739644879 0.0417348489434886880 
S1 F125W 57024.716047412592  0.38635792623515541333 0.0411664897199840660 
S1 F125W 57025.841644688531  0.40009670910127453913 0.0294678208040963716 
S1 F125W 57026.910318382725  0.43702781820042152505 0.0496335268359908641 
S1 F125W 57029.541863325117  0.35627267788077854327 0.0118195876776854489 
S1 F125W 57033.944566211321  0.37685732149166789595 0.0227933811564628580 
S1 F125W 57036.599358465217  0.41644317458953228339 0.0218373958489470263 
S1 F125W 57044.688319253488  0.40535913572213017053 0.0218399556492572186 
S1 F125W 57049.197692150454  0.43386094995259244511 0.0227329915473700496 
S1 F125W 57062.354422790566  0.43861125232433617604 0.0207222707544357128 
S1 F125W 57076.391328732854  0.47186336892654218156 0.0206046045040245360 
S1 F125W 57090.387438273363  0.49086457841351704978 0.0222513679666952909 
S1 F125W 57104.260196052288  0.51778295852006472888 0.0209543885990192795 
S1 F125W 57118.146737615738  0.49403144666134607421 0.0214470001433020481 
S1 F125W 57132.085441677140  0.54945164099835619442 0.0305025778364846553 
S1 F125W 57149.054565895378  0.51303265614832094244 0.0285572751072130544 
S1 F125W 57188.170015294163  0.37844075561558249143 0.0210103757281631075 
S1 F125W 57216.204173395432  0.39902539922647189963 0.0235106884590062272 
S1 F125W 57223.959418368991  0.35152237550903481234 0.0246486741798234953 
S1 F125W 57325.821557917814  0.08281360468073206693 0.0284977213710313343 
S1 F125W 57340.934185270708  0.08233857444355768829 0.0243888602297115537 
S1 F125W 57367.044636525781  0.07616318136029086305 0.0212613761936760216 
S1 F125W 57402.111007269064  0.05700362846092455610 0.0211565587243942796 
S1 F125W 57426.212352908384  0.05573688116179290053 0.0227665162470460959 
S1 F125W 57430.592927765872  0.05684528504853311043 0.0152159724497796123 
S1 F125W 57444.575338463525  0.04496952911917381085 0.0176723741898604722 
S1 F125W 57459.025404500237  0.08028011008246872804 0.0210362639033349619 
S1 F125W 57472.527823619217  0.09896463274466070492 0.0195121414512738102 
S1 F125W 57493.261342031699  0.02802678399328790287 0.0195614616192918422 
S1 F125W 57507.527674438803  0.04655296324308838551 0.0197453164521480123 
S1 F125W 57521.279153724456  0.01478927471736208969 0.0183345591228100471 
S1 F125W 57524.558712507504  0.05885276182562008268 0.0110917667475481981 
S1 F125W 57527.183333155343  0.04940314466613461575 0.0166496949837010681 
S1 F125W 57532.017374782372  0.06713760685397780759 0.0256907313908526294 
S1 F125W 57534.267358031575  0.06650423320441196939 0.0245589729834357062 
S1 F125W 57536.435061742231  0.03790517602790762636 0.0147177003228183573 
S1 F125W 57537.056063999989  0.00631790215441913831 0.0394530663166273166 
S1 F125W 57538.309832704988  0.01401339199664394970 0.0218983244037307991 
S1 F125W 57541.092847062486  0.03784407556155824220 0.0199100828560093944 
S1 F125W 57545.066837152357  0.06650423320441198327 0.0173371315799563629 
S1 F125W 57547.054769125374  0.03831910579873262085 0.0200505388551748195 
S1 F125W 57548.993577176698  0.07394637358681047101 0.0232960583083998314 
S1 F125W 57550.039484205357  0.05542019433700999531 0.0195578955506254121 
S1 F125W 57551.659135049449  0.06175393083266828009 0.0193163776266432607 
S1 F125W 57553.719020643337  0.06602920296723761850 0.0177208991712014784 
S1 F125W 57555.901707738245  0.06397073860614867213 0.0196546357496881589 
S1 F125W 57557.492479939028  0.04702799348026276416 0.0197548061585254044 
S1 F125W 57566.203646546783  0.04686965006787130461 0.0221886289702406432 
S1 F125W 57569.248663584040  0.02802678399328790634 0.0211619268603479536 
S1 F125W 57573.225425081117  0.05732031528570746132 0.0217726772466204054 
S1 F125W 57577.716220782524  0.03404383366416327550 0.0210466828652541987 
S1 F125W 57580.178682059959  0.01279414772122973269 0.0202870103280551259 
