sample,galaxy,R_kpc,R_over_Rd,V_obs_kms,V_bar_kms,g_obs,g_bar,e_gobs,g_pred_gate,g_pred_mond,dlnB_ring
sparc,UGC02885,54.58,4.787719298245614,298.0,158.86034187297977,5.272886845361257e-11,1.4984660545107624e-11,3.5388502317860784e-12,4.880897788205619e-11,4.8808977882164304e-11,0.0017173774362584
sparc,UGC02885,58.46,5.128070175438596,298.0,157.2893442989702,4.9229244615090215e-11,1.3714792702977276e-11,3.3039761486637725e-12,4.634764482733061e-11,4.6347644827360806e-11,0.0017614275928974
sparc,UGC02885,62.34,5.468421052631579,298.0,153.04925883518678,4.616524928133099e-11,1.2177134933603218e-11,3.098338877941677e-12,4.325706533694178e-11,4.3257065336950336e-11,0.001750165445679
sparc,UGC02885,66.21,5.807894736842105,298.0,149.42642370076317,4.346687268083634e-11,1.0929006183097691e-11,2.9172397772373386e-12,4.0644209085820306e-11,4.064420908582281e-11,0.0017449747351421
sparc,UGC02885,70.19,6.157017543859649,298.0,148.23544019565625,4.100216042453589e-11,1.0145613345676095e-11,2.7518228472842876e-12,3.8948588889212894e-11,3.894858888921363e-11,0.0017803029506129
sparc,UGC02885,74.07,6.497368421052631,298.0,145.34132612577883,3.88543491318776e-11,9.242412486592865e-12,2.6076744383810468e-12,3.6932356167715656e-11,3.693235616771589e-11,0.0017815586684446
sparc,UGC02916,0.37,0.0601626016260162,183.0,103.67254829510075,2.933255611464928e-09,9.414023501519074e-10,1.5259340667292963e-09,9.747665418223664e-10,9.958242816674532e-10,-0.0654327340095333
sparc,UGC02916,0.74,0.1203252032520325,195.99999999999997,160.80490409188394,1.6824023943688475e-09,1.1324429013364655e-09,6.987120148042052e-10,1.17036836054346e-09,1.181164617275019e-09,-0.0120935787192257
sparc,UGC02916,1.11,0.1804878048780487,204.99999999999997,184.28412351583623,1.226970717467562e-09,9.915219177482663e-10,1.687832889394403e-10,1.037059581356086e-09,1.044401705856755e-09,-0.009242431592129
sparc,UGC02916,1.48,0.240650406504065,211.0,202.55459794830628,9.74883342874004e-10,8.984045679586551e-10,7.290833720640655e-11,9.490707167271747e-10,9.541725370889878e-10,0.0004757552029319
sparc,UGC02916,1.84,0.2991869918699187,214.0,218.73621481135677,8.06601784453229e-10,8.427000441771221e-10,1.1156734962530643e-11,8.966152801025689e-10,9.002387726210056e-10,0.0063770793926969
sparc,UGC02916,2.21,0.3593495934959349,214.0,231.78146269708452,6.715598567393401e-10,7.877974660149403e-10,9.414390515037476e-12,8.444958873013051e-10,8.47103993143535e-10,0.0085053130473027
sparc,UGC02916,2.6,0.4227642276422764,213.0,237.9485993865061,5.655035214723131e-10,7.057362287873484e-10,1.4018115461848887e-11,7.65796782277276e-10,7.677030983116682e-10,0.0081526371859897
sparc,UGC02916,2.96,0.48130081300813,211.0,234.6472564297311,4.87441671437002e-10,6.028214607991224e-10,2.0791350914374487e-11,6.666125533566241e-10,6.680787739109674e-10,0.0072432870579398
sparc,UGC02916,3.17,0.5154471544715447,209.99999999999997,234.77633307043536,4.5084658253784375e-10,5.635063610843854e-10,3.726998415646176e-11,6.287251854172386e-10,6.29975892403379e-10,0.0064696008903829
sparc,UGC02916,3.33,0.5414634146341463,208.99999999999997,233.67693692360825,4.2510654697363144e-10,5.314188113652728e-10,1.2204015702592292e-11,5.977337729295747e-10,5.988450071146023e-10,0.0063336623074855
sparc,UGC02916,3.7,0.6016260162601625,206.99999999999997,230.67934448060143,3.753085183064907e-10,4.66085023245427e-10,5.801870814399858e-12,5.344767787885986e-10,5.353233035522093e-10,0.0053776056121597
sparc,UGC02916,4.07,0.6617886178861788,206.0,226.80652034278023,3.3790100719130486e-10,4.0960581826326703e-10,5.67542468389279e-12,4.79542082055421e-10,4.801885871898852e-10,0.004475541015538
sparc,UGC02916,4.44,0.7219512195121951,204.99999999999997,222.0790676313281,3.0674267936689055e-10,3.599827875018136e-10,1.0324509695763635e-11,4.309904551123864e-10,4.314853668218507e-10,0.0037258850844452
sparc,UGC02916,4.81,0.7821138211382113,204.99999999999997,216.94611455382184,2.8314708864636056e-10,3.1710868105410496e-10,7.651877420004087e-12,3.8874029115662136e-10,3.8911985002321606e-10,0.0031719459555227
sparc,UGC02916,5.18,0.8422764227642275,205.99999999999997,211.81355603454656,2.6549364850745376e-10,2.8069016635540435e-10,1.928050961976461e-11,3.5255139722560616e-10,3.5284301064009936e-10,0.0027215976912899
sparc,UGC02916,5.55,0.9024390243902438,206.99999999999997,206.3778305196563,2.5020567887099384e-10,2.487038779825505e-10,1.2135579786786367e-11,3.2045969408053435e-10,3.206841653941439e-10,0.0024907792276417
sparc,UGC02916,5.92,0.96260162601626,208.00000000000003,201.35468738025443,2.3683965401777203e-10,2.2194800017996568e-10,1.7535243614777348e-11,2.93330772350547e-10,2.935039394026968e-10,0.0022546841826575
sparc,UGC02916,6.28,1.0211382113821137,210.0,197.03444330877787,2.2757701698168227e-10,2.0034297263446783e-10,4.2264303153741e-12,2.711836626962116e-10,2.713185471023459e-10,0.0022185155268674
sparc,UGC02916,6.34,1.0308943089430893,209.99999999999997,196.3929116083368,2.2542329126892187e-10,1.97156824441662e-10,1.0262126973956636e-11,2.678962207611931e-10,2.680256436523042e-10,0.0021676951250499
sparc,UGC02916,6.65,1.08130081300813,211.99999999999997,193.2226600324092,2.1902794644328946e-10,1.8194659089106908e-10,4.0499507078193154e-12,2.5211523040014614e-10,2.5221990292915615e-10,0.002133939574644
sparc,UGC02916,7.03,1.143089430894309,214.0,189.71317911521064,2.1111625652829888e-10,1.6591633022188528e-10,1.4995173360888522e-12,2.353069836429077e-10,2.353879314075544e-10,0.0020778734413304
sparc,UGC02916,7.39,1.2016260162601624,215.0,186.66040881772437,2.027131565014422e-10,1.5279510516908687e-10,4.186262394727458e-12,2.2138979270086469e-10,2.2145344591148163e-10,0.0020237705799135
sparc,UGC02916,7.77,1.2634146341463413,215.99999999999997,183.5852421084004,1.9459690930285238e-10,1.4057366543453346e-10,3.1712088923427797e-12,2.0827504172325543e-10,2.0832458578465008e-10,0.0019930771521325
sparc,UGC02916,8.14,1.3235772357723576,216.99999999999997,181.0361149605238,1.8747549872315196e-10,1.3048346834328498e-10,2.643663714713572e-12,1.9731959325187848e-10,1.9735855210489415e-10,0.0019703395437387
sparc,UGC02916,8.51,1.3837398373983738,218.0,178.52266349122175,1.8098095763989894e-10,1.213686748435085e-10,1.278489333786442e-11,1.873083965236119e-10,1.8733911808269086e-10,0.0018569672866657
sparc,UGC02916,8.88,1.4439024390243902,218.0,176.10184601531012,1.7344008440490315e-10,1.1317859703387456e-10,1.0915586963464549e-11,1.7820712793338882e-10,1.782314227160808e-10,0.001864927796956
sparc,UGC02916,9.25,1.5040650406504064,218.00000000000003,174.09872702004455,1.6650248102870704e-10,1.0619373926363578e-10,1.2785557488167683e-11,1.7035609072413288e-10,1.7037537193205288e-10,0.0018210854596754
sparc,UGC02916,9.52,1.5479674796747966,217.99999999999997,172.55471633658698,1.6178024679785084e-10,1.0135990027921732e-10,5.832994219408751e-12,1.6486918219465067e-10,1.6488549356688036e-10,0.0019055962417942
sparc,UGC02916,9.62,1.5642276422764223,218.0,171.9981148733904,1.6009853945067986e-10,9.966020053884456e-11,5.9486154566536994e-12,1.6292864516816407e-10,1.6294398236421483e-10,0.0019026204173622
sparc,UGC02916,9.99,1.624390243902439,216.99999999999997,170.03723774514805,1.5275781377442008e-10,9.379335027555207e-11,2.8439703578279133e-11,1.5618241386752654e-10,1.5619464781919024e-10,0.0014041356360604
sparc,UGC02916,10.4,1.6910569105691056,217.0,167.9524500565562,1.467356307313901e-10,8.789998535740665e-11,5.680088931537682e-12,1.4932422432840406e-10,1.4933377566722407e-10,0.0018945886566339
sparc,UGC02916,10.71,1.7414634146341463,215.99999999999997,166.62644318954898,1.4117814988638307e-10,8.401325898085332e-11,4.130768089268246e-12,1.4475200134299044e-10,1.4475994290390583e-10,0.0019037830542119
sparc,UGC02916,11.12,1.8081300813008128,215.00000000000003,164.83581194631216,1.34716746991516e-10,7.918589157250454e-11,8.421363160771976e-12,1.39013198130258e-10,1.3901943374537388e-10,0.0018373242509817
sparc,UGC02916,12.67,2.060162601626016,211.99999999999997,159.28067773587605,1.1495941940393648e-10,6.489317597925809e-11,1.9738315407090984e-12,1.2156146816886979e-10,1.2156403578635504e-10,0.0018616162725284
sparc,UGC02916,12.98,2.1105691056910567,211.0,158.36475482252987,1.1115773092862292e-10,6.261693817799597e-11,1.7490221169811763e-11,1.1870728668808486e-10,1.1870944710999395e-10,0.0014681814452532
sparc,UGC02916,15.86,2.578861788617886,208.99999999999997,151.93539801507742,8.925629264957081e-11,4.716981875971428e-11,7.15758595601343e-12,9.8618572402412e-11,9.861903624962092e-11,0.0016184006331005
sparc,UGC02916,19.05,3.097560975609756,215.0,148.5720597218737,7.863780716775106e-11,3.7551627412621566e-11,9.655991205714548e-12,8.526475347762892e-11,8.526484860844509e-11,0.0015503827319635
sparc,UGC02916,22.14,3.6,215.0,146.42806790366387,6.766261185843079e-11,3.1384882146036126e-11,8.748933068206399e-12,7.620737842233098e-11,7.620740084118424e-11,0.0014147364615529
sparc,UGC02916,25.34,4.120325203252032,210.0,142.0505971476361,5.640030255110359e-11,2.580649193307852e-11,5.693744828968553e-12,6.75554554151679e-11,6.755546074442131e-11,0.0011793284387702
sparc,UGC02916,28.53,4.639024390243902,196.0,135.96843630048852,4.363749638390982e-11,2.10002221586699e-11,5.6995913644290384e-12,5.962837412566118e-11,5.962837546260903e-11,0.0001754980319567
sparc,UGC02916,31.72,5.157723577235772,184.99999999999997,129.0789308136692,3.4967109451839016e-11,1.7022643146679e-11,4.347262256174582e-12,5.2614124332145537e-11,5.2614124682534986e-11,-0.0009040835357375
sparc,UGC02916,34.91,5.676422764227642,182.0,124.03854691183705,3.074980612533806e-11,1.4282786546598812e-11,3.6494275401500116e-12,4.745796060397126e-11,4.7457960700813176e-11,-0.0012839471563116
sparc,UGC02916,38.0,6.178861788617886,181.0,119.5657354763479,2.7939781658286008e-11,1.2192123057552483e-11,3.179886752269016e-12,4.328783827628639e-11,4.328783830524009e-11,-0.0013836192838825
sparc,UGC02953,0.09,0.0253521126760563,231.0,67.88712521531603,1.921458040711564e-08,1.659517290696667e-09,8.800444186462488e-09,1.670573176791449e-09,1.69525462076829e-09,-0.1292998650672512
sparc,UGC02953,0.17,0.0478873239436619,230.99999999999997,130.16461224157663,1.017242492141416e-08,3.229880030169277e-09,2.457235110887057e-09,3.236310722217615e-09,3.24476867128287e-09,-0.0288823645790792
sparc,UGC02953,0.26,0.0732394366197183,231.0,172.30738222722783,6.651200910155414e-09,3.700699962962221e-09,9.444129430870024e-10,3.706855122952632e-09,3.7123596744286933e-09,-0.0109100652632123
sparc,UGC02953,0.34,0.0957746478873239,230.99999999999997,190.6476957112254,5.08621246070708e-09,3.464444901446612e-09,5.240340111031538e-10,3.472245888263822e-09,3.477613269165982e-09,-0.0064267938149026
sparc,UGC02953,0.43,0.1211267605633802,231.99999999999997,201.87037085714184,4.056551266861709e-09,3.0713277304478894e-09,2.811609671169667e-10,3.081853098947703e-09,3.087523333524412e-09,-0.0047715349310989
sparc,UGC02953,0.51,0.1436619718309859,231.99999999999997,208.64070798863773,3.4202294995108527e-09,2.7661604922189238e-09,1.9253533303280924e-10,2.779363094274439e-09,2.7852544436253283e-09,-0.0035524933632528
sparc,UGC02953,0.6,0.1690140845070422,232.0,214.9411771159728,2.907195074584225e-09,2.4953843685806598e-09,1.19044625898923e-10,2.51157044397912e-09,2.517548468109478e-09,-0.0022086362198026
sparc,UGC02953,0.69,0.1943661971830985,231.99999999999997,219.71896440680763,2.527995717029761e-09,2.2674381574478983e-09,8.717226610447451e-11,2.2866452241329603e-09,2.2926222657934196e-09,-0.001069921578866
sparc,UGC02953,0.77,0.2169014084507042,233.0,223.2917466455041,2.2849177512291574e-09,2.098476312990586e-09,1.1159812879393912e-10,2.1202979821995327e-09,2.126197214553149e-09,-0.0003892862158187
sparc,UGC02953,0.86,0.2422535211267605,232.99999999999997,226.32066377156104,2.04579845168192e-09,1.9301871494421203e-09,8.48172233615766e-11,1.954947663733007e-09,1.960720549638158e-09,0.000466889466183
sparc,UGC02953,0.95,0.2676056338028169,233.99999999999991,228.9069764773455,1.867916955503322e-09,1.787491179939424e-09,1.7242310358492208e-10,1.815063089680487e-09,1.8206568302069134e-09,0.0009151103814344
sparc,UGC02953,1.03,0.2901408450704225,235.0,231.66084218097797,1.737592585044321e-09,1.6885638671894687e-09,1.5231662660388515e-10,1.718329242000743e-09,1.7236991736407711e-09,0.0014710972727729
sparc,UGC02953,1.11,0.3126760563380282,234.99999999999997,233.76278835605973,1.6123606870231083e-09,1.5954280887982843e-09,1.4545551729740382e-10,1.6273812568241871e-09,1.6325331271497582e-09,0.0021036242699243
sparc,UGC02953,1.2,0.3380281690140845,235.99999999999997,236.41754456892576,1.5041536942074442e-09,1.509480870459407e-09,1.3002006509250789e-10,1.54363051556349e-09,1.5485077285330683e-09,0.0026316331766578
sparc,UGC02953,1.29,0.3633802816901408,236.99999999999997,238.7688369951154,1.4110955961922522e-09,1.4322374735697107e-09,1.2622458497584703e-10,1.4684740983264975e-09,1.47308015904182e-09,0.0030300062278454
sparc,UGC02953,1.38,0.3887323943661971,237.99999999999997,240.71281930964952,1.3302224787774391e-09,1.360720123011535e-09,1.5873243024066923e-10,1.398975274377924e-09,1.4033210644468531e-09,0.0031338082935057
sparc,UGC02953,1.46,0.4112676056338028,237.99999999999997,241.99369537242077,1.2573335758307302e-09,1.299884310911616e-09,1.4897817999338904e-10,1.3399127019986702e-09,1.3440403722663523e-09,0.0034848637331248
sparc,UGC02953,1.55,0.4366197183098592,239.0,243.0028225761997,1.1943003470474295e-09,1.2346401412813803e-09,1.958852452061056e-10,1.2766302373288386e-09,1.2805254488552703e-09,0.0031721620291179
sparc,UGC02953,1.63,0.4591549295774648,239.99999999999997,243.6044376032588,1.145207896147211e-09,1.1798647902661711e-09,1.6987250459516966e-10,1.2235529512142555e-09,1.2272510624794055e-09,0.0032758946390424
sparc,UGC02953,1.72,0.4845070422535211,241.0,243.9615396327872,1.0943471041291754e-09,1.1214082295819443e-09,6.484347156416857e-11,1.1669583253805851e-09,1.1704454258767478e-09,0.0038134193264713
sparc,UGC02953,1.8,0.5070422535211268,241.99999999999991,244.106135482089,1.0544055461501094e-09,1.0728384754385862e-09,1.0369773553046535e-10,1.1199779591311515e-09,1.1232851476434872e-09,0.0034601935874534
sparc,UGC02953,1.89,0.532394366197183,242.99999999999991,244.051727713614,1.0125120437164032e-09,1.0212955123923023e-09,9.083441379842636e-11,1.070159945714123e-09,1.0732741330408414e-09,0.0033548744380829
sparc,UGC02953,1.98,0.5577464788732395,244.0,243.8514369857188,9.744597766482815e-10,9.732735093578183e-10,1.4057780384434226e-10,1.0237811691605415e-09,1.0267112405309418e-09,0.0028150238010175
sparc,UGC02953,2.07,0.5830985915492958,245.99999999999991,243.57479103963112,9.474347800966915e-10,9.288461527650255e-10,8.781102839920559e-11,9.809048279636255e-10,9.836590749021146e-10,0.0027376051810108
sparc,UGC02953,2.15,0.6056338028169014,246.99999999999997,243.28864282986987,9.196125752079591e-10,8.921844843329e-10,9.6056698139131e-11,9.455438643323027e-10,9.481487720287551e-10,0.0024807276377196
sparc,UGC02953,2.23,0.6281690140845071,247.99999999999991,242.99644478880757,8.938156476142877e-10,8.58112900354836e-10,1.1100613688112931e-10,9.12697046662192e-10,9.15158994807657e-10,0.0021939494298572
sparc,UGC02953,2.32,0.6535211267605634,249.0,242.6845947521185,8.66084296227759e-10,8.22708316733715e-10,1.2243440653500849e-10,8.785799708079003e-10,8.808886485901406e-10,0.001940303682842
sparc,UGC02953,2.4,0.676056338028169,250.99999999999997,242.4453187215624,8.50718066726185e-10,7.937172497997263e-10,1.6268712033010708e-10,8.506533353837396e-10,8.528323804150214e-10,0.0013990479531311
sparc,UGC02953,2.49,0.7014084507042254,251.99999999999997,242.249004373599,8.26515855409136e-10,7.63790248444315e-10,6.625246142565296e-11,8.218338099318831e-10,8.238742652569e-10,0.0016826857373732
sparc,UGC02953,2.58,0.7267605633802817,252.99999999999997,242.2021728226235,8.040272927831175e-10,7.368614199939041e-10,7.627136374227203e-11,7.95909902858649e-10,7.978189783181228e-10,0.0015359761400419
sparc,UGC02953,2.67,0.752112676056338,253.99999999999997,242.35427153239945,7.830790885310586e-10,7.129179517632167e-10,3.9092294655802455e-11,7.728674566058297e-10,7.746521169925332e-10,0.0015747840255775
sparc,UGC02953,2.75,0.7746478873239437,255.99999999999997,242.63741904331243,7.723189509564576e-10,6.937968382242565e-10,3.752987402304037e-11,7.544701315551114e-10,7.561501491189482e-10,0.0013383671555269
sparc,UGC02953,2.83,0.7971830985915493,257.0,243.0604151234832,7.563612413021586e-10,6.765369012104116e-10,3.29620463135571e-11,7.378666833761367e-10,7.39447560845941e-10,0.0013312794107309
sparc,UGC02953,2.92,0.8225352112676056,259.0,243.7019018801453,7.445024503945804e-10,6.59150279096256e-10,5.0189238547835415e-11,7.2114444906874e-10,7.22620209642391e-10,0.0011599511263846
sparc,UGC02953,3.0,0.8450704225352114,259.99999999999994,244.315274737377,7.3025559988813e-10,6.448065499782461e-10,2.915405048784151e-11,7.07347482448971e-10,7.087357022129335e-10,0.0012224512584448
sparc,UGC02953,3.09,0.8704225352112676,261.99999999999994,245.0205428530432,7.199354483644626e-10,6.296453071014652e-10,6.045259490083274e-11,6.92761071685989e-10,6.94057174330102e-10,0.0010515090653697
sparc,UGC02953,3.18,0.8957746478873241,263.0,245.63778878666037,7.049102599735134e-10,6.14911610483984e-10,8.576854874202443e-11,6.7857877663748e-10,6.797893850414372e-10,0.0010140384162811
