sample,galaxy,n_rings,dlnB_locked_minus_MOND,dlnB_alt_ML_convention,dlnL_sum_at_joint_sigma,lnZ_gate,lnZ_mond,sigma_int_gate_dex,sigma_int_mond_dex,morph_type_T,class_dwarf_or_spiral,class_HSB_LSB,distance_Mpc,e_distance_Mpc,distance_method_code,inclination_deg,e_inclination_deg,Vflat_kms,e_Vflat_kms,Mbar_Msun,Mstar_Msun,Mgas_Msun,gas_fraction,central_SB_disk_Lsun_pc2,SB_eff_Lsun_pc2,mean_Sigma_bar_Msun_pc2,Rdisk_kpc,Reff_kpc,RHI_kpc,R_min_kpc,R_max_kpc,R_min_over_Rd,R_max_over_Rd,gbar_median,gobs_median,quality_flag,abs_Vmag,abs_Bmag,metallicity_12logOH,y_star_fit
sparc,ESO444-G084,7,-1.499155947338334,,-3.1286177245853084,-2.2433830566552064,-0.7442271093168724,0.25919732742088464,0.20715228987931084,10.0,dwarf_irregular_T>=8,LSB,4.83,0.48,2,32.0,6.0,0.0,0.0,215050000.00000003,35500000.0,179550000.00000003,0.8349221111369449,66.81,19.81,3.4723511192184175,0.46,0.75,2.95,0.26,4.44,0.5652173913043478,9.652173913043478,6.929801980493937e-12,4.699129969694329e-11,2,,,,
sparc,ESO563-G021,30,0.3633572125372666,,0.4243938064346361,2.899752814179089,2.5363956016418223,0.18231494343343144,0.18344578271685796,4.0,spiral_T<8,HSB,60.8,9.1,1,83.0,3.0,314.6,11.7,187904840000.0,155588500000.0,32316339999.999996,0.17198247793936547,6558.89,429.37,33.25458627356532,5.45,10.59,55.71,0.45,42.41,0.08256880733944955,7.7816513761467885,7.269110473963741e-11,1.4230918704487843e-10,1,,,,
sparc,F563-1,17,-0.14759286548200512,,-0.3022042108192542,-2.727824542823701,-2.580231677341696,0.2120696774578236,0.20882196157030766,9.0,dwarf_irregular_T>=8,LSB,48.9,9.8,1,25.0,5.0,109.9,12.5,5207500000.0,951500000.0,4256000000.0,0.8172827652424388,41.77,14.22,4.102865603084305,3.52,4.61,23.47,1.07,20.1,0.30397727272727276,5.710227272727273,3.662097156797387e-12,3.104537913488205e-11,1,,,,
sparc,F563-V2,10,-0.43496994697948566,,-1.0050979623088483,-5.535081854754596,-5.10011190777511,0.30752749119047856,0.2926874177415339,10.0,dwarf_irregular_T>=8,HSB,59.7,11.9,1,29.0,10.0,116.6,9.4,4377770000.0,1493000000.0,2884770000.0,0.658958784952156,146.16,23.6,12.71187766601819,2.43,4.49,11.37,0.28,10.47,0.11522633744855967,4.308641975308642,8.572196798227534e-12,5.3236403944153735e-11,1,,,,
sparc,F565-V2,7,-0.0422959220297745,,0.007151194876509781,3.222536290381838,3.2648322124116125,0.04782511742580654,0.04659287555487179,10.0,dwarf_irregular_T>=8,LSB,51.8,10.4,1,60.0,10.0,0.0,0.0,1209170000.0,279500000.0,929670000.0,0.768849706823689,40.26,6.93,4.970180334153592,2.17,3.57,7.31,1.26,8.8,0.5806451612903226,4.055299539170507,3.3947673060044998e-12,2.6486063894401244e-11,2,,,,
sparc,F568-1,12,-0.1086873860231945,,-0.42819794415914064,-5.857085251588428,-5.7483978655652335,0.3123457891613521,0.30847789483744487,5.0,spiral_T<8,LSB,90.7,9.7,1,26.0,5.0,0.0,0.0,9108340000.0,3126000000.0,5982340000.000001,0.6567980554085597,57.13,20.36,16.564169757361434,5.18,7.0,16.31,0.44,13.23,0.08494208494208495,2.5540540540540544,8.456362048811068e-12,6.453389997538705e-11,1,,,,
sparc,F568-3,18,0.8223367393397361,,0.5549031554965275,8.594783624901845,7.772446885562109,0.08659562924574415,0.0930865022453135,7.0,spiral_T<8,HSB,82.4,8.24,1,40.0,10.0,0.0,0.0,8422350000.0,4173000000.0,4249349999.9999995,0.5045325829489393,132.08,23.81,8.29285434533009,4.99,7.47,16.14,0.64,17.98,0.1282565130260521,3.603206412825651,7.1918298739986886e-12,3.128442495731629e-11,1,,,,
sparc,F568-V1,15,-0.16070222566698256,,-0.5347819997115073,-7.527969675298895,-7.367267449631912,0.29933547199631055,0.29574845383464216,7.0,spiral_T<8,LSB,80.6,8.06,1,40.0,10.0,112.3,15.8,5225530000.0,1912500000.0,3313030000.0000005,0.6340084163711625,90.54,31.39,5.351503922566578,2.85,4.4,14.38,0.39,17.63,0.1368421052631579,6.185964912280701,6.132480946117899e-12,5.88747979236355e-11,1,,,,
sparc,F571-8,13,0.5519351492989317,,1.3435507687345978,-5.476971052307192,-6.028906201606124,0.2903441301853188,0.30050622011309003,5.0,spiral_T<8,LSB,53.3,10.7,1,85.0,5.0,139.7,4.3,7452060000.0,5082000000.0,2370060000.0,0.3180409175449473,87.26,825.71,9.809924919861372,3.56,1.4,24.55,0.22,15.55,0.06179775280898876,4.367977528089888,2.925300533948482e-11,6.6412469352068e-11,1,,,,
sparc,F571-V1,7,0.06801813534816148,,0.0598662901342861,8.136346607436796,8.068328472088634,0.014462382255449978,0.014499013125823029,7.0,spiral_T<8,LSB,80.1,8.0,1,30.0,10.0,83.6,3.5,2543110000.0,924500000.0,1618610000.0,0.6364687331652976,64.39,15.3,4.383049339144535,2.47,4.38,10.1,1.95,13.59,0.7894736842105262,5.502024291497976,4.957769983253679e-12,2.2692956830021304e-11,2,,,,
sparc,F574-1,14,0.1480081030121987,,0.20721107391879195,7.9475644313504406,7.799556328338242,0.10288687755466513,0.10172262599757642,7.0,spiral_T<8,HSB,96.8,9.68,1,65.0,10.0,97.8,4.1,7955420000.000001,3268500000.0,4686920000.000001,0.5891480273825895,128.48,29.98,15.950420979744598,4.46,5.87,16.19,0.47,12.6,0.10538116591928251,2.8251121076233185,6.269120203328014e-12,3.750574692700688e-11,1,,,,
