survey,CID,IDSURVEY,zCMB,zCMBERR,zHEL,zHELERR,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB
PS1MD,370356,15,0.025,6e-05,0.02428,6e-05,-0.077152,0.035225,-0.288703,0.13403,15.8651,0.0491791,0.00809007,0.000366445,0.00107405,-2.87145e-05,-1.07059e-05,183.406,46.4835,-999,-999,19.1441,-50.8392,250,0.0158603,8.48686,1.0,56015.8,0.0945,13,9.37956,0.74371
PS1MD,010026,15,0.03174,3e-05,0.03123,3e-05,-0.031578,0.032595,-0.409321,0.082041,16.4521,0.0382227,0.00471142,0.000165863,0.000205188,-3.70719e-06,-4.74179e-06,160.674,58.8438,-999,-999,14.8541,-178.946,250,0.00699953,9.61222,0.01,55248.0,0.0796,15,20.5415,0.15213
PS1MD,360156,15,0.04673,1e-05,0.04551,1e-05,-0.028343,0.035452,-0.863374,0.14775,17.3611,0.0425157,0.00203967,7.98704e-05,0.000139624,-4.07561e-06,-2.30678e-06,150.807,1.8953,-999,-999,15.398,46.5044,250,0.0183725,9.8038,0.045,55988.6,0.1841,10,5.54857,0.85166
PS1MD,490007,15,0.05513,1e-05,0.05439,1e-05,-0.026126,0.033123,-0.205706,0.0865,17.6246,0.0393667,0.00160009,5.80161e-05,0.000210095,-1.65238e-06,-1.62078e-06,184.268,46.6275,-999,-999,17.1094,-80.9386,250,0.0157229,9.16275,0.067,56365.7,0.0764,12,12.2048,0.42938
SDSS,6057,1,0.06652,1e-05,0.06707,1e-05,0.11238,0.02879,-0.423267,0.10888,18.4415,0.0662818,0.000754045,4.60327e-05,-6.67907e-05,-1.78373e-07,-9.97409e-07,52.5536,-0.9746,-9,-9,0.514,-6.3317,250,0.10056,9.52798,0.049,53663.6,0.1027,36,49.1711,0.0705395
PS1MD,470043,15,0.07061,0.01,0.07,0.01,-9.4e-05,0.03351,0.45622,0.12587,18.4783,0.0401503,0.000728894,2.69543e-05,9.02873e-05,-1.01377e-06,-7.35628e-07,128.994,44.7675,-999,-999,24.2834,-79.7204,250,0.0267871,7.0,7.899,56313.8,0.0956,14,22.3559,0.0715904
PS1MD,370566,15,0.07134,0.001,0.0708,0.001,-0.012934,0.03377,-0.201739,0.10196,18.2153,0.0363325,0.000928749,3.10792e-05,-2.51459e-05,-8.05958e-07,-8.85944e-07,159.985,58.4149,-999,-999,17.5447,-92.1098,250,0.00546541,9.18771,0.192,56024.9,0.1067,14,22.5628,0.0677666
SDSS,7876,1,0.0749,1e-05,0.07602,1e-05,-0.02499,0.021045,0.46915,0.093387,18.1515,0.030609,0.000984904,2.77663e-05,0.000214653,-5.28068e-07,-4.55889e-07,19.1825,0.7946,-9,-9,3.701,-83.8601,250,0.0262922,9.78646,0.04,53685.5,0.0716,31,54.6332,0.00548727
PS1MD,370333,15,0.07557,0.001,0.075,0.001,-0.021726,0.037703,0.91969,0.16381,18.2386,0.044719,0.000909026,3.74407e-05,0.00187538,-3.32388e-06,-1.23623e-06,164.38,57.2977,-999,-999,20.0291,-84.0517,250,0.00660803,7.99137,0.1,56014.8,0.0979,15,26.4124,0.0339046
SDSS,17186,1,0.07849,2e-05,0.07944,2e-05,0.11553,0.024707,0.62903,0.14817,18.9969,0.0381544,0.000452108,1.58878e-05,8.47502e-05,-7.92376e-07,-2.95234e-07,31.6128,-0.8995,-9,-9,13.868,-72.372,250,0.0301623,10.1643,0.057,54353.8,0.1875,36,57.7386,0.0122048
PS1MD,560033,15,0.07869,0.01,0.08,0.01,0.09678,0.029915,-0.248002,0.14996,18.8016,0.0431323,0.000541182,2.14992e-05,0.000647543,-1.06099e-06,-5.34e-07,353.599,-0.6831,-999,-999,18.2026,-74.4184,250,0.0338446,9.07144,0.368,56578.4,0.1159,13,11.6726,0.55465
SDSS,12779,1,0.07891,3e-05,0.07995,3e-05,0.10798,0.032149,-0.63006,0.2493,18.9489,0.0670245,0.000472527,2.917e-05,-0.00332345,3.02233e-06,-7.86477e-07,309.472,1.2211,-9,-9,6.701,-40.944,250,0.0826316,10.332,0.083,53971.9,0.906,28,21.8388,0.7887
PS1MD,350316,15,0.07966,0.001,0.079,0.001,-0.071956,0.027541,-0.427538,0.086026,18.2603,0.038239,0.000891013,3.1381e-05,0.000264816,-8.75089e-07,-7.27092e-07,131.469,43.8188,-999,-999,19.3109,-69.2072,250,0.0261874,8.61131,0.566,55965.1,0.0743,18,16.913,0.52909
SDSS,12950,1,0.08141,1e-05,0.08273,1e-05,0.027176,0.022079,-0.396496,0.083121,18.6972,0.0352445,0.000595828,1.93414e-05,5.2693e-05,-2.52919e-07,-3.29274e-07,351.667,-0.8403,-9,-9,1.398,-71.2932,250,0.0377921,9.42557,0.04,54000.0,0.0926,45,65.6353,0.0239368
PS1MD,130308,15,0.08221,1e-05,0.08177,1e-05,0.091493,0.03123,-1.01914,0.17563,18.9741,0.0420266,0.000461715,1.7872e-05,-0.000850656,5.70551e-07,-4.74536e-07,213.238,52.7437,-999,-999,16.5903,-67.1114,250,0.00920267,10.1141,0.513,55595.5,0.4584,12,17.6938,0.12531
SDSS,12898,1,0.08255,1e-05,0.08358,1e-05,0.068219,0.021418,-0.063567,0.08575,18.776,0.0314793,0.000554114,1.60657e-05,2.43772e-06,-2.18506e-07,-2.71886e-07,26.7931,-0.147,-9,-9,0.367,-73.7593,250,0.0281121,9.35181,0.045,54002.5,0.0815,50,72.9829,0.0186438
SDSS,12781,1,0.08282,0.00018,0.08408,0.00018,0.041548,0.026795,-1.83569,0.18894,19.1417,0.0401816,0.00039565,1.46425e-05,0.000781542,-1.4557e-06,-2.84987e-07,5.4066,-1.01,-9,-9,5.254,-73.9179,250,0.0245566,10.4457,0.078,53979.3,0.2303,39,40.9113,0.38658
SDSS,3592,1,0.08544,5e-05,0.08658,5e-05,-0.039793,0.02054,-0.153731,0.071465,18.5167,0.0301175,0.000703595,1.95172e-05,6.77686e-05,-2.83837e-07,-3.17226e-07,19.0524,0.7919,-9,-9,5.299,-76.2223,250,0.0255774,10.1853,0.057,53645.1,0.0627,58,51.7626,0.70498
SDSS,1241,1,0.08848,1e-05,0.08979,1e-05,0.055246,0.024,-0.551806,0.078987,18.8841,0.0428187,0.000501615,1.97825e-05,4.96971e-05,-2.69078e-07,-3.60084e-07,337.672,-0.7766,-9,-9,3.962,-59.4892,250,0.0527951,9.91509,0.103,53635.4,0.0775,56,51.7126,0.63776
PS1MD,590194,15,0.09015,2e-05,0.08951,2e-05,0.01867,0.031189,0.27044,0.20513,18.7522,0.0409527,0.00056638,2.13632e-05,0.000968031,-1.04097e-06,-5.26522e-07,130.237,44.5243,-999,-999,17.2771,-65.5475,250,0.0201998,9.75408,0.014,56682.5,0.2293,5,5.64747,0.34205
PS1MD,370066,15,0.09066,0.001,0.09,0.001,-0.101902,0.032593,-0.081354,0.46993,18.5599,0.0386281,0.000676172,2.40567e-05,0.00598568,-4.02477e-06,-6.69704e-07,130.349,43.0544,-999,-999,18.3269,-62.1878,250,0.0215796,9.12019,0.034,56001.3,0.3117,3,3.47434,0.32411
PS1MD,300105,15,0.09181,1e-05,0.09314,1e-05,0.072885,0.027341,0.32783,0.090019,19.1822,0.0399496,0.000381157,1.40246e-05,8.38124e-05,-2.72605e-07,-3.07893e-07,351.71,-0.7301,-999,-999,17.8554,-65.6529,250,0.0363902,9.04492,0.059,55784.7,0.0769,40,26.7311,0.94654
PS1MD,010010,15,0.09968,0.0003,0.0984,0.0003,0.010397,0.026207,0.9091,0.15659,19.1455,0.033575,0.000394269,1.21923e-05,0.000495672,-3.82944e-07,-2.71717e-07,150.859,1.0294,-999,-999,17.7821,49.113,250,0.020416,9.50285,0.089,55238.9,0.1681,19,12.4905,0.8636
PS1MD,160099,15,0.10142,1e-05,0.10102,1e-05,-0.023302,0.028187,0.63877,0.12725,18.9294,0.0415475,0.000481113,1.84106e-05,-0.000207185,9.38673e-09,-4.47446e-07,214.667,54.1831,-999,-999,17.3342,-60.6658,250,0.0106541,9.5937,0.288,55701.1,0.4115,24,22.2237,0.56591
PS1MD,000190,15,0.10237,0.001,0.1011,0.001,0.003738,0.025848,0.084611,0.098045,19.2136,0.0339766,0.000370314,1.15885e-05,0.000350899,-3.21596e-07,-2.56692e-07,148.988,2.2635,-999,-999,18.2494,44.0736,250,0.0188304,7.0,0.52,55224.4,0.0677,31,18.571,0.9617
PS1MD,140181,15,0.10231,1e-05,0.10154,1e-05,0.017158,0.026802,0.78345,0.11352,18.995,0.0358725,0.000452915,1.49642e-05,0.000353372,-6.48686e-07,-3.33992e-07,183.738,46.845,-999,-999,17.3797,-41.2939,250,0.0142722,9.67327,0.008,55642.6,0.0926,24,12.8688,0.96823
PS1MD,100405,15,0.10298,0.001,0.1034,0.001,0.044595,0.054733,-0.941741,0.36448,19.1817,0.0842433,0.000381359,2.959e-05,0.0155417,-9.53575e-06,-1.54557e-06,53.6285,-27.3206,-999,-999,16.2826,11.109,250,0.00967502,10.3204,0.1,55534.2,0.1916,8,6.43511,0.59861
SDSS,13135,1,0.10338,3e-05,0.10467,3e-05,-0.067243,0.021711,-1.34728,0.10068,19.1203,0.0299303,0.00040355,1.11246e-05,6.90119e-05,-1.57524e-07,-1.91756e-07,4.1723,-0.4245,-9,-9,7.837,-63.7684,250,0.0241733,10.8558,0.081,54003.5,0.106,57,50.7236,0.7081
SDSS,20064,1,0.10351,2e-05,0.10484,2e-05,0.057464,0.023852,0.81627,0.18168,19.0064,0.0329894,0.000448182,1.36177e-05,0.000654757,-6.2368e-07,-2.28332e-07,358.586,-0.9176,-9,-9,1.406,-61.7049,250,0.026677,10.7045,0.06,54413.1,0.1195,29,57.5473,0.0012345
SDSS,13038,1,0.10485,0.005,0.1062,0.005,-0.02399,0.023079,1.43036,0.14627,18.9637,0.0370706,0.000466167,1.59164e-05,0.000662813,-9.71472e-07,-2.92174e-07,347.827,0.5046,-9,-9,-9.0,-60.2355,250,0.033158,8.87462,-9.0,53988.7,0.1443,53,41.1666,0.8814
SDSS,18697,1,0.10638,1e-05,0.10762,1e-05,-0.002417,0.021137,0.73545,0.12052,18.9675,0.0277229,0.000464496,1.18603e-05,-2.88472e-06,-5.83146e-08,-1.94459e-07,11.2239,-0.9971,-9,-9,1.19,-61.7105,250,0.016865,9.67706,0.043,54384.4,0.1929,55,47.17,0.7645
SDSS,20625,1,0.10684,2e-05,0.10813,2e-05,-0.000837,0.023675,-0.101771,0.20648,19.2299,0.0321375,0.000364799,1.07979e-05,0.00136706,-5.88686e-07,-2.0592e-07,5.6834,-0.479,-9,-9,1.543,-62.2616,250,0.0210288,10.0166,0.048,54423.6,0.1794,19,14.1273,0.77622
SDSS,3256,1,0.10694,1e-05,0.10822,1e-05,0.006569,0.034494,-0.424628,0.16474,19.3312,0.061139,0.000332301,1.87122e-05,0.00212616,-1.20164e-06,-5.22021e-07,329.268,-0.2235,-9,-9,0.884,-46.9706,250,0.0648536,9.894,0.054,53652.3,0.2769,44,77.6403,0.00131049
PS1MD,120225,15,0.10728,0.001,0.106,0.001,-0.070405,0.065643,-0.829043,0.88822,19.4712,0.051837,0.000292082,1.39451e-05,-0.051723,-1.81939e-06,-2.3981e-07,150.818,3.4749,-999,-999,16.1631,41.4031,250,0.0175031,11.4183,0.1,55545.7,2.734,0,0.34051,0.55954
SDSS,21034,1,0.10751,1e-05,0.10855,1e-05,0.035552,0.024049,0.064478,0.29463,19.3396,0.0316908,0.000329724,9.62407e-06,0.00159933,-2.98006e-07,-1.76612e-07,28.1414,1.2441,-9,-9,3.527,-62.8826,250,0.02138,10.0033,0.041,54426.1,0.2942,16,12.1883,0.73092
PS1MD,500038,15,0.1081,1e-05,0.10682,1e-05,0.00565,0.027048,1.20471,0.19717,19.049,0.0344471,0.000430908,1.36714e-05,0.00110435,-8.20201e-07,-3.20978e-07,150.193,2.5513,-999,-999,17.35,42.5255,250,0.0154521,9.73659,0.104,56390.4,0.2124,15,31.8941,0.0066552
SDSS,7147,1,0.10886,2e-05,0.11022,2e-05,-0.093395,0.024176,-1.94961,0.15735,19.2253,0.0349588,0.000366339,1.17955e-05,0.00026842,-1.07952e-07,-1.93665e-07,350.018,-0.0554,-9,-9,0.599,-58.3622,250,0.037197,10.039,0.064,53679.6,0.1328,36,42.4824,0.21187
PS1MD,020027,15,0.10988,0.001,0.1091,0.001,0.036283,0.029087,0.29665,0.15075,19.3621,0.0335753,0.000322963,9.98731e-06,-0.000914233,2.38422e-08,-2.48305e-07,186.336,46.0152,-999,-999,16.5943,-37.194,250,0.012094,10.0054,0.107,55270.8,0.2451,14,17.6331,0.224
SDSS,18650,1,0.11243,3e-05,0.11371,3e-05,-0.037948,0.024519,0.88484,0.11778,19.1929,0.0523154,0.000377418,1.81856e-05,0.000259725,-2.29321e-07,-3.48776e-07,328.447,0.0151,-9,-9,0.075,-45.0863,250,0.0788783,8.53633,0.076,54387.9,0.1298,46,45.907,0.47612
SDSS,18612,1,0.11365,2e-05,0.11489,2e-05,0.064074,0.022262,-0.737167,0.13214,19.4256,0.0302881,0.00030461,8.4975e-06,8.39691e-05,-1.24299e-07,-1.5589e-07,12.2879,0.597,-9,-9,1.288,-61.6063,250,0.022574,10.2452,0.092,54383.7,0.1733,52,81.1852,0.00592922
SDSS,8719,1,0.11628,1e-05,0.11757,1e-05,-0.062751,0.023422,0.017727,0.16355,19.1687,0.0333505,0.000385938,1.18548e-05,0.00122473,-9.54987e-07,-2.32218e-07,7.7215,-0.7188,-9,-9,1.761,-58.0587,250,0.0198244,8.80164,0.07,53690.0,0.1065,28,36.0968,0.14015
SDSS,5395,1,0.11635,0.0005,0.117,0.0005,-0.014134,0.023699,1.18355,0.13593,19.2338,0.044739,0.000363478,1.49775e-05,0.000279285,-2.3672e-07,-2.70251e-07,49.6409,0.1233,-9,-9,0.315,-46.6658,250,0.062183,8.49999,0.075,53663.9,0.1492,63,46.0978,0.94582
SDSS,2561,1,0.11741,2e-05,0.11813,2e-05,0.041592,0.026424,-0.089094,0.11464,19.5522,0.0489365,0.000271087,1.22185e-05,0.000154901,-1.43633e-07,-2.31483e-07,46.3434,0.8584,-9,-9,5.908,-49.7646,250,0.0658285,7.0,0.033,53639.2,0.1406,74,54.9879,0.95205
SDSS,16259,1,0.11771,2e-05,0.11908,2e-05,0.078972,0.028174,-1.4998,0.22217,19.7957,0.0370156,0.000216638,7.38576e-06,0.00106415,-2.9695e-07,-1.61601e-07,352.03,0.8564,-9,-9,11.237,-57.3066,250,0.0311945,10.994,0.063,54052.3,0.2027,26,26.6958,0.42542
SDSS,1371,1,0.11797,3e-05,0.11934,3e-05,-0.102471,0.02217,0.79096,0.096667,18.8049,0.0352394,0.000539558,1.75123e-05,8.18027e-05,-3.25211e-07,-2.72807e-07,349.374,0.4294,-9,-9,1.126,-55.3939,250,0.0387983,10.5372,0.067,53633.3,0.1061,55,73.0487,0.0521758
PS1MD,000137,15,0.11878,0.001,0.1182,0.001,0.081772,0.030635,-0.710055,0.17565,19.6281,0.0369313,0.000252789,8.5986e-06,0.000521404,-5.01634e-07,-2.07587e-07,161.159,57.8111,-999,-999,16.9998,-61.7786,250,0.00691997,10.2136,0.035,55213.0,0.147,32,58.4163,0.0029431
SDSS,5549,1,0.11992,2e-05,0.12124,2e-05,0.00707,0.022316,0.25819,0.09811,19.4009,0.0321317,0.000311628,9.22245e-06,0.000311121,-1.89825e-07,-1.61721e-07,3.2505,0.2482,-9,-9,2.461,-58.0773,250,0.0288966,8.5812,0.096,53666.1,0.1043,46,62.7419,0.0507727
SDSS,12860,1,0.12042,1e-05,0.12168,1e-05,0.14487,0.02924,-0.302934,0.20236,19.9801,0.0473025,0.000182796,7.96393e-06,0.000601575,-1.91801e-07,-1.76234e-07,323.694,1.1759,-9,-9,3.343,-41.4675,250,0.0560295,10.1701,0.049,53993.8,0.2801,49,41.567,0.76555
PS1MD,490008,15,0.12067,0.01,0.12,0.01,-0.099903,0.02619,0.35309,0.10465,19.1035,0.0353142,0.00040984,1.33303e-05,0.000356043,-4.63714e-07,-2.94539e-07,131.449,44.4206,-999,-999,19.4115,-51.5834,250,0.0232605,8.89488,0.429,56362.6,0.1043,23,25.0514,0.34764
SDSS,19953,1,0.1219,2e-05,0.12323,2e-05,-0.130952,0.02211,0.72853,0.18419,18.9546,0.0360525,0.000470077,1.56092e-05,0.000929486,-4.41351e-07,-2.51038e-07,332.931,0.5791,-9,-9,1.092,-46.2658,250,0.0445682,9.37542,0.063,54415.2,0.1577,31,35.8413,0.25168
PS1MD,390259,15,0.12208,0.001,0.122,0.001,0.028867,0.029947,-0.298396,0.13517,19.5572,0.0572052,0.000269858,1.42183e-05,6.45222e-05,-2.97166e-07,-2.08736e-07,242.396,53.8672,-999,-999,18.5759,-61.8636,250,0.0107162,9.15024,1.299,56052.1,0.0282,16,13.1644,0.66071
SDSS,18835,1,0.12262,4e-05,0.12319,4e-05,-0.007491,0.025877,0.75966,0.11148,19.3059,0.0618819,0.000340134,1.9386e-05,0.000205485,-1.26111e-07,-3.88541e-07,53.6851,0.3555,-9,-9,0.908,-42.5292,250,0.1001,10.1221,0.095,54392.4,0.1186,50,56.1611,0.25509
SDSS,2916,1,0.12303,0.0005,0.1242,0.0005,0.071644,0.035817,-0.749253,0.23346,19.7657,0.0625674,0.000222704,1.28337e-05,0.0032464,-1.53237e-06,-3.71327e-07,315.922,0.5696,-9,-9,1.993,-33.607,250,0.0663432,9.77924,0.008,53643.8,0.1587,45,65.3496,0.0252932
SDSS,16021,1,0.12336,2e-05,0.1246,2e-05,-0.036819,0.023897,-0.33583,0.12847,19.3661,0.0320816,0.000321782,9.50811e-06,0.000801358,-4.19569e-07,-1.8897e-07,13.8437,-0.3888,-9,-9,1.52,-56.0953,250,0.0220284,9.49127,0.06,54049.1,0.115,37,35.7455,0.52778
SDSS,13894,1,0.12356,0.0005,0.1249,0.0005,0.16435,0.028937,0.71922,0.16833,20.088,0.047853,0.000165502,7.29439e-06,0.00072323,-2.44158e-07,-1.54154e-07,1.6906,-0.0368,-9,-9,0.037,-55.8795,250,0.0580581,8.72392,0.105,54013.7,0.148,70,58.6332,0.83173
PS1MD,570062,15,0.12363,0.001,0.125,0.001,-0.080542,0.028447,0.11582,0.24943,19.3781,0.0382164,0.000318254,1.12021e-05,0.00151184,-8.30891e-07,-2.68869e-07,353.102,0.2956,-999,-999,20.0438,-54.4795,250,0.0310503,9.98879,0.23,56595.3,0.2418,8,4.24374,0.83449
SDSS,6406,1,0.12377,1e-05,0.12449,1e-05,-0.000358,0.023407,0.12939,0.13322,19.3822,0.0452577,0.000317033,1.32152e-05,0.000516246,-2.2248e-07,-2.3777e-07,46.0886,-1.063,-9,-9,0.54,-44.457,250,0.0647628,10.0062,0.054,53674.8,0.1092,63,59.0429,0.61808
SDSS,19543,1,0.12384,0.005,0.1252,0.005,-0.022316,0.024266,-0.83315,0.13952,19.6998,0.0341885,0.000236635,7.45135e-06,0.000626096,-2.67218e-07,-1.41918e-07,357.908,0.2798,-9,-9,0.138,-55.7173,250,0.0303466,8.61533,0.101,54401.0,0.1211,45,45.0806,0.46858
SDSS,13044,1,0.12455,2e-05,0.12588,2e-05,-0.070705,0.022738,-0.017798,0.12882,19.3395,0.0361454,0.000329747,1.09777e-05,0.000455659,-3.41503e-07,-1.8743e-07,332.543,0.5033,-9,-9,2.61,-45.0282,250,0.0405254,10.0637,0.062,54003.2,0.0928,55,66.2859,0.14168
SDSS,15459,1,0.12542,2e-05,0.12679,2e-05,0.11269,0.030425,0.37953,0.22191,20.2955,0.0462356,0.000136713,5.82184e-06,0.00199316,-4.16171e-07,-1.36462e-07,340.701,-0.9018,-9,-9,0.13,-46.771,250,0.0495322,8.73681,0.056,54035.5,0.1893,48,52.6447,0.29905
SDSS,2992,1,0.12608,2e-05,0.12661,2e-05,0.10938,0.030776,-0.956571,0.14202,19.825,0.0574565,0.000210871,1.11592e-05,0.000120276,-1.42029e-07,-2.6351e-07,55.497,-0.7827,-9,-9,1.292,-38.3957,250,0.0795535,9.72723,0.057,53641.2,0.1974,63,58.3073,0.64398
SDSS,16069,1,0.12688,4e-05,0.12825,4e-05,0.16215,0.02789,0.89709,0.22289,19.8717,0.0432431,0.00020198,8.04451e-06,0.0016176,-5.02378e-07,-1.73241e-07,341.246,-1.0066,-9,-9,3.749,-46.4179,250,0.0476688,10.179,0.05,54050.7,0.1919,32,45.0438,0.0628696
SDSS,744,1,0.12694,1e-05,0.12825,1e-05,0.073211,0.033756,1.39569,0.31642,19.5745,0.0572095,0.000265577,1.39938e-05,0.000687979,1.27034e-07,-3.80414e-07,329.198,0.3175,-9,-9,1.615,-41.9263,250,0.0496069,9.90923,0.075,53612.9,0.7889,31,20.4068,0.92668
SDSS,14871,1,0.12705,0.0005,0.1276,0.0005,-0.053521,0.023662,1.26484,0.11312,19.2189,0.0492218,0.000368509,1.67063e-05,8.06622e-05,-1.64779e-07,-2.99052e-07,54.2771,0.0094,-9,-9,0.661,-40.3573,250,0.0747885,9.14823,0.07,54027.4,0.1274,67,59.2415,0.73885
SDSS,18855,1,0.12716,1e-05,0.12783,1e-05,-0.022638,0.025018,0.24873,0.14548,19.4888,0.0545208,0.000287406,1.44322e-05,0.000199965,-8.61571e-08,-2.77531e-07,48.6323,0.2698,-9,-9,6.205,-44.3542,250,0.08481,9.82915,0.065,54386.0,0.2108,50,27.1309,0.99658
SDSS,22075,1,0.129,2e-05,0.13003,2e-05,-0.031458,0.029954,-1.67195,0.34975,19.6757,0.0364168,0.000241957,8.11552e-06,0.00276955,9.72631e-08,-1.41897e-07,29.9631,1.2165,-9,-9,2.219,-53.8671,250,0.0231191,10.7935,0.067,54425.9,0.342,15,16.3624,0.35838
SDSS,1032,1,0.12904,3e-05,0.12976,3e-05,0.052555,0.038995,-2.5393,0.20428,20.1088,0.0563934,0.000162363,8.43319e-06,0.00101712,-4.40983e-07,-2.40049e-07,46.7957,1.1196,-9,-9,1.723,-46.3166,250,0.0635938,10.2777,0.067,53626.5,0.2047,52,38.7253,0.91398
SDSS,5751,1,0.12929,1e-05,0.13056,1e-05,0.15562,0.024785,0.76202,0.14618,19.8919,0.0324613,0.000198259,5.92754e-06,0.000721652,-2.47634e-07,-1.24666e-07,11.6342,0.8382,-9,-9,0.768,-56.2101,250,0.0186774,10.1354,0.084,53666.2,0.1659,48,40.0692,0.78517
SDSS,18415,1,0.1294,2e-05,0.13077,2e-05,-0.083735,0.029777,-1.6309,0.17234,19.6372,0.0503966,0.00025068,1.16358e-05,0.000378258,-2.71576e-07,-2.42479e-07,337.478,1.0586,-9,-9,2.84,-47.3615,250,0.0639686,10.6005,0.077,54381.4,0.2416,47,29.2314,0.98041
SDSS,18809,1,0.13153,3e-05,0.13216,3e-05,-0.072678,0.027844,-1.16804,0.18228,19.5473,0.0620036,0.000272323,1.55516e-05,0.000135962,1.9666e-08,-3.25076e-07,50.8813,0.6666,-9,-9,3.368,-42.5001,250,0.0977504,10.6395,0.072,54383.1,0.2716,49,36.0129,0.91634
PS1MD,151034,15,0.13269,0.001,0.1319,0.001,-0.147882,0.025684,0.31621,0.097702,19.128,0.0330575,0.000400692,1.21999e-05,0.000307056,-4.01221e-07,-2.63221e-07,185.137,46.6661,-999,-999,16.3988,-33.3543,250,0.0129383,10.6436,4.426,55686.6,0.0768,26,34.3615,0.12616
SDSS,15508,1,0.13353,3e-05,0.13461,3e-05,-0.059426,0.022423,0.88393,0.10636,19.3537,0.0302434,0.000325471,9.06604e-06,0.000287172,-1.8711e-07,-1.50879e-07,27.169,-0.5766,-9,-9,3.553,-50.2332,250,0.0252201,9.13587,0.068,54041.6,0.0952,42,47.5662,0.25641
SDSS,14108,1,0.13463,0.005,0.1352,0.005,0.00401,0.030517,0.24103,0.14792,19.9593,0.0756887,0.000186328,1.29892e-05,0.00016971,-5.64142e-08,-3.07358e-07,53.5946,-1.1232,-9,-9,0.698,-37.1162,250,0.12571,10.2314,0.233,54010.2,0.1763,77,80.1002,0.38204
SDSS,15234,1,0.13514,2e-05,0.13636,2e-05,0.13004,0.028023,0.89204,0.20739,20.2128,0.0356759,0.000147523,4.84742e-06,0.00147791,-3.50136e-07,-1.90111e-07,16.9583,0.8282,-9,-9,1.758,-53.924,250,0.0238536,9.98362,0.061,54032.8,0.2,45,50.2254,0.27408
PS1MD,000014,15,0.13599,0.001,0.1369,0.001,-0.111842,0.033921,0.47577,0.57882,19.3954,0.0448413,0.000313203,1.29354e-05,0.00104444,-7.45974e-07,-2.56801e-07,35.878,-4.6363,-999,-999,17.7487,-39.8714,250,0.0224227,9.80415,0.048,55201.2,0.4951,8,3.60351,0.89101
SDSS,17629,1,0.1364,2e-05,0.13742,2e-05,0.061157,0.027137,-0.34633,0.1476,19.8089,0.0370283,0.000214018,7.29893e-06,0.000668768,-4.35768e-07,-1.5378e-07,30.6364,-1.0892,-9,-9,2.745,-47.5279,250,0.0241298,10.6342,0.056,54370.4,0.114,61,85.4753,0.0210457
SDSS,19775,1,0.13687,3e-05,0.13809,3e-05,0.098699,0.030737,-0.212482,0.20423,20.0509,0.0545326,0.000171256,8.60154e-06,0.00102807,-3.22228e-07,-1.95269e-07,318.956,0.6513,-9,-9,0.295,-33.2285,250,0.0750758,10.0494,0.104,54404.4,0.1864,44,32.3427,0.90328
SDSS,18602,1,0.13696,2e-05,0.13834,2e-05,0.063535,0.029645,0.90996,0.18668,19.8656,0.0506298,0.000203124,9.47206e-06,0.00135887,-5.24753e-07,-2.10208e-07,338.984,0.6092,-9,-9,0.61,-45.3089,250,0.0644303,8.85232,0.106,54393.8,0.1341,40,43.924,0.30883
SDSS,21062,1,0.13729,2e-05,0.13864,2e-05,0.019183,0.032271,0.72242,0.35017,20.1128,0.0438289,0.000161768,6.53023e-06,0.0030416,-5.5508e-07,-1.29448e-07,333.432,0.3963,-9,-9,0.53,-42.0794,250,0.0414981,8.95999,0.081,54425.5,0.2854,27,43.8498,0.0214284
SDSS,17366,1,0.13811,1e-05,0.13929,1e-05,-0.091214,0.024381,0.56478,0.16833,19.3343,0.0470795,0.000331357,1.43682e-05,0.000141811,-3.46193e-07,-2.68908e-07,315.787,-1.0292,-9,-9,10.979,-27.9862,250,0.0687305,10.2891,0.056,54351.5,0.2557,43,33.7706,0.84221
SDSS,15171,1,0.13818,0.0005,0.1392,0.0005,-0.072561,0.025914,0.67029,0.14725,19.4545,0.0577537,0.000296608,1.57775e-05,0.000256604,-1.44907e-07,-2.98156e-07,304.793,-1.0645,-9,-9,1.163,-19.2613,250,0.0919506,9.85121,0.142,54029.1,0.1382,65,79.4026,0.10788
PS1MD,190340,15,0.13824,0.001,0.1396,0.001,-0.06629,0.026613,0.50784,0.086677,19.5213,0.0445877,0.000278911,1.1454e-05,0.000169003,-1.88059e-07,-2.43444e-07,334.134,0.4733,-999,-999,17.9277,-42.3456,250,0.0547951,10.0088,0.034,55815.3,0.0788,38,49.1525,0.10623
SDSS,20084,1,0.13834,1e-05,0.13973,1e-05,0.14895,0.030753,0.078701,0.28687,20.3104,0.0437946,0.000134846,5.43918e-06,0.00181547,-3.45446e-07,-1.28782e-07,347.975,-0.5781,-9,-9,0.616,-46.7375,250,0.0453638,9.92013,0.096,54407.2,0.2574,32,37.4862,0.23196
