survey,CID,IDSURVEY,zCMB,zCMBERR,zHEL,zHELERR,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB
PS1MD,380279,15,0.34946,0.001,0.3479,0.001,-0.052518,0.039222,-1.76662,0.53203,22.0405,0.0481088,2.74042e-05,1.21428e-06,0.00883763,-3.36012e-07,-3.59215e-08,149.827,2.9349,-999,-999,19.595,15.9341,250,0.01858,10.971,0.026,56033.3,0.5232,22,13.8715,0.90598
SNLS,04D2mc,4,0.34957,0.001,0.348,0.001,0.07825,0.029143,-1.78672,0.1152,22.2453,0.0355133,2.26921e-05,7.42233e-07,0.00061104,-3.56119e-08,-1.79001e-08,150.148,1.7842,-999,-999,-9.0,16.8833,250,0.0152146,10.96,0.118,53367.2,0.1298,36,54.3314,0.0255607
SNLS,05D2ie,4,0.34956,0.001,0.348,0.001,-0.082964,0.02587,-0.072317,0.14775,21.9629,0.0283506,2.94335e-05,7.68563e-07,5.44297e-05,-3.23088e-08,-1.40691e-08,150.262,2.6581,-999,-999,-9.0,16.2452,250,0.0160334,9.287,0.0525,53481.0,0.1398,15,14.0425,0.52231
PS1MD,440185,15,0.34952,0.01,0.35,0.01,-0.069932,0.03701,0.19676,0.4476,21.7006,0.0668985,3.74776e-05,2.30921e-06,0.00514961,-3.31146e-07,-5.2694e-08,54.3495,-28.44,-999,-999,-9.0,5.1868,250,0.0102635,7.0,99.0,56199.7,1.1841,35,30.1756,0.70012
SDSS,20186,1,0.34957,0.0005,0.3512,0.0005,-0.094235,0.059313,0.54894,1.1984,21.935,0.0718408,3.01985e-05,1.99817e-06,0.0229697,-1.53873e-06,-3.45681e-08,357.295,0.7979,-9,-9,-9.0,-24.0098,250,0.0226795,7.0,-9.0,54411.5,0.9986,40,20.1614,0.99623
PS1MD,000196,15,0.35066,0.001,0.3491,0.001,-0.050007,0.02464,0.45123,0.24223,21.8019,0.0300284,3.41376e-05,9.44148e-07,0.00015159,-3.33277e-08,-2.03931e-09,150.115,2.694,-999,-999,21.4219,16.1341,250,0.016685,9.66,0.254,55216.6,0.2434,50,38.1117,0.89077
PS1MD,050296,15,0.35087,0.001,0.3508,0.001,-0.053551,0.037332,0.81669,0.48131,21.741,0.0470053,3.61088e-05,1.56328e-06,0.00727302,-4.64919e-07,-4.52528e-08,243.451,55.6085,-999,-999,20.2321,-27.2996,250,0.00655438,10.905,0.029,55358.9,0.4471,31,41.4968,0.0986274
SNLS,05D2hc,4,0.35157,0.01,0.35,0.01,0.030983,0.024496,-0.672411,0.16441,22.4164,0.0269649,1.93836e-05,4.81405e-07,0.000344096,-1.27301e-08,-9.05928e-09,150.019,1.886,-999,-999,-9.0,16.7029,250,0.0159885,10.977,0.092,53471.7,0.1423,15,11.8334,0.6916
PS1MD,120400,15,0.35156,0.001,0.35,0.001,-0.121334,0.038108,0.18728,0.39986,21.7731,0.0560993,3.50552e-05,1.81128e-06,0.0111982,-6.58594e-07,-6.92485e-08,149.628,2.8718,-999,-999,21.2091,15.8428,250,0.0165126,9.83,0.04,55580.6,0.3277,37,43.5258,0.21342
PS1MD,160197,15,0.35361,0.001,0.3535,0.001,-0.027099,0.038906,-0.217029,0.35304,22.0422,0.0416624,2.7359e-05,1.04983e-06,-0.00112308,-1.08644e-07,-3.04479e-08,241.617,53.8718,-999,-999,20.5086,-25.6572,250,0.00940024,10.158,0.073,55711.5,0.5497,49,34.0467,0.94843
