spectrum,kind,lens_map,galaxy_bin,band,ell_eff,ell_lo,ell_hi,Cl,sigma_Cl
PR4_LRGz2,kappa_g,PR4,LRGz2,11,903.4999999999999,837,971,3.8699098520e-08,6.0904566474e-09
PR4_LRGz3,kappa_g,PR4,LRGz3,0,31.5,20,44,9.8013396214e-07,1.5525657910e-07
PR4_LRGz3,kappa_g,PR4,LRGz3,1,61.00000000000001,44,79,6.7822084566e-07,8.1608603747e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,2,101.0,79,124,4.2212064678e-07,4.4051094923e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,3,150.49999999999997,124,178,3.1792007114e-07,2.8261637836e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,4,210.00000000000003,178,243,2.1119781928e-07,1.9331550967e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,5,279.5,243,317,1.4349352147e-07,1.5477988145e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,6,358.5,317,401,1.0306901591e-07,1.2125942304e-08
PR4_LRGz3,kappa_g,PR4,LRGz3,7,447.5,401,495,5.3951982061e-08,9.4574486123e-09
PR4_LRGz3,kappa_g,PR4,LRGz3,8,547.0000000000001,495,600,5.4303609041e-08,7.9196639084e-09
PR4_LRGz3,kappa_g,PR4,LRGz3,9,656.0000000000005,600,713,5.9630345786e-08,7.1601788860e-09
PR4_LRGz3,kappa_g,PR4,LRGz3,10,774.5000000000001,713,837,2.1718736848e-08,6.3463775183e-09
PR4_LRGz3,kappa_g,PR4,LRGz3,11,903.4999999999999,837,971,3.2689740178e-08,5.8631181358e-09
PR4_LRGz4,kappa_g,PR4,LRGz4,0,31.5,20,44,8.9832805044e-07,1.2801656179e-07
PR4_LRGz4,kappa_g,PR4,LRGz4,1,61.00000000000001,44,79,6.4734258731e-07,7.0243851512e-08
PR4_LRGz4,kappa_g,PR4,LRGz4,2,101.0,79,124,4.3988761150e-07,3.8541751545e-08
PR4_LRGz4,kappa_g,PR4,LRGz4,3,150.49999999999997,124,178,3.3803765108e-07,2.5227274633e-08
PR4_LRGz4,kappa_g,PR4,LRGz4,4,210.00000000000003,178,243,1.9463031640e-07,1.7720127962e-08
PR4_LRGz4,kappa_g,PR4,LRGz4,5,279.5,243,317,1.5633527662e-07,1.4338479795e-08
PR4_LRGz4,kappa_g,PR4,LRGz4,6,358.5,317,401,8.5223141972e-08,1.1384310948e-08
PR4_LRGz4,kappa_g,PR4,LRGz4,7,447.5,401,495,7.2128977537e-08,9.0068052027e-09
PR4_LRGz4,kappa_g,PR4,LRGz4,8,547.0000000000001,495,600,5.2770328632e-08,7.6052933391e-09
PR4_LRGz4,kappa_g,PR4,LRGz4,9,656.0000000000005,600,713,5.4297594633e-08,6.9352661323e-09
PR4_LRGz4,kappa_g,PR4,LRGz4,10,774.5000000000001,713,837,3.3855845072e-08,6.1864028173e-09
PR4_LRGz4,kappa_g,PR4,LRGz4,11,903.4999999999999,837,971,2.7967864942e-08,5.7515282380e-09
DR6_BGSz1,kappa_g,DR6,BGSz1,0,31.5,20,44,1.5574702856e-06,3.0321960984e-07
DR6_BGSz1,kappa_g,DR6,BGSz1,1,61.00000000000001,44,79,7.2444947609e-07,1.1994981160e-07
DR6_BGSz1,kappa_g,DR6,BGSz1,2,101.0,79,124,2.8979143026e-07,5.3548494618e-08
DR6_BGSz1,kappa_g,DR6,BGSz1,3,150.49999999999997,124,178,1.8525605194e-07,2.8690332177e-08
DR6_BGSz1,kappa_g,DR6,BGSz1,4,210.00000000000003,178,243,1.0611966340e-07,1.8083897172e-08
DR6_BGSz1,kappa_g,DR6,BGSz1,5,279.5,243,317,4.9610573439e-08,1.3264971310e-08
DR6_BGSz1,kappa_g,DR6,BGSz1,6,358.5,317,401,3.9978908046e-08,9.8546567320e-09
DR6_BGSz1,kappa_g,DR6,BGSz1,7,447.5,401,495,2.6894858248e-08,7.2604922715e-09
DR6_BGSz1,kappa_g,DR6,BGSz1,8,547.0000000000001,495,600,2.8847564695e-08,5.7623698754e-09
DR6_BGSz1,kappa_g,DR6,BGSz1,9,656.0000000000005,600,713,2.1379905699e-08,4.9186150962e-09
DR6_BGSz1,kappa_g,DR6,BGSz1,10,774.5000000000001,713,837,1.6084131101e-08,4.0842291875e-09
DR6_BGSz1,kappa_g,DR6,BGSz1,11,903.4999999999999,837,971,1.4895557688e-08,3.4758043744e-09
DR6_BGSz2,kappa_g,DR6,BGSz2,0,31.5,20,44,1.4841182009e-06,2.6610860839e-07
DR6_BGSz2,kappa_g,DR6,BGSz2,1,61.00000000000001,44,79,7.6359844437e-07,1.1368049518e-07
DR6_BGSz2,kappa_g,DR6,BGSz2,2,101.0,79,124,2.2505331260e-07,5.3783436655e-08
DR6_BGSz2,kappa_g,DR6,BGSz2,3,150.49999999999997,124,178,2.0243369733e-07,2.9576464517e-08
DR6_BGSz2,kappa_g,DR6,BGSz2,4,210.00000000000003,178,243,1.0392150234e-07,1.8810163452e-08
DR6_BGSz2,kappa_g,DR6,BGSz2,5,279.5,243,317,1.1546634162e-07,1.3925839760e-08
DR6_BGSz2,kappa_g,DR6,BGSz2,6,358.5,317,401,5.5814479229e-08,1.0465411312e-08
DR6_BGSz2,kappa_g,DR6,BGSz2,7,447.5,401,495,3.0329171730e-08,7.8060379778e-09
DR6_BGSz2,kappa_g,DR6,BGSz2,8,547.0000000000001,495,600,3.7867468480e-08,6.2030510444e-09
DR6_BGSz2,kappa_g,DR6,BGSz2,9,656.0000000000005,600,713,2.8869984948e-08,5.2695218205e-09
DR6_BGSz2,kappa_g,DR6,BGSz2,10,774.5000000000001,713,837,2.4510320972e-08,4.3878458607e-09
DR6_BGSz2,kappa_g,DR6,BGSz2,11,903.4999999999999,837,971,2.3259882113e-08,3.8047639187e-09
DR6_LRGz1,kappa_g,DR6,LRGz1,0,31.5,20,44,1.6911923654e-06,2.8998520873e-07
DR6_LRGz1,kappa_g,DR6,LRGz1,1,61.00000000000001,44,79,7.7713038047e-07,1.3058131579e-07
DR6_LRGz1,kappa_g,DR6,LRGz1,2,101.0,79,124,3.5490112314e-07,6.7462403959e-08
DR6_LRGz1,kappa_g,DR6,LRGz1,3,150.49999999999997,124,178,2.4708204186e-07,3.8421935908e-08
DR6_LRGz1,kappa_g,DR6,LRGz1,4,210.00000000000003,178,243,1.6338547068e-07,2.5834954413e-08
DR6_LRGz1,kappa_g,DR6,LRGz1,5,279.5,243,317,1.1567418555e-07,2.0034030470e-08
DR6_LRGz1,kappa_g,DR6,LRGz1,6,358.5,317,401,7.7264014544e-08,1.5671104969e-08
DR6_LRGz1,kappa_g,DR6,LRGz1,7,447.5,401,495,6.5144267331e-08,1.2104150629e-08
DR6_LRGz1,kappa_g,DR6,LRGz1,8,547.0000000000001,495,600,5.3114022618e-08,9.9267225553e-09
DR6_LRGz1,kappa_g,DR6,LRGz1,9,656.0000000000005,600,713,3.4174535452e-08,8.6555349808e-09
DR6_LRGz1,kappa_g,DR6,LRGz1,10,774.5000000000001,713,837,3.1425344821e-08,7.3741514130e-09
DR6_LRGz1,kappa_g,DR6,LRGz1,11,903.4999999999999,837,971,2.6845317781e-08,6.5078569531e-09
DR6_LRGz2,kappa_g,DR6,LRGz2,0,31.5,20,44,1.1001645554e-06,2.3191620633e-07
DR6_LRGz2,kappa_g,DR6,LRGz2,1,61.00000000000001,44,79,8.2836812308e-07,1.1136100134e-07
DR6_LRGz2,kappa_g,DR6,LRGz2,2,101.0,79,124,4.4970709456e-07,5.7904216585e-08
DR6_LRGz2,kappa_g,DR6,LRGz2,3,150.49999999999997,124,178,2.6061916268e-07,3.3663894050e-08
DR6_LRGz2,kappa_g,DR6,LRGz2,4,210.00000000000003,178,243,2.1400696333e-07,2.2312224266e-08
DR6_LRGz2,kappa_g,DR6,LRGz2,5,279.5,243,317,1.1748227275e-07,1.6894792234e-08
