element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	2	"240.25995"	"0.00002"	"240.259935"	"0.000010"	"18000"	"2.17e+06"	B	"0.35186476"	"5.51071390"	"3d7"	"a 4F"	"5/2"	"3d6.(5D).4p"	"z 4D*"	"7/2"	6	8		"T6610"	"L18349c139"	
Fe	2	"240.263255"	"0.000015"	"240.263254"	"0.000010"	"27000"	"8.19e+07"	C+	"5.28894824"	"10.4477261"	"3d6.(5D).4p"	"z 6P*"	"7/2"	"3d6.(5D).4d"	"6P"	"7/2"	8	8		"T7186"	"L18349c139"	
Fe	2	"240.270976"	"0.000019"	"240.270985"	"0.000012"	"6000"	"1.36e+08"	C+	"7.8063198"	"12.9649317"	"3d6.(3P2).4p"	"y 4D*"	"3/2"	"3d6.(3P2).4d"	"4F"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"240.31005"	"0.00004"	"240.310032"	"0.000010"	"2500"	"5.5e+06"	D+	"7.8448498"	"13.0026236"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	"3d6.(5D).5d"	"4D"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"240.3192"	"0.0005"	"240.318732"	"0.000011"	"310d?"	""		"5.22157443"	"10.3791615"	"3d6.(5D).4p"	"z 6F*"	"9/2"	"3d6.(5D).4d"	"6D"	"7/2"	10	8		""	"L18349c142"	
Fe	2	"240.3494"	"0.0005"	"240.348773"	"0.000011"	"190"	"1.1e+07"	D+	"7.7066254"	"12.8635679"	"3d6.(3F2).4p"	"y 4F*"	"9/2"	"3d6.(3H).4d"	"4H"	"11/2"	10	12		"T6892c83"	"L18349c142"	
Fe	2	"240.3530"	"0.0005"	"240.352634"	"0.000011"	"210"	""		"9.0036704"	"14.1605300"	"3d6.(3D).4p"	"w 4D*"	"5/2"	"3d6.(5D).6d"	"114212"	"7/2"	6	8		""	"L18349c143"	
Fe	3	"240.3552"	"0.0013"	"240.3557"	"0.0003"	"5400"	"1.0e+07"	D	"10.992945"	"16.149738"	"3d5.(2H).4s"	"3H"	"4"	"3d5.(2I).4p"	"3I*"	"5"	9	11		"u45"	"L3495"	
Fe	2	"240.3635"	"0.0005"	"240.362424"	"0.000014"	"130d?"	""		"9.0576548"	"14.2143044"	"3d6.(1G2).4p"	"x 2F*"	"5/2"	"3d6.(5D).6d"	"4G"	"7/2"	6	8		""	"L18349c143"	
Fe	2	"240.3656"	"0.0005"	"240.365805"	"0.000011"	"110d"	""		"9.0076893"	"14.1642664"	"3d6.(3D).4p"	"w 4D*"	"7/2"	"3d6.(5D).6d"	"114242"	"5/2"	8	6		""	"L18349c142"	
Fe	2	"240.36870"	"0.00006"	"240.368695"	"0.000011"	"1700"	"1.7e+06"	D	"7.8448498"	"13.0013649"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	"3d6.(5D).5d"	"6P"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Fe	2	"240.37627"	"0.00005"	"240.376283"	"0.000011"	"6000"	"2.5e+07"	D+	"5.25709365"	"10.4134460"	"3d6.(5D).4p"	"z 6F*"	"3/2"	"3d6.(5D).4d"	"6D"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Fe	2	"240.38325"	"0.00016"	"240.383300"	"0.000011"	"1900"	"1.8e+06"	D	"3.81430861"	"8.9705104"	"3d6.(3G).4s"	"b 2G"	"7/2"	"3d6.(3D).4p"	"w 4F*"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"240.39444"	"0.00004"	"240.394390"	"0.000014"	"1600"	"6.5e+07"	D+	"8.3408923"	"13.4968562"	"3d6.(3F2).4p"	"y 2D*"	"3/2"	"3d6.(3G).4d"	"4D"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Fe	2	"240.39705"	"0.00003"	"240.397055"	"0.000012"	"4000"	"4.7e+07"	C+	"7.7233696"	"12.8792764"	"3d6.(3H).4p"	"z 2I*"	"13/2"	"3d6.(3H).4d"	"4I"	"15/2"	14	16		"T6892c83"	"L18349c139"	
Fe	2	"240.406091"	"0.000020"	"240.406103"	"0.000014"	"4000"	"1.6e+08"	C	"8.2477153"	"13.4034281"	"3d6.(3G).4p"	"x 4F*"	"5/2"	"3d6.(3F2).4d"	"2P"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Fe	2	"240.443072"	"0.000012"	"240.443046"	"0.000010"	"120000"	"6.44e+07"	B+	"0.10695023"	"5.26187092"	"3d6.(5D).4s"	"a 6D"	"3/2"	"3d6.(5D).4p"	"z 6F*"	"1/2"	4	2		"T7958,T6610,T7589"	"L18349c139"	
Fe	2	"240.45420"	"0.00004"	"240.454294"	"0.000010"	"6000"	"8.e+06"	D+	"5.23672772"	"10.3914073"	"3d6.(5D).4p"	"z 6F*"	"7/2"	"3d6.(5D).4d"	"6D"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	1	"240.4639"	"0.0003"	"240.463396"	"0.000013"	"1d"	""		"1.55735733"	"6.71184181"	"3d7.(4F).4s"	"a 3F"	"3"	"3d7.(4F).5p"	"5G*"	"3"	7	7		""	"L11631c80"	
Fe	2	"240.488550"	"0.000012"	"240.488540"	"0.000010"	"1100000"	"1.96e+08"	B+	"0.08278213"	"5.23672772"	"3d6.(5D).4s"	"a 6D"	"5/2"	"3d6.(5D).4p"	"z 6F*"	"7/2"	6	8		"T7958,T6610,T7589"	"L18349c139"	
Fe	2	"240.499322"	"0.000017"	"240.499369"	"0.000018"	"20000"	"2.46e+08"	B+	"5.56875734"	"10.7224709"	"3d6.(1F).4s"	"c 2F"	"7/2"	"3d6.(1F).4p"	"u 2F*"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"240.502250"	"0.000019"	"240.502227"	"0.000011"	"7000"	"6.2e+07"	D+	"7.8448498"	"12.9985021"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	"3d6.(3F2).4d"	"4P"	"3/2"	6	4		"T6892c83"	"L18349c139"	
Fe	2	"240.52172"	"0.00012"	"240.521700"	"0.000018"	"3400"	"5.4e+06"	D+	"6.1380760"	"11.2913111"	"3d6.(3P1).4s"	"c 4P"	"3/2"	"3d6.(5D).5p"	"4F*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"240.53116"	"0.00008"	"240.531140"	"0.000011"	"1200"	"6.0e+06"	D+	"7.8041909"	"12.9572238"	"3d6.(3F2).4p"	"x 4D*"	"7/2"	"3d6.(3H).4d"	"4F"	"5/2"	8	6		"T6892c83"	"L18349c139"	
Fe	2	"240.53803"	"0.00012"	"240.537963"	"0.000011"	"600"	"2.0e+06"	D	"8.1040544"	"13.2569411"	"3d6.(3H).4p"	"z 2H*"	"11/2"	"3d6.(3F2).4d"	"2G"	"9/2"	12	10		"T6892c83"	"L18349c139"	
Fe	2	"240.5439"	"0.0005"	"240.545048"	"0.000011"	"250bl"	""		"7.7173363"	"12.8700712"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	"3d6.(3P2).4d"	"4D"	"1/2"	4	2		""	"L18349c142"	
Fe	2	"240.568263"	"0.000012"	"240.568265"	"0.000010"	"50000"	"2.11e+08"	C+	"5.58476799"	"10.7370057"	"3d6.(5D).4p"	"z 4D*"	"3/2"	"3d6.(5D).4d"	"e 4F"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"240.57057"	"0.00007"	"240.570682"	"0.000011"	"1400"	"1.1e+06"	D	"7.8448498"	"12.9970358"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	"3d6.(5D).5d"	"6D"	"5/2"	6	6		"T6892c83"	"L18349c139"	
Fe	2	"240.57908"	"0.00009"	"240.579124"	"0.000011"	"400"	""		"9.0036704"	"14.1556755"	"3d6.(3D).4p"	"w 4D*"	"5/2"	"3d6.(5D).6d"	"6D"	"7/2"	6	8		""	"L18349c139"	
Fe	2	"240.58307"	"0.00014"	"240.583154"	"0.000018"	"2400"	"1.6e+07"	D+	"5.57055201"	"10.7224709"	"3d6.(1F).4s"	"c 2F"	"5/2"	"3d6.(1F).4p"	"u 2F*"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"240.5898"	"0.0005"	"240.590022"	"0.000010"	"310bl(Fe II)*"	""		"5.40831276"	"10.5600846"	"3d6.(5D).4p"	"z 6P*"	"3/2"	"3d6.(5D).4d"	"f 4D"	"1/2"	4	2		""	"L18349c142"	
Fe	2	"240.5898"	"0.0005"	"240.590171"	"0.000012"	"310bl(Fe II)*"	"4.2e+06"	D+	"7.7269984"	"12.8787670"	"3d6.(3H).4p"	"z 2G*"	"7/2"	"3d6.(3H).4d"	"4H"	"9/2"	8	10		"T6892c83"	"L18349c142"	
Fe	2	"240.59923"	"0.00007"	"240.599211"	"0.000012"	"3400"	"1.0e+07"	D+	"5.26187092"	"10.4134460"	"3d6.(5D).4p"	"z 6F*"	"1/2"	"3d6.(5D).4d"	"6D"	"3/2"	2	4		"T6892c83"	"L18349c139"	
Fe	2	"240.60903"	"0.00006"	"240.608942"	"0.000014"	"5000"	"2.1e+06"	C+	"2.54377802"	"7.6951447"	"3d7"	"a 2D2"	"5/2"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	6	8		"T7461"	"L18349c139"	
Fe	2	"240.63059"	"0.00003"	"240.630556"	"0.000011"	"3300"	"3.4e+06"	D+	"7.8063198"	"12.9572238"	"3d6.(3P2).4p"	"y 4D*"	"3/2"	"3d6.(3H).4d"	"4F"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	2	"240.63919"	"0.00007"	"240.639170"	"0.000011"	"1300"	"4.6e+06"	D+	"7.9458259"	"13.0965456"	"3d6.(3F2).4p"	"y 4G*"	"5/2"	"3d6.(5D).5d"	"4G"	"5/2"	6	6		"T6892c83"	"L18349c148"	
Fe	3	"240.6409"	"0.0013"	"240.6421"	"0.0004"	"1800"	"2.8e+07"	D+	"14.623957"	"19.774614"	"3d5.(b 2G).4s"	"1G"	"4"	"3d5.(b 2D).4p"	"1F*"	"3"	9	7		"u45"	"L3495"	
Fe	2	"240.6494"	"0.0005"	"240.649638"	"0.000014"	"130d"	""		"9.0576548"	"14.2081505"	"3d6.(1G2).4p"	"x 2F*"	"5/2"	"3d6.(5D).6d"	"114596"	"3/2"	6	4		""	"L18349c143"	
Fe	2	"240.666097"	"0.000012"	"240.666098"	"0.000010"	"600000"	"1.61e+08"	B+	"0.10695023"	"5.25709365"	"3d6.(5D).4s"	"a 6D"	"3/2"	"3d6.(5D).4p"	"z 6F*"	"3/2"	4	4		"T7958,T6610,T7589"	"L18349c139"	
Fe	2	"240.67547"	"0.00003"	"240.675456"	"0.000013"	"1800"	"3.3e+07"	D+	"8.3070070"	"13.4569502"	"3d6.(3F2).4p"	"y 2D*"	"5/2"	"3d6.(3G).4d"	"4G"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"240.697542"	"0.000012"	"240.697536"	"0.000011"	"21000"	"4.4e+08"	B+	"8.3709578"	"13.5204286"	"3d6.(3G).4p"	"y 2H*"	"11/2"	"3d6.(3G).4d"	"2I"	"13/2"	12	14		"T6892c83"	"L18349c139"	
Fe	2	"240.699263"	"0.000013"	"240.699257"	"0.000012"	"36000"	"7.6e+07"	C+	"3.90341906"	"9.0528530"	"3d6.(3D).4s"	"b 4D"	"7/2"	"3d6.(1G2).4p"	"x 2F*"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"240.73530"	"0.00004"	"240.735307"	"0.000012"	"2900"	"5.4e+07"	D+	"7.8803734"	"13.0290363"	"3d6.(3F2).4p"	"x 4D*"	"1/2"	"3d6.(3F2).4d"	"4P"	"1/2"	2	2		"T6892c83"	"L18349c139"	
Fe	2	"240.74084"	"0.00006"	"240.740896"	"0.000011"	"1800"	"1.6e+07"	D+	"7.6973256"	"12.8458690"	"3d6.(3H).4p"	"z 2G*"	"9/2"	"3d6.(3G).5s"	"e 2G"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Fe	2	"240.7675"	"0.0005"	"240.766954"	"0.000011"	"900bl(Fe II)*"	""		"9.0076893"	"14.1556755"	"3d6.(3D).4p"	"w 4D*"	"7/2"	"3d6.(5D).6d"	"6D"	"7/2"	8	8		""	"L18349c142"	
Fe	2	"240.7675"	"0.0005"	"240.768329"	"0.000018"	"900bl(Fe II)*"	""		"2.64185518"	"7.7898120"	"3d7"	"a 2D2"	"3/2"	"3d6.(3P2).4p"	"y 4D*"	"1/2"	4	2		""	"L18349c142"	
Fe	2	"240.77535"	"0.00003"	"240.775189"	"0.000010"	"13000"	"4.9e+07"	D+	"5.58919550"	"10.7370057"	"3d6.(5D).4p"	"z 4F*"	"5/2"	"3d6.(5D).4d"	"e 4F"	"5/2"	6	6		"T6892c83"	"L18349c145"	
Fe	2	"240.79378"	"0.00003"	"240.793791"	"0.000012"	"11000"	"6.8e+06"	D+	"2.57958587"	"7.7269984"	"3d7"	"a 2H"	"9/2"	"3d6.(3H).4p"	"z 2G*"	"7/2"	10	8		"T6892c83"	"L18349c139"	
Fe	1	"240.80450"	"0.00005"	"240.804556"	"0.000009"	"22"	""		"0.95815732"	"6.10533975"	"3d7.(4F).4s"	"a 5F"	"3"	"3d7.(2G).4p"	"w 3F*"	"3"	7	7		""	"L11631"	
Fe	1	"240.80608"	"0.00009"	"240.806093"	"0.000009"	"51"	""		"0.95815732"	"6.10530689"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"2"	7	5		""	"L11631"	
Fe	2	"240.83559"	"0.00010"	"240.835594"	"0.000011"	"400"	""		"9.0075386"	"14.1540577"	"3d6.(3D).4p"	"w 4F*"	"9/2"	"3d6.(5D).6d"	"4F"	"9/2"	10	10		""	"L18349c139"	
Fe	2	"240.84265"	"0.00009"	"240.842650"	"0.000012"	"400"	""		"9.0076893"	"14.1540577"	"3d6.(3D).4p"	"w 4D*"	"7/2"	"3d6.(5D).6d"	"4F"	"9/2"	8	10		""	"L18349c139"	
Fe	2	"240.864822"	"0.000013"	"240.864815"	"0.000010"	"40000"	"2.9e+08"	C+	"5.60488800"	"10.7507828"	"3d6.(5D).4p"	"z 4D*"	"1/2"	"3d6.(5D).4d"	"e 4F"	"3/2"	2	4		"T6892c83"	"L18349c139"	
Fe	2	"240.877445"	"0.000012"	"240.877437"	"0.000011"	"14000"	"3.16e+08"	B+	"7.9458259"	"13.0914511"	"3d6.(3F2).4p"	"y 4G*"	"5/2"	"3d6.(3F2).4d"	"4H"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"240.92960"	"0.00004"	"240.929612"	"0.000014"	"1800"	"5.4e+07"	D+	"8.2589171"	"13.4034281"	"3d6.(3G).4p"	"x 4F*"	"3/2"	"3d6.(3F2).4d"	"2P"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Fe	2	"240.953517"	"0.000013"	"240.953516"	"0.000011"	"10000"	"2.39e+08"	B+	"7.9704921"	"13.1144927"	"3d6.(3F2).4p"	"z 2F*"	"7/2"	"3d6.(3F2).4d"	"2F"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	2	"240.985873"	"0.000012"	"240.985883"	"0.000011"	"21000"	"3.74e+08"	B+	"7.9400585"	"13.0833683"	"3d6.(3F2).4p"	"y 4G*"	"7/2"	"3d6.(3F2).4d"	"4H"	"9/2"	8	10		"T6892c83"	"L18349c139"	
