element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Al	2	"263.6724"	"263.6716"	"500"	""		"13.649399"	"18.350218"	"3s.3d"	"1D"	"2"	"3s.12p"	"1P*"	"1"	5	3		""	"L4575"	
Al	2	"263.7689"	"263.7691"	"3000"	"2.85e+07"	C+	"11.846618"	"16.545700"	"3s.3d"	"3D"	"3"	"3s.5f"	"3F*"	"4"	7	9		"T6298c4,LS"	"L4575"	
Al	2	"263.8178"	"263.8178"	"1000"	"3.18e+06"	C+	"11.846618"	"16.544833"	"3s.3d"	"3D"	"3"	"3s.5f"	"3F*"	"3"	7	7		"T6298c4,LS"	"L4575"	
Al	2	"263.8255"	"263.8254"	"2500"	"2.53e+07"	C+	"11.846753"	"16.544833"	"3s.3d"	"3D"	"2"	"3s.5f"	"3F*"	"3"	5	7		"T6298c4,LS"	"L4575"	
Al	2	""	"263.8552"	""	"1.25e+05"	E	"11.846618"	"16.544168"	"3s.3d"	"3D"	"3"	"3s.5f"	"3F*"	"2"	7	5		"T6298c4,LS"	""	
Al	2	"263.8627"	"263.8628"	"500"	"4.44e+06"	C+	"11.846753"	"16.544168"	"3s.3d"	"3D"	"2"	"3s.5f"	"3F*"	"2"	5	5		"T6298c4,LS"	"L4575"	
Al	2	"263.8690"	"263.8692"	"2000"	"2.40e+07"	C+	"11.846869"	"16.544168"	"3s.3d"	"3D"	"1"	"3s.5f"	"3F*"	"2"	3	5		"T6298c4,LS"	"L4575"	
Al	2	"264.0408"	"264.0407"	"450"	""		"13.256460"	"17.950709"	"3s.4p"	"1P*"	"1"	"3s.8d"	"1D"	"2"	3	5		""	"L4575"	
Al	1	"264.749"	"264.7545"	"6"	""		"4.0852554"	"8.76685"	"3s2.4p"	"2P*"	"1/2"	"3s.3p.(3P*).4p"	"2P"	"1/2"	2	2		""	"L3514"	
Al	1	"264.861"	"264.8656"	"4"	""		"4.0872183"	"8.76685"	"3s2.4p"	"2P*"	"3/2"	"3s.3p.(3P*).4p"	"2P"	"1/2"	4	2		""	"L3514"	
Al	2	"265.0073"	"265.0073"	"500"	""		"13.256460"	"17.933588"	"3s.4p"	"1P*"	"1"	"3s.9s"	"1S"	"0"	3	1		""	"L4575"	
Al	1	"265.2484"	"265.24758"	"10g"	"1.42e+07"	B	"0.0000000"	"4.6728909"	"3s2.3p"	"2P*"	"1/2"	"3s2.5s"	"2S"	"1/2"	2	2		"T7365"	"L3514"	
Al	1	"265.7406"	"265.7405"	"3"	""		"4.8271968"	"9.491421"	"3s2.nd"	"y 2D"	"5/2"	"3s.3p.(3P*).4d"	"2D*"	"5/2"	6	6		""	"L4737"	
Al	1	"265.933"	"265.9329"	"3"	""		"4.8266321"	"9.48748"	"3s2.nd"	"y 2D"	"3/2"	"3s.3p.(3P*).4d"	"2D*"	"3/2"	4	4		""	"L3514"	
Al	2	""	"266.0355"	""	"3.35e-03"	A+	"0.000000"	"4.659052"	"2p6.3s2"	"1S"	"0"	"3s.3p"	"3P*"	"2"	1	5	M2	"c41"	""	
Al	1	"266.0393"	"266.03863"	"10g"	"2.84e+07"	B	"0.0138938"	"4.6728909"	"3s2.3p"	"2P*"	"3/2"	"3s2.5s"	"2S"	"1/2"	4	2		"T7365"	"L3514"	
Al	2	"266.9157"	"266.9155"	"2500g"	"3.28e+03"	A+	"0.000000"	"4.643693"	"2p6.3s2"	"1S"	"0"	"3s.3p"	"3P*"	"1"	1	3		"T6947"	"L4575"	
Al	2	"267.1811"	"267.1813"	"45"	""		"13.841265"	"18.480338"	"3p2"	"1S"	"0"	"3s.14p"	"1P*"	"1"	1	3		""	"L4575"	
Al	2	"268.3274"	"268.3274"	"500"	""		"13.649399"	"18.268659"	"3s.3d"	"1D"	"2"	"3s.10f"	"1F*"	"3"	5	7		""	"L4575"	
Al	2	"268.8743"	"268.8748"	"500"	""		"13.649399"	"18.259255"	"3s.3d"	"1D"	"2"	"3s.11p"	"1P*"	"1"	5	3		""	"L4575"	
Al	2	"270.5770"	"270.5769"	"50"	""		"13.841265"	"18.422123"	"3p2"	"1S"	"0"	"3s.13p"	"1P*"	"1"	1	3		""	"L4575"	
Al	2	"270.6435"	"270.6435"	"300"	""		"13.071347"	"17.651077"	"3s.4p"	"3P*"	"0"	"3s.7d"	"3D"	"1"	1	3		""	"L4575"	
Al	2	"270.7452"	"270.7449"	"500"	""		"13.073080"	"17.651096"	"3s.4p"	"3P*"	"1"	"3s.7d"	"3D"	"2"	3	5		""	"L4575"	
Al	2	"270.9593"	"270.9587"	"1000"	""		"13.076729"	"17.651132"	"3s.4p"	"3P*"	"2"	"3s.7d"	"3D"	"3"	5	7		""	"L4575"	
Al	2	"271.9884"	"271.9881"	"350"	""		"13.071347"	"17.628438"	"3s.4p"	"3P*"	"0"	"3s.8s"	"3S"	"1"	1	3		""	"L4575"	
Al	2	"272.3098"	"272.3098"	"500"	""		"13.076729"	"17.628438"	"3s.4p"	"3P*"	"2"	"3s.8s"	"3S"	"1"	5	3		""	"L4575"	
Al	1	"274.0980"	"274.0983"	"4"	""		"5.2368177"	"9.758828"	"3s2.4d"	"2D"	"5/2"	"3s.3p.(3P*).4d"	"2F*"	"7/2"	6	8		""	"L4737"	
Al	1	"274.8065"	"274.8065"	"3"	""		"5.2363166"	"9.746674"	"3s2.4d"	"2D"	"3/2"	"3s.3p.(3P*).4d"	"2F*"	"5/2"	4	6		""	"L4737"	
Al	2	"274.8925"	"274.8921"	"150"	""		"13.841265"	"18.350218"	"3p2"	"1S"	"0"	"3s.12p"	"1P*"	"1"	1	3		""	"L4575"	
Al	2	"276.0844"	"276.0845"	"500"	""		"13.649399"	"18.138878"	"3s.3d"	"1D"	"2"	"3s.10p"	"1P*"	"1"	5	3		""	"L4575"	
Al	2	"276.2464"	"276.2464"	"500"	""		"13.649399"	"18.136247"	"3s.3d"	"1D"	"2"	"3s.9f"	"1F*"	"3"	5	7		""	"L4575"	
Al	3	"276.2815"	"276.2772"	"9d*"	"7.47e+06"	A	"20.554884"	"25.041232"	"2p6.4d"	"2D"	"5/2"	"2p6.6f"	"2F*"	"5/2"	6	6		"c32"	"L3473"	
Al	3	"276.2815"	"276.2772"	"9d*"	"1.12e+08"	A+	"20.554884"	"25.041232"	"2p6.4d"	"2D"	"5/2"	"2p6.6f"	"2F*"	"7/2"	6	8		"c32"	"L3473"	
Al	3	"276.2815"	"276.2863"	"9d*"	"1.05e+08"	A+	"20.555032"	"25.041232"	"2p6.4d"	"2D"	"3/2"	"2p6.6f"	"2F*"	"5/2"	4	6		"c32"	"L3473"	
Al	1	"277.519"	"277.5181"	"1"	""		"5.4762391"	"9.94253"	"3s2.5d"	"2D"	"5/2"	"3s.3p.(3P*).5d"	"2D*"	"5/2"	6	6		""	"L3514"	
Al	1	"277.763"	"277.7606"	"2"	""		"5.4759355"	"9.93833"	"3s2.5d"	"2D"	"3/2"	"3s.3p.(3P*).5d"	"2D*"	"3/2"	4	4		""	"L3514"	
Al	2	"280.1178"	"280.1181"	"500"	""		"13.256460"	"17.681296"	"3s.4p"	"1P*"	"1"	"3s.7d"	"1D"	"2"	3	5		""	"L4575"	
