element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Al	3	""	"328.7282"	""	"3.82e+05"	B+	"22.127500"	"25.898046"	"2p6.5p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"	4	4		"c32"	""	
Al	3	"328.7302"	"328.7282"	"3d"	"2.29e+06"	A	"22.127500"	"25.898046"	"2p6.5p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"	4	6		"c32"	"L277"	
Al	2	"331.3344"	"331.3346"	"80"	"1.33e+06"	C	"11.846618"	"15.5875046"	"3s.3d"	"3D"	"3"	"3s.5p"	"3P*"	"2"	7	5		"T6298c4,LS"	"L3515"	
Al	2	"331.3470"	"331.3466"	"2"	"2.37e+05"	D	"11.846753"	"15.5875046"	"3s.3d"	"3D"	"2"	"3s.5p"	"3P*"	"2"	5	5		"T6298c4,LS"	"L3515"	
Al	2	""	"331.3568"	""	"1.58e+04"	E	"11.846869"	"15.5875046"	"3s.3d"	"3D"	"1"	"3s.5p"	"3P*"	"2"	3	5		"T6298c4,LS"	""	
Al	2	"331.4756"	"331.4761"	"2"	""		"11.846618"	"15.5859083"	"3s.3d"	"3D"	"3"	"3s.5p"	"3P*"	"1"	7	3		""	"L3515"	
Al	2	"331.4883"	"331.4881"	"40"	"1.18e+06"	C	"11.846753"	"15.5859083"	"3s.3d"	"3D"	"2"	"3s.5p"	"3P*"	"1"	5	3		"T6298c4,LS"	"L3515"	
Al	2	"331.4981"	"331.4983"	"1"	"3.94e+05"	D	"11.846869"	"15.5859083"	"3s.3d"	"3D"	"1"	"3s.5p"	"3P*"	"1"	3	3		"T6298c4,LS"	"L3515"	
Al	2	"331.5516"	"331.5506"	"2"	""		"11.846753"	"15.585203"	"3s.3d"	"3D"	"2"	"3s.5p"	"3P*"	"0"	5	1		""	"L3515"	
Al	2	"331.5608"	"331.5608"	"10"	"1.58e+06"	D	"11.846869"	"15.585203"	"3s.3d"	"3D"	"1"	"3s.5p"	"3P*"	"0"	3	1		"T6298c4,LS"	"L3515"	
Al	3	"334.8517"	"334.8513"	"9"	"1.88e+07"	A+	"20.554884"	"24.256484"	"2p6.4d"	"2D"	"5/2"	"2p6.6p"	"2P*"	"3/2"	6	4		"c32"	"L277"	
Al	3	""	"334.8646"	""	"2.08e+06"	A	"20.555032"	"24.256484"	"2p6.4d"	"2D"	"3/2"	"2p6.6p"	"2P*"	"3/2"	4	4		"c32"	""	
Al	3	"335.0885"	"335.0894"	"8"	"2.07e+07"	A+	"20.555032"	"24.254002"	"2p6.4d"	"2D"	"3/2"	"2p6.6p"	"2P*"	"1/2"	4	2		"c32"	"L277"	
Al	2	"335.1462"	"335.1462"	"50"	"1.04e+07"	C	"13.649399"	"17.347743"	"3s.3d"	"1D"	"2"	"3s.7p"	"1P*"	"1"	5	3		"T6533"	"L4575"	
Al	2	"342.8894"	"342.8900"	"30"	"5.78e+06"	C+	"13.649399"	"17.2642222"	"3s.3d"	"1D"	"2"	"3s.6f"	"1F*"	"3"	5	7		"T6533"	"L4575"	
Al	1	"343.9347"	"343.9346"	"6g"	""		"0.0000000"	"3.603844"	"3s2.3p"	"2P*"	"1/2"	"3s.3p2"	"4P"	"3/2"	2	4		""	"L4737"	
Al	1	"344.3640"	"344.3640"	"9g"	""		"0.0138938"	"3.613244"	"3s2.3p"	"2P*"	"3/2"	"3s.3p2"	"4P"	"5/2"	4	6		""	"L4737"	
Al	1	"344.4865"	"344.4863"	"6g"	""		"0.0000000"	"3.598072"	"3s2.3p"	"2P*"	"1/2"	"3s.3p2"	"4P"	"1/2"	2	2		""	"L4737"	
Al	1	"345.2657"	"345.2658"	"2g"	""		"0.0138938"	"3.603844"	"3s2.3p"	"2P*"	"3/2"	"3s.3p2"	"4P"	"3/2"	4	4		""	"L4737"	
Al	1	"345.8216"	"345.8145"	"6g*"	""		"5.4762391"	"9.06049"	"3s2.5d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2F*"	"7/2"	6	8		""	"L4737"	
Al	1	"345.8216"	"345.8218"	"6g*"	""		"0.0138938"	"3.598072"	"3s2.3p"	"2P*"	"3/2"	"3s.3p2"	"4P"	"1/2"	4	2		""	"L4737"	
Al	2	"346.363"	"346.3603"	"5"	""		"15.062034"	"18.64064"	"3s.4d"	"3D"	"3"	"3s.17f"	"3F*"	"4"	7	9		""	"L3471"	
Al	1	"346.980"	"346.9722"	"1"	""		"5.4759355"	"9.04823"	"3s2.5d"	"2D"	"3/2"	"3s.3p.(3P*).3d"	"2F*"	"5/2"	4	6		""	"L3514"	
Al	1	"347.9806"	"347.98083"	"5"	""		"4.8271968"	"8.3891377"	"3s2.nd"	"y 2D"	"5/2"	"3s.3p.(3P*).3d"	"2D*"	"5/2"	6	6		""	"L4737"	
Al	1	"348.2628"	"348.26300"	"5"	""		"4.8266321"	"8.3856871"	"3s2.nd"	"y 2D"	"3/2"	"3s.3p.(3P*).3d"	"2D*"	"3/2"	4	4		""	"L4737"	
Al	2	"351.605"	"351.6059"	"2"	""		"15.062034"	"18.58725"	"3s.4d"	"3D"	"3"	"3s.15f"	"3F*"	"4"	7	9		""	"L3471"	
Al	3	""	"352.4869"	""	"1.07e+06"	B+	"23.417834"	"26.934242"	"2p6.5d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"5/2"	6	6		"c32"	""	
Al	3	""	"352.4869"	""	"1.61e+07"	A	"23.417834"	"26.934242"	"2p6.5d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"7/2"	6	8		"c32"	""	
Al	3	""	"352.4950"	""	"1.50e+07"	A	"23.417915"	"26.934242"	"2p6.5d"	"2D"	"3/2"	"2p6.9f"	"2F*"	"5/2"	4	6		"c32"	""	
Al	2	"353.4856"	"353.4851"	"5"	"8.11e+05"	C	"13.841265"	"17.347743"	"3p2"	"1S"	"0"	"3s.7p"	"1P*"	"1"	1	3		"T6533"	"L4575"	
Al	2	"355.200"	"355.1951"	"3"	""		"15.062034"	"18.55163"	"3s.4d"	"3D"	"3"	"3s.14f"	"3F*"	"4"	7	9		""	"L3471"	
Al	2	"358.6557"	"358.6557"	"200"	"2.35e+08"	A	"11.846618"	"15.302546"	"3s.3d"	"3D"	"3"	"3s.4f"	"3F*"	"4"	7	9		"T6298c4,LS"	"L3515"	
Al	2	"358.6708"	"358.6697"	"15"	""		"11.846753"	"15.302546"	"3s.3d"	"3D"	"2"	"3s.4f"	"3F*"	"4"	5	9		""	"L3515"	
Al	2	"358.6811"	"358.6817"	"2"	""		"11.846869"	"15.302546"	"3s.3d"	"3D"	"1"	"3s.4f"	"3F*"	"4"	3	9		""	"L3515"	
Al	2	"358.6912"	"358.6931+"	"50"	""		"11.846618"	"15.302186"	"3s.3d"	"3D"	"3"	"3s.4f"	"3F*"	"3"	7	7		""	"L3515c14"	
Al	2	"358.6920"	"358.6931"	"75hfs"	"2.62e+07"	B	"11.846618"	"15.302186"	"3s.3d"	"3D"	"3"	"3s.4f"	"3F*"	"3"	7	7		"T6298c4,LS"	"L3515c150"	
Al	2	"358.6936"	"358.6931+"	"25"	""		"11.846618"	"15.302186"	"3s.3d"	"3D"	"3"	"3s.4f"	"3F*"	"3"	7	7		""	"L3515c14"	
Al	2	"358.7068"	"358.7072"	"100"	"2.09e+08"	B+	"11.846753"	"15.302186"	"3s.3d"	"3D"	"2"	"3s.4f"	"3F*"	"3"	5	7		"T6298c4,LS"	"L3515"	
Al	2	"358.7165"	"358.7185+"	"5"	""		"11.846618"	"15.301941"	"3s.3d"	"3D"	"3"	"3s.4f"	"3F*"	"2"	7	5		""	"L3515c14"	
Al	2	"358.7185"	"358.7185"	"15hfs"	"1.03e+06"	C	"11.846618"	"15.301941"	"3s.3d"	"3D"	"3"	"3s.4f"	"3F*"	"2"	7	5		"T6298c4,LS"	"L3515c150"	
Al	2	"358.7195"	"358.7185+"	"10"	""		"11.846618"	"15.301941"	"3s.3d"	"3D"	"3"	"3s.4f"	"3F*"	"2"	7	5		""	"L3515c14"	
Al	2	"358.7309"	"358.7325+"	"30"	""		"11.846753"	"15.301941"	"3s.3d"	"3D"	"2"	"3s.4f"	"3F*"	"2"	5	5		""	"L3515c14"	
Al	2	"358.7330"	"358.7325"	"80hfs"	"3.66e+07"	B	"11.846753"	"15.301941"	"3s.3d"	"3D"	"2"	"3s.4f"	"3F*"	"2"	5	5		"T6298c4,LS"	"L3515c150"	
Al	2	"358.7342"	"358.7325+"	"50"	""		"11.846753"	"15.301941"	"3s.3d"	"3D"	"2"	"3s.4f"	"3F*"	"2"	5	5		""	"L3515c14"	
Al	2	"358.7450"	"358.7445"	"70"	"1.97e+08"	B+	"11.846869"	"15.301941"	"3s.3d"	"3D"	"1"	"3s.4f"	"3F*"	"2"	3	5		"T6298c4,LS"	"L4575"	
Al	2	"359.750"	"359.7455"	"4"	""		"15.062034"	"18.50749"	"3s.4d"	"3D"	"3"	"3s.13f"	"3F*"	"4"	7	9		""	"L3471"	
Al	3	"360.1628"	"360.1630"	"14"	"1.31e+08"	A+	"14.376738"	"17.818203"	"2p6.3d"	"2D"	"5/2"	"2p6.4p"	"2P*"	"3/2"	6	4		"c32"	"L277"	
Al	3	"360.1926"	"360.1927"	"11"	"1.46e+07"	A+	"14.377022"	"17.818203"	"2p6.3d"	"2D"	"3/2"	"2p6.4p"	"2P*"	"3/2"	4	4		"c32"	"L277"	
Al	3	"361.2356"	"361.2355"	"13"	"1.45e+08"	A+	"14.377022"	"17.808269"	"2p6.3d"	"2D"	"3/2"	"2p6.4p"	"2P*"	"1/2"	4	2		"c32"	"L277"	
Al	2	"364.9184"	"364.9204+"	"10"	""		"13.071347"	"16.467947"	"3s.4p"	"3P*"	"0"	"3s.5d"	"3D"	"1"	1	3		""	"L3515c14"	
Al	2	"364.9200"	"364.9204"	"15hfs"	"1.26e+07"	C+	"13.071347"	"16.467947"	"3s.4p"	"3P*"	"0"	"3s.5d"	"3D"	"1"	1	3		"T6298c4,LS"	"L3515c150"	
Al	2	"364.9232"	"364.9204+"	"5"	""		"13.071347"	"16.467947"	"3s.4p"	"3P*"	"0"	"3s.5d"	"3D"	"1"	1	3		""	"L3515c14"	
Al	2	"365.1065"	"365.1087+"	"40"	""		"13.073080"	"16.467928"	"3s.4p"	"3P*"	"1"	"3s.5d"	"3D"	"2"	3	5		""	"L3515c14"	
Al	2	""	"365.1067"	""	"9.45e+06"	C+	"13.073080"	"16.467947"	"3s.4p"	"3P*"	"1"	"3s.5d"	"3D"	"1"	3	3		"T6298c4,LS"	""	
Al	2	"365.1078"	"365.1087"	"70hfs"	"1.70e+07"	C+	"13.073080"	"16.467928"	"3s.4p"	"3P*"	"1"	"3s.5d"	"3D"	"2"	3	5		"T6298c4,LS"	"L3515c150"	
Al	2	"365.1096"	"365.1087+"	"30"	""		"13.073080"	"16.467928"	"3s.4p"	"3P*"	"1"	"3s.5d"	"3D"	"2"	3	5		""	"L3515c14"	
Al	3	""	"365.2052"	""	""		"23.541636"	"26.935588"	"2p6.5f"	"2F*"	"5/2"	"2p6.9g"	"2G"	"7/2"	6	8		""	""	
Al	3	""	"365.2094"	""	""		"23.541676"	"26.935588"	"2p6.5f"	"2F*"	"7/2"	"2p6.9g"	"2G"	"9/2"	8	10		""	""	
Al	2	"365.4981"	"365.5004+"	"35"	""		"13.076729"	"16.467940"	"3s.4p"	"3P*"	"2"	"3s.5d"	"3D"	"3"	5	7		""	"L3515c14"	
Al	2	"365.4991"	"365.5004"	"85hfs"	"2.26e+07"	B	"13.076729"	"16.467940"	"3s.4p"	"3P*"	"2"	"3s.5d"	"3D"	"3"	5	7		"T6298c4,LS"	"L3515c150"	
Al	2	""	"365.4996"	""	"6.28e+05"	C	"13.076729"	"16.467947"	"3s.4p"	"3P*"	"2"	"3s.5d"	"3D"	"1"	5	3		"T6298c4,LS"	""	
Al	2	"365.4998"	"365.5004+"	"50"	""		"13.076729"	"16.467940"	"3s.4p"	"3P*"	"2"	"3s.5d"	"3D"	"3"	5	7		""	"L3515c14"	
Al	2	""	"365.5016"	""	"5.64e+06"	C+	"13.076729"	"16.467928"	"3s.4p"	"3P*"	"2"	"3s.5d"	"3D"	"2"	5	5		"T6298c4,LS"	""	
Al	2	"365.6319"	"365.6309"	"2"	""		"15.062034"	"18.45204"	"3s.4d"	"3D"	"3"	"3s.12f"	"3F*"	"4"	7	9		""	"L3471"	
Al	3	"365.83"	"365.8790"	"1d*"	""		"23.548132"	"26.935834"	"2p6.5g"	"2G"	"7/2"	"2p6.9h"	"2H*"	"9/2"	8	10		""	"L3473"	
Al	3	"365.83"	"365.8815"	"*"	""		"23.548155"	"26.935834"	"2p6.5g"	"2G"	"9/2"	"2p6.9h"	"2H*"	"11/2"	10	12		""	"L3473"	
Al	3	""	"366.0510"	""	""		"23.548132"	"26.934242"	"2p6.5g"	"2G"	"7/2"	"2p6.9f"	"2F*"	"5/2"	8	6		""	""	
Al	3	""	"366.0535"	""	""		"23.548155"	"26.934242"	"2p6.5g"	"2G"	"9/2"	"2p6.9f"	"2F*"	"7/2"	10	8		""	""	
Al	3	"370.2106"	"370.2106"	"10"	"1.13e+08"	A+	"17.808269"	"21.156335"	"2p6.4p"	"2P*"	"1/2"	"2p6.5s"	"2S"	"1/2"	2	2		"c32"	"L277"	
Al	2	"370.3219"	"370.3225"	"30"	"3.23e+07"	B+	"13.256460"	"16.6035135"	"3s.4p"	"1P*"	"1"	"3s.5d"	"1D"	"2"	3	5		"T6533"	"L4575"	
Al	3	"371.3123"	"371.3123"	"11"	"2.27e+08"	A+	"17.818203"	"21.156335"	"2p6.4p"	"2P*"	"3/2"	"2p6.5s"	"2S"	"1/2"	4	2		"c32"	"L277"	
Al	2	"373.1952"	"373.1954"	"10"	"4.95e+06"	C+	"13.071347"	"16.3926349"	"3s.4p"	"3P*"	"0"	"3s.6s"	"3S"	"1"	1	3		"T6298c4,LS"	"L4575"	
Al	2	"373.3908"	"373.3903"	"20"	"1.48e+07"	C+	"13.073080"	"16.3926349"	"3s.4p"	"3P*"	"1"	"3s.6s"	"3S"	"1"	3	3		"T6298c4,LS"	"L4575"	
Al	2	"373.4567"	"373.4522"	"3"	""		"15.062034"	"18.381039"	"3s.4d"	"3D"	"3"	"3s.11f"	"3F*"	"4"	7	9		""	"L3471"	
Al	2	"373.4715"	"373.4658"	"2*"	""		"15.062086"	"18.380970"	"3s.4d"	"3D"	"2"	"3s.11f"	"3F*"	"3"	5	7		""	"L3471"	
Al	2	"373.4715"	"373.4726"	"2*"	""		"15.0621276"	"18.380951"	"3s.4d"	"3D"	"1"	"3s.11f"	"3F*"	"2"	3	5		""	"L3471"	
Al	2	"373.8015"	"373.8012"	"50"	"2.46e+07"	C+	"13.076729"	"16.3926349"	"3s.4p"	"3P*"	"2"	"3s.6s"	"3S"	"1"	5	3		"T6298c4,LS"	"L4575"	
Al	2	"375.310"	"375.3002"	"2"	""		"15.0475561"	"18.350218"	"3s.5s"	"1S"	"0"	"3s.12p"	"1P*"	"1"	1	3		""	"L3471"	
Al	2	""	"377.1207"	""	""		"14.8896243"	"18.176344"	"3s.5s"	"3S"	"1"	"3s.10p"	"3P*"	"2"	3	5		""	""	
Al	2	""	"377.1939"	""	""		"14.8896243"	"18.175705"	"3s.5s"	"3S"	"1"	"3s.10p"	"3P*"	"1"	3	3		""	""	
Al	2	""	"377.2238"	""	""		"14.8896243"	"18.175445"	"3s.5s"	"3S"	"1"	"3s.10p"	"3P*"	"0"	3	1		""	""	
Al	2	"384.2037"	"384.2016"	"6"	""		"15.062034"	"18.288180"	"3s.4d"	"3D"	"3"	"3s.10f"	"3F*"	"4"	7	9		""	"L3471"	
Al	2	"384.2213"	"384.2204"	"4"	""		"15.062086"	"18.288075"	"3s.4d"	"3D"	"2"	"3s.10f"	"3F*"	"3"	5	7		""	"L3471"	
Al	2	"384.2317"	"384.2328"	"2"	""		"15.0621276"	"18.288011"	"3s.4d"	"3D"	"1"	"3s.10f"	"3F*"	"2"	3	5		""	"L3471"	
Al	2	"385.933"	"385.9299"	"6"	""		"15.0475561"	"18.259255"	"3s.5s"	"1S"	"0"	"3s.11p"	"1P*"	"1"	1	3		""	"L3471"	
Al	2	"386.6160"	"386.6168"	"8"	"4.26e+07"	B	"13.256460"	"16.4624524"	"3s.4p"	"1P*"	"1"	"3s.6s"	"1S"	"0"	3	1		"T6533"	"L4575"	
Al	2	"390.0675"	"390.0675"	"100"	"4.8e+05"	E	"7.420705"	"10.598337"	"3s.3p"	"1P*"	"1"	"3p2"	"1D"	"2"	3	5		"T6298c4"	"L4575"	
Al	1	"393.1996"	"393.19962"	"5"	""		"5.2368177"	"8.3891377"	"3s2.4d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2D*"	"5/2"	6	6		""	"L4737"	
Al	1	"393.5677"	"393.56789"	"4"	""		"5.2363166"	"8.3856871"	"3s2.4d"	"2D"	"3/2"	"3s.3p.(3P*).3d"	"2D*"	"3/2"	4	4		""	"L4737"	
Al	1	"394.40058"	"394.40060"	"24g"	"4.99e+07"	B+	"0.0000000"	"3.1427212"	"3s2.3p"	"2P*"	"1/2"	"3s2.4s"	"2S"	"1/2"	2	2		"c40,T7070"	"L4737"	
Al	1	"396.15200"	"396.15201"	"26g"	"9.85e+07"	B+	"0.0138938"	"3.1427212"	"3s2.3p"	"2P*"	"3/2"	"3s2.4s"	"2S"	"1/2"	4	2		"c40"	"L4737"	
Al	2	""	"397.9988"	""	""		"15.062034"	"18.176344"	"3s.4d"	"3D"	"3"	"3s.10p"	"3P*"	"2"	7	5		""	""	
Al	3	""	"398.0097"	""	"1.55e+06"	A	"23.417834"	"26.532058"	"2p6.5d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"5/2"	6	6		"c32"	""	
Al	3	"398.014"	"398.0097"	"5d*"	"2.33e+07"	A+	"23.417834"	"26.532058"	"2p6.5d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"7/2"	6	8		"c32"	"L277"	
Al	3	"398.014"	"398.0200"	"5d*"	"2.17e+07"	A	"23.417915"	"26.532058"	"2p6.5d"	"2D"	"3/2"	"2p6.8f"	"2F*"	"5/2"	4	6		"c32"	"L277"	
Al	2	""	"398.0871"	""	""		"15.062086"	"18.175705"	"3s.4d"	"3D"	"2"	"3s.10p"	"3P*"	"1"	5	3		""	""	
Al	2	""	"398.1256"	""	""		"15.0621276"	"18.175445"	"3s.4d"	"3D"	"1"	"3s.10p"	"3P*"	"0"	3	1		""	""	
Al	2	""	"398.8249"	""	""		"14.8896243"	"17.997483"	"3s.5s"	"3S"	"1"	"3s.9p"	"3P*"	"2"	3	5		""	""	
Al	2	""	"398.9591"	""	""		"14.8896243"	"17.996438"	"3s.5s"	"3S"	"1"	"3s.9p"	"3P*"	"1"	3	3		""	""	
Al	2	""	"399.0422"	""	""		"14.8896243"	"17.995791"	"3s.5s"	"3S"	"1"	"3s.9p"	"3P*"	"0"	3	1		""	""	
Al	2	"399.5838"	"399.5837"	"40"	"7.05e+06"	C	"15.062034"	"18.163991"	"3s.4d"	"3D"	"3"	"3s.9f"	"3F*"	"4"	7	9		"T6298c4,LS"	"L4575"	
Al	2	"399.6075"	"399.6074"	"10"	"7.85e+05"	E	"15.062034"	"18.163808"	"3s.4d"	"3D"	"3"	"3s.9f"	"3F*"	"3"	7	7		"T6298c4,LS"	"L3471"	
Al	2	"399.6143"	"399.6141"	"30"	"6.26e+06"	D	"15.062086"	"18.163808"	"3s.4d"	"3D"	"2"	"3s.9f"	"3F*"	"3"	5	7		"T6298c4,LS"	"L4575"	
Al	2	"399.6182"	"399.6194"	"5"	""		"15.0621276"	"18.163808"	"3s.4d"	"3D"	"1"	"3s.9f"	"3F*"	"3"	3	7		""	"L3471"	
Al	2	""	"399.6248"	""	"3.10e+04"	E	"15.062034"	"18.163673"	"3s.4d"	"3D"	"3"	"3s.9f"	"3F*"	"2"	7	5		"T6298c4,LS"	""	
Al	2	"399.6323"	"399.6315"	"5"	"1.10e+06"	E	"15.062086"	"18.163673"	"3s.4d"	"3D"	"2"	"3s.9f"	"3F*"	"2"	5	5		"T6298c4,LS"	"L3471"	
Al	2	"399.6370"	"399.6368"	"20"	"5.91e+06"	D	"15.0621276"	"18.163673"	"3s.4d"	"3D"	"1"	"3s.9f"	"3F*"	"2"	3	5		"T6298c4,LS"	"L4575"	
Al	3	"399.8164"	"399.8167"	"2"	"3.11e+05"	A	"21.156335"	"24.256484"	"2p6.5s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"3/2"	2	4		"c32"	"L277"	
Al	3	"400.1376"	"400.1371"	"1"	"3.59e+05"	A	"21.156335"	"24.254002"	"2p6.5s"	"2S"	"1/2"	"2p6.6p"	"2P*"	"1/2"	2	2		"c32"	"L277"	
Al	2	"400.57"	"400.5748"	"2"	""		"15.472500"	"18.56678"	"3s.4d"	"1D"	"2"	"3s.16p"	"1P*"	"1"	5	3		""	"L3471"	
Al	2	"400.958"	"400.9584"	"2"	""		"15.0475561"	"18.138878"	"3s.5s"	"1S"	"0"	"3s.10p"	"1P*"	"1"	1	3		""	"L3471"	
Al	2	"402.65"	"402.6318"	"20"	"1.16e+07"	C+	"13.649399"	"16.727874"	"3s.3d"	"1D"	"2"	"3s.6p"	"1P*"	"1"	5	3		"T6533"	"L3471"	
Al	2	"405.68"	"405.6795"	"2"	""		"15.472500"	"18.527848"	"3s.4d"	"1D"	"2"	"3s.15p"	"1P*"	"1"	5	3		""	"L3471"	
Al	3	"408.2450"	"408.2452"	"5"	"1.78e+07"	A	"22.122926"	"25.159072"	"2p6.5p"	"2P*"	"1/2"	"2p6.7s"	"2S"	"1/2"	2	2		"c32"	"L277"	
Al	2	""	"408.4141"	""	"6.04e+05"	C	"15.062034"	"18.096925"	"3s.4d"	"3D"	"3"	"3p.4s"	"3P*"	"2"	7	5		"T6298c4,LS"	""	
Al	2	""	"408.4212"	""	"1.08e+05"	D	"15.062086"	"18.096925"	"3s.4d"	"3D"	"2"	"3p.4s"	"3P*"	"2"	5	5		"T6298c4,LS"	""	
Al	2	""	"408.4267"	""	"7.17e+03"	E	"15.0621276"	"18.096925"	"3s.4d"	"3D"	"1"	"3p.4s"	"3P*"	"2"	3	5		"T6298c4,LS"	""	
Al	3	"408.8611"	"408.8611"	"6"	"3.55e+07"	A	"22.127500"	"25.159072"	"2p6.5p"	"2P*"	"3/2"	"2p6.7s"	"2S"	"1/2"	4	2		"c32"	"L277"	
Al	2	""	"410.5486"	""	"5.30e+05"	C	"15.062086"	"18.081198"	"3s.4d"	"3D"	"2"	"3p.4s"	"3P*"	"1"	5	3		"T6298c4,LS"	""	
Al	2	""	"410.5542"	""	"1.77e+05"	D	"15.0621276"	"18.081198"	"3s.4d"	"3D"	"1"	"3p.4s"	"3P*"	"1"	3	3		"T6298c4,LS"	""	
Al	2	""	"411.5438"	""	"7.01e+05"	D	"15.0621276"	"18.073939"	"3s.4d"	"3D"	"1"	"3p.4s"	"3P*"	"0"	3	1		"T6298c4,LS"	""	
Al	3	"414.237"	"414.2343"	"5d*"	""		"23.541636"	"26.533886"	"2p6.5f"	"2F*"	"5/2"	"2p6.8g"	"2G"	"7/2"	6	8		""	"L277"	
Al	3	"414.237"	"414.2398"	"5d*"	""		"23.541676"	"26.533886"	"2p6.5f"	"2F*"	"7/2"	"2p6.8g"	"2G"	"9/2"	8	10		""	"L277"	
Al	3	"414.9915"	"414.9913"	"12"	"2.05e+08"	A+	"20.554884"	"23.541676"	"2p6.4d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"7/2"	6	8		"c32"	"L277"	
Al	3	""	"414.9968"	""	"1.37e+07"	A+	"20.554884"	"23.541636"	"2p6.4d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"5/2"	6	6		"c32"	""	
Al	3	"415.0173"	"415.0173"	"12"	"1.91e+08"	A+	"20.555032"	"23.541636"	"2p6.4d"	"2D"	"3/2"	"2p6.5f"	"2F*"	"5/2"	4	6		"c32"	"L277"	
Al	3	"415.091"	"415.0888"	"bl*"	""		"23.548132"	"26.534222"	"2p6.5g"	"2G"	"7/2"	"2p6.8h"	"2H*"	"9/2"	8	10		""	"L277"	
Al	3	"415.091"	"415.0921"	"*"	""		"23.548155"	"26.534222"	"2p6.5g"	"2G"	"9/2"	"2p6.8h"	"2H*"	"11/2"	10	12		""	"L277"	
Al	3	"415.091"	"415.0921"	"*"	""		"23.548155"	"26.534222"	"2p6.5g"	"2G"	"9/2"	"2p6.8h"	"2H*"	"9/2"	10	10		""	"L277"	
Al	3	""	"415.3898"	""	""		"23.548132"	"26.532058"	"2p6.5g"	"2G"	"7/2"	"2p6.8f"	"2F*"	"5/2"	8	6		""	""	
Al	3	""	"415.3930"	""	""		"23.548155"	"26.532058"	"2p6.5g"	"2G"	"9/2"	"2p6.8f"	"2F*"	"7/2"	10	8		""	""	
Al	3	"418.973"	"418.9699"	"bl*"	"1.59e+06"	A	"23.541636"	"26.500065"	"2p6.5f"	"2F*"	"5/2"	"2p6.8d"	"2D"	"3/2"	6	4		"c32"	"L277"	
Al	3	"418.973"	"418.9699"	"bl*"	"7.58e+04"	B+	"23.541636"	"26.500065"	"2p6.5f"	"2F*"	"5/2"	"2p6.8d"	"2D"	"5/2"	6	6		"c32"	"L277"	
Al	3	"418.973"	"418.9755"	"*"	"1.52e+06"	A	"23.541676"	"26.500065"	"2p6.5f"	"2F*"	"7/2"	"2p6.8d"	"2D"	"5/2"	8	6		"c32"	"L277"	
Al	2	"422.6813"	"422.6816"	"50"	"9.37e+06"	C+	"15.062034"	"17.994485"	"3s.4d"	"3D"	"3"	"3s.8f"	"3F*"	"4"	7	9		"T6298c4,LS"	"L4575"	
Al	2	"422.6918"	"422.6891"	"2"	""		"15.062086"	"17.994485"	"3s.4d"	"3D"	"2"	"3s.8f"	"3F*"	"4"	5	9		""	"L3515"	
Al	2	"422.7420"	"422.7420"	"10"	"1.04e+06"	D	"15.062034"	"17.994066"	"3s.4d"	"3D"	"3"	"3s.8f"	"3F*"	"3"	7	7		"T6298c4,LS"	"L3515"	
Al	2	"422.7492"	"422.7495"	"50"	"8.31e+06"	C+	"15.062086"	"17.994066"	"3s.4d"	"3D"	"2"	"3s.8f"	"3F*"	"3"	5	7		"T6298c4,LS"	"L4575"	
Al	2	"422.7545"	"422.7554"	"5"	""		"15.0621276"	"17.994066"	"3s.4d"	"3D"	"1"	"3s.8f"	"3F*"	"3"	3	7		""	"L3515"	
Al	2	"422.7875"	"422.7853"	"2"	"4.11e+04"	E	"15.062034"	"17.993766"	"3s.4d"	"3D"	"3"	"3s.8f"	"3F*"	"2"	7	5		"T6298c4,LS"	"L3515"	
Al	2	"422.7945"	"422.7928"	"5"	"1.46e+06"	D	"15.062086"	"17.993766"	"3s.4d"	"3D"	"2"	"3s.8f"	"3F*"	"2"	5	5		"T6298c4,LS"	"L3515"	
Al	2	"422.7999"	"422.7987"	"50"	"7.85e+06"	C	"15.0621276"	"17.993766"	"3s.4d"	"3D"	"1"	"3s.8f"	"3F*"	"2"	3	5		"T6298c4,LS"	"L3515"	
Al	2	"424.0708"	"424.0700"	"10"	""		"15.0475561"	"17.970406"	"3s.5s"	"1S"	"0"	"3s.9p"	"1P*"	"1"	1	3		""	"L4575"	
Al	1	"425.512"	"425.5188"	"2"	""		"5.4762391"	"8.3891377"	"3s2.5d"	"2D"	"5/2"	"3s.3p.(3P*).3d"	"2D*"	"5/2"	6	6		""	"L3514"	
Al	2	"428.297"	"428.2960"	"2"	""		"15.472500"	"18.36651"	"3s.4d"	"1D"	"2"	"3s.11f"	"1F*"	"3"	5	7		""	"L3471"	
