element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Na	2	"244.6200"	"0.0003"	""	""	"40"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"244.7195"	"0.0003"	""	""	"35"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"244.8715"	"0.0003"	"244.871"	"0.003"	"200"	""		"41.282097"	"46.34382"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<1/2>).7f"	"2[5/2]"	"2,3"	5	12		""	"L914"	
Na	1	""	""	"244.937663"	"0.000012"	""	"8.6e+03"	C+'	"0.000000000"	"[5.06033472]"	"2p6.3s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"3/2"	2	4		"T76n,T817"	""	
Na	1	""	""	"244.938137"	"0.000012"	""	"8.6e+03"	C+'	"0.000000000"	"[5.06032492]"	"2p6.3s"	"2S"	"1/2"	"2p6.14p"	"2P*"	"1/2"	2	2		"T76n,T817"	""	
Na	2	"244.9773"	"0.0003"	""	""	"40"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	2	"245.2180"	"0.0003"	"245.218"	"0.003"	"200"	""		"41.121292"	"46.17584"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	"2s2.2p5.(2P*<3/2>).7f"	"2[7/2]"	"3,4"	5	16		""	"L914"	
Na	2	"245.2657"	"0.0003"	"245.265"	"0.003"	"100"	""		"41.121292"	"46.17486"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	"2s2.2p5.(2P*<3/2>).7f"	"2[5/2]"	"2,3"	5	12		""	"L914"	
Na	2	"245.3718"	"0.0003"	"245.373"	"0.003"	"15"	""		"41.121292"	"46.17266"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	"2s2.2p5.(2P*<3/2>).7f"	"2[3/2]"	"1"	5	3		""	"L914"	
Na	2	"245.4628"	"0.0003"	"245.473"	"0.003"	"60"	""		"41.126538"	"46.17584"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"3"	"2s2.2p5.(2P*<3/2>).7f"	"2[7/2]"	"3,4"	7	16		""	"L914"	
Na	1	""	""	"245.593045"	"0.000012"	""	"1.12e+04"	C+'	"0.000000000"	"[5.04683185]"	"2p6.3s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"3/2"	2	4		"T76n,T817"	""	
Na	1	""	""	"245.593648"	"0.000012"	""	"1.12e+04"	C+'	"0.000000000"	"[5.04681945]"	"2p6.3s"	"2S"	"1/2"	"2p6.13p"	"2P*"	"1/2"	2	2		"T76n,T817"	""	
Na	2	"245.7477"	"0.0003"	""	""	"20"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	3	"245.9306"	"0.0005"	"245.9309"	"0.0017"	"25"	"2.80e+08"	A	"46.324504"	"51.364403"	"2s2.2p4.(3P).3s"	"2P"	"3/2"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	4	6		"c56,LS"	"L1882"	
Na	2	"246.0776"	"0.0003"	"246.078"	"0.003"	"40"	""		"41.306940"	"46.34382"	"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"	"2s2.2p5.(2P*<1/2>).7f"	"2[5/2]"	"2,3"	3	12		""	"L914"	
Na	1	""	""	"246.437851"	"0.000012"	""	"1.44e+04"	C+'	"0.000000000"	"[5.02953221]"	"2p6.3s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"3/2"	2	4		"T76n,T817"	""	
Na	1	""	""	"246.438640"	"0.000012"	""	"1.44e+04"	C+'	"0.000000000"	"[5.02951609]"	"2p6.3s"	"2S"	"1/2"	"2p6.12p"	"2P*"	"1/2"	2	2		"T76n,T817"	""	
Na	2	"246.6368"	"0.0003"	""	""	"20"	""		""	""	""	""	""	""	""	""				""	"L914"	
Na	3	"246.8854"	"0.0005"	"246.8855"	"0.0017"	"18"	"2.13e+08"	A	"46.454388"	"51.474802"	"2s2.2p4.(3P).3s"	"2P"	"1/2"	"2s2.2p4.(3P).3p"	"2D*"	"3/2"	2	4		"c56,LS"	"L1882"	
Na	3	"247.4732"	"0.0005"	"247.4731"	"0.0017"	"20"	"1.38e+08"	A	"45.397361"	"50.405854"	"2s2.2p4.(3P).3s"	"4P"	"5/2"	"2s2.2p4.(3P).3p"	"4P*"	"3/2"	6	4		"c51,T7317"	"L1882"	
Na	1	""	""	"247.553565"	"0.000012"	""	"1.94e+04"	C+'	"0.000000000"	"5.00686591"	"2p6.3s"	"2S"	"1/2"	"2p6.11p"	"2P*"	"3/2"	2	4		"T76n,T817"	""	
