element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	3	""	"248.5689"	""	"8.86e+05"	E	"25.987051"	"30.973466"	"3s.4f"	"3F*"	"4"	"3s.7g"	"3G"	"4"	9	9		"T6298c4,LS"	""	
Si	3	""	"248.5722"	""	"1.73e+04"	E	"25.987051"	"30.973400"	"3s.4f"	"3F*"	"4"	"3s.7g"	"3G"	"3"	9	7		"T6298c4,LS"	""	
Si	2	""	"250.0945"	""	"1.13e+07"	D	"9.836720"	"14.792721"	"3s2.3d"	"2D"	"3/2"	"3s2.6f"	"2F*"	"5/2"	4	6		"T6527c4,LS"	""	
Si	2	""	"250.1979"	""	"8.07e+05"	E	"9.838769"	"14.792721"	"3s2.3d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"5/2"	6	6		"T6527c4,LS"	""	
Si	2	""	"250.1988"	""	"1.21e+07"	D+	"9.838769"	"14.792702"	"3s2.3d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"7/2"	6	8		"T6527c4,LS"	""	
Si	2	""	"250.3295"	""	"5.48e+06"	E	"9.836720"	"14.788068"	"3s2.3d"	"2D"	"3/2"	"3s2.7p"	"2P*"	"3/2"	4	4		"T7166"	""	
Si	2	""	"250.4331"	""	"4.92e+07"	D+	"9.838769"	"14.788068"	"3s2.3d"	"2D"	"5/2"	"3s2.7p"	"2P*"	"3/2"	6	4		"T7166"	""	
Si	2	""	"250.5089"	""	"5.36e+07"	D	"9.836720"	"14.784523"	"3s2.3d"	"2D"	"3/2"	"3s2.7p"	"2P*"	"1/2"	4	2		"T7166"	""	
Si	1	"250.690"	"250.68970"	"425"	"5.47e+07"	B	"0.0095610"	"4.9537952"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4s"	"3P*"	"2"	3	5		"T5814"	"L3521"	
Si	1	"251.432"	"251.43156"	"375"	"7.39e+07"	B	"0.0000000"	"4.9296471"	"3s2.3p2"	"3P"	"0"	"3s2.3p.4s"	"3P*"	"1"	1	3		"T5814"	"L3521"	
Si	1	"251.6113"	"251.61122"	"500"	"1.68e+08"	B	"0.0276679"	"4.9537952"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4s"	"3P*"	"2"	5	5		"T5814"	"L3521"	
Si	1	"251.9202"	"251.92019"	"350"	"5.49e+07"	B	"0.0095610"	"4.9296471"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4s"	"3P*"	"1"	3	3		"T5814"	"L3521"	
Si	1	"252.4108"	"252.41077"	"425"	"2.22e+08"	B	"0.0095610"	"4.9200852"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4s"	"3P*"	"0"	3	1		"T5814"	"L3521"	
Si	3	""	"252.8471"	""	"9.16e+07"	B	"25.333789"	"30.235840"	"3s.4d"	"1D"	"2"	"3s.6f"	"1F*"	"3"	5	7		"T6298c4"	""	
Si	1	"252.8509"	"252.85079"	"450"	"9.04e+07"	B	"0.0276679"	"4.9296471"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4s"	"3P*"	"1"	5	3		"T5814"	"L3521"	
Si	1	"253.2381"	"253.23811"	"110"	"2.45e+07"	C	"1.9086586"	"6.8031408"	"3s2.3p2"	"1S"	"0"	"3s2.3p.5s"	"1P*"	"1"	1	3		"T5071"	"L3521"	
Si	3	"254.182"	"254.1818"	"25"	"3.22e+07"	B	"10.276357"	"15.152669"	"3s.3p"	"1P*"	"1"	"3p2"	"1D"	"2"	3	5		"c44,T5038,T1860"	"L4833"	
Si	3	"254.609"	"254.6092"	"10"	"6.1e+07"	D	"20.552241"	"25.420367"	"3s.3d"	"1D"	"2"	"3p.3d"	"1D*"	"2"	5	5		"c44"	"L4833"	
Si	3	"255.921"	"255.9196"	"14"	"1.63e+08"	C+	"20.552241"	"25.395443"	"3s.3d"	"1D"	"2"	"3s.4f"	"1F*"	"3"	5	7		"c44,T5038"	"L4833"	
Si	1	""	"256.18234"	""	"4.62e-03"	D	"0.7809579"	"5.6191930"	"3s2.3p2"	"1D"	"2"	"3s.3p3"	"3D*"	"3"	5	7	M2	"c22"	""	
Si	1	"256.3679"	"256.36774"	"30"	"4.20e-03"	D	"0.7809579"	"5.6156943"	"3s2.3p2"	"1D"	"2"	"3s.3p3"	"3D*"	"2"	5	5	M2	"c22"	"L3521"	
Si	1	""	"256.48246"	""	"1.78e-03"	E	"0.7809579"	"5.6135319"	"3s2.3p2"	"1D"	"2"	"3s.3p3"	"3D*"	"1"	5	3	M2	"c22"	""	
Si	1	"256.8641"	"256.86398"	"85"	"4.24e+06"	D	"1.9086586"	"6.7340552"	"3s2.3p2"	"1S"	"0"	"3s2.3p.5s"	"3P*"	"1"	1	3		"T5071"	"L3521"	
Si	1	"257.7151"	""	"45"	""		""	""	""	""	""	""	""	""				""	"L3521"	
Si	2	""	"260.1557"	""	"1.56e+02"	E	"5.309535"	"10.073880"	"3s.3p2"	"4P"	"1/2"	"3s2.4p"	"2P*"	"3/2"	2	4		"c22"	""	
Si	2	""	"260.4421"	""	"1.33e+06"	D	"8.121023"	"12.880129"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"3/2"	2	4		"T6868"	""	
Si	2	""	"260.5625"	""	"2.51e+02"	E	"5.309535"	"10.066443"	"3s.3p2"	"4P"	"1/2"	"3s2.4p"	"2P*"	"1/2"	2	2		"c22"	""	
Si	2	""	"260.6085"	""	"1.33e+06"	E	"8.121023"	"12.877091"	"3s2.4s"	"2S"	"1/2"	"3s2.5p"	"2P*"	"1/2"	2	2		"T6868"	""	
Si	2	""	"260.8913"	""	"2.29e+01"	E	"5.322966"	"10.073880"	"3s.3p2"	"4P"	"3/2"	"3s2.4p"	"2P*"	"3/2"	4	4		"c22"	""	
Si	2	""	"261.3003"	""	"9.22e+02"	E	"5.322966"	"10.066443"	"3s.3p2"	"4P"	"3/2"	"3s2.4p"	"2P*"	"1/2"	4	2		"c22"	""	
Si	2	""	"262.0903"	""	"4.47e+03"	D	"5.344700"	"10.073880"	"3s.3p2"	"4P"	"5/2"	"3s2.4p"	"2P*"	"3/2"	6	4		"c22"	""	
Si	1	"263.1282"	"263.12818"	"190"	"1.06e+08"	B	"1.9086586"	"6.6191858"	"3s2.3p2"	"1S"	"0"	"3s2.3p.3d"	"1P*"	"1"	1	3		"T5814"	"L3521"	
Si	3	"264.079"	"264.0788"	"11"	"1.83e+08"	B	"25.420367"	"30.113939"	"3p.3d"	"1D*"	"2"	"3p.4p"	"1P"	"1"	5	3		"T6298c4"	"L4833"	
